HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
953609870799108,89001,1,201212,46,-0.01,58,31420,30,2,4389.1950,1
810309963211995,89001,2,201212,46,-0.01,58,12020,33,1,2274.8801,1
195926606048389,89001,4,201212,46,7.25,58,12060,16,2,5046.6055,1
006902261795343,89001,3,201212,46,9.25,58,12060,16,1,4416.7716,1
973779370179101,89001,2,201212,46,-0.01,58,0,19,1,3737.8976,2
392945502026418,91001,1,201212,46,-0.01,22,37980,64,1,2676.7595,1
499520952590973,89001,1,201212,46,-0.01,22,35620,39,1,2772.5951,1
740942091937899,89001,1,201212,46,-0.01,22,35620,59,2,3112.7527,1
740942091937899,89001,2,201212,46,-0.01,22,35620,61,1,2643.4535,1
032303540995998,91001,1,201212,46,-0.01,22,35620,56,1,2802.6385,1
914959910479308,90001,2,201212,46,-0.01,22,10900,17,2,3745.4358,2
062423560993598,91001,3,201212,46,-0.01,21,35620,18,2,3854.2199,1
399942805005609,91001,2,201212,46,10.00,21,35620,30,1,2611.1967,1
707007423106766,89001,1,201212,46,-0.01,21,35620,56,1,3086.2386,1
963983091906696,90001,2,201212,46,-0.01,21,35620,30,1,3825.9534,1
323390539600234,91001,3,201212,46,9.25,21,35620,22,2,4423.8475,1
393903305033640,91001,4,201212,46,-0.01,21,35620,23,2,3161.0829,1
303908293593816,91001,2,201212,46,-0.01,21,35620,43,1,2664.8999,1
106309060059303,89001,1,201212,46,-0.01,21,35620,57,1,2823.8041,1
106309060059303,89001,2,201212,46,17.00,21,35620,54,1,2721.8763,1
290861098336839,89001,4,201212,46,-0.01,21,35620,50,1,2721.8763,1
305011201077641,90001,1,201212,46,-0.01,21,35620,47,1,6159.4129,2
393973809023698,91001,3,201212,46,-0.01,21,35620,37,1,2508.8644,1
393973809023698,91001,4,201212,46,-0.01,21,35620,38,2,3082.5868,1
938096692349370,91001,3,201212,46,-0.01,21,35620,21,2,4238.9805,1
363659097906291,89001,3,201212,46,-0.01,21,35620,25,2,3634.2293,1
909012463439490,91001,2,201212,46,-0.01,23,38300,18,2,4003.9177,1
102969240679409,91001,4,201212,46,-0.01,23,38300,22,2,3185.0507,1
840206998315990,89001,2,201212,46,-0.01,23,38300,47,1,3110.7908,1
840206998315990,89001,3,201212,46,-0.01,23,38300,20,2,3315.4190,1
840206998315990,89001,4,201212,46,-0.01,23,38300,19,2,2787.9144,1
