HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
094093183140090,91001,2,201211,46,-0.01,58,42340,49,1,3893.1921,1
410309906355991,91001,3,201211,46,-0.01,58,42340,20,2,3825.2855,1
009781330990299,91001,2,201211,46,-0.01,58,42340,68,2,2479.6104,1
720134008918880,89001,1,201211,46,-0.01,58,12060,37,1,4193.7665,1
931460038909595,89001,1,201211,46,-0.01,58,12060,43,1,2963.6973,2
210309922665199,91001,2,201211,46,-0.01,58,0,29,1,2751.3614,2
210309924215294,91001,5,201211,46,-0.01,58,47580,21,2,4967.4607,1
988063832129100,91001,1,201211,46,-0.01,58,0,37,1,3756.6176,1
630940092031069,91001,4,201211,46,-0.01,22,35620,19,1,3122.3973,1
844659320489307,91001,1,201211,46,-0.01,22,35620,68,2,2748.3789,2
039333140997196,91001,2,201211,46,-0.01,22,35620,50,1,2919.9468,1
992034979359280,89001,2,201211,46,2.15,22,35620,20,1,3377.4347,1
926809030589302,91001,1,201211,46,-0.01,21,35620,30,1,4758.5452,1
926809030589302,91001,2,201211,46,-0.01,21,35620,28,1,4629.8435,1
926809030589302,91001,3,201211,46,-0.01,21,35620,25,1,4629.8435,1
751304820600135,89001,4,201211,46,-0.01,21,35620,42,1,4358.3588,1
946629510849308,91001,2,201211,46,-0.01,21,40380,23,1,3079.1325,2
005902223893966,89001,1,201211,46,-0.01,21,40380,58,1,3134.6799,1
392985504074636,89001,2,201211,46,-0.01,21,35620,65,-1,3161.7272,3
042893160998798,91001,1,201211,46,-0.01,21,45060,48,1,3165.7616,1
944096871389790,89001,3,201211,46,-0.01,21,45060,17,2,3743.0856,1
323390539600234,91001,3,201211,46,-0.01,21,35620,22,2,4571.6308,1
659710423110923,91001,1,201211,46,-0.01,21,35620,59,1,3476.5038,2
326889140399303,91001,1,201211,46,-0.01,21,35620,33,1,3719.0166,2
970064097438149,89001,2,201211,46,-0.01,21,35620,55,1,3371.3930,1
