HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399420615360611,91002,3,201210,46,-0.01,58,0,35,2,3081.6048,1
410309924959795,89002,5,201210,46,12.00,58,0,23,1,3327.3931,1
100531098218049,90001,1,201210,46,-0.01,58,12060,23,1,3427.8880,1
010421830950198,90001,2,201210,46,-0.01,58,12060,42,1,2401.6370,1
100630091718919,90001,2,201210,46,4.00,58,12060,25,2,3289.8789,1
100630091718919,90001,3,201210,46,4.00,58,12060,20,2,3011.0602,1
033451430989496,89001,3,201210,46,2.13,58,12060,19,2,2650.2781,1
069391330995895,91001,2,201210,46,-0.01,58,16860,24,1,4133.3559,1
998003948179830,89001,1,201210,46,-0.01,58,16860,65,1,2538.0914,1
996024570349550,89001,1,201210,46,-0.01,22,35620,43,1,2716.9292,1
944044613349060,89001,1,201210,46,-0.01,22,35620,37,1,2496.2702,2
500846094436459,89001,1,201210,46,-0.01,22,37980,68,2,2573.6003,1
844659320489307,91001,1,201210,46,-0.01,22,35620,68,2,2812.0021,2
971054889349530,89001,2,201210,46,-0.01,22,35620,31,1,2961.2163,1
160564094234099,89001,3,201210,46,8.75,21,15380,21,2,3737.5739,1
045393560997894,89001,3,201210,46,-0.01,21,15380,22,2,3224.8826,1
420766097635779,89001,1,201210,46,-0.01,21,35620,40,1,3331.1291,1
398996700090634,89001,1,201210,46,-0.01,21,35620,20,1,3278.4305,2
398996700090634,89001,6,201210,46,-0.01,21,35620,48,1,2767.2365,2
005902223893966,89001,1,201210,46,-0.01,21,40380,57,1,3096.1130,1
040523160926599,91001,1,201210,46,-0.01,21,35620,55,1,3365.4088,1
360961099233389,91001,2,201210,46,-0.01,21,15380,21,2,3413.4514,1
323390539600234,91001,3,201210,46,-0.01,21,35620,21,2,4680.1732,1
970364097432149,91001,2,201210,46,-0.01,21,35620,50,1,3703.3591,1
303908293593816,91001,2,201210,46,-0.01,21,35620,43,1,3117.9561,1
011343460911297,89001,1,201210,46,-0.01,21,35620,31,1,4598.6675,1
019333460938298,89001,1,201210,46,-0.01,21,35620,33,1,3957.5356,1
019333460938298,89001,2,201210,46,-0.01,21,35620,26,1,4370.6308,1
019333460938298,89001,3,201210,46,-0.01,21,35620,31,1,3957.5356,1
963283085900391,89001,1,201210,46,-0.01,21,35620,46,1,3810.1351,1
963283085900391,89001,2,201210,46,-0.01,21,35620,41,1,3331.1291,1
393973809023698,91001,3,201210,46,-0.01,21,35620,37,1,2623.8750,1
393973809023698,91001,4,201210,46,-0.01,21,35620,38,2,3046.1957,1
086273460980395,89001,3,201210,46,10.00,21,35620,26,2,3752.0997,1
399916806050679,89001,1,201210,46,-0.01,21,0,21,2,2999.1945,1
936799030909303,91001,2,201210,46,-0.01,21,28740,32,2,2619.1744,1
752279530779401,91001,2,201210,46,-0.01,23,38300,36,2,2850.1090,1
824961054904598,89001,1,201210,46,-0.01,23,38300,31,1,3134.0222,2
824961054904598,89001,3,201210,46,-0.01,23,38300,17,2,3331.8713,2
015954120991493,91001,3,201210,46,-0.01,23,11020,16,2,3275.4020,1
042490639200962,89001,1,201210,46,2.83,23,37980,20,2,3772.1511,1
992052859449080,89001,5,201210,46,3.25,23,21500,41,1,3050.8197,1
289540492380944,89001,3,201210,46,7.45,23,42540,17,2,3153.6555,1
440209955527193,89001,2,201210,46,-0.01,23,42540,37,1,2983.3341,1
982029750909400,89001,2,201210,46,-0.01,23,0,45,1,3117.9133,1
982029750909400,89001,3,201210,46,-0.01,23,0,24,1,3531.0028,1
002909034993212,91001,1,201210,46,-0.01,23,38300,29,2,2758.3436,1
993082907459600,89001,2,201210,46,-0.01,23,42540,29,1,3404.2781,1
431834084907694,89001,3,201210,46,-0.01,58,12060,32,2,2585.0452,2
489870261470963,89001,3,201210,46,-0.01,22,35620,58,2,2973.0994,1
608906633992796,90001,2,201210,46,7.25,21,0,21,2,3999.8200,1
699220345870913,91001,3,201210,46,-0.01,21,0,19,2,2874.6278,1
699780763230913,91001,3,201210,46,-0.01,21,40380,19,2,2833.3108,1
463306076909794,89001,2,201210,46,-0.01,21,35620,37,1,3978.9661,1
463306076909794,89001,6,201210,46,-0.01,21,35620,45,1,3285.1471,1
398914506067682,89001,1,201210,46,8.25,21,35620,36,2,4153.0601,1
985395049600726,90001,2,201210,46,-0.01,21,35620,31,1,4667.7399,1
390982408016699,91001,3,201210,46,-0.01,21,35620,21,1,3366.6826,1
390995707082678,89001,3,201210,46,-0.01,21,10580,17,2,2833.3108,1
110865092738479,90001,1,201210,46,-0.01,21,35620,68,-1,3123.0936,3
002908694993992,91001,3,201210,46,-0.01,23,25420,17,2,2811.5012,1
495924507013259,89001,2,201210,46,7.25,23,42540,17,2,3039.5539,1
495996606000259,89001,3,201210,46,-0.01,23,42540,48,1,3277.0622,1
092314120692292,91001,3,201210,46,-0.01,23,0,17,2,3119.7325,1
424884034909292,89001,5,201210,46,7.50,23,0,16,2,3030.8975,1
104033901061361,91001,1,201210,46,-0.01,58,12060,39,1,4182.3536,1
710300023759715,89001,4,201210,46,-0.01,58,31420,17,2,4198.6779,2
953609870799108,89001,1,201210,46,-0.01,58,31420,30,1,5227.6055,1
953609870799108,89001,4,201210,46,-0.01,58,31420,34,1,2817.1477,2
310100554170041,89001,3,201210,46,7.50,58,42340,16,2,2353.1179,1
449193689300796,89001,1,201210,46,13.00,58,12060,52,1,3530.7510,1
449193689300796,89001,2,201210,46,11.35,58,12060,21,1,4661.8952,1
449193689300796,89001,3,201210,46,10.00,58,12060,47,2,3387.1750,1
087561430987790,89001,4,201210,46,8.35,58,12060,17,2,3237.6426,1
199941007010396,91001,1,201210,46,-0.01,58,12060,36,2,4434.6469,1
963089010129101,91001,1,201210,46,-0.01,58,12060,51,2,4076.3549,1
931319094907999,89002,1,201210,46,7.50,58,12060,27,1,3574.7005,1
965043925179160,89001,2,201210,46,-0.01,58,10500,20,1,2913.2178,1
805907821897023,89002,2,201210,46,-0.01,58,12060,21,1,4323.3210,1
192941502048346,91001,3,201210,46,-0.01,58,12060,26,1,3782.9280,1
701907751898913,91001,2,201210,46,-0.01,58,12060,20,1,3705.4670,2
399370505210911,91001,4,201210,46,-0.01,58,12060,22,2,4107.4828,1
979053978159170,89001,3,201210,46,-0.01,58,12060,17,2,3629.0674,1
810309963943594,90001,2,201210,46,-0.01,58,12060,18,-1,4449.1721,3
399540967060911,91001,3,201210,46,-0.01,58,0,21,1,5375.4312,2
728193719300940,91001,1,201210,46,-0.01,58,16860,40,1,2615.0037,1
469750157720923,91001,1,201210,46,-0.01,22,35620,64,1,2909.0970,1
308900003991164,90001,3,201210,46,-0.01,22,47220,16,-1,5094.5835,3
784179650269308,89001,1,201210,46,-0.01,22,35620,28,1,2638.0179,1
991044989379270,89001,1,201210,46,-0.01,22,35620,21,2,3293.2194,1
740942091937899,89001,1,201210,46,-0.01,22,35620,58,2,3041.2629,1
740942091937899,89001,2,201210,46,-0.01,22,35620,61,1,2813.7794,1
613393729400644,91001,1,201210,46,-0.01,22,35620,30,1,2755.9570,1
004903153799986,89001,6,201210,46,-0.01,21,35620,28,1,4370.6308,1
550566090936319,89001,1,201210,46,-0.01,21,15380,26,1,3482.0619,1
663562077906797,89001,2,201210,46,-0.01,21,15380,69,2,2767.6897,1
399942805005609,91001,2,201210,46,-0.01,21,35620,30,1,3003.6143,1
956659730389301,91001,4,201210,46,-0.01,21,40380,19,1,4369.2678,1
956659730389301,91001,5,201210,46,-0.01,21,40380,19,1,4369.2678,1
730609941982183,89001,4,201210,46,-0.01,21,40380,21,2,3315.0091,1
363603027908595,89001,1,201210,46,-0.01,21,35620,28,2,3575.0685,1
363603027908595,89001,6,201210,46,-0.01,21,35620,30,2,2609.4208,1
056699420509302,91001,2,201210,46,-0.01,21,35620,23,1,3366.6826,1
040523660916599,89001,2,201210,46,-0.01,21,35620,47,1,3323.0522,1
663987116902897,89011,1,201210,46,-0.01,21,35620,43,1,2487.5214,1
663987116902897,89011,2,201210,46,-0.01,21,35620,44,1,3492.8592,1
663987116902897,89011,3,201210,46,-0.01,21,35620,20,1,2945.6959,1
305091600080691,91001,1,201210,46,-0.01,21,35620,36,1,3452.6252,1
659710423110923,91001,1,201210,46,-0.01,21,35620,59,1,3343.3062,2
947076014389490,90001,3,201210,46,7.25,21,35620,21,2,5147.5544,1
912006555389350,90001,2,201210,46,-0.01,21,35620,54,1,2818.0199,1
905076864329220,91001,2,201210,46,-0.01,21,10580,48,1,2765.9917,1
363659097906291,89001,3,201210,46,-0.01,21,35620,24,2,3670.1564,1
520667095838259,90001,2,201210,46,9.00,21,35620,18,2,3078.4984,1
495984103013299,89001,1,201210,46,9.00,23,0,46,1,2761.7103,1
909012463439490,91001,2,201210,46,-0.01,23,38300,18,2,4220.4832,1
996022870449550,89001,2,201210,46,10.50,23,38300,25,2,3180.4506,1
