HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
192992508043309,91001,3,201209,46,-0.01,58,42340,20,2,3080.2390,1
021571730698894,90001,3,201209,46,2.00,58,12060,40,2,3188.3739,1
194974709013359,89001,1,201209,46,-0.01,58,12060,19,2,3207.0943,1
100531098218049,90001,1,201209,46,-0.01,58,12060,23,1,3195.0453,1
010421830950198,90001,2,201209,46,-0.01,58,12060,42,1,2291.3766,1
944044613349060,89001,1,201209,46,-0.01,22,35620,37,1,2692.1158,2
943606077906695,90002,4,201209,46,-0.01,22,35620,20,-1,5239.7105,3
943606077906695,90002,6,201209,46,5.35,22,35620,18,1,3639.0330,1
776396959400660,90001,1,201209,46,15.00,22,35620,45,1,3284.3086,1
776396959400660,90001,9,201209,46,15.00,22,35620,41,1,2877.5022,1
085963340990198,89001,1,201209,46,18.00,22,37980,42,1,5390.7271,1
041163340996399,89001,2,201209,46,-0.01,22,35620,20,-1,4841.2592,3
380394439400731,90001,1,201209,46,-0.01,22,35620,27,1,3526.8745,1
380394439400731,90001,2,201209,46,-0.01,22,35620,22,1,3412.6440,1
380394439400731,90001,3,201209,46,-0.01,22,35620,32,1,2771.0278,1
844659320489307,91001,1,201209,46,-0.01,22,35620,68,2,2987.8003,2
393991802003458,91001,1,201209,46,-0.01,22,35620,46,2,2877.4338,1
507907693893554,90001,1,201209,46,14.50,22,35620,62,1,3258.6182,1
063141063906399,89002,2,201209,46,12.00,21,35620,34,2,2945.9964,1
398996700090634,89001,1,201209,46,-0.01,21,35620,20,1,3574.9639,2
398996700090634,89001,6,201209,46,-0.01,21,35620,48,2,3203.0651,1
630465094037879,90001,1,201209,46,12.00,21,35620,29,1,3966.2579,1
178390759600566,90001,1,201209,46,-0.01,21,35620,40,1,3491.7454,1
463306076909794,89001,2,201209,46,-0.01,21,35620,37,1,3981.9220,1
463306076909794,89001,6,201209,46,-0.01,21,35620,45,1,3457.5544,1
130609908227116,91001,2,201209,46,-0.01,21,35620,30,1,3438.6373,1
130609908227116,91001,3,201209,46,-0.01,21,35620,25,1,3884.4884,2
040523160926599,91001,1,201209,46,-0.01,21,35620,55,1,3545.2123,1
870360091536419,89001,1,201209,46,-0.01,21,35620,20,1,5402.4620,1
876289260669301,89002,2,201209,46,-0.01,21,35620,30,1,3087.1407,1
042893160998798,91001,1,201209,46,-0.01,21,45060,48,1,3028.0154,1
323390539600234,91001,3,201209,46,-0.01,21,35620,21,2,4991.6060,1
163214073001301,89001,1,201209,46,-0.01,21,35620,22,1,3200.3375,1
011343460911297,89001,1,201209,46,-0.01,21,35620,30,1,4247.9756,1
035333660934093,89001,1,201209,46,-0.01,21,35620,77,1,4450.8634,1
536089060279304,89001,2,201209,46,-0.01,21,35620,18,2,4076.2715,1
426179170319304,90001,1,201209,46,-0.01,21,35620,25,1,3092.6969,2
669820171070963,89001,4,201209,46,-0.01,21,35620,28,2,3399.4083,1
699640579720633,89001,1,201209,46,7.00,21,28740,31,1,3160.2057,1
906901993993236,89001,3,201209,46,-0.01,21,35620,20,1,4159.0656,1
210330596600084,90001,1,201209,46,-0.01,23,39740,50,1,2864.6341,1
210330596600084,90001,2,201209,46,-0.01,23,39740,53,1,2991.7047,1
210330596600084,90001,3,201209,46,-0.01,23,39740,22,1,3360.2824,1
289350246710984,90001,1,201209,46,-0.01,23,39740,61,2,2923.8124,1
724341008909396,90001,2,201209,46,-0.01,23,11020,23,1,3312.6513,1
530724099845819,89001,3,201209,46,-0.01,23,37980,22,2,3661.9440,1
269430843510964,89001,3,201209,46,-0.01,23,37980,17,2,3085.7582,1
840209910201691,90001,2,201209,46,-0.01,23,38300,23,1,3231.7446,1
912789370149400,90001,1,201209,46,2.80,23,37980,53,2,3011.7599,1
912789370149400,90001,3,201209,46,7.25,23,37980,17,2,4222.0753,1
270925096447499,90001,1,201209,46,13.15,23,10900,47,1,3192.0451,1
270925096447499,90001,2,201209,46,13.25,23,10900,39,1,4148.0093,1
289540492380944,89001,3,201209,46,-0.01,23,42540,17,2,3169.1883,1
967052981459070,89001,1,201209,46,-0.01,23,42540,67,2,3138.0605,1
724207088909093,90001,1,201209,46,-0.01,23,37980,42,1,3066.3918,1
495901305077273,91001,3,201209,46,-0.01,23,38300,18,2,3342.5080,1
299560466770974,90001,2,201209,46,8.05,23,38300,73,2,2708.8415,1
993082907459600,89001,2,201209,46,-0.01,23,42540,29,1,3403.3111,1
007901033891224,90001,2,201209,46,-0.01,22,35620,51,1,3020.8849,2
964419870349301,90001,2,201209,46,-0.01,22,35620,59,1,3006.1376,1
964419870349301,90001,3,201209,46,-0.01,22,35620,31,1,2420.2806,1
608906633992796,90001,2,201209,46,-0.01,21,0,21,2,3629.9060,1
392983504074631,89002,1,201209,46,-0.01,21,35620,39,1,3872.4209,1
392983504074631,89002,2,201209,46,-0.01,21,35620,33,1,3981.8171,1
398914506067682,89001,1,201209,46,-0.01,21,35620,36,1,4040.6595,2
481394799600299,90001,1,201209,46,-0.01,21,35620,49,1,3099.1420,1
985395049600726,90001,2,201209,46,-0.01,21,35620,31,1,4538.0637,1
609740494710983,90001,2,201209,46,-0.01,21,35620,37,2,3240.8934,1
390995707082678,89001,3,201209,46,-0.01,21,10580,17,2,2806.1209,1
570625097148279,90001,1,201209,46,-0.01,23,38300,49,1,2775.9435,1
570625097148279,90001,2,201209,46,-0.01,23,38300,52,1,3462.9554,1
902019070136407,90001,1,201209,46,-0.01,23,38300,49,1,2784.7110,1
299200066300974,90001,1,201209,46,9.00,23,38300,63,2,2992.9715,1
092314120692292,91001,3,201209,46,-0.01,23,0,17,2,3122.6678,1
424884034909292,89001,5,201209,46,-0.01,23,0,16,2,3021.8286,1
601906881898193,91001,1,201209,46,-0.01,58,12060,44,1,3584.5923,1
931319094907999,89002,1,201209,46,-0.01,58,12060,27,1,3677.6855,1
970934091211329,91001,2,201209,46,-0.01,58,0,44,1,4081.5395,1
770933097117719,90001,1,201209,46,8.50,58,0,44,2,2768.9806,1
399370505210911,91001,4,201209,46,-0.01,58,12060,22,2,4264.1401,1
974559450229305,89001,1,201209,46,-0.01,22,12100,55,1,3106.4026,1
057713240962597,91001,1,201209,46,-0.01,22,35620,49,1,3093.0459,1
057713240962597,91001,2,201209,46,-0.01,22,35620,48,1,2619.0324,1
469750157720923,91001,1,201209,46,-0.01,22,35620,64,1,2761.3962,1
996024570349550,89001,1,201209,46,-0.01,22,35620,43,1,2766.0130,1
392902203010419,91001,1,201209,46,-0.01,22,35620,39,1,3521.6145,1
489870261470963,89001,3,201209,46,-0.01,22,35620,58,2,3324.4058,1
210948091733449,89001,3,201209,46,7.85,22,35620,18,2,3206.7883,1
084703840988698,90001,3,201209,46,-0.01,22,35620,27,2,3088.5434,1
971054889349530,89001,2,201209,46,-0.01,22,35620,31,1,2771.0278,1
613393729400644,91001,1,201209,46,-0.01,22,35620,30,1,2761.3357,1
506869160449309,89001,1,201209,46,-0.01,21,35620,22,2,3650.6314,1
699770257660913,91001,1,201209,46,-0.01,21,15380,25,1,3281.6706,2
699770257660913,91001,2,201209,46,-0.01,21,15380,29,1,3281.6706,2
730399089600193,89001,1,201209,46,9.75,21,35620,47,1,3866.5888,1
786949130329301,89001,3,201209,46,8.25,21,40380,41,2,2940.2477,1
005902223893966,89001,1,201209,46,-0.01,21,40380,57,1,2970.9371,1
830609956223076,90001,1,201209,46,-0.01,21,40380,35,2,3081.3441,1
000664096636309,89001,1,201209,46,-0.01,21,35620,48,1,3429.8211,1
056699420509302,91001,2,201209,46,-0.01,21,35620,23,2,3522.6659,1
563855094904996,89001,2,201209,46,-0.01,21,35620,51,1,2775.1296,1
040523660916599,89001,2,201209,46,-0.01,21,35620,47,1,3688.4287,1
390937702049668,90001,1,201209,46,-0.01,21,46540,18,-1,3185.0084,3
679230551050973,90001,3,201209,46,-0.01,21,35620,18,-1,3670.1518,3
047033760924794,90001,4,201209,46,7.85,21,35620,20,2,4171.6052,1
495984103013299,89001,1,201209,46,-0.01,23,0,45,1,2822.0869,1
498993508015266,89001,3,201209,46,-0.01,23,38300,17,-1,3697.8197,3
724055076909497,89001,3,201209,46,-0.01,23,11020,29,1,2875.6322,1
901092759479020,90001,1,201209,46,10.12,23,37980,53,2,3011.7599,1
080927093143869,89001,2,201209,46,-0.01,23,38300,52,1,2669.0876,1
049494959200708,89001,2,201209,46,-0.01,23,37980,37,2,3082.6306,1
901092966459750,89001,3,201209,46,-0.01,23,25420,20,2,3353.1945,1
491932906028239,91001,1,201209,46,-0.01,23,0,21,1,3062.5895,1
941002942439290,89001,1,201209,46,10.25,23,29540,58,1,4244.4710,1
941002942439290,89001,2,201209,46,9.00,23,29540,44,1,5552.6251,1
624284062907895,91001,3,201209,46,-0.01,23,10900,47,1,3503.4243,1
822109920389405,91001,3,201209,46,-0.01,23,10900,24,1,3025.4540,1
495996606000259,89001,3,201209,46,-0.01,23,42540,48,1,3220.8802,1
040829091948379,90001,2,201209,46,-0.01,23,37980,40,1,2604.4591,2
724729094909297,89001,2,201209,46,-0.01,23,10900,45,1,3236.9649,1
960052778419750,91001,1,201209,46,-0.01,23,37980,75,2,3024.4438,1
933052294479930,90001,1,201209,46,9.00,23,37980,34,1,3015.8334,1
982029750909400,89001,2,201209,46,-0.01,23,0,45,1,3105.4003,1
982029750909400,89001,3,201209,46,-0.01,23,0,24,1,3523.7039,1
056244320999892,89001,5,201209,46,9.00,23,38300,20,2,4003.0119,1
902389570289409,90001,1,201209,46,-0.01,23,49620,25,1,3673.1797,2
902389570289409,90001,2,201209,46,9.50,23,49620,21,1,5318.5057,1
099991330991399,89001,1,201209,46,2.19,58,12060,33,2,3313.5844,1
470739090115909,89001,3,201209,46,-0.01,58,12060,35,1,4402.0517,1
408908671995543,90001,4,201209,46,-0.01,58,47580,49,1,2686.3536,2
743215018909493,90001,5,201209,46,-0.01,22,37980,16,2,3245.3274,1
011743360994895,89001,2,201209,46,18.00,21,0,57,1,3281.5801,1
392957701084695,90001,1,201209,46,-0.01,21,35620,35,1,3308.4439,1
108903554999062,90001,1,201209,46,-0.01,23,37980,40,2,2976.8194,1
108903554999062,90001,2,201209,46,-0.01,23,37980,43,1,3066.3918,1
041195569300993,89002,1,201209,46,-0.01,58,42340,35,1,3037.3876,1
199941007010396,91001,1,201209,46,-0.01,58,12060,36,1,4402.0517,1
963089010129101,91001,1,201209,46,-0.01,58,12060,51,2,4357.6086,1
903419570909104,90001,3,201209,46,8.00,58,12060,19,2,3720.9253,1
060931093111579,91001,1,201209,46,-0.01,58,10500,53,2,4030.5455,1
019341130971698,91001,2,201209,46,-0.01,58,12060,25,2,4026.7505,1
701907751898913,91001,2,201209,46,-0.01,58,12060,20,1,4337.6353,2
580930099617509,90001,1,201209,46,7.70,58,0,20,2,3198.0459,1
095573140999397,91001,2,201209,46,-0.01,22,12100,80,1,3236.4640,1
500846094436459,89001,1,201209,46,-0.01,22,37980,68,2,2708.6659,1
430409991771992,89001,2,201209,46,-0.01,22,45940,35,1,2649.6680,1
440943093337109,90001,2,201209,46,-0.01,22,35620,19,1,2962.3142,2
850844094938739,90001,2,201209,46,-0.01,22,35620,48,1,3098.4744,1
850844094938739,90001,4,201209,46,-0.01,22,35620,19,2,2714.9305,1
499800018720953,89001,2,201209,46,-0.01,22,35620,40,1,2500.4712,2
499760422530973,90001,3,201209,46,9.00,22,35620,18,1,2647.2787,1
397952706027667,91001,3,201209,46,-0.01,21,15380,50,1,3055.2365,1
160564094234099,89001,3,201209,46,-0.01,21,15380,21,2,3620.7693,1
935086604349290,89001,1,201209,46,-0.01,21,15380,49,1,2972.1180,1
395944009009689,89001,1,201209,46,-0.01,21,15380,38,2,3314.1303,1
679400399980973,90001,5,201209,46,-0.01,21,15380,19,1,3095.8574,2
619760647270983,90001,1,201209,46,-0.01,21,35620,67,1,6297.6496,1
763252038904291,90001,2,201209,46,-0.01,21,35620,60,1,2798.7658,1
770666090534849,89001,1,201209,46,-0.01,21,35620,55,1,3079.5194,1
770666090534849,89001,3,201209,46,-0.01,21,35620,18,2,3070.6168,1
366349780409303,90001,1,201209,46,-0.01,21,35620,46,1,3201.7481,1
990266099333869,89002,1,201209,46,20.00,21,35620,27,2,3513.2214,1
305091600080691,91001,1,201209,46,-0.01,21,35620,36,1,3130.0809,1
970364097432149,91001,2,201209,46,-0.01,21,35620,50,1,3919.7790,1
390982408016699,91001,3,201209,46,-0.01,21,35620,21,1,3522.6659,1
392954701084692,89001,4,201209,46,-0.01,21,35620,21,1,4625.9992,2
763914074909494,89001,2,201209,46,-0.01,21,35620,38,1,3327.9141,1
963283085900391,89001,1,201209,46,-0.01,21,35620,46,1,3741.6484,1
963283085900391,89001,2,201209,46,-0.01,21,35620,41,1,3229.2066,1
963283087906391,90001,3,201209,46,5.00,21,35620,29,2,3626.7302,1
679670044870933,89001,3,201209,46,7.25,21,35620,19,1,3360.0150,1
407908423897836,90001,3,201209,46,-0.01,21,35620,22,1,4127.5346,1
203905633599916,89001,2,201209,46,2.00,21,35620,21,2,3575.0870,1
086273460980395,89001,3,201209,46,-0.01,21,35620,26,2,3331.6074,1
039323660919798,89001,4,201209,46,-0.01,21,35620,18,2,4866.5800,1
824961054904598,89001,1,201209,46,-0.01,23,38300,31,2,2818.8763,1
299920317620974,90001,5,201209,46,7.25,23,11020,32,1,3357.5424,1
630920092047069,90001,2,201209,46,8.50,23,38300,18,2,3996.2618,1
042490639200962,89001,1,201209,46,-0.01,23,37980,20,1,3599.6329,1
107904884895412,90001,3,201209,46,10.00,23,25420,58,1,2756.7568,1
240209932349893,91001,3,201209,46,-0.01,23,37980,24,1,3182.7393,1
850722091145769,89001,1,201209,46,-0.01,23,37980,48,2,3336.7333,1
470929060145909,89001,3,201209,46,-0.01,23,0,21,2,3240.4423,1
210950436300064,89001,1,201209,46,-0.01,23,10900,41,1,2572.3768,2
972419570879404,90001,4,201209,46,7.80,23,10900,17,2,4155.2072,1
424659064909395,89001,3,201209,46,-0.01,23,0,17,2,3021.8286,1
062314520997991,89001,1,201209,46,-0.01,23,37980,31,1,3412.0350,1
995042843489920,90001,1,201209,46,-0.01,23,37980,34,1,2938.1647,1
394981707082408,91001,1,201209,46,-0.01,22,36140,34,2,2834.0209,1
394981707082408,91001,2,201209,46,-0.01,22,36140,31,2,3267.3695,1
663938078907493,90001,1,201209,46,-0.01,21,35620,27,1,5063.7366,1
530609972548331,89001,2,201209,46,-0.01,21,35620,27,1,3793.9930,1
309067705090611,90001,1,201209,46,13.50,21,0,27,1,3068.7993,1
035395519600898,89001,2,201209,46,8.00,21,10580,21,1,3877.2433,1
035395519600898,89001,4,201209,46,8.35,21,10580,19,1,2999.9576,1
840209959917874,90001,4,201209,46,-0.01,23,25420,38,1,3033.8087,1
498961100015228,91001,1,201209,46,-0.01,23,37980,64,2,2982.1158,1
124542017906897,90001,1,201209,46,11.00,23,37980,66,2,3067.9820,1
812179440219408,89001,3,201209,46,-0.01,23,29540,23,1,3454.6433,2
040929091943379,89001,3,201209,46,-0.01,23,37980,19,-1,3906.7693,3
086991830986394,90001,1,201209,46,-0.01,58,12060,47,1,2728.0629,1
