HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399420615360611,91001,3,201208,46,-0.01,58,0,34,2,3803.5039,1
310100554170041,89001,3,201208,46,-0.01,58,42340,16,2,2795.5261,1
028023169120020,89002,1,201208,46,-0.01,58,12060,53,1,4437.1726,2
194974709013359,89001,1,201208,46,-0.01,58,12060,19,2,3146.8649,1
710309927080069,90001,3,201208,46,-0.01,58,12060,19,2,3447.0724,1
100531098218049,90001,1,201208,46,-0.01,58,12060,23,1,3097.6810,1
998003948179830,90001,2,201208,46,-0.01,58,16860,36,2,3085.5453,1
300938098817499,90001,1,201208,46,-0.01,58,16860,33,2,2946.9397,1
843961056909568,90001,2,201208,46,-0.01,22,35620,40,1,3985.5212,2
967094806369560,90001,3,201208,46,-0.01,22,35620,23,1,3238.0367,2
967094806369560,90001,4,201208,46,7.50,22,35620,21,2,3417.9309,1
943606077906695,90001,4,201208,46,-0.01,22,35620,18,2,3795.7592,1
085963340990198,89001,1,201208,46,-0.01,22,37980,42,1,4371.1606,1
943126066907690,90001,3,201208,46,9.00,22,37980,19,1,2971.3167,1
440943093337109,90001,2,201208,46,-0.01,22,35620,19,1,3018.3171,2
704239710269304,91001,2,201208,46,-0.01,22,35620,26,1,3267.7880,1
850844094938739,90001,2,201208,46,-0.01,22,35620,48,2,3228.6541,1
850844094938739,90001,4,201208,46,-0.01,22,35620,19,2,2666.0303,1
992034979359280,89001,2,201208,46,-0.01,22,35620,20,1,3191.5531,1
393991802003458,91001,1,201208,46,-0.01,22,35620,46,2,3023.7016,2
230409980950274,89001,6,201208,46,-0.01,22,35620,47,2,2879.1254,2
844889520359309,89001,3,201208,46,-0.01,22,35620,22,1,2887.3020,2
060563090632229,89002,1,201208,46,10.00,21,15380,60,1,2631.3647,1
963983043906990,89001,3,201208,46,-0.01,21,15380,28,1,2897.8332,1
395944009009689,89001,1,201208,46,-0.01,21,15380,38,2,3477.8733,1
045393560997894,89001,3,201208,46,-0.01,21,15380,22,2,3354.0917,2
730399089600193,89001,1,201208,46,-0.01,21,35620,47,1,3212.2525,1
688250624900963,90001,1,201208,46,5.70,21,35620,26,1,2710.1869,1
178390759600566,90001,1,201208,46,-0.01,21,35620,40,1,3826.0478,1
016392789600112,91001,2,201208,46,-0.01,21,35620,22,1,3550.7554,1
102904873295106,89001,3,201208,46,-0.01,21,35620,21,1,4830.4032,1
990266099333869,89002,1,201208,46,-0.01,21,35620,27,2,3467.6968,1
042893160998798,91001,1,201208,46,-0.01,21,45060,48,1,3177.5787,1
908909363798676,90001,1,201208,46,-0.01,21,45060,27,2,3081.1292,1
035333660934093,90001,1,201208,46,-0.01,21,35620,44,2,3722.8067,1
426179170319304,90001,1,201208,46,-0.01,21,35620,25,1,2788.7590,2
679230551050973,90001,3,201208,46,-0.01,21,35620,18,2,3389.1105,1
210330596600084,90001,1,201208,46,-0.01,23,39740,50,1,2861.6345,1
210330596600084,90001,2,201208,46,-0.01,23,39740,53,1,2973.3449,1
210330596600084,90001,3,201208,46,-0.01,23,39740,22,1,3302.4966,1
