HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
410309924959795,89002,2,201207,46,-0.01,58,0,21,2,4949.4977,2
410309924959795,89002,4,201207,46,-0.01,58,0,22,1,3663.3416,1
410309924959795,89002,5,201207,46,-0.01,58,0,23,1,3663.3416,1
197936000099339,90001,1,201207,46,-0.01,58,42340,20,2,4293.7974,1
086991830986394,90001,1,201207,46,-0.01,58,12060,46,1,2749.6525,1
831040038907091,90001,1,201207,46,-0.01,58,12060,27,1,4468.0909,1
980132009812530,89001,2,201207,46,-0.01,58,17980,42,1,3097.2884,1
103970520530101,89003,2,201207,46,-0.01,58,12060,32,1,4093.6296,1
057473440984590,89001,3,201207,46,-0.01,22,12100,21,2,3192.6250,1
057473440984590,89001,4,201207,46,-0.01,22,12100,17,2,2679.8687,1
943126066907690,90001,3,201207,46,-0.01,22,37980,19,1,3015.8947,1
392945502026418,90001,2,201207,46,-0.01,22,37980,23,-1,3703.1836,3
392945502026418,90001,3,201207,46,10.00,22,37980,21,1,3644.3876,1
380394439400731,90001,1,201207,46,-0.01,22,35620,27,1,3922.0903,1
380394439400731,90001,2,201207,46,-0.01,22,35620,22,1,3499.8621,1
380394439400731,90001,3,201207,46,-0.01,22,35620,32,1,3101.8264,1
794059210389304,89001,2,201207,46,7.50,22,35620,20,1,3871.8136,1
399975505099498,90001,1,201207,46,7.75,22,35620,20,1,4203.7518,1
160564094234099,89001,3,201207,46,-0.01,21,15380,21,2,3975.4669,1
689310222750963,90001,1,201207,46,-0.01,21,35620,26,1,2819.4009,1
986409410889303,89001,1,201207,46,5.00,21,45060,31,1,2909.1230,1
986409410889303,89001,2,201207,46,9.50,21,45060,31,1,2939.2408,1
609740494710983,90001,2,201207,46,-0.01,21,35620,36,1,3540.2055,1
746309010649306,89002,1,201207,46,9.00,21,35620,85,1,2960.8151,1
981036687369280,90001,2,201207,46,-0.01,21,35620,50,1,4042.8623,1
042490639200962,89001,1,201207,46,-0.01,23,37980,20,1,3536.2977,1
462464119200917,90001,3,201207,46,-0.01,23,0,16,2,3228.5555,1
301005264105862,89001,2,201207,46,20.50,23,0,57,1,2929.0348,1
628492659200748,89001,2,201207,46,-0.01,23,10900,46,1,2924.9328,1
495922606048287,89001,5,201207,46,-0.01,23,10900,19,2,2986.0755,1
270925096447499,90001,1,201207,46,-0.01,23,10900,46,1,2883.9269,1
270925096447499,90001,2,201207,46,-0.01,23,10900,39,1,3410.8958,1
967052981459070,90001,1,201207,46,-0.01,23,42540,24,1,3875.9404,1
289090977200964,90001,1,201207,46,-0.01,23,42540,68,2,2818.4564,1
850727092441169,89001,1,201207,46,17.25,23,37980,43,1,3982.5338,1
952229310619400,89001,3,201207,46,8.25,23,37980,18,2,3524.3201,1
972419570879404,90001,4,201207,46,-0.01,23,10900,16,2,3904.5031,1
289330493800964,90001,4,201207,46,-0.01,23,37980,25,1,3171.6536,1
289330493800964,90001,5,201207,46,-0.01,23,37980,20,2,3513.7627,1
424884034909292,89001,5,201207,46,-0.01,23,0,16,2,2795.0059,1
140209935584567,89001,2,201207,46,7.35,23,38300,17,2,3242.4501,1
981073944139570,89002,1,201207,46,-0.01,58,10500,29,1,3434.1447,1
983044839369780,90001,3,201207,46,-0.01,22,37980,23,1,2911.0045,1
916054995379640,90001,4,201207,46,-0.01,22,35620,21,1,3799.2520,1
905908743899126,90001,3,201207,46,-0.01,21,39100,21,1,3408.4034,2
110465092735479,90001,2,201207,46,10.00,21,35620,19,1,3067.6070,1
299200066300974,90001,1,201207,46,-0.01,23,38300,63,2,2922.9366,1
982619770689406,90001,1,201207,46,-0.01,23,10900,51,1,2955.3706,2
937052982479900,90001,1,201207,46,-0.01,23,42540,29,1,4372.7613,2
279700985580934,89001,3,201207,46,-0.01,23,37980,17,2,4116.0470,1
028023169120020,89002,1,201207,46,-0.01,58,12060,53,1,5099.6900,2
021571730698894,90001,3,201207,46,-0.01,58,12060,40,2,3340.8849,1
610033945119810,89001,1,201207,46,7.25,58,0,77,2,2705.1354,1
208905861999853,90001,4,201207,46,-0.01,58,46660,17,2,2963.4448,1
162915001017389,90001,3,201207,46,-0.01,58,17980,38,1,4089.5298,2
943606077906695,90001,4,201207,46,-0.01,22,35620,18,1,2921.1108,1
714589650469304,90001,1,201207,46,-0.01,22,37980,59,1,2583.8801,1
543869095908695,90001,1,201207,46,15.00,22,37980,58,1,2583.8801,1
009093140975291,89001,1,201207,46,12.00,22,35620,34,1,2995.1477,1
009093140975291,89001,2,201207,46,8.00,22,35620,18,2,3686.3750,1
440943093337109,90001,2,201207,46,-0.01,22,35620,19,1,2807.5032,2
971054889349530,89001,2,201207,46,-0.01,22,35620,31,1,3101.8264,1
910843090938069,90001,3,201207,46,-0.01,22,35620,21,1,3499.8621,1
230409980950274,89001,6,201207,46,-0.01,22,35620,47,2,2902.5377,2
306908453999854,90001,1,201207,46,-0.01,22,35620,69,1,2809.7205,1
306908453999854,90001,2,201207,46,-0.01,22,35620,38,1,2806.7016,1
004903153799986,89001,1,201207,46,-0.01,21,35620,25,2,5908.0285,2
004903153799986,89001,6,201207,46,-0.01,21,35620,27,1,4852.5275,1
963480001905995,89001,3,201207,46,5.00,21,15380,21,1,3291.0071,1
727395679600726,89001,1,201207,46,-0.01,21,15380,54,1,2855.0622,1
727395679600726,89001,3,201207,46,-0.01,21,15380,18,2,2947.0201,1
679400399980973,90001,5,201207,46,-0.01,21,15380,19,2,2572.2975,1
302045708031651,90001,1,201207,46,-0.01,21,35620,30,1,2949.3275,1
763252038904291,90001,2,201207,46,-0.01,21,35620,60,1,3390.4875,1
786949130329301,89001,3,201207,46,-0.01,21,40380,41,2,2713.0569,1
263144008909895,90001,2,201207,46,-0.01,21,40380,28,1,3382.8480,1
398931501077686,89001,2,201207,46,5.00,21,35620,28,2,3226.2544,1
610910190000063,90001,1,201207,46,-0.01,21,35620,35,1,3369.3220,1
990266099333869,89002,1,201207,46,-0.01,21,35620,27,2,3612.1939,2
069633460908999,89001,2,201207,46,-0.01,21,35620,24,2,6066.4362,1
398914506067682,89001,1,201207,46,-0.01,21,35620,36,2,4450.6862,1
563855094904996,89001,2,201207,46,-0.01,21,35620,51,1,3104.2094,1
816169720919301,89001,3,201207,46,-0.01,21,45060,16,1,3133.9452,1
426398809600919,89001,1,201207,46,-0.01,21,35620,35,2,3161.2579,1
163214073001301,89001,1,201207,46,-0.01,21,35620,22,1,3296.7063,1
286949050689301,90001,1,201207,46,25.00,21,35620,44,1,2321.5104,1
830609981829343,90001,1,201207,46,-0.01,21,35620,23,2,3950.0113,1
463454058909493,90001,3,201207,46,-0.01,21,0,17,2,3482.4036,1
130609913888589,89001,2,201207,46,-0.01,21,35620,47,1,3485.7464,1
130609913888589,89001,3,201207,46,8.25,21,35620,21,2,3598.1865,1
203905633599916,89001,2,201207,46,-0.01,21,35620,21,2,3243.4308,1
086273460980395,89001,3,201207,46,-0.01,21,35620,26,2,3700.2704,1
020113660967798,90001,3,201207,46,-0.01,21,35620,21,2,3596.6241,1
989036529389360,90001,6,201207,46,-0.01,21,35620,21,1,4723.8222,2
051773860984192,90001,3,201207,46,-0.01,21,35620,23,1,4296.2035,1
689066997359500,90001,1,201207,46,-0.01,21,28740,41,1,2819.3791,2
002905813496076,89001,1,201207,46,-0.01,21,35620,55,1,3410.2126,1
392529440239400,89001,2,201207,46,-0.01,23,38300,58,1,2976.4195,1
967032962479960,90001,3,201207,46,-0.01,23,0,22,2,3893.0224,1
494958209075299,90001,2,201207,46,-0.01,23,0,52,1,2900.9763,1
210330596600084,90001,1,201207,46,-0.01,23,39740,50,1,2952.2935,1
210330596600084,90001,2,201207,46,-0.01,23,39740,53,1,2941.9343,1
210330596600084,90001,3,201207,46,-0.01,23,39740,22,1,3376.8045,1
630920092047069,90001,2,201207,46,-0.01,23,38300,18,2,3985.7403,1
