HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
967033962139960,89002,3,201206,46,-0.01,58,0,20,2,3982.4273,1
967033962139960,89002,4,201206,46,-0.01,58,0,21,2,3626.0641,1
231159072909762,89001,3,201206,46,-0.01,58,12060,20,2,4848.8055,1
085963340990198,89001,1,201206,46,-0.01,22,37980,42,1,4908.8001,1
966094926359010,90001,1,201206,46,-0.01,22,37980,27,1,3796.2719,1
007901033891224,90001,2,201206,46,-0.01,22,35620,51,1,3047.9753,2
397906308016489,90001,4,201206,46,-0.01,22,35620,17,2,3433.9567,1
734389010759302,89001,3,201206,46,-0.01,22,35620,17,2,3556.8795,1
734389010759302,89001,5,201206,46,-0.01,22,35620,16,2,3556.8795,1
908054942359380,90001,1,201206,46,-0.01,22,35620,57,1,3174.5685,1
908054942359380,90001,2,201206,46,-0.01,22,35620,38,1,5081.9791,1
908054942359380,90001,3,201206,46,-0.01,22,35620,38,1,3612.5156,1
543767078907394,88001,2,201206,46,2.07,22,35620,41,1,2875.4630,1
783397549400776,88001,2,201206,46,10.50,22,35620,50,1,2385.1842,1
994066502349410,90001,1,201206,46,-0.01,21,15380,57,1,3139.6768,1
130609976742667,89001,1,201206,46,-0.01,21,35620,56,2,2797.6595,1
619720341850963,90001,3,201206,46,-0.01,21,35620,34,1,4255.6349,2
689310222750963,90001,1,201206,46,-0.01,21,35620,26,1,2831.5383,1
990266099333869,89002,1,201206,46,-0.01,21,35620,27,2,3687.1961,1
986409410889303,89001,1,201206,46,-0.01,21,45060,31,1,2938.8375,1
986409410889303,89001,2,201206,46,-0.01,21,45060,31,1,3046.6818,1
323390539610234,89011,1,201206,46,-0.01,21,35620,29,1,4283.6342,1
900865096838909,88001,1,201206,46,12.00,21,35620,64,1,3452.4141,1
822869560869404,90001,3,201206,46,-0.01,23,10900,23,2,3010.6192,1
720490799200969,89001,4,201206,46,-0.01,23,42540,24,1,3150.5294,1
289090977200964,90001,1,201206,46,-0.01,23,42540,68,2,2768.0652,1
289330493800964,90001,4,201206,46,-0.01,23,37980,25,1,3232.8742,1
140209935584567,89001,2,201206,46,-0.01,23,38300,17,2,3094.9294,1
080134006212230,89001,1,201206,46,-0.01,58,12060,23,1,5151.2792,1
983044839369780,90001,3,201206,46,-0.01,22,37980,23,1,3453.6380,1
430409991771992,90001,4,201206,46,-0.01,22,45940,19,-1,3191.8860,3
402906283991024,89001,1,201206,46,-0.01,22,35620,44,2,3150.4444,1
402906283991024,89001,2,201206,46,-0.01,22,35620,55,1,3237.8861,1
402906283991024,89001,4,201206,46,-0.01,22,35620,18,2,3433.9567,1
669100701300983,88001,4,201206,46,-0.01,21,35620,19,1,4683.2726,2
118309670600178,89001,1,201206,46,-0.01,21,35620,40,2,3114.7096,1
108904873995106,88001,2,201206,46,-0.01,21,35620,39,2,3975.9113,1
167499689200950,90001,3,201206,46,-0.01,23,0,16,2,2975.7378,1
406901644493402,90001,3,201206,46,-0.01,23,38300,21,1,3216.9317,1
240209941488591,89001,2,201206,46,-0.01,23,25420,28,2,2728.7458,1
427461879200931,89001,3,201206,46,-0.01,23,0,17,2,3049.8634,1
299440792870954,90001,1,201206,46,-0.01,23,10900,18,1,3639.7181,1
497952206049284,89001,1,201206,46,-0.01,23,37980,50,1,2494.9513,1
943329420546100,89001,1,201206,46,-0.01,58,0,23,2,4075.4987,1
906901881996023,90001,3,201206,46,-0.01,58,0,20,2,4075.4987,1
399400399980911,89001,2,201206,46,-0.01,58,42340,20,1,3823.5403,2
210309952098493,89002,3,201206,46,-0.01,58,42340,19,2,4601.0778,1
001451430017501,90001,3,201206,46,9.25,58,42340,17,2,3096.8140,1
110309919688886,89001,1,201206,46,-0.01,58,12060,56,1,2547.9934,1
110309919688886,89001,2,201206,46,-0.01,58,12060,35,1,2820.0663,1
028023169120020,89002,1,201206,46,-0.01,58,12060,53,1,4944.1859,2
957053841149340,90001,1,201206,46,9.00,58,12060,44,2,3289.7953,1
957053841149340,90001,9,201206,46,11.00,58,12060,22,2,4539.2650,1
531441078909593,88001,1,201206,46,3.25,58,12060,21,2,4400.3990,1
310309958770986,89001,4,201206,46,-0.01,58,12060,21,2,4062.6017,1
189190059300744,88001,2,201206,46,-0.01,58,12060,34,1,3450.8758,2
981073944139570,89002,1,201206,46,-0.01,58,10500,29,2,3445.2131,1
214190759300552,89001,1,201206,46,-0.01,58,12060,39,1,3829.3728,1
983389430649104,89001,1,201206,46,-0.01,58,12060,22,1,4383.1493,2
019341630961698,90001,2,201206,46,-0.01,58,12060,17,2,5087.7278,1
993659550129102,90002,1,201206,46,-0.01,58,0,20,2,3329.5672,1
993659550129102,90002,2,201206,46,-0.01,58,0,24,2,3329.5672,1
072551130991093,89001,1,201206,46,-0.01,58,12060,40,1,3063.7432,1
072551130991093,89001,3,201206,46,-0.01,58,12060,43,1,2686.8776,1
045073110180200,88001,2,201206,46,-0.01,58,46660,19,1,2266.2167,2
300938098817499,90001,1,201206,46,-0.01,58,16860,33,2,3161.5978,1
520545096034799,90001,3,201206,46,8.50,22,35620,19,2,4372.7383,1
520545096034799,90001,5,201206,46,8.50,22,35620,16,2,4372.7383,1
499750157720953,90001,3,201206,46,-0.01,22,35620,56,1,2620.5637,1
706902573791754,90001,4,201206,46,-0.01,22,35620,24,1,3448.1906,1
706902573791754,90001,5,201206,46,-0.01,22,35620,22,2,3448.1906,1
967094806369560,90001,4,201206,46,-0.01,22,35620,20,2,3448.1906,1
943606077906695,90001,4,201206,46,-0.01,22,35620,18,2,2994.7707,1
943606077906695,90001,7,201206,46,-0.01,22,35620,18,2,3212.7776,2
824119340479305,90001,3,201206,46,8.00,22,37980,17,2,3294.0174,1
392945502026418,90001,3,201206,46,-0.01,22,37980,21,2,3744.1396,1
009093140975291,89001,1,201206,46,-0.01,22,35620,34,1,3069.3858,1
009093140975291,89001,2,201206,46,-0.01,22,35620,18,2,3674.0353,1
074123440017608,90001,1,201206,46,-0.01,22,35620,26,2,3278.4254,1
074123440017608,90001,2,201206,46,15.50,22,35620,28,1,3278.4254,1
440943093337109,90001,2,201206,46,-0.01,22,35620,19,1,2840.7817,2
305900983894524,90001,3,201206,46,-0.01,22,35620,17,2,3395.0422,2
055793440988391,90001,3,201206,46,-0.01,22,35620,25,1,3952.5354,1
399975505099498,90001,1,201206,46,-0.01,22,35620,20,1,4511.5775,1
230409980950274,89001,6,201206,46,-0.01,22,35620,47,2,3086.8628,2
763215013905493,89001,2,201206,46,-0.01,21,35620,18,2,2637.8542,1
