HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
531539004909196,90001,2,201205,46,-0.01,58,42340,50,1,3022.7609,1
981073944139570,90001,1,201205,46,7.95,58,10500,51,2,3285.0936,1
948003502189110,88002,1,201205,46,-0.01,58,12060,27,1,4167.0707,1
767396839600931,90001,3,201205,46,-0.01,21,39100,26,2,3146.9380,1
727395679600726,89001,1,201205,46,-0.01,21,15380,53,1,2826.9514,1
727395679600726,89001,3,201205,46,-0.01,21,15380,18,1,2645.5374,1
994066502349410,90001,1,201205,46,-0.01,21,15380,57,1,3246.9815,1
053703160978694,89001,2,201205,46,-0.01,21,35620,23,1,3388.1249,2
057863260966091,89001,1,201205,46,-0.01,21,35620,66,2,3388.7878,1
763252033905291,90001,1,201205,46,2.87,21,35620,20,2,4594.7550,1
280960090233859,90001,1,201205,46,9.00,21,35620,36,2,2951.6926,1
053703760948694,88001,2,201205,46,1.01,21,35620,40,1,3108.0314,1
053703760948694,88001,6,201205,46,12.25,21,35620,50,1,2575.4842,1
770266090531849,89001,2,201205,46,-0.01,21,35620,36,1,5558.7979,1
035333660934093,90001,1,201205,46,-0.01,21,35620,44,2,4027.3801,1
395997600080690,88001,1,201205,46,-0.01,21,35620,49,1,3001.6708,1
909012463439490,90001,1,201205,46,12.00,23,38300,23,1,4387.9082,1
909012463439490,90001,4,201205,46,-0.01,23,38300,18,-1,3491.8774,3
067564420017109,90001,5,201205,46,-0.01,23,38300,21,2,4202.2063,1
901908994893402,89001,1,201205,46,-0.01,23,37980,57,1,3085.7616,1
499903705023288,90001,3,201205,46,-0.01,23,42540,45,2,2986.6726,1
493953201006225,90001,1,201205,46,-0.01,23,37980,49,1,2841.3444,2
992719650329401,90001,6,201205,46,-0.01,23,37980,33,2,3567.5848,1
992719650329401,90001,7,201205,46,-0.01,23,37980,34,2,4639.2690,1
