"HRHHID","HRHHID2","OCCURNUM","YYYYMM","PRDTIND1","PTERNHLY","GESTCEN","GTCBSA","PRTAGE","PRFTLF","PWCMPWGT","PRMLR"
"1",0,0,0,201204,46,-0.01,58,31420,28,1,3839.4907,2
"2",0,0,0,201204,46,-0.01,58,42340,44,1,3142.4501,1
"3",0,0,0,201204,46,-0.01,58,42340,29,1,3069.9597,1
"4",0,0,0,201204,46,-0.01,58,42340,50,1,2872.462,1
"5",0,0,0,201204,46,7.25,58,12060,20,1,4092.0673,1
"6",0,0,0,201204,46,-0.01,58,12020,24,2,3972.7498,1
"7",0,0,0,201204,46,-0.01,58,12060,21,2,4642.7889,1
"8",0,0,0,201204,46,7,58,12060,19,2,3713.861,1
"9",0,0,0,201204,46,7,58,12060,20,2,4377.9574,1
"10",0,0,0,201204,46,-0.01,58,10500,51,2,3180.2496,1
"11",0,0,0,201204,46,-0.01,58,12060,50,1,3929.4721,1
"12",0,0,0,201204,46,14,22,12100,58,1,3235.1967,1
"13",0,0,0,201204,46,-0.01,22,35620,61,1,2994.7158,1
"14",0,0,0,201204,46,-0.01,22,35620,19,2,4060.9938,1
"15",0,0,0,201204,46,-0.01,22,35620,16,2,4060.9938,1
"16",0,0,0,201204,46,-0.01,22,37980,71,1,3082.3085,2
"17",0,0,0,201204,46,-0.01,22,35620,33,1,3267.1487,2
"18",0,0,0,201204,46,-0.01,22,45940,18,2,3947.8882,2
"19",0,0,0,201204,46,-0.01,22,35620,25,1,3359.5309,1
"20",0,0,0,201204,46,-0.01,22,35620,38,1,4995.9531,1
"21",0,0,0,201204,46,-0.01,22,35620,38,1,3898.5063,1
"22",0,0,0,201204,46,7.25,22,35620,17,2,3046.1235,1
"23",0,0,0,201204,46,-0.01,22,35620,55,1,2721.6534,1
"24",0,0,0,201204,46,-0.01,22,35620,56,1,2636.8993,1
"25",0,0,0,201204,46,7.25,22,35620,18,2,3046.1235,1
"26",0,0,0,201204,46,-0.01,21,35620,25,1,3173.827,1
"27",0,0,0,201204,46,-0.01,21,35620,51,2,3219.7017,1
"28",0,0,0,201204,46,-0.01,21,35620,20,1,4839.5561,1
"29",0,0,0,201204,46,-0.01,21,35620,23,1,4013.6719,2
"30",0,0,0,201204,46,-0.01,21,35620,36,2,3237.1602,1
"31",0,0,0,201204,46,-0.01,21,35620,51,1,2462.8043,1
"32",0,0,0,201204,46,8.5,21,40380,20,1,4016.5367,1
"33",0,0,0,201204,46,-0.01,21,40380,19,2,3098.0453,1
"34",0,0,0,201204,46,-0.01,21,35620,42,1,3554.9214,1
"35",0,0,0,201204,46,-0.01,21,15380,29,1,4491.9704,2
"36",0,0,0,201204,46,-0.01,21,35620,29,1,2997.3593,1
"37",0,0,0,201204,46,-0.01,21,35620,31,1,2826.9998,1
"38",0,0,0,201204,46,-0.01,21,35620,31,1,2936.5827,1
"39",0,0,0,201204,46,-0.01,21,35620,25,1,3222.5437,1
"40",0,0,0,201204,46,-0.01,21,35620,49,1,2954.276,1
"41",0,0,0,201204,46,-0.01,21,35620,36,1,3355.9765,1
