HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
652043930129440,90001,1,201203,46,-0.01,58,0,21,2,3650.7058,1
652043930129440,90001,2,201203,46,-0.01,58,0,22,2,3650.7058,1
057841330994791,90001,1,201203,46,-0.01,58,10500,49,1,2844.0582,2
981073944139570,90001,1,201203,46,-0.01,58,10500,50,2,3087.7005,1
306900761995583,88001,2,201203,46,-0.01,58,12060,45,2,4044.5970,1
912074804329460,90001,1,201203,46,-0.01,22,12100,57,1,3231.6335,1
499370988430913,90001,4,201203,46,-0.01,22,37980,20,1,2761.8050,1
002033440984996,90001,2,201203,46,-0.01,22,35620,17,2,3823.1421,1
035023540994898,88001,1,201203,46,-0.01,22,35620,55,1,3215.3338,2
943665076909097,88001,3,201203,46,-0.01,22,35620,17,2,3217.9630,1
940941090031619,90001,3,201203,46,2.33,22,37980,20,2,2761.8050,1
994066502349410,90001,1,201203,46,-0.01,21,15380,56,1,3384.7371,1
659440219600943,90001,3,201203,46,-0.01,21,15380,22,2,4419.4657,1
280960090233859,90001,1,201203,46,-0.01,21,35620,36,2,2995.8765,1
863453075001102,88002,2,201203,46,-0.01,21,35620,38,1,3777.5133,1
254392959600160,88001,1,201203,46,11.00,21,35620,58,1,3142.2201,1
746779650729306,88001,1,201203,46,-0.01,21,35620,24,2,3508.8912,1
053703760948694,88001,2,201203,46,-0.01,21,35620,40,1,3342.7786,1
053703760948694,88001,6,201203,46,-0.01,21,35620,50,2,2498.7015,1
974036480379560,88001,1,201203,46,-0.01,21,35620,51,1,2498.7015,1
630609938402476,88001,2,201203,46,-0.01,21,40380,17,2,3452.1825,1
121398709600254,90001,1,201203,46,-0.01,21,35620,22,2,4074.6855,1
470569094932919,90002,2,201203,46,-0.01,21,35620,36,1,3569.4772,1
259450301230964,88001,1,201203,46,-0.01,23,38300,50,1,2816.9261,1
259450301230964,88001,2,201203,46,-0.01,23,38300,47,2,2546.3050,1
009094220985291,90001,2,201203,46,-0.01,23,37980,21,2,3266.6212,1
310822095848219,88001,1,201203,46,-0.01,23,42540,62,2,2773.9558,1
724244063908995,90001,1,201203,46,-0.01,23,10900,47,1,3164.1950,1
499903705023288,90001,3,201203,46,-0.01,23,42540,45,2,3076.5340,1
493953201006225,90001,1,201203,46,-0.01,23,37980,49,1,3296.0051,2
831868016907699,88001,3,201203,46,-0.01,58,12060,20,2,3796.2960,1
195926606048389,88001,3,201203,46,-0.01,58,12060,31,1,3285.3936,1
031152087908694,88002,2,201203,46,-0.01,58,12060,23,1,3904.6815,2
983044929339910,90001,2,201203,46,-0.01,22,45940,25,2,3155.3196,1
129395059400959,90001,3,201203,46,-0.01,22,37980,21,2,4439.2256,1
920066726319300,90001,5,201203,46,8.00,21,15380,16,2,3683.0740,1
397953706027665,90001,3,201203,46,-0.01,21,15380,22,2,3987.5895,1
530609900305330,88001,1,201203,46,-0.01,21,35620,55,1,3636.4756,2
530609900305330,88001,4,201203,46,-0.01,21,35620,63,-1,3398.0457,3
041034220966999,90001,3,201203,46,-0.01,23,38300,18,2,3390.3818,1
498993508015266,90001,3,201203,46,-0.01,23,38300,23,2,4234.3315,1
640206915835997,88001,2,201203,46,-0.01,23,0,64,2,2624.7141,1
027344120994396,90001,3,201203,46,3.00,23,0,48,2,2993.2795,1
912749710269405,90001,4,201203,46,5.75,23,42540,20,2,3098.7456,1
601906881898193,90001,2,201203,46,-0.01,58,12060,22,1,3553.5718,1
673889420829109,90001,2,201203,46,-0.01,58,12060,19,1,3945.9178,1
673889420829109,90001,3,201203,46,-0.01,58,12060,20,1,4468.7171,1
031523028909195,88001,3,201203,46,-0.01,58,12060,19,2,3995.5981,1
955023911159480,88001,2,201203,46,11.00,58,10500,53,1,4022.2137,1
310370505210041,90001,1,201203,46,-0.01,58,12060,31,2,3968.2719,1
963139670189101,88001,2,201203,46,-0.01,58,0,53,1,3849.0642,1
940074847349550,90001,1,201203,46,-0.01,22,12100,25,1,3753.8183,1
027693440989096,90001,3,201203,46,-0.01,22,35620,20,2,3804.7575,1
918044872369760,88001,1,201203,46,-0.01,22,35620,28,1,4797.4375,2
550942095937929,88001,1,201203,46,-0.01,22,35620,39,1,2880.4498,1
954609850799308,88001,4,201203,46,7.25,22,45940,16,2,2462.8063,1
043655055908595,88001,2,201203,46,3.00,22,35620,45,1,3027.0981,1
643995018909297,88001,1,201203,46,-0.01,22,35620,54,1,2590.7226,1
643995018909297,88001,2,201203,46,-0.01,22,35620,56,1,2765.8545,1
499740773560973,88001,1,201203,46,-0.01,22,35620,31,1,3619.0472,1
543767078907394,88001,2,201203,46,-0.01,22,35620,41,2,3119.0913,1
679610904480953,88001,1,201203,46,-0.01,21,35620,53,2,3408.4186,1
045393260967894,90001,2,201203,46,-0.01,21,15380,62,2,3181.9709,1
708907093999946,88001,5,201203,46,-0.01,21,15380,16,2,3077.9194,1
230609872548391,90001,1,201203,46,-0.01,21,35620,36,1,4582.1467,2
530609942195558,88001,1,201203,46,12.14,21,35620,30,1,7617.4970,1
008903903989786,88001,4,201203,46,-0.01,21,35620,51,2,2535.4123,1
957066759359820,88001,1,201203,46,-0.01,21,40380,32,1,3275.7524,2
053533460950692,90001,1,201203,46,-0.01,21,35620,52,1,2553.6980,1
547391689600268,90001,2,201203,46,-0.01,21,35620,31,1,3649.9164,1
976889410829309,90001,1,201203,46,-0.01,21,45060,85,-1,3120.8366,3
980086979359480,88001,3,201203,46,-0.01,21,45060,16,-1,3645.0826,3
880260094135969,88001,5,201203,46,9.00,21,35620,33,1,3477.0297,1
395997600080690,88001,1,201203,46,-0.01,21,35620,49,1,2713.8079,1
940165008936950,88001,2,201203,46,-0.01,21,35620,28,1,3767.6754,2
679040962990953,88001,3,201203,46,7.50,21,35620,17,2,3830.0672,1
394908618069619,88011,1,201203,46,-0.01,21,28740,68,1,3485.4851,1
392985103078688,88001,1,201203,46,-0.01,21,35620,51,1,3499.4771,1
086544420989291,90001,3,201203,46,-0.01,23,39740,21,1,4184.5213,1
527498119200944,90001,2,201203,46,-0.01,23,11020,21,2,4322.3999,1
440209952955992,90001,2,201203,46,-0.01,23,38300,27,1,3477.8552,1
880927091647669,88001,1,201203,46,-0.01,23,10900,35,1,3596.6907,1
299470317810954,88001,1,201203,46,9.50,23,0,26,1,2747.9052,1
299470317810954,88001,2,201203,46,9.25,23,0,33,1,2761.9745,1
147490499200793,90001,1,201203,46,-0.01,23,37980,35,1,3245.5265,1
980491619200793,88002,2,201203,46,-0.01,23,37980,23,1,4395.8943,1
967072599489780,88002,1,201203,46,-0.01,23,37980,38,1,3125.1246,1
050825093748779,88001,1,201203,46,-0.01,23,38300,40,1,3106.2085,1
050825093748779,88001,3,201203,46,-0.01,23,38300,21,2,4206.3841,1
050825093748779,88001,4,201203,46,-0.01,23,38300,18,2,3457.9017,1
230409961804994,90001,2,201203,46,-0.01,22,37980,20,2,4956.0738,1
763215017906493,88001,2,201203,46,-0.01,21,35620,29,1,3024.6683,2
986939370349305,88002,1,201203,46,-0.01,21,0,28,2,3120.3271,1
912459750749407,88001,3,201203,46,-0.01,23,0,20,-1,3298.3226,3
912459750749407,88001,4,201203,46,8.00,23,0,18,2,2814.9426,1
927490199200933,90001,1,201203,46,-0.01,23,38300,42,1,2967.7546,1
927490199200933,90001,2,201203,46,-0.01,23,38300,36,1,2846.2509,1
902039650989407,88001,3,201203,46,12.50,23,42540,33,2,2779.5783,1
410309915950599,90001,1,201203,46,-0.01,58,12260,41,1,2763.3403,2
389730145540941,90001,1,201203,46,-0.01,58,12060,26,1,4529.5097,2
379060391350971,88001,1,201203,46,-0.01,58,12060,24,2,4303.0846,1
173060540500109,90001,3,201203,46,-0.01,58,12060,60,2,4085.4963,1
007009971105623,88001,2,201203,46,-0.01,58,0,34,1,3236.2552,1
402902151992243,90001,2,201203,46,-0.01,58,47580,26,1,3059.0819,2
399810171640951,88001,5,201203,46,2.00,58,17980,24,2,3388.3457,1
190915104045388,88001,4,201203,46,-0.01,58,12060,27,1,3194.5785,2
710300067446414,88001,1,201203,46,-0.01,58,12060,53,1,3745.6208,1
961194189300913,88001,1,201203,46,-0.01,58,12060,20,1,3765.5377,1
830409905457794,88001,3,201203,46,-0.01,22,12100,24,2,4832.9420,1
020945094333319,90001,3,201203,46,-0.01,22,35620,24,1,3546.6352,1
940084761339220,90001,1,201203,46,-0.01,22,35620,29,1,3155.3196,1
043951026907496,88002,1,201203,46,-0.01,22,35620,21,1,3902.2808,1
396957005091438,88001,1,201203,46,-0.01,22,35620,31,1,3533.1485,2
430409987835898,90001,3,201203,46,-0.01,22,35620,18,2,3732.2815,1
840941094533549,90001,1,201203,46,-0.01,22,35620,26,1,4488.7650,2
840941094533549,90001,2,201203,46,-0.01,22,35620,32,1,3619.0472,1
463147056909797,88001,2,201203,46,-0.01,21,10580,45,1,3426.1587,1
407901273695136,88001,1,201203,46,-0.01,21,35620,51,2,2853.9187,1
390907103071608,88001,4,201203,46,-0.01,21,35620,20,1,4304.4553,1
689510487140983,88001,5,201203,46,-0.01,21,0,20,2,3571.2918,1
600965095537559,88001,2,201203,46,-0.01,21,39100,54,1,2986.0504,1
450269098035059,88001,2,201203,46,8.00,21,35620,19,2,3548.1255,1
450269098035059,88001,4,201203,46,-0.01,21,35620,32,1,4575.1626,1
771394828600835,88001,1,201203,46,-0.01,21,35620,25,2,2850.1361,1
907006039389890,88001,2,201203,46,-0.01,21,35620,68,1,3481.3655,1
230609941982193,90001,1,201203,46,-0.01,21,40380,48,2,3078.3286,1
306023902030621,90001,3,201203,46,-0.01,21,40380,25,1,5509.4190,1
766029530539303,90001,2,201203,46,-0.01,21,35620,53,2,2986.0504,1
790862098232409,90001,2,201203,46,-0.01,21,40380,19,2,3238.2131,1
933056443319300,90001,1,201203,46,13.00,21,35620,33,1,6460.4343,1
230619933405323,90011,2,201203,46,-0.01,21,35620,48,1,2510.4797,1
630609974197444,88001,1,201203,46,-0.01,21,35620,64,2,3567.5161,1
630609974197444,88001,4,201203,46,-0.01,21,35620,20,2,4713.7433,1
699960751770913,90001,2,201203,46,7.25,21,28740,23,2,4089.9857,1
393961408057688,90001,1,201203,46,-0.01,21,40380,23,1,4403.7630,2
324891014909395,90001,3,201203,46,-0.01,23,0,16,2,3519.2533,1
440209994691320,90001,2,201203,46,-0.01,23,38300,45,1,2805.1358,1
299940390160954,88001,5,201203,46,9.00,23,38300,22,2,3227.8038,1
015754520990994,88001,1,201203,46,9.50,23,38300,41,2,2831.9883,1
706903844994972,88001,1,201203,46,-0.01,23,0,38,1,2793.0784,2
063062105480390,88001,1,201203,46,-0.01,23,39740,42,1,3113.5499,1
450921093541199,90001,1,201203,46,-0.01,23,11020,33,1,2644.2317,1
067564420017109,90001,5,201203,46,-0.01,23,38300,20,2,4085.5322,1
140925097843119,90001,2,201203,46,-0.01,23,27780,22,2,4285.3160,1
206902064994372,88001,1,201203,46,-0.01,23,10900,43,2,2672.6296,1
902799470799409,88261,1,201203,46,-0.01,23,37980,32,2,3521.4813,1
469938302013289,88001,1,201203,46,-0.01,23,0,45,1,3147.1778,1
029384820963493,88001,2,201203,46,-0.01,23,37980,20,1,4269.5976,1
701901184893472,90001,1,201203,46,-0.01,23,0,28,1,3011.6113,1
269910910630944,90001,2,201203,46,-0.01,23,37980,47,2,3231.6305,1
852229360619400,88001,4,201203,46,-0.01,23,37980,36,1,2888.1337,1
305909354694392,88002,1,201203,46,3.33,23,37980,20,2,3556.1305,1
067644520017605,88001,1,201203,46,-0.01,23,38300,41,1,2783.3893,1
499914602099269,90001,2,201203,46,-0.01,23,49620,19,2,3483.9016,1
390993409039686,90001,4,201203,46,-0.01,21,15380,17,1,3830.6590,1
340209924593052,90001,2,201203,46,-0.01,23,38300,28,2,3767.1394,1
912589610469404,90001,3,201203,46,7.25,23,38300,18,2,2765.8693,1
497905603076238,88001,2,201203,46,-0.01,23,10900,56,1,2734.0183,1
497905603076238,88001,3,201203,46,17.00,23,10900,28,1,2765.4194,1
406603601993473,88001,1,201203,46,-0.01,58,12020,24,2,3505.2189,1
957053841149340,90001,1,201203,46,-0.01,58,12060,44,1,3536.0905,1
957053841149340,90001,9,201203,46,-0.01,58,12060,22,1,5043.0073,1
193934500057339,90001,1,201203,46,-0.01,58,0,22,1,4170.3960,1
197983200009305,90001,1,201203,46,-0.01,58,12060,50,1,3759.3258,1
940238003417450,88001,1,201203,46,-0.01,58,12060,25,1,5354.4535,1
310520004710081,88001,2,201203,46,-0.01,58,46660,27,2,3367.4636,1
399810904980971,88001,1,201203,46,-0.01,58,12260,54,1,3471.0834,1
399810904980971,88001,2,201203,46,-0.01,58,12260,29,2,3884.7002,1
042253540995795,88001,1,201203,46,10.00,22,12100,46,1,3772.3182,1
744139150959305,88001,3,201203,46,2.00,22,35620,21,2,2761.8050,1
070647097536549,88001,2,201203,46,-0.01,22,35620,55,1,3231.6335,1
160842099336279,88001,4,201203,46,-0.01,22,35620,16,2,3995.7737,1
489940631160983,88001,2,201203,46,-0.01,22,35620,23,1,4540.1550,1
489940631160983,88001,4,201203,46,-0.01,22,35620,21,1,4540.1550,1
479220100310933,90001,1,201203,46,-0.01,22,35620,34,1,3619.0472,1
479220100310933,90001,2,201203,46,-0.01,22,35620,34,1,3338.4544,1
052300630400162,88001,2,201203,46,-0.01,22,35620,41,1,3470.0599,1
499890558040913,90001,3,201203,46,8.00,22,35620,16,2,3496.3337,1
230409977906496,90001,1,201203,46,-0.01,22,35620,21,2,4828.4695,2
124392739600751,90001,1,201203,46,-0.01,21,35620,28,1,3511.2546,1
973076929359540,88002,1,201203,46,-0.01,21,0,17,1,3359.2431,2
230609925644878,90001,3,201203,46,-0.01,21,40380,20,1,3897.2179,1
530609958308269,88001,2,201203,46,5.00,21,40380,46,1,3037.9442,1
530609958308269,88001,3,201203,46,7.50,21,40380,17,2,3331.8462,1
392983504074631,90001,4,201203,46,-0.01,21,35620,19,1,2767.6617,1
108904873995106,88001,2,201203,46,-0.01,21,35620,38,2,3701.5084,1
424395049600991,90001,4,201203,46,-0.01,21,45060,28,1,3863.9308,1
430609912490294,90001,1,201203,46,-0.01,21,39100,63,1,3239.8656,1
397966206098629,88001,5,201203,46,-0.01,21,39100,53,2,3686.7363,1
669000300530943,90001,1,201203,46,-0.01,21,35620,36,1,3255.4216,1
669000300530943,90001,2,201203,46,-0.01,21,35620,36,1,4573.3090,1
563043037901393,88001,3,201203,46,-0.01,21,35620,36,1,2995.8765,1
032006171340240,90001,3,201203,46,-0.01,21,10580,15,2,0.0000,1
746769730489300,90001,1,201203,46,-0.01,21,35620,26,1,3210.5122,2
330609940315081,90001,2,201203,46,-0.01,21,35620,56,1,3043.5540,1
330609940315081,90001,3,201203,46,-0.01,21,35620,19,2,2961.0183,1
690764090935929,88001,3,201203,46,-0.01,21,35620,21,-1,4410.7158,3
676989340399302,90001,2,201203,46,-0.01,21,35620,60,1,3161.2127,1
730609991563962,88001,3,201203,46,-0.01,21,35620,22,1,4200.7243,1
981036787319280,90001,1,201203,46,18.50,21,35620,48,1,3159.1900,1
586819220839307,90001,1,201203,46,-0.01,21,35620,33,1,3746.8869,1
586819220839307,90001,2,201203,46,-0.01,21,35620,24,1,4270.3833,1
249650059270914,90001,3,201203,46,2.80,23,38300,22,1,3101.6616,1
490961404034215,90001,1,201203,46,8.40,23,38300,22,2,4911.3149,1
490961404034215,90001,2,201203,46,8.50,23,38300,23,1,3298.1504,1
224033047903195,88001,1,201203,46,-0.01,23,38300,30,1,3478.4554,2
963072812489540,88001,3,201203,46,-0.01,23,39740,33,2,3136.5207,1
324615015908299,88001,3,201203,46,9.00,23,10900,19,2,2865.9033,1
498972003064279,90001,2,201203,46,-0.01,23,29540,20,2,3915.6051,1
736498779200699,90001,2,201203,46,-0.01,23,37980,48,1,3685.0015,1
710936090311249,90001,2,201203,46,-0.01,58,12260,18,-1,3722.5376,3
850745099931669,90001,1,201203,46,-0.01,22,37980,42,1,3337.0742,2
391941806025685,90001,1,201203,46,8.50,21,35620,31,1,3769.7078,1
395912603028679,90001,1,201203,46,-0.01,21,39100,32,2,3535.9902,1
963983043906990,90001,4,201203,46,-0.01,21,15380,24,1,3541.4366,1
124963096907094,88001,1,201203,46,-0.01,23,38300,46,2,3050.8202,1
340200042960412,90001,3,201203,46,-0.01,23,25420,17,2,3130.7437,1
952029870859407,88001,1,201203,46,-0.01,23,0,32,2,3429.4539,1
195964902076379,90001,2,201203,46,-0.01,58,31420,42,1,2829.2858,2
983389430649104,90001,2,201203,46,-0.01,58,12060,54,1,3638.6717,2
410309908715399,90001,1,201203,46,-0.01,58,0,31,2,3040.7016,1
970931097913809,90001,2,201203,46,-0.01,58,31420,23,1,3717.6829,2
208905861999853,88001,1,201203,46,-0.01,58,46660,23,1,4035.6881,1
980132009812530,90001,2,201203,46,-0.01,58,17980,30,1,5107.8226,1
035671530999090,88001,1,201203,46,9.25,58,0,26,1,3340.0258,1
035671530999090,88001,2,201203,46,-0.01,58,0,28,1,4032.8158,1
731500008909991,88001,2,201203,46,-0.01,58,0,20,1,3771.9913,2
643391099400914,90001,3,201203,46,-0.01,22,37980,48,1,2895.9065,1
712398749400880,90001,1,201203,46,14.00,22,36140,43,2,4211.4716,1
712398749400880,90001,2,201203,46,15.00,22,36140,38,2,2668.7768,1
712398749400880,90001,4,201203,46,-0.01,22,36140,19,1,4308.7645,2
588396239400793,88001,1,201203,46,-0.01,22,35620,48,1,2756.3283,2
039333140997196,90001,3,201203,46,8.00,22,35620,18,2,2385.3350,1
070913140998099,90001,3,201203,46,11.59,22,35620,17,2,2462.8063,1
501900273893146,90001,1,201203,46,10.00,21,10580,62,2,3243.1986,1
501900273893146,90001,2,201203,46,8.50,21,10580,59,2,3051.3891,1
363680043001705,90001,1,201203,46,-0.01,21,35620,33,1,4092.6487,1
078313360996595,90001,2,201203,46,-0.01,21,40380,20,2,5338.3908,1
846629560849308,88001,3,201203,46,-0.01,21,40380,18,2,3238.2131,1
699090523810973,88001,2,201203,46,-0.01,21,0,54,1,2807.2249,1
305011201077641,90001,1,201203,46,-0.01,21,35620,46,1,3470.0112,2
770964066533299,90001,1,201203,46,-0.01,21,28740,26,1,5750.7178,1
269940390160924,90001,1,201203,46,-0.01,23,38300,38,2,2763.6241,1
752899450139408,88001,5,201203,46,6.00,23,37980,19,2,2930.8134,1
024911016907292,88001,3,201203,46,-0.01,23,37980,24,1,3266.6212,1
928492229200703,90001,3,201203,46,-0.01,23,25420,17,2,3472.5279,1
928492229200703,90001,4,201203,46,-0.01,23,25420,15,2,0.0000,1
524859028909990,88001,3,201203,46,-0.01,23,21500,41,2,3181.4694,1
702600344996712,90001,1,201203,46,-0.01,23,0,36,2,2812.6576,1
495901305077273,90001,6,201203,46,7.25,23,38300,17,2,2804.4639,1
031036065908893,88001,2,201203,46,-0.01,58,12060,21,-1,6048.3260,3
195901207054325,90001,2,201203,46,10.00,58,12060,38,1,4305.8244,1
153250520430107,90001,2,201203,46,-0.01,58,12260,21,1,3307.6056,2
590943092737759,88001,1,201203,46,-0.01,22,45940,25,2,2880.6454,1
590943092737759,88001,3,201203,46,-0.01,22,45940,23,2,3686.6093,1
005823740978696,88001,1,201203,46,-0.01,22,35620,44,1,2628.4544,1
479530744860973,88001,2,201203,46,-0.01,22,35620,25,1,3014.4953,2
479530744860973,88001,6,201203,46,-0.01,22,35620,20,1,3806.3436,1
763215012907493,90001,1,201203,46,-0.01,21,35620,23,2,4066.6478,1
563767076909364,88001,2,201203,46,-0.01,21,0,27,2,3505.8596,1
063036065908094,88001,2,201203,46,11.00,21,35620,35,1,3423.4816,1
706900343996746,88001,1,201203,46,-0.01,21,35620,61,1,2942.3120,1
706900343996746,88001,2,201203,46,-0.01,21,35620,59,2,3285.9334,1
986979770679309,88001,3,201203,46,-0.01,21,0,33,1,3614.6494,1
299790203580974,88001,3,201203,46,-0.01,23,42540,20,2,3678.0419,1
299830854570954,88001,1,201203,46,10.35,23,49620,44,1,2900.6050,1
299830854570954,88001,2,201203,46,7.45,23,49620,18,2,2832.8840,1
399780763230951,88001,1,201203,46,-0.01,58,42340,36,2,4074.8755,1
531441078909593,88001,1,201203,46,-0.01,58,12060,21,2,5123.8830,1
070901430010802,90001,1,201203,46,-0.01,58,12060,25,2,3489.8018,1
191973508095388,90001,3,201203,46,-0.01,58,12060,31,2,3593.3497,1
026733140992199,90001,1,201203,46,8.50,22,35620,57,1,3011.1905,1
926391149400934,90001,2,201203,46,-0.01,22,37980,19,2,3655.9113,1
350147008832880,90001,3,201203,46,-0.01,22,35620,21,1,3902.2808,1
055793440988391,90001,3,201203,46,-0.01,22,35620,25,1,3753.8183,1
830409957499198,88001,4,201203,46,-0.01,22,35620,19,2,3823.1421,1
059463160990282,90001,2,201203,46,-0.01,21,35620,54,1,3366.4941,2
863453072809192,90001,1,201203,46,-0.01,21,35620,29,1,4946.1993,1
063901092902091,90001,2,201203,46,-0.01,21,35620,27,1,4275.1555,1
663155083905193,90001,2,201203,46,-0.01,21,35620,37,1,3800.1290,1
