HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399780763230951,88001,1,201202,46,-0.01,58,42340,35,2,3721.2667,1
981073944139570,90001,1,201202,46,-0.01,58,10500,50,2,3662.1824,1
970931097913809,90001,2,201202,46,-0.01,58,31420,23,1,3807.2674,2
810309904752899,89001,5,201202,46,-0.01,58,0,20,1,2243.0491,2
020945094333319,90001,3,201202,46,-0.01,22,35620,24,2,3211.9658,1
070647097536549,88001,2,201202,46,-0.01,22,35620,55,1,3246.8190,1
918044872369760,88001,1,201202,46,-0.01,22,35620,28,1,4542.0351,2
508908393796684,89001,1,201202,46,16.15,22,35620,47,1,3084.9462,1
143328063001401,90001,2,201202,46,-0.01,22,35620,20,2,2914.9392,1
143328063001401,90001,3,201202,46,-0.01,22,35620,17,2,2495.7564,1
926396259400977,90001,2,201202,46,-0.01,22,45940,18,2,3807.8920,1
035023540994898,88001,1,201202,46,-0.01,22,35620,55,2,3024.8598,2
039333140997196,90001,3,201202,46,-0.01,22,35620,18,2,2479.3464,1
055793440988391,88001,2,201202,46,-0.01,22,35620,48,1,3084.9462,1
943665076909097,88001,3,201202,46,-0.01,22,35620,17,2,3081.9491,1
230409977906496,90001,1,201202,46,-0.01,22,35620,21,2,4536.6107,2
043545084001809,88001,2,201202,46,-0.01,22,35620,52,1,2759.8810,1
613393729400644,90001,4,201202,46,-0.01,22,35620,17,2,2686.6894,1
679610904480953,88001,1,201202,46,-0.01,21,35620,53,2,3058.9783,1
397953706027665,90001,3,201202,46,-0.01,21,15380,22,2,4254.8143,1
196370820000309,90001,2,201202,46,-0.01,21,35620,32,1,3791.2125,1
420266097633779,90001,4,201202,46,-0.01,21,35620,21,1,4957.9268,1
280960090233859,90001,1,201202,46,-0.01,21,35620,36,2,3531.7937,1
863453075001102,88002,1,201202,46,-0.01,21,35620,36,1,3694.8588,1
254392959600160,88001,1,201202,46,-0.01,21,35620,58,1,2978.5510,1
450269098035059,88001,4,201202,46,-0.01,21,35620,32,1,4354.3134,1
699650169340953,88001,2,201202,46,-0.01,21,15380,32,1,2866.9491,1
392978401072659,89001,2,201202,46,12.00,21,15380,23,1,3943.4944,1
830609942571792,89001,1,201202,46,13.00,21,15380,31,2,3648.8856,1
976889410829309,90001,1,201202,46,-0.01,21,45060,85,2,2915.5785,1
933056443319300,90001,1,201202,46,-0.01,21,35620,33,1,6619.3160,1
230619933405323,90011,2,201202,46,-0.01,21,35620,48,1,2545.0060,1
290361098334839,88002,2,201202,46,17.00,21,35620,32,1,3550.2372,1
530609900305330,88001,1,201202,46,-0.01,21,35620,55,1,3612.4788,2
530609900305330,88001,4,201202,46,-0.01,21,35620,63,1,3400.4637,2
306439360359303,88001,3,201202,46,-0.01,21,35620,30,1,2762.4870,1
393907305033641,88003,2,201202,46,-0.01,21,35620,28,1,5943.1050,1
393907305033641,88003,3,201202,46,-0.01,21,35620,25,1,5943.1050,1
296179470479304,88001,1,201202,46,-0.01,21,35620,42,1,3228.6372,1
639720854190983,89001,6,201202,46,8.50,21,35620,45,1,4274.2640,1
249650059270914,90001,3,201202,46,-0.01,23,38300,21,1,3124.0734,1
259450301230964,88001,1,201202,46,-0.01,23,38300,49,1,2258.3901,1
955082561489890,89001,2,201202,46,-0.01,23,38300,39,1,3067.0999,1
527498119200944,90001,2,201202,46,-0.01,23,11020,21,2,3920.2071,1
022400630201162,90001,3,201202,46,-0.01,23,37980,22,2,3514.3096,1
640206915835997,88001,2,201202,46,-0.01,23,0,64,1,2706.7835,1
701901184893472,90001,1,201202,46,-0.01,23,0,28,1,2973.1661,1
802903364992912,90001,1,201202,46,-0.01,23,0,31,2,2768.8250,1
912749710269405,90001,4,201202,46,-0.01,23,42540,20,2,3200.5347,1
497905603076238,88001,2,201202,46,-0.01,23,10900,56,1,2722.1877,1
497905603076238,88001,3,201202,46,-0.01,23,10900,28,1,2701.7164,1
408905444794532,89001,1,201202,46,9.00,23,37980,32,1,3350.7379,1
720134008918880,89001,1,201202,46,-0.01,58,12060,36,1,2121.6879,1
195926606048389,88001,3,201202,46,-0.01,58,12060,31,1,3293.5494,1
084541130974993,90001,1,201202,46,-0.01,58,12060,19,1,3231.1674,1
804969240679309,88001,2,201202,46,-0.01,22,35620,20,1,3040.4447,2
624390419400998,90001,1,201202,46,-0.01,22,37980,52,1,3245.5264,2
624390419400998,90001,2,201202,46,-0.01,22,37980,54,2,3799.3838,1
624390419400998,90001,3,201202,46,-0.01,22,37980,33,2,3362.7009,1
850745099931669,90001,1,201202,46,-0.01,22,37980,42,1,3166.6804,2
806905313990214,88001,1,201202,46,-0.01,22,37980,71,1,3188.8792,2
343615018909299,89001,2,201202,46,-0.01,22,35620,21,1,3040.4447,2
129395059400959,90001,3,201202,46,-0.01,22,37980,21,2,4447.1351,1
095573460989397,88001,1,201202,46,-0.01,21,10580,36,1,3331.8756,2
430609974061396,88001,3,201202,46,-0.01,21,0,18,2,3809.5977,2
053703160978694,90002,2,201202,46,-0.01,21,35620,19,2,2970.4580,1
619830273990963,88001,3,201202,46,-0.01,21,35620,57,2,3033.1710,1
619830273990963,88001,4,201202,46,-0.01,21,35620,25,2,3861.8050,1
041034220966999,90001,3,201202,46,-0.01,23,38300,18,2,3479.9308,2
124143098909694,89001,1,201202,46,-0.01,23,0,54,1,3099.3739,2
814491739200872,90001,4,201202,46,-0.01,23,25420,18,2,4027.4282,1
490988205099259,89001,2,201202,46,8.50,23,21500,44,1,3218.1010,1
812179440219408,88001,1,201202,46,-0.01,23,29540,55,1,2789.2913,2
892039360389404,88001,3,201202,46,-0.01,23,37980,27,1,3482.9442,1
927490199200933,90001,1,201202,46,-0.01,23,38300,42,1,2993.9737,1
927490199200933,90001,2,201202,46,-0.01,23,38300,36,1,3155.2369,1
210309958421797,90001,1,201202,46,-0.01,58,12060,26,1,3548.0450,2
831868016907699,88001,3,201202,46,-0.01,58,12060,20,1,3843.2115,1
196993003031356,90001,1,201202,46,-0.01,58,12060,36,1,3545.6784,1
196993003031356,90001,2,201202,46,-0.01,58,12060,35,1,3654.4446,1
379060391350971,88001,1,201202,46,-0.01,58,12060,24,2,4322.0896,1
955023911159480,88001,2,201202,46,-0.01,58,10500,52,1,4519.4391,1
