HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
652043930129440,90001,1,201201,46,-0.01,58,0,21,2,3693.3009,1
652043930129440,90001,2,201201,46,-0.01,58,0,21,2,3693.3009,1
979093979139400,88001,1,201201,46,-0.01,58,42340,48,1,3632.4327,1
102005102042391,88001,1,201201,46,-0.01,58,42340,25,1,4616.9289,1
195901207054325,90001,2,201201,46,-0.01,58,12060,38,1,4574.3964,1
231444051906892,90001,4,201201,46,-0.01,58,12060,24,2,3589.0859,1
443813033908990,88001,5,201201,46,8.00,22,37980,34,1,2894.6208,1
070647097536549,88001,2,201201,46,-0.01,22,35620,55,1,3089.8640,1
479760882610953,88001,1,201201,46,-0.01,22,35620,30,1,2935.7531,2
508908393796684,89001,1,201201,46,-0.01,22,35620,47,1,3307.1626,1
803908653692604,88001,2,201201,46,-0.01,22,35620,24,1,3870.0069,2
543374034909591,88001,1,201201,46,-0.01,22,35620,40,1,2672.2830,2
035023540994898,88001,1,201201,46,-0.01,22,35620,55,2,3043.1242,2
943665076909097,88001,3,201201,46,-0.01,22,35620,17,2,3475.2733,1
499890558040913,90001,3,201201,46,-0.01,22,35620,16,2,3412.8537,1
911036707339000,88001,1,201201,46,15.00,21,35620,53,1,4968.2883,1
045393260967894,90001,2,201201,46,-0.01,21,15380,62,2,3110.0368,1
863453075001102,88002,2,201201,46,-0.01,21,35620,38,1,3653.4216,1
254392959600160,88001,1,201201,46,-0.01,21,35620,58,1,3136.5260,1
530609958308269,88001,2,201201,46,-0.01,21,40380,46,2,3135.1427,1
530609958308269,88001,3,201201,46,-0.01,21,40380,16,2,3335.0734,1
706900343996746,88001,1,201201,46,-0.01,21,35620,60,1,3199.5325,1
706900343996746,88001,2,201201,46,-0.01,21,35620,59,1,3427.8548,1
399948407091692,89001,2,201201,46,-0.01,21,35620,50,1,3659.4231,1
392978401072659,89001,2,201201,46,-0.01,21,15380,23,1,3891.1766,1
202907163995476,90001,4,201201,46,-0.01,21,40380,18,2,3337.0077,1
048833160994890,90001,6,201201,46,-0.01,21,45060,23,1,4073.6089,2
307904053193336,89001,6,201201,46,8.00,21,35620,17,2,3833.1116,1
981036787319280,90001,1,201201,46,-0.01,21,35620,47,1,3309.0405,1
955082561489890,89001,2,201201,46,-0.01,23,38300,39,1,2999.9379,1
120928091043409,88001,3,201201,46,8.00,23,38300,17,2,2815.6868,1
007914220985592,90001,2,201201,46,-0.01,23,39740,27,2,3356.6321,1
007914220985592,90001,3,201201,46,-0.01,23,39740,22,2,3895.2271,1
289050321270984,89001,1,201201,46,-0.01,23,37980,58,2,3197.8371,1
022400630201162,90001,3,201201,46,-0.01,23,37980,22,2,3797.1475,1
022400630201162,90001,5,201201,46,-0.01,23,37980,18,2,3694.5476,1
240209941488591,90001,3,201201,46,-0.01,23,25420,19,2,3717.5396,1
299470317810954,88001,1,201201,46,-0.01,23,0,26,1,2822.2220,1
299470317810954,88001,2,201201,46,-0.01,23,0,33,1,2822.5434,1
912749710269405,90001,4,201201,46,-0.01,23,42540,19,2,2797.2943,1
902369130599400,88001,1,201201,46,-0.01,23,42540,37,-1,2961.3840,3
902369130599400,88001,2,201201,46,-0.01,23,42540,34,1,2601.4503,2
279770986790974,89001,1,201201,46,-0.01,23,37980,52,1,4445.2515,1
902039650989407,88001,3,201201,46,-0.01,23,42540,33,2,2868.9820,1
088023189180470,89001,1,201201,46,-0.01,58,12060,28,1,1776.4507,1
720134008918880,89001,1,201201,46,-0.01,58,12060,36,1,2090.0306,1
310300024693612,88001,1,201201,46,-0.01,58,12060,42,1,3602.6997,1
084541130974993,90001,1,201201,46,-0.01,58,12060,19,1,3043.7171,1
804969240679309,88001,2,201201,46,-0.01,22,35620,20,1,3046.8159,1
964229170729307,89001,3,201201,46,18.00,22,37980,23,1,2696.5654,1
850745099931669,90001,1,201201,46,-0.01,22,37980,42,1,3077.4319,2
343615018909299,89001,2,201201,46,-0.01,22,35620,20,1,2845.4525,2
479080650160973,89001,3,201201,46,-0.01,22,35620,22,-1,2644.5948,3
014453340995894,88001,2,201201,46,9.50,22,35620,37,2,2608.9580,1
430609974061396,88001,3,201201,46,-0.01,21,0,18,2,3673.1738,2
626259640639300,88001,1,201201,46,-0.01,21,40380,19,2,3640.7856,1
180767094337179,89001,3,201201,46,5.55,21,40380,23,2,4179.9033,1
063036065908094,88001,2,201201,46,-0.01,21,35620,35,1,3441.2740,1
976809670479305,89001,4,201201,46,-0.01,21,35620,19,1,3961.6633,2
880260094135969,88001,5,201201,46,-0.01,21,35620,32,1,3477.0642,1
913062984479120,89001,1,201201,46,-0.01,23,0,53,1,3032.4703,1
913062984479120,89001,2,201201,46,-0.01,23,0,73,2,2971.7101,1
124143098909694,89001,1,201201,46,-0.01,23,0,54,1,3109.4071,2
028344720970995,89001,2,201201,46,11.25,23,37980,42,1,2692.2737,1
490988205099259,89001,2,201201,46,-0.01,23,21500,44,1,3318.6316,1
495923607049248,88001,3,201201,46,8.00,23,10900,16,2,3319.7231,1
307000891105563,89001,2,201201,46,2.13,58,12060,50,1,2942.5017,1
195926606048389,88001,3,201201,46,-0.01,58,12060,31,1,3477.0239,1
033451430989496,88001,1,201201,46,-0.01,58,12060,48,1,3628.7673,1
033451430989496,88001,2,201201,46,-0.01,58,12060,47,1,3725.5601,1
033451430989496,88001,3,201201,46,-0.01,58,12060,24,1,2217.4421,1
802900371994713,90001,2,201201,46,-0.01,58,16860,28,1,3219.9328,1
026733140992199,90001,1,201201,46,-0.01,22,35620,57,2,3194.8016,1
104908533798944,88002,1,201201,46,-0.01,22,35620,28,1,3097.1372,1
