HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
979093979139400,88001,1,201112,46,-0.01,58,42340,48,1,3451.1699,1
102005102042391,88001,1,201112,46,-0.01,58,42340,25,1,4840.4967,1
042891230968798,88001,2,201112,46,11.00,58,12060,58,1,3843.0060,1
720134008918880,89001,1,201112,46,-0.01,58,12060,36,1,2616.1796,1
379060391350971,89001,2,201112,46,-0.01,58,12060,30,2,4390.8811,1
531536006909192,89001,1,201112,46,-0.01,58,12060,32,1,3177.4130,2
389398409400731,89001,6,201112,46,-0.01,22,37980,44,1,4196.3814,2
479760882610953,88001,1,201112,46,-0.01,22,35620,30,1,3320.6412,2
761391459400981,89001,1,201112,46,-0.01,22,45940,42,1,4211.2348,1
978044980339860,88001,2,201112,46,-0.01,22,35620,22,2,3357.5141,1
039333140997196,90001,3,201112,46,-0.01,22,35620,18,2,2702.3281,1
393953503043448,88001,1,201112,46,-0.01,22,35620,59,1,3335.6497,2
055793440988391,88001,2,201112,46,-0.01,22,35620,48,1,3425.9447,1
489630313970963,89001,1,201112,46,-0.01,22,35620,61,1,3396.4328,1
499890558040913,90001,3,201112,46,-0.01,22,35620,16,2,3563.1753,1
911036707339000,88001,1,201112,46,-0.01,21,35620,53,1,5550.2817,1
669440983570923,88001,3,201112,46,7.75,21,15380,18,2,4602.9245,1
254392959600160,88001,1,201112,46,-0.01,21,35620,57,1,2947.6829,1
707007423106766,89001,1,201112,46,-0.01,21,35620,55,1,2536.6786,1
466849570739300,89001,1,201112,46,-0.01,21,35620,23,1,3594.6518,1
063036065908094,88001,2,201112,46,-0.01,21,35620,35,1,3300.7348,1
009006101360190,89001,1,201112,46,-0.01,21,35620,62,1,3112.1446,1
009006101360190,89001,2,201112,46,-0.01,21,35620,56,1,3023.3610,1
870360091536419,89001,1,201112,46,9.55,21,35620,19,1,4077.5777,1
926469230449307,88001,1,201112,46,-0.01,21,40380,28,2,3251.2635,1
196170420470304,88001,1,201112,46,7.60,21,35620,43,2,3237.9158,1
196170420470304,88001,3,201112,46,7.15,21,35620,17,2,2984.2737,1
047076114320491,88011,4,201112,46,11.00,21,35620,22,1,2938.6960,1
326889140399303,88001,1,201112,46,-0.01,21,35620,48,1,4083.2055,1
326889140399303,88001,3,201112,46,-0.01,21,35620,48,1,4083.2055,1
530609900305330,88001,4,201112,46,-0.01,21,35620,63,1,3963.0555,1
463999088909595,89001,1,201112,46,-0.01,21,35620,52,1,4254.6952,1
463999088909595,89001,2,201112,46,-0.01,21,35620,59,1,3174.3905,2
995066554349410,88001,4,201112,46,-0.01,21,35620,19,2,3991.8940,1
981036787319280,90001,1,201112,46,-0.01,21,35620,47,1,3146.7390,1
955082561489890,89001,2,201112,46,-0.01,23,38300,39,1,2808.7626,1
120928091043409,88001,3,201112,46,-0.01,23,38300,17,2,2922.5805,1
910022873489520,89001,2,201112,46,-0.01,23,37980,21,2,3001.3291,1
289050321270984,89001,1,201112,46,-0.01,23,37980,58,1,3198.0901,1
852589440239405,88001,1,201112,46,-0.01,23,10900,45,1,3134.9552,1
852589440239405,88001,3,201112,46,-0.01,23,10900,17,2,3409.7139,2
206902064994372,89001,1,201112,46,7.59,23,10900,43,2,2743.9117,1
024621016907598,89001,1,201112,46,20.00,23,37980,48,1,3187.3849,1
812179440219408,88001,1,201112,46,-0.01,23,29540,55,2,2866.6108,1
822869560869404,89001,3,201112,46,-0.01,23,10900,18,1,3260.7128,2
902369130599400,88001,1,201112,46,-0.01,23,42540,37,1,3109.0473,1
902369130599400,88001,2,201112,46,-0.01,23,42540,34,1,2926.7620,1
499956407015219,89001,1,201112,46,2.86,23,38300,50,2,2843.9280,1
690083916139280,88001,4,201112,46,-0.01,58,0,17,2,2575.9415,2
110837096116199,89001,1,201112,46,7.00,58,12060,30,1,4267.0013,1
350936091517609,89001,2,201112,46,-0.01,58,12260,17,1,4255.1702,1
391907604094488,89001,1,201112,46,-0.01,22,37980,41,1,2902.8181,2
964229170729307,89001,3,201112,46,-0.01,22,37980,23,2,2796.8546,1
014453340995894,88001,2,201112,46,-0.01,22,35620,37,2,2707.3212,1
