HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
500846094436459,89001,1,201111,46,-0.01,22,37980,67,2,3290.1123,1
508908393796684,89001,1,201111,46,-0.01,22,35620,47,1,3173.4138,2
761391459400981,89001,1,201111,46,-0.01,22,45940,42,1,4499.5234,1
761391459400981,89001,2,201111,46,-0.01,22,45940,37,1,3536.0221,2
943058084001901,88001,1,201111,46,-0.01,22,35620,28,2,3682.0466,1
978044980339860,88001,2,201111,46,-0.01,22,35620,22,2,3633.8306,1
489880067480983,89001,3,201111,46,-0.01,22,35620,22,2,2654.1922,1
393953503043448,88001,1,201111,46,-0.01,22,35620,59,1,2999.8236,2
055793440988391,88001,2,201111,46,-0.01,22,35620,48,1,3274.4226,1
489630313970963,89001,1,201111,46,-0.01,22,35620,61,1,3248.1527,1
043592082907490,88001,2,201111,46,-0.01,22,35620,24,2,4002.3100,1
706904143997576,89001,1,201111,46,-0.01,21,10580,37,1,4333.7335,1
045393560997894,89001,3,201111,46,8.25,21,15380,21,2,3755.6689,1
130609976742667,88001,1,201111,46,-0.01,21,35620,51,1,3611.6432,1
130609976742667,88001,2,201111,46,-0.01,21,35620,49,1,2686.3723,1
420766097635779,89001,2,201111,46,26.00,21,35620,41,1,3165.8786,1
707007423106766,89001,1,201111,46,-0.01,21,35620,55,1,2696.2631,1
024473860984296,89001,2,201111,46,-0.01,21,40380,19,1,3233.4432,2
698330303540933,88001,3,201111,46,-0.01,21,35620,22,1,3476.9027,1
015733160998595,88001,3,201111,46,10.00,21,10580,20,1,3524.9180,1
502349560129403,89001,3,201111,46,-0.01,23,38300,16,2,2948.9408,1
102349580129403,89001,1,201111,46,-0.01,23,38300,21,2,3679.4389,1
206902064994372,89001,1,201111,46,-0.01,23,10900,43,2,2698.5309,1
956092930439100,88001,2,201111,46,-0.01,23,42540,27,1,3621.9561,1
967052981459070,89001,1,201111,46,8.75,23,42540,66,2,2597.1282,1
495996606000259,89001,3,201111,46,-0.01,23,42540,47,1,3162.2756,1
440209909947190,88001,1,201111,46,-0.01,23,0,69,2,3078.7309,1
075684620967590,89001,2,201111,46,-0.01,23,37980,34,2,2831.6624,1
279770986790974,89001,1,201111,46,-0.01,23,37980,52,1,3518.3506,1
990920099041329,88002,2,201111,46,7.70,23,38300,21,1,3351.5980,1
350936091517609,89001,2,201111,46,-0.01,58,12260,17,2,4710.6171,1
630609913888579,89001,1,201111,46,-0.01,21,35620,37,1,3648.0059,2
240209924593072,88001,1,201111,46,-0.01,23,38300,56,2,2914.4685,1
028344720970995,89001,2,201111,46,-0.01,23,37980,42,1,2793.2493,1
958497319200522,89001,1,201111,46,6.25,23,37980,20,2,3549.1111,1
022241530019001,89001,1,201111,46,4.00,58,42340,31,2,3876.0383,1
110837096116199,89001,1,201111,46,-0.01,58,12060,30,1,3218.8669,2
919103990300191,88002,1,201111,46,11.75,58,12060,55,1,4142.8696,1
470739090115909,89001,3,201111,46,-0.01,58,12060,33,1,3111.3896,1
