HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
690083916139280,88001,4,201110,46,-0.01,58,0,17,2,3332.5720,1
893509620139103,88001,2,201110,46,-0.01,58,12060,54,2,3867.1340,1
470739090115909,89001,3,201110,46,-0.01,58,12060,33,1,3275.5970,1
002601830017600,87001,1,201110,46,-0.01,58,12060,56,1,2735.0597,1
983159450529101,89001,1,201110,46,-0.01,58,10500,19,1,3358.3830,2
010421830950198,87001,1,201110,46,-0.01,58,12060,34,1,2682.2069,1
518194229300644,88001,1,201110,46,-0.01,58,12060,48,1,4333.7022,1
060831098212389,88003,1,201110,46,-0.01,58,0,23,2,3906.6864,1
350949097731959,88001,1,201110,46,-0.01,22,12100,58,1,4082.7571,1
343588094907194,89001,2,201110,46,9.00,22,35620,32,1,2758.6208,1
784179651269308,89011,3,201110,46,-0.01,22,35620,24,1,3452.2476,1
804589160999308,89001,3,201110,46,-0.01,22,35620,20,2,4628.6969,1
804589160999308,89001,5,201110,46,-0.01,22,35620,17,2,3338.9213,1
083823840987994,87001,1,201110,46,-0.01,22,35620,30,1,2758.6208,1
083823840987994,87001,4,201110,46,-0.01,22,35620,28,1,3291.2785,1
978044980339860,88001,2,201110,46,-0.01,22,35620,22,2,3761.3074,1
021395569400993,88001,2,201110,46,-0.01,22,35620,37,1,3617.3154,1
971054889349530,89001,2,201110,46,-0.01,22,35620,30,1,2758.6208,1
992034979359280,89001,2,201110,46,-0.01,22,35620,19,1,2798.9791,1
043592082907490,88001,2,201110,46,-0.01,22,35620,24,2,3867.6396,1
911036707339000,88001,1,201110,46,-0.01,21,35620,53,1,6399.8639,1
045393560997894,89001,3,201110,46,-0.01,21,15380,21,2,3646.1663,1
933046995379380,89001,2,201110,46,-0.01,21,0,18,2,3298.6061,1
130609976742667,88001,1,201110,46,-0.01,21,35620,51,1,3688.4348,1
130609976742667,88001,2,201110,46,-0.01,21,35620,49,1,2899.5860,1
846088920559300,88001,1,201110,46,-0.01,21,35620,27,2,3421.3706,1
040523660916599,89001,2,201110,46,-0.01,21,35620,47,2,3396.4184,1
699840978280913,88002,1,201110,46,-0.01,21,45060,21,2,3239.7030,1
196170420470304,88001,1,201110,46,-0.01,21,35620,42,1,3113.1250,1
856529320109305,88002,3,201110,46,-0.01,21,35620,27,1,2602.1449,1
900056133369000,89001,2,201110,46,-0.01,21,35620,45,1,4908.4347,1
630609965990820,89001,1,201110,46,-0.01,21,35620,46,1,3396.4184,1
730609983842784,89001,1,201110,46,-0.01,21,35620,43,1,2698.9072,1
906901993993236,89001,3,201110,46,-0.01,21,35620,19,1,4625.4628,1
502349560129403,89001,3,201110,46,-0.01,23,38300,16,2,2906.9269,1
492908607096292,87002,1,201110,46,-0.01,23,38300,52,2,3101.8576,1
493986304053299,89001,1,201110,46,-0.01,23,0,46,1,3060.4921,1
493986304053299,89001,2,201110,46,-0.01,23,0,37,1,2847.7480,1
090924820989794,87002,1,201110,46,-0.01,23,25420,25,1,3128.6658,1
090924820989794,87002,2,201110,46,8.00,23,25420,23,1,3394.3787,1
493938500057239,87001,3,201110,46,7.50,23,42540,17,2,2742.7218,1
095094420981697,89001,1,201110,46,3.00,23,10900,20,1,3394.3787,1
902369130599400,88001,2,201110,46,-0.01,23,42540,34,1,2842.9739,1
724251054909395,89001,3,201110,46,-0.01,23,42540,21,-1,3454.0129,3
470929060145909,89001,3,201110,46,-0.01,23,0,20,1,3562.3924,2
495901305077273,88001,2,201110,46,-0.01,23,38300,58,2,2746.2966,1
055774820987093,87002,3,201110,46,7.25,23,38300,17,2,3144.5268,1
195958200031329,87001,3,201110,46,8.00,58,12060,15,2,0.0000,1
931319094907999,89001,1,201110,46,9.96,58,12060,40,2,2943.4809,1
802900371994713,88001,1,201110,46,-0.01,58,16860,33,2,2998.5098,2
130400014027315,88001,2,201110,46,-0.01,22,12100,37,1,2869.7441,1
974559450229305,89001,1,201110,46,-0.01,22,12100,54,1,3386.2692,1
430409973168397,89001,3,201110,46,7.30,22,35620,18,2,3242.8821,1
085093560943199,89001,5,201110,46,-0.01,21,35620,39,1,3127.9211,1
689980910530983,87001,2,201110,46,-0.01,21,35620,34,1,3040.2940,1
390932807042604,88001,5,201110,46,-0.01,21,35620,17,2,1920.3872,1
