HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
700938095917769,87001,2,201109,46,-0.01,58,12060,43,1,3710.0235,1
002601830017600,87001,1,201109,46,-0.01,58,12060,55,1,2984.8966,1
602903271991533,88001,2,201109,46,-0.01,58,10500,54,1,3026.2970,1
602903271991533,88001,4,201109,46,-0.01,58,10500,23,2,3850.6859,1
379810214000971,87002,1,201109,46,-0.01,58,12060,30,2,4125.2675,1
379810214000971,87002,3,201109,46,-0.01,58,12060,48,1,3624.9997,1
306051802024431,88001,1,201109,46,-0.01,22,37980,44,1,2924.7889,1
085963340990198,89001,1,201109,46,10.00,22,37980,42,1,4317.6266,1
830409930184379,87001,1,201109,46,-0.01,22,37980,38,1,2186.5087,1
830409930184379,87001,2,201109,46,-0.01,22,37980,32,1,2734.2874,1
052133740977290,87001,2,201109,46,-0.01,22,35620,51,2,3396.5221,1
052133740977290,87001,6,201109,46,4.04,22,35620,24,1,3864.8896,1
083823840987994,87001,1,201109,46,-0.01,22,35620,30,1,2604.6756,1
083823840987994,87001,4,201109,46,-0.01,22,35620,28,1,3216.8125,1
805003623109534,89001,1,201109,46,-0.01,22,35620,61,2,3018.3111,1
805003623109534,89001,2,201109,46,-0.01,22,35620,62,2,3142.5756,1
430409973168397,89001,3,201109,46,-0.01,22,35620,18,2,2930.4754,1
971054889349530,89001,2,201109,46,-0.01,22,35620,30,1,2604.6756,1
045393560997894,89001,3,201109,46,-0.01,21,15380,21,2,3849.7001,1
950462094531189,88001,1,201109,46,-0.01,21,35620,40,1,3162.8106,1
437306350600108,89001,1,201109,46,-0.01,21,35620,37,1,4446.1147,1
437306350600108,89001,2,201109,46,10.00,21,35620,24,1,4054.4643,1
363680043903795,89001,2,201109,46,-0.01,21,35620,62,-1,3923.6151,3
399947805005608,87001,1,201109,46,-0.01,21,35620,50,1,3292.4086,2
263044036907698,89001,2,201109,46,-0.01,21,40380,50,1,2851.9392,1
000664096636309,89001,1,201109,46,-0.01,21,35620,47,1,2995.6397,1
000664096636309,89001,4,201109,46,-0.01,21,35620,17,2,4299.0034,1
390931807042606,88002,2,201109,46,-0.01,21,35620,23,1,3758.7808,1
856529320109305,88002,3,201109,46,-0.01,21,35620,27,1,2862.5674,1
763914074909494,89001,1,201109,46,-0.01,21,35620,39,1,3296.2549,2
900056133369000,89001,2,201109,46,-0.01,21,35620,45,1,5563.7817,1
296179471479304,87011,1,201109,46,-0.01,21,35620,62,1,3443.0302,1
392957701084695,87001,2,201109,46,-0.01,21,35620,25,1,4107.0094,1
033893260982699,88001,2,201109,46,-0.01,21,35620,34,1,4305.8300,1
272499349200605,87001,3,201109,46,8.60,23,38300,18,1,3719.2393,1
492908607096292,87002,1,201109,46,-0.01,23,38300,52,2,3215.3613,1
038344420930993,89001,1,201109,46,-0.01,23,37980,25,1,3255.2772,1
993082907459600,89001,2,201109,46,-0.01,23,42540,29,1,2858.0724,1
974559450229305,89001,1,201109,46,-0.01,22,12100,54,1,3344.8146,1
840967099437379,87001,2,201109,46,8.75,21,0,18,2,3104.6053,1
840967099437379,87001,5,201109,46,8.00,21,0,22,2,3289.1859,1
950056989379150,87001,1,201109,46,10.00,21,10580,62,2,3056.9103,1
699840446560973,87001,2,201109,46,-0.01,21,0,18,-1,3260.0073,3
299270968620954,89001,1,201109,46,-0.01,23,29540,37,1,3560.2352,1
399240045430621,88002,1,201109,46,-0.01,58,0,24,1,3444.1052,1
399240045430621,88002,7,201109,46,-0.01,58,0,26,1,3676.5768,1
044501231693492,88001,1,201109,46,-0.01,58,0,21,1,3852.8849,1
044501231693492,88001,3,201109,46,-0.01,58,0,20,1,3240.7942,1
131350028909891,87001,3,201109,46,-0.01,58,12060,17,2,3710.7373,1
925023918179600,87001,1,201109,46,-0.01,58,12020,30,2,3069.5246,1
018023101140060,89001,3,201109,46,-0.01,58,12060,25,2,3001.9634,1
192985002078378,89001,1,201109,46,-0.01,58,12060,25,1,4078.0912,1
563197689300950,89001,3,201109,46,-0.01,58,12060,17,2,3076.6180,1
399150194910971,87001,5,201109,46,8.00,58,12060,22,2,4053.3822,1
513089180409102,87001,2,201109,46,-0.01,58,12060,36,1,4221.8688,1
948003502189110,87001,2,201109,46,-0.01,58,12060,35,1,4221.8688,1
210309922665199,88002,2,201109,46,-0.01,58,0,24,2,3240.7942,1
199946909048399,89001,2,201109,46,-0.01,58,0,23,2,3938.1179,1
033451430989496,89001,3,201109,46,-0.01,58,12060,18,2,2982.1419,2
206909491993953,89001,2,201109,46,-0.01,58,10500,18,2,3002.7342,1
903909350659107,89001,1,201109,46,-0.01,58,0,22,1,4876.7443,2
399932705075497,88001,1,201109,46,-0.01,22,12100,25,1,2773.6641,2
057473440984590,89001,3,201109,46,-0.01,22,12100,20,1,2870.8906,1
057473440984590,89001,4,201109,46,-0.01,22,12100,17,2,2351.6784,1
395958007074449,87001,2,201109,46,-0.01,22,12100,32,1,2516.6974,1
954279550779301,89001,1,201109,46,-0.01,22,35620,53,1,3289.5769,1
560949096237269,87001,3,201109,46,10.00,22,37980,20,1,3416.6509,1
398933609065488,89001,1,201109,46,-0.01,22,35620,44,1,2496.0038,2
489870261470963,89001,3,201109,46,-0.01,22,35620,57,2,3993.6879,1
430409991771992,89001,2,201109,46,-0.01,22,45940,34,2,2516.6974,1
143247014907498,89001,2,201109,46,-0.01,22,35620,31,1,2612.7416,2
394981405093678,88001,1,201109,46,-0.01,21,15380,28,2,3040.3088,1
046923460950194,89001,3,201109,46,-0.01,21,15380,20,1,3334.4912,1
935086604349290,89001,1,201109,46,-0.01,21,15380,48,1,3309.3035,1
699830714720633,89001,1,201109,46,11.00,21,46540,63,1,3109.9822,1
610000225880013,88001,2,201109,46,-0.01,21,35620,44,1,3377.3868,1
130609976742667,88001,1,201109,46,-0.01,21,35620,51,1,3672.0776,1
