HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
022241530019001,89001,1,201108,46,-0.01,58,42340,31,2,4268.3940,1
002601830017600,87001,1,201108,46,-0.01,58,12060,55,1,2843.2824,1
046051230962293,89001,1,201108,46,12.00,58,12060,30,1,4426.4835,1
080931093017409,87001,1,201108,46,-0.01,58,12060,47,1,3348.1479,1
033451430989496,89001,3,201108,46,-0.01,58,12060,18,2,2849.0776,1
398933609065488,89001,1,201108,46,-0.01,22,35620,44,1,2753.9786,2
243273006909195,87001,5,201108,46,8.00,22,35620,49,2,4996.0019,1
402906283991024,89001,1,201108,46,2.13,22,35620,43,2,2825.7295,1
402906283991024,89001,2,201108,46,-0.01,22,35620,54,1,3076.5940,1
402906283991024,89001,4,201108,46,2.13,22,35620,17,2,2958.4642,1
083823840987994,87001,1,201108,46,-0.01,22,35620,30,1,2734.5233,1
083823840987994,87001,4,201108,46,-0.01,22,35620,28,1,3074.6406,1
330409953453483,89001,4,201108,46,-0.01,22,35620,21,2,3346.4941,1
206907083995264,87001,1,201108,46,-0.01,22,35620,53,2,3076.5940,1
230409980950274,89001,6,201108,46,8.25,22,35620,46,2,3362.9240,1
659210767220923,89001,2,201108,46,-0.01,21,35620,32,1,3557.0854,1
040561096936849,87001,2,201108,46,-0.01,21,35620,18,1,2353.2641,1
130609906355961,88001,3,201108,46,-0.01,21,15380,32,2,3046.4249,1
563539001906196,88001,2,201108,46,-0.01,21,15380,16,2,2890.2398,1
394981405093678,88001,1,201108,46,-0.01,21,15380,27,1,2942.8036,1
045393560997894,89001,3,201108,46,-0.01,21,15380,21,1,3499.5282,2
986749450359309,89001,2,201108,46,-0.01,21,15380,30,2,3033.1948,1
950462094531189,88001,1,201108,46,-0.01,21,35620,36,1,3127.1520,1
396947702067673,87002,1,201108,46,-0.01,21,35620,29,1,5731.0518,1
005902223893966,89001,1,201108,46,-0.01,21,40380,56,1,3122.6940,1
397961400034638,88001,1,201108,46,-0.01,21,35620,52,1,3332.2818,1
397961400034638,88001,3,201108,46,-0.01,21,35620,28,1,3793.2517,1
397961400034638,88001,5,201108,46,-0.01,21,35620,31,1,3592.4550,1
102904873295106,89001,3,201108,46,9.00,21,35620,20,1,3044.1160,1
954016887329280,89001,2,201108,46,-0.01,21,15380,25,1,3644.4668,1
800865092636339,87001,2,201108,46,-0.01,21,46540,17,2,3096.0762,1
800865092636339,87001,3,201108,46,8.00,21,46540,17,2,3423.2399,1
030863260963096,89001,4,201108,46,-0.01,21,45060,20,1,3228.6861,1
030863260963096,89001,5,201108,46,-0.01,21,45060,16,2,2436.1833,1
996629450239306,89001,1,201108,46,-0.01,21,0,24,2,3580.9074,1
019333460938298,89001,1,201108,46,-0.01,21,35620,32,1,3759.2180,1
019333460938298,89001,2,201108,46,-0.01,21,35620,25,1,4226.7859,1
019333460938298,89001,3,201108,46,-0.01,21,35620,30,1,3759.2180,1
063998066902095,87001,2,201108,46,-0.01,21,35620,35,1,2884.3150,1
050363093336439,87001,1,201108,46,25.00,21,35620,52,1,3879.2405,1
306439360359303,87001,2,201108,46,21.40,21,35620,31,1,3119.5169,1
933056343369300,87001,1,201108,46,-0.01,21,35620,26,1,2847.2150,1
933056343369300,87001,2,201108,46,-0.01,21,35620,24,1,2862.8932,1
659800432700963,87001,3,201108,46,-0.01,21,35620,27,1,3661.5682,1
392957701084695,87001,2,201108,46,-0.01,21,35620,25,1,3976.3560,1
399994905038649,89001,3,201108,46,-0.01,21,10580,17,1,3365.3382,2
330609947604386,89001,3,201108,46,-0.01,21,35620,16,2,2634.6216,1
967498479200943,87001,3,201108,46,-0.01,23,0,16,-1,3035.5773,3
624294018909598,87001,1,201108,46,-0.01,23,39740,30,1,2708.5568,1
340209987764281,89001,1,201108,46,-0.01,23,37980,27,1,3836.9196,1
080927093143869,89001,4,201108,46,-0.01,23,38300,19,2,3612.1614,1
424895036909393,87002,2,201108,46,7.75,23,0,21,2,4003.4344,1
220822099046389,87001,4,201108,46,7.35,23,25420,17,1,3152.7000,1
567492189200974,87001,1,201108,46,13.00,23,37980,80,1,2593.0611,1
269320843930984,87001,2,201108,46,-0.01,23,37980,31,2,2903.1186,1
902601114991672,89001,1,201108,46,-0.01,23,0,38,1,2852.5044,1
902601114991672,89001,4,201108,46,-0.01,23,0,22,1,3369.6803,1
628492659200748,89001,2,201108,46,-0.01,23,10900,45,1,2950.5575,1
524897056909197,87001,5,201108,46,-0.01,23,0,21,-1,3044.1916,3
497952206049284,89001,1,201108,46,8.00,23,37980,48,1,4021.5255,1
239160193270984,87001,1,201108,46,-0.01,23,37980,34,1,3233.0192,2
289360720680964,87001,3,201108,46,8.00,23,38300,24,2,3292.4287,1
003033160180180,87001,2,201108,46,-0.01,58,47580,28,1,2692.6416,1
262390869400957,87001,4,201108,46,2.25,22,35620,22,2,2982.7950,1
262390869400957,87001,5,201108,46,7.25,22,35620,15,2,0.0000,1
011743360994895,89001,2,201108,46,-0.01,21,0,56,1,2965.1438,1
430609912490294,89001,1,201108,46,-0.01,21,39100,35,1,2827.3439,2
856529320109305,89001,3,201108,46,7.35,21,35620,18,1,3350.5484,1
856529320109305,89001,4,201108,46,12.00,21,35620,22,2,3378.1038,1
856529320109305,89001,5,201108,46,7.45,21,35620,16,1,2888.8685,1
373390539600134,87001,1,201108,46,-0.01,21,35620,29,1,4423.9443,1
373390539600134,87001,3,201108,46,-0.01,21,35620,31,1,4142.7960,1
373390539600134,87001,4,201108,46,-0.01,21,35620,30,1,4422.1586,1
950056989379150,87001,1,201108,46,-0.01,21,10580,62,2,2937.2364,1
393952201006629,89001,3,201108,46,5.50,21,10580,25,2,3644.4668,1
328395769600942,89001,3,201108,46,9.00,21,0,26,2,3046.9218,1
991086485339380,89001,1,201108,46,-0.01,21,35620,63,2,3132.1584,1
918006671369270,87001,2,201108,46,13.65,21,35620,47,2,3724.1194,1
968396339600992,87001,1,201108,46,20.00,21,35620,34,1,3159.5780,1
918006471379270,87001,3,201108,46,-0.01,21,35620,19,2,3111.7492,1
495984103013299,89001,1,201108,46,-0.01,23,0,44,1,2530.6622,1
107003024103452,87001,3,201108,46,-0.01,23,38300,22,1,3989.3273,2
324011028909092,87001,2,201108,46,-0.01,23,37980,41,1,3282.9245,1
240209992322078,89001,3,201108,46,8.00,23,25420,21,2,3437.4277,1
240209941488591,89001,2,201108,46,-0.01,23,25420,27,1,3270.9525,1
615052997439780,89001,3,201108,46,-0.01,23,0,21,2,4013.3906,1
740209970885985,87001,4,201108,46,-0.01,23,37980,17,2,3673.1257,1
410309924959795,89002,4,201108,46,-0.01,58,0,21,2,4268.6975,1
193934500057339,89001,1,201108,46,-0.01,58,0,18,1,2377.2145,1
410309974579193,89001,4,201108,46,-0.01,58,12060,20,2,3349.6338,1
192985002078378,89001,1,201108,46,-0.01,58,12060,25,1,4276.5403,1
103180560600108,87001,1,201108,46,7.25,58,0,39,1,3559.9252,1
702906971999193,89001,2,201108,46,13.00,58,0,38,1,3558.9133,1
