HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
002601830017600,87001,1,201107,46,-0.01,58,12060,55,1,2875.2855,1
080931093017409,87001,1,201107,46,-0.01,58,12060,47,1,3590.8118,1
513089180409102,87001,2,201107,46,-0.01,58,12060,36,1,4512.1184,1
530134008916810,87001,1,201107,46,-0.01,58,12060,35,2,3023.4047,1
669169949300923,87001,1,201107,46,-0.01,58,17980,34,2,3783.0515,1
996024570349550,89001,1,201107,46,-0.01,22,35620,42,1,2371.1980,1
978054732319030,89001,4,201107,46,-0.01,22,35620,41,2,3483.6749,1
402906283991024,89001,1,201107,46,-0.01,22,35620,43,2,2924.0646,1
402906283991024,89001,2,201107,46,-0.01,22,35620,54,1,3073.0370,1
402906283991024,89001,4,201107,46,-0.01,22,35620,17,2,2953.0460,1
043951026907496,87001,1,201107,46,-0.01,22,35620,35,1,3098.1860,1
043951026907496,87001,2,201107,46,-0.01,22,35620,39,1,3739.1067,1
230409980950274,89001,6,201107,46,-0.01,22,35620,46,2,3460.4257,2
469399909600938,87001,1,201107,46,-0.01,21,15380,63,1,3639.4990,1
290865092632049,89001,2,201107,46,-0.01,21,35620,59,1,4576.0175,1
395923209064606,89001,3,201107,46,-0.01,21,35620,30,1,3713.0396,2
530609972548331,87001,2,201107,46,7.50,21,35620,17,2,2183.0013,1
008523760998280,87001,1,201107,46,-0.01,21,35620,19,1,3713.0423,1
076873560948991,87001,1,201107,46,5.00,21,35620,26,1,3494.5509,1
063842068909291,87001,3,201107,46,-0.01,21,46540,22,1,3139.6400,2
830609948636999,87001,4,201107,46,-0.01,21,45060,23,1,3139.6400,2
986409410889303,89001,1,201107,46,5.00,21,45060,30,2,3319.5347,1
986409410889303,89001,2,201107,46,9.50,21,45060,30,1,3284.7404,1
050463093331439,89001,2,201107,46,2.13,21,35620,41,2,2693.3611,1
019333160998298,89001,2,201107,46,10.75,21,35620,54,1,3111.8532,1
630609965990820,87001,2,201107,46,-0.01,21,35620,24,1,4207.3493,1
063998066902095,87001,2,201107,46,-0.01,21,35620,35,1,2967.7831,1
699310107650633,89001,3,201107,46,-0.01,21,10580,17,2,3168.2610,1
699640579720633,89001,1,201107,46,-0.01,21,28740,30,1,2920.7512,1
080927093143869,89001,4,201107,46,-0.01,23,38300,19,2,3762.6626,1
567492189200974,87001,1,201107,46,-0.01,23,37980,80,1,2598.1534,1
543492759200915,89001,3,201107,46,-0.01,23,42540,17,2,2813.9665,2
952229310619400,89001,3,201107,46,8.00,23,37980,17,2,2936.5400,1
497952206049284,89001,1,201107,46,-0.01,23,37980,48,1,3265.7576,1
983809510979101,89001,8,201107,46,8.00,58,12260,20,2,3513.9763,1
983809510979101,89001,9,201107,46,-0.01,58,12260,19,-1,3252.3821,3
020937093511159,89001,2,201107,46,13.00,58,12060,69,2,2869.1735,1
101011601002311,89001,3,201107,46,7.25,58,47580,16,2,4346.0492,1
930744092035529,87001,1,201107,46,13.25,22,35620,78,2,2595.8450,1
065193660953590,87001,2,201107,46,-0.01,21,15380,50,2,2798.8610,1
300021008025681,89001,1,201107,46,-0.01,21,35620,31,1,3116.7026,1
699230195530953,87001,3,201107,46,-0.01,21,39100,18,1,3306.4953,2
296179471479304,87011,1,201107,46,-0.01,21,35620,61,1,3743.3444,1
328395769600942,89001,3,201107,46,-0.01,21,0,26,2,2911.2460,1
570966099731719,89001,3,201107,46,8.00,21,28740,25,2,3373.8587,1
831491439200807,89001,3,201107,46,-0.01,23,37980,20,2,4415.9086,1
299140187620914,89001,3,201107,46,7.50,23,21500,22,2,4141.9484,1
299140187620914,89001,5,201107,46,7.50,23,21500,24,2,3314.0939,1
615052997439780,89001,3,201107,46,-0.01,23,0,21,2,4089.5651,1
108901141998753,87001,1,201107,46,-0.01,58,31420,25,1,3013.3871,2
027791130973190,89001,1,201107,46,-0.01,58,12060,29,1,3329.7324,1
501907231894663,89001,1,201107,46,7.25,58,12060,20,2,5967.7537,1
086991330996394,89001,3,201107,46,-0.01,58,12060,30,1,3058.5038,1
933649830969109,89001,2,201107,46,-0.01,58,12060,30,2,2939.1077,1
193934500057339,89001,1,201107,46,-0.01,58,0,18,2,2692.9239,1
194974709013359,89001,3,201107,46,-0.01,58,12060,25,1,4261.8951,2
399310107650911,89001,3,201107,46,-0.01,58,10500,46,1,3080.5236,2
955023911159480,87001,2,201107,46,7.25,58,10500,17,2,3764.3394,1
970932063718959,87001,1,201107,46,-0.01,58,0,69,2,3208.5610,1
214190759300552,89001,1,201107,46,16.25,58,12060,38,1,3355.4291,1
214190759300552,89001,2,201107,46,7.55,58,12060,35,1,3046.8068,1
046051230962293,89001,1,201107,46,-0.01,58,12060,30,1,5037.3813,1
810309954867594,87001,4,201107,46,-0.01,58,47580,17,2,3434.6022,1
210309971034090,89001,2,201107,46,-0.01,58,0,53,1,4045.8320,1
210309971034090,89001,3,201107,46,-0.01,58,0,19,1,3089.2630,1
006904221996723,87001,1,201107,46,-0.01,58,0,57,1,3923.9596,1
725393599400779,89001,1,201107,46,-0.01,22,12100,23,1,3056.9294,1
854409540479307,89001,2,201107,46,-0.01,22,12100,24,2,2819.6590,1
910391589400893,89001,2,201107,46,7.25,22,37980,59,2,2709.9987,1
560949096237269,87001,3,201107,46,-0.01,22,37980,20,1,3407.6543,1
430409907227691,89001,3,201107,46,-0.01,22,35620,20,2,2819.6590,1
663482081905591,89001,2,201107,46,10.00,21,35620,25,2,3174.3646,1
620761092731279,89001,1,201107,46,10.75,21,35620,59,1,3019.2554,1
040561096936849,87001,2,201107,46,-0.01,21,35620,18,1,2772.4708,1
