HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399310107650911,89001,3,201106,46,-0.01,58,10500,46,1,3119.1291,2
080931093017409,87001,1,201106,46,-0.01,58,12060,46,2,3527.5891,1
916054995379640,87004,1,201106,46,-0.01,22,35620,23,1,3320.0448,2
043951026907496,87001,1,201106,46,-0.01,22,35620,35,1,2944.4426,1
043951026907496,87001,2,201106,46,-0.01,22,35620,39,1,3807.6876,1
978044980339860,89001,4,201106,46,-0.01,22,35620,21,2,3099.4481,1
620761092731279,89001,1,201106,46,-0.01,21,35620,59,1,3062.2035,1
396947702067673,87002,1,201106,46,-0.01,21,35620,29,1,5526.4455,1
601902273191086,89001,3,201106,46,-0.01,21,35620,41,1,3091.1037,1
102904873295106,89001,3,201106,46,-0.01,21,35620,20,2,2596.9116,1
699270968620633,89001,1,201106,46,-0.01,21,39100,23,2,3413.7461,1
050463093331439,89001,2,201106,46,-0.01,21,35620,41,2,2722.4832,1
047443260011907,89001,1,201106,46,-0.01,21,35620,35,1,3004.1752,1
007243460900398,87001,9,201106,46,14.00,21,35620,27,1,3666.2138,1
007243460900398,87001,10,201106,46,15.50,21,35620,30,1,3997.4821,1
430609974197494,87001,1,201106,46,-0.01,21,35620,31,1,3151.4514,1
753392119600841,87001,2,201106,46,-0.01,21,35620,21,2,4002.0015,1
063998066902095,87001,2,201106,46,-0.01,21,35620,35,1,3004.1752,1
296179471479304,87011,1,201106,46,-0.01,21,35620,61,1,4013.8409,1
391918906090639,88001,1,201106,46,-0.01,21,10580,48,1,3638.5689,1
699640579720633,89001,1,201106,46,-0.01,21,28740,30,1,2778.8320,1
330609947604386,89001,2,201106,46,-0.01,21,35620,21,1,3539.1573,2
330609947604386,89001,3,201106,46,-0.01,21,35620,16,2,2800.5985,1
424895036909393,87002,2,201106,46,-0.01,23,0,21,2,4382.0083,1
831491439200807,89001,3,201106,46,-0.01,23,37980,20,2,4258.8927,1
299180165020954,87001,1,201106,46,-0.01,23,37980,51,2,3071.8367,1
567492189200974,87001,1,201106,46,-0.01,23,37980,80,1,2550.0938,1
907052819449960,87002,1,201106,46,-0.01,23,10900,28,1,3301.6290,1
605903034897672,87001,2,201106,46,-0.01,23,10900,18,2,2732.9370,1
497952206049284,89001,1,201106,46,-0.01,23,37980,48,1,2722.7242,2
931022371489690,88001,2,201106,46,7.50,23,37980,22,1,4347.0372,1
260826093746809,87001,2,201106,46,-0.01,23,38300,21,2,3234.3615,1
983809510979101,89001,8,201106,46,-0.01,58,12260,20,1,3430.7797,1
983809510979101,89001,9,201106,46,-0.01,58,12260,19,2,3211.3712,1
900073791159940,87001,2,201106,46,-0.01,58,12060,18,1,6069.5370,1
020937093511159,89001,2,201106,46,-0.01,58,12060,69,2,2866.5095,1
101011601002311,89001,3,201106,46,-0.01,58,47580,16,2,4085.8921,1
643905034909693,87001,3,201106,46,7.25,22,47220,17,2,2361.7112,1
952044883349510,87001,2,201106,46,9.50,22,35620,31,1,2521.0592,1
065193660953590,87001,2,201106,46,-0.01,21,15380,50,2,2718.5229,1
699230195530953,87001,3,201106,46,-0.01,21,39100,18,1,3569.2842,2
918006671369270,87001,2,201106,46,-0.01,21,35620,47,2,3645.6672,1
968396339600992,87001,1,201106,46,-0.01,21,35620,34,1,3074.7698,1
570966099731719,89001,3,201106,46,-0.01,21,28740,25,2,3468.7490,1
299570717440624,89001,4,201106,46,-0.01,23,0,17,2,2951.9266,1
428466249200964,89001,4,201106,46,-0.01,23,0,19,2,2951.9266,1
063062105480390,88001,1,201106,46,-0.01,23,39740,42,1,2931.2757,1
492981105016276,89001,3,201106,46,-0.01,23,37980,17,2,2902.9920,1
