HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
793439810549104,89001,1,201105,46,-0.01,58,12060,28,2,3449.8268,1
793439810549104,89001,2,201105,46,-0.01,58,12060,27,1,3449.8268,1
399810904980971,88001,1,201105,46,10.00,58,12260,53,1,3494.7517,1
399810904980971,88001,2,201105,46,2.13,58,12260,29,2,4037.7653,1
717390779400823,89001,1,201105,46,-0.01,22,35620,53,1,3096.0736,1
550942095937929,88001,1,201105,46,-0.01,22,35620,39,1,3011.7887,1
978054732319030,89001,4,201105,46,-0.01,22,35620,40,1,3217.1788,1
499030602620973,88001,1,201105,46,25.00,22,35620,41,1,3055.5654,1
002900863997484,89001,2,201105,46,-0.01,22,35620,24,1,4075.2125,1
489150937580943,87001,3,201105,46,-0.01,22,35620,22,2,4289.5364,1
620761092731279,89001,1,201105,46,-0.01,21,35620,59,1,3036.8566,1
390921008025683,89001,1,201105,46,-0.01,21,35620,40,1,2955.2095,1
963206024904495,87001,1,201105,46,-0.01,21,35620,31,1,2814.8712,1
530609972548331,87001,2,201105,46,-0.01,21,35620,17,2,2284.2050,1
746779650729306,87002,1,201105,46,-0.01,21,35620,72,1,2643.0946,1
907006039389890,88001,2,201105,46,-0.01,21,35620,67,1,4059.5762,2
944006333389760,88001,2,201105,46,-0.01,21,35620,25,1,2843.9802,1
944006333389760,88001,5,201105,46,-0.01,21,35620,39,1,2469.5324,1
944006333389760,88001,6,201105,46,-0.01,21,35620,23,1,4372.2970,1
945046037389280,88001,2,201105,46,-0.01,21,35620,58,1,3556.5137,1
979056970379950,88001,1,201105,46,-0.01,21,15380,19,1,3441.4684,2
830609942571792,88001,1,201105,46,-0.01,21,15380,22,1,2780.2855,1
030863260963096,89001,4,201105,46,-0.01,21,45060,20,1,3052.6389,1
986409410889303,89001,1,201105,46,-0.01,21,45060,30,2,3096.4358,1
986409410889303,89001,2,201105,46,-0.01,21,45060,30,1,3143.9779,1
097063360999097,87001,2,201105,46,10.00,21,35620,41,1,3731.8599,1
050463093331439,89001,2,201105,46,-0.01,21,35620,41,1,2719.8601,1
047443260011907,89001,1,201105,46,-0.01,21,35620,35,1,3253.2748,1
007243460900398,87001,10,201105,46,-0.01,21,35620,30,1,4036.8184,1
395997600080690,88001,1,201105,46,-0.01,21,35620,49,1,3805.9712,1
563043037901393,88001,3,201105,46,-0.01,21,35620,35,1,4304.7954,1
995066054369410,87001,4,201105,46,-0.01,21,35620,18,2,3138.3527,1
160064095436599,87001,5,201105,46,-0.01,21,35620,18,2,3138.3527,1
160064095436599,87001,6,201105,46,-0.01,21,35620,18,2,3138.3527,1
968396339600992,87001,1,201105,46,-0.01,21,35620,33,1,3050.1118,1
699640579720633,87261,1,201105,46,4.85,21,28740,25,2,3431.4127,1
699640579720633,87261,2,201105,46,10.00,21,28740,23,2,4735.7699,1
545499889200416,87001,3,201105,46,-0.01,23,38300,26,1,3568.5204,1
498928106045299,88001,5,201105,46,-0.01,23,39740,20,1,3806.2988,2
540209922103150,87001,3,201105,46,-0.01,23,37980,23,1,3044.1747,1
001904794892822,89001,3,201105,46,-0.01,23,42540,23,1,3986.5376,2
992749450289407,87001,2,201105,46,-0.01,23,10900,26,1,2642.9682,2
018022101480060,88001,1,201105,46,-0.01,23,0,41,2,3064.0788,1
782879030559409,87001,4,201105,46,23.00,23,37980,19,1,3852.0132,1
507908854899702,88001,3,201105,46,3.38,23,37980,22,2,4816.5486,1
160920091041559,89001,1,201105,46,-0.01,23,49620,52,1,3080.7151,1
