HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399400399980911,89001,2,201104,46,-0.01,58,42340,19,2,3054.8261,1
193948705015349,88001,2,201104,46,-0.01,58,12060,23,1,3609.7971,1
399800161200911,89001,1,201104,46,-0.01,58,12060,34,2,3827.5571,1
369810463910961,88001,2,201104,46,-0.01,58,12060,24,1,4240.1097,1
369810463910961,88001,3,201104,46,-0.01,58,12060,22,1,3460.8948,1
948003502189110,88001,1,201104,46,-0.01,58,12060,22,1,3712.1230,1
104056803091381,88001,1,201104,46,-0.01,58,12060,28,1,3431.1844,1
399810904980971,88001,1,201104,46,-0.01,58,12260,53,1,3408.1277,1
399810904980971,88001,2,201104,46,-0.01,58,12260,28,2,3636.3086,1
070647097536549,88001,2,201104,46,20.00,22,35620,54,1,3333.9508,1
986054782379060,88001,1,201104,46,-0.01,22,35620,35,1,2970.1269,1
986054782379060,88001,2,201104,46,-0.01,22,35620,45,1,3156.4761,1
943665076909097,88001,3,201104,46,8.00,22,35620,16,2,2794.2322,1
620761092731279,89001,1,201104,46,-0.01,21,35620,59,1,3244.1656,1
130609906355961,89001,2,201104,46,-0.01,21,15380,29,2,3007.9443,1
244392959600460,87001,1,201104,46,-0.01,21,35620,32,1,2535.5492,1
907006039389890,88001,2,201104,46,-0.01,21,35620,67,1,3586.7298,1
977026176389640,88001,1,201104,46,-0.01,21,35620,40,1,3057.6110,1
957066759359820,87001,3,201104,46,-0.01,21,40380,20,2,3614.7454,1
601902273191086,89001,3,201104,46,-0.01,21,35620,41,1,3062.5730,1
397991106078683,89001,4,201104,46,-0.01,21,35620,21,1,3805.0010,1
547391689600268,87001,1,201104,46,-0.01,21,35620,45,1,2770.4203,1
720864098936889,88001,3,201104,46,-0.01,21,45060,17,2,2806.2067,1
205005933109286,87001,2,201104,46,-0.01,21,39100,46,1,3406.3891,1
630609974197444,88001,1,201104,46,-0.01,21,35620,63,1,3612.2954,1
630609974197444,88001,3,201104,46,-0.01,21,35620,21,2,4284.6182,1
630609974197444,88001,4,201104,46,-0.01,21,35620,19,1,3693.2682,1
395997600080690,88001,1,201104,46,-0.01,21,35620,49,1,3542.9394,1
080866097232269,87001,3,201104,46,-0.01,21,35620,28,1,4661.0535,2
630563099938289,88001,1,201104,46,-0.01,21,35620,50,1,2928.9514,2
310969090331129,89001,1,201104,46,-0.01,21,35620,56,1,3209.3855,1
545499889200416,87001,3,201104,46,-0.01,23,38300,26,1,3615.1171,1
259450301230964,88001,2,201104,46,-0.01,23,38300,46,2,2976.4210,1
259450301230964,88001,3,201104,46,-0.01,23,38300,18,2,3787.5933,1
919092885489620,88001,2,201104,46,-0.01,23,38300,46,1,3433.1833,1
822459820719407,87001,3,201104,46,7.25,23,37980,16,2,4390.6813,1
492942309083239,87001,1,201104,46,-0.01,23,37980,60,1,2879.0957,1
299830011470974,88001,1,201104,46,-0.01,23,37980,46,2,2910.9727,1
240209931408090,87001,2,201104,46,-0.01,23,0,59,1,3042.9894,1
822699920499407,87001,4,201104,46,7.25,23,38300,19,2,3386.5060,1
195926606048389,88001,3,201104,46,10.50,58,12060,30,1,2964.7426,1
710300032884412,88001,1,201104,46,-0.01,58,12060,54,1,3813.3189,1
931847056909096,88001,1,201104,46,9.25,58,47580,34,1,2759.3004,1
830409905457794,88001,3,201104,46,-0.01,22,12100,23,2,3121.3303,1
330409930184389,87001,6,201104,46,-0.01,22,37980,27,1,2469.6437,2
864119940239305,87001,3,201104,46,-0.01,22,35620,24,1,3008.6242,2
407900123897274,88001,2,201104,46,-0.01,22,35620,21,2,3797.8911,2
463147056909797,88001,2,201104,46,-0.01,21,10580,45,1,3130.7611,1
046923360970194,87001,1,201104,46,-0.01,21,15380,46,2,3021.6754,1
046923360970194,87001,3,201104,46,-0.01,21,15380,26,2,3197.0134,1
398906302046647,88001,4,201104,46,-0.01,21,40380,20,-1,3515.9187,3
063998064907095,87001,1,201104,46,-0.01,21,35620,41,1,3529.0897,1
840209924959795,88001,1,201104,46,-0.01,23,0,67,1,2905.2216,1
840209924959795,88001,2,201104,46,-0.01,23,0,71,1,2578.3946,1
560227007247670,88001,3,201104,46,-0.01,23,37980,17,2,3684.1224,1
630822093342699,87002,1,201104,46,8.25,23,25420,21,2,3858.9918,1
440209937926497,87001,3,201104,46,-0.01,23,37980,27,1,5046.7047,1
979093979139400,87002,1,201104,46,-0.01,58,42340,20,1,3554.1276,2
220130008912620,87001,5,201104,46,-0.01,58,12060,27,-1,5170.0893,3
360931099217389,88001,1,201104,46,-0.01,58,12060,47,1,3272.4080,1
988023689129470,87001,2,201104,46,7.34,58,12060,22,1,3460.8948,1
410309953330597,87001,1,201104,46,-0.01,58,0,46,2,3290.4658,1
410309953330597,87001,2,201104,46,-0.01,58,0,19,1,3092.8515,1
901004271104653,89001,3,201104,46,-0.01,58,12060,18,2,2614.7756,2
031523028909195,88001,3,201104,46,-0.01,58,12060,18,2,3506.0492,1
949193999300791,87002,2,201104,46,-0.01,58,12060,22,2,3609.7971,1
810309915400479,88001,1,201104,46,-0.01,58,12060,40,1,3481.8818,1
903083940179100,88001,1,201104,46,-0.01,58,12060,20,1,4176.3800,1
020937093511159,89001,2,201104,46,-0.01,58,12060,69,2,3070.1325,1
