HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
106087509053301,88001,2,201103,46,-0.01,58,12060,46,1,3463.4859,2
195901207054325,87001,1,201103,46,-0.01,58,12060,31,1,3231.5911,1
104056803091381,88001,1,201103,46,-0.01,58,12060,28,1,3685.1112,1
330409930184389,87001,6,201103,46,-0.01,22,37980,27,1,3250.1346,2
070647097536549,88001,2,201103,46,-0.01,22,35620,54,1,3477.7458,1
704129230039301,87001,1,201103,46,-0.01,22,35620,48,1,3360.0028,1
704129230039301,87001,3,201103,46,-0.01,22,35620,19,2,2537.1130,1
479760882610953,88001,1,201103,46,-0.01,22,35620,30,1,2875.0280,2
005823740978696,88001,1,201103,46,-0.01,22,35620,43,1,3130.4136,1
830409933144370,88001,6,201103,46,-0.01,22,35620,25,1,2877.1069,1
864119940239305,87001,3,201103,46,-0.01,22,35620,24,1,2918.6523,2
079313140996197,87001,1,201103,46,15.00,22,35620,58,1,3001.5867,1
035023540994898,88001,1,201103,46,-0.01,22,35620,54,2,3174.7984,2
028343140970995,87002,1,201103,46,-0.01,22,35620,28,1,2082.4527,2
643995018909297,88001,1,201103,46,-0.01,22,35620,53,1,2947.9862,1
643995018909297,88001,2,201103,46,-0.01,22,35620,55,1,2785.9890,1
000423140999598,87001,2,201103,46,10.00,22,35620,68,2,3125.7620,1
543767078907394,88001,5,201103,46,-0.01,22,35620,46,1,2658.3941,1
543767078907394,88001,6,201103,46,-0.01,22,35620,40,1,2839.5779,1
766229110729307,87001,4,201103,46,7.50,21,35620,21,1,4382.8630,1
679610904480953,88001,1,201103,46,-0.01,21,35620,52,2,2672.0715,1
230609986516494,87001,2,201103,46,-0.01,21,13780,32,2,3294.0712,1
600965095537559,88001,2,201103,46,-0.01,21,39100,53,1,3101.1140,1
990860094332899,87002,1,201103,46,-0.01,21,15380,22,2,3156.1679,1
230609942195528,87002,3,201103,46,-0.01,21,35620,24,2,2910.6164,1
230609942195528,87002,5,201103,46,-0.01,21,35620,24,2,3461.6566,1
230609942195528,87002,7,201103,46,-0.01,21,35620,24,2,3461.6566,1
963206024904495,87001,1,201103,46,-0.01,21,35620,31,1,2746.2635,1
398932501077684,87001,1,201103,46,-0.01,21,35620,46,1,2884.7003,1
398932501077684,87001,2,201103,46,-0.01,21,35620,48,1,2852.8252,1
398932501077684,87001,4,201103,46,-0.01,21,35620,18,2,4019.3727,1
040523160926599,87001,1,201103,46,10.80,21,35620,50,1,3323.7428,1
945046037389280,88001,2,201103,46,-0.01,21,35620,58,1,4190.3757,1
926469230449307,87001,1,201103,46,-0.01,21,40380,38,2,3250.7223,1
610309050600189,87001,1,201103,46,11.00,21,35620,51,1,3581.6531,1
610309050600189,87001,2,201103,46,8.00,21,35620,85,1,4547.6219,1
630609974197444,88001,1,201103,46,-0.01,21,35620,63,1,3557.3118,1
630609974197444,88001,3,201103,46,-0.01,21,35620,21,2,4702.5883,1
630609974197444,88001,4,201103,46,-0.01,21,35620,19,2,4258.8872,1
020522091444929,87001,2,201103,46,-0.01,23,37980,43,1,3336.8963,2
923052912479320,88001,1,201103,46,-0.01,23,25420,50,1,3165.7595,1
492981105016276,87001,2,201103,46,7.40,23,37980,32,2,3242.5334,1
299830011470974,88001,1,201103,46,-0.01,23,37980,46,2,2819.6816,1
299470317810954,88001,1,201103,46,19.50,23,0,26,1,3468.3191,1
299470317810954,88001,2,201103,46,10.00,23,0,31,1,2690.9048,1
850727092441169,87001,3,201103,46,-0.01,23,37980,20,2,5216.2443,1
499936305043294,88001,2,201103,46,-0.01,23,37980,23,1,4480.1804,1
507908854899702,88001,3,201103,46,-0.01,23,37980,22,2,4658.1533,1
822699920499407,87001,4,201103,46,-0.01,23,38300,19,2,3495.9465,1
195926606048389,88001,3,201103,46,-0.01,58,12060,30,1,3226.6222,1
931847056909096,88001,1,201103,46,-0.01,58,47580,34,1,3056.8736,1
268393119400905,88001,3,201103,46,-0.01,22,37980,28,2,3799.1079,1
806905313990214,88001,1,201103,46,-0.01,22,37980,70,1,2888.3045,2
952619750099406,88001,1,201103,46,-0.01,23,25420,61,2,3278.7774,2
630822093342699,87002,1,201103,46,-0.01,23,25420,21,2,3942.2479,1
652043930129440,87002,1,201103,46,-0.01,58,0,31,1,3609.9736,2
943329420546110,87002,2,201103,46,-0.01,58,0,22,2,3423.1034,1
399660425370951,88001,1,201103,46,-0.01,58,12060,23,1,2785.7628,1
410309953330597,87001,1,201103,46,-0.01,58,0,46,2,3424.7502,1
410309953330597,87001,2,201103,46,-0.01,58,0,19,1,3107.0980,1
369810463910961,88001,2,201103,46,-0.01,58,12060,24,1,3975.7394,1
369810463910961,88001,3,201103,46,-0.01,58,12060,22,1,3263.5035,1
810309931408070,88001,1,201103,46,-0.01,58,12060,19,2,3809.8113,1
907073989139190,87001,2,201103,46,-0.01,58,31420,21,1,3727.1193,2
410140325700013,87001,2,201103,46,12.00,22,12100,42,2,2254.0936,1
830409905457794,88001,3,201103,46,-0.01,22,12100,23,2,2908.9705,1
062423340993598,87001,4,201103,46,-0.01,22,37980,16,2,3556.1752,2
310944099633619,87001,1,201103,46,-0.01,22,35620,43,1,3330.2782,1
550942095937929,88001,1,201103,46,-0.01,22,35620,38,1,2938.0959,1
986054782379060,88001,1,201103,46,-0.01,22,35620,35,1,2938.0959,1
986054782379060,88001,2,201103,46,-0.01,22,35620,45,1,3075.2428,1
190947097131639,87001,3,201103,46,7.50,22,35620,16,2,2438.7566,1
302093508043401,87001,1,201103,46,-0.01,22,35620,32,1,2667.0238,1
553399829400840,88001,4,201103,46,-0.01,22,35620,17,-1,2453.3510,3
060943090637229,88001,3,201103,46,-0.01,22,35620,22,2,4025.8218,1
060943090637229,88001,7,201103,46,-0.01,22,35620,19,2,3373.1407,1
499590814790913,87001,1,201103,46,-0.01,22,10900,59,2,2862.0178,1
649460455040913,87001,5,201103,46,11.50,21,35620,21,1,4471.4881,1
946749170216301,88001,1,201103,46,-0.01,21,0,38,1,3084.8902,1
070465091633689,87001,1,201103,46,-0.01,21,35620,30,2,3595.1969,1
244392959600460,87001,1,201103,46,-0.01,21,35620,32,1,2746.2635,1
826539160279302,88001,1,201103,46,-0.01,21,35620,54,1,3971.0383,1
663155083905193,87001,3,201103,46,-0.01,21,35620,43,1,3454.7292,1
629940255060913,87001,2,201103,46,-0.01,21,35620,31,-1,3684.9197,3
534398429600173,87001,5,201103,46,-0.01,21,35620,21,2,5228.7931,1
130606979165990,87001,3,201103,46,9.00,21,0,18,2,3392.1857,1
230609981829373,87001,1,201103,46,-0.01,21,35620,52,1,3368.9966,1
007243460900398,87001,10,201103,46,-0.01,21,35620,30,1,4174.4771,1
404909513298726,87001,2,201103,46,-0.01,21,35620,40,1,4314.1451,1
430609972951824,87002,1,201103,46,-0.01,21,35620,21,1,3715.8812,2
395997600080690,88001,1,201103,46,-0.01,21,35620,48,1,3417.6902,1
392984206027647,87001,2,201103,46,-0.01,21,35620,54,1,3770.0516,1
392984206027647,87001,4,201103,46,-0.01,21,35620,23,2,3772.5160,1
730609967748084,88001,3,201103,46,-0.01,21,35620,20,2,4831.5148,1
663536048909598,88001,1,201103,46,-0.01,21,35620,68,2,3242.2776,1
013293460935699,87001,2,201103,46,-0.01,21,35620,45,1,3556.1411,1
016893560992597,88001,1,201103,46,-0.01,21,0,46,1,2997.6878,1
392985103078688,88001,1,201103,46,-0.01,21,35620,50,1,3479.0850,1
752279530779401,87001,3,201103,46,-0.01,23,38300,18,2,3654.7420,1
840209924959795,88001,1,201103,46,-0.01,23,0,67,1,2982.8745,1
840209924959795,88001,2,201103,46,-0.01,23,0,70,1,2687.0383,1
063062105480390,88001,1,201103,46,-0.01,23,39740,41,1,3216.8916,1
840209910466499,88001,3,201103,46,-0.01,23,25420,22,1,4009.1495,1
523495879200916,87002,2,201103,46,-0.01,23,0,20,1,4224.7647,1
606606884998192,88001,2,201103,46,-0.01,23,0,37,2,2926.2558,1
972549270219407,88001,1,201103,46,-0.01,23,0,20,2,4356.9580,1
832969780966408,88001,2,201103,46,-0.01,23,0,50,1,3329.5997,1
922869510869404,87001,1,201103,46,10.00,23,10900,40,1,3222.8642,1
922869510869404,87001,3,201103,46,8.25,23,10900,26,1,3620.2349,1
495923607049248,87001,3,201103,46,-0.01,23,10900,31,2,3413.9793,1
907052819449960,87002,1,201103,46,-0.01,23,10900,28,1,3722.1914,1
497905603076238,88001,2,201103,46,-0.01,23,10900,55,1,2928.3866,1
497905603076238,88001,3,201103,46,9.00,23,10900,27,1,3476.2545,1
140209958214086,87001,2,201103,46,-0.01,23,37980,51,1,3150.5570,1
140209958214086,87001,3,201103,46,9.00,23,37980,21,2,4058.6395,1
782879030559409,87001,4,201103,46,-0.01,23,37980,19,1,3969.5784,1
957052589449080,87001,1,201103,46,-0.01,23,37980,49,1,3754.8456,1
992399010299400,87001,1,201103,46,7.25,23,38300,16,2,2225.4488,1
530722098441109,87002,2,201103,46,3.15,23,38300,42,2,2740.8839,1
530722098441109,87002,3,201103,46,7.25,23,38300,16,2,2693.5494,1
530722098441109,87002,5,201103,46,3.35,23,38300,64,2,2418.2100,1
731025021905495,87001,1,201103,46,12.00,58,12060,31,1,3162.0564,1
407900123897274,88001,2,201103,46,-0.01,22,35620,21,2,3508.6338,1
100869096132439,87001,3,201103,46,-0.01,21,35620,53,1,3512.3061,2
100869096132439,87001,4,201103,46,-0.01,21,35620,23,1,4550.5398,1
957066759359820,88001,1,201103,46,-0.01,21,40380,31,1,3167.1242,2
060765094035839,88001,1,201103,46,15.00,21,35620,52,1,3444.8954,1
