HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
810309973445195,86001,1,201102,46,10.00,58,12060,27,1,3696.7156,1
810309973445195,86001,7,201102,46,9.25,58,12060,29,1,3696.7156,1
057841330994791,87001,2,201102,46,-0.01,58,10500,21,2,3062.0805,1
195901207054325,87001,1,201102,46,-0.01,58,12060,31,1,3311.8696,1
843969340439105,88001,1,201102,46,-0.01,58,12060,40,1,2679.7479,1
864079560699306,88001,3,201102,46,-0.01,22,35620,17,1,3788.8589,2
330409930184389,87001,6,201102,46,-0.01,22,37980,27,1,3369.6744,2
070647097536549,88001,2,201102,46,-0.01,22,35620,54,1,3286.9670,1
268393119400905,88001,3,201102,46,-0.01,22,37980,28,2,3662.3644,1
079313140996197,87001,1,201102,46,-0.01,22,35620,57,1,3046.1412,1
028343140970995,87002,1,201102,46,-0.01,22,35620,27,1,1817.1783,2
973014996339670,87001,2,201102,46,-0.01,22,35620,42,1,2816.0164,1
000423140999598,87001,2,201102,46,-0.01,22,35620,67,2,3111.8142,1
499590814790913,87001,1,201102,46,-0.01,22,10900,58,2,2787.5808,1
679610904480953,88001,1,201102,46,-0.01,21,35620,52,2,2718.4980,1
011743860984895,86001,2,201102,46,9.50,21,0,43,2,3275.1960,1
011743860984895,86001,3,201102,46,8.50,21,0,17,2,3789.3981,1
659060951530963,88001,2,201102,46,-0.01,21,15380,31,2,3413.6086,1
244392959600460,88001,1,201102,46,-0.01,21,35620,30,1,2794.7899,1
763252035900291,88001,3,201102,46,-0.01,21,35620,25,1,4279.6486,2
760399089600493,88001,2,201102,46,-0.01,21,35620,43,1,4124.7317,1
630609938402476,88001,2,201102,46,-0.01,21,40380,16,2,3498.5307,1
840062095738349,86001,1,201102,46,7.75,21,35620,33,1,3503.1271,1
720864098936889,88001,3,201102,46,-0.01,21,45060,17,2,3043.7957,1
330609981829353,87001,5,201102,46,-0.01,21,35620,22,1,3042.5835,2
306439360359303,88001,3,201102,46,-0.01,21,35620,29,1,2115.0312,1
630609974197444,88001,1,201102,46,-0.01,21,35620,63,1,3272.8924,1
630609974197444,88001,3,201102,46,-0.01,21,35620,21,2,4231.4572,1
630609974197444,88001,4,201102,46,-0.01,21,35620,19,2,3357.3329,1
390987408016698,88001,3,201102,46,-0.01,21,35620,49,1,3992.0239,1
390987408016698,88001,8,201102,46,-0.01,21,35620,21,2,5131.6518,1
995066554349410,88001,3,201102,46,-0.01,21,35620,58,1,3103.3276,1
995066554349410,88001,4,201102,46,9.25,21,35620,18,2,3832.3436,1
730609954516489,88001,3,201102,46,-0.01,21,35620,23,2,4571.5717,1
016893560992597,88001,1,201102,46,-0.01,21,0,46,1,3188.6321,1
699640579720633,87002,1,201102,46,-0.01,21,28740,26,1,3868.3879,1
699640579720633,87261,1,201102,46,-0.01,21,28740,25,2,3868.3879,1
424613045906490,88001,3,201102,46,-0.01,23,38300,41,2,2631.0395,1
560227007247670,88001,3,201102,46,-0.01,23,37980,17,2,4214.6275,1
498972003064279,87002,1,201102,46,-0.01,23,29540,28,2,3845.2821,1
922869510869404,87001,1,201102,46,-0.01,23,10900,40,2,3299.8134,1
922869510869404,87001,3,201102,46,-0.01,23,10900,26,1,3565.3707,1
497905603076238,88001,2,201102,46,-0.01,23,10900,55,1,2814.6538,1
497905603076238,88001,3,201102,46,-0.01,23,10900,27,1,3452.1039,1
924082977459490,88001,1,201102,46,-0.01,23,10900,25,1,2266.2030,1
440209909947190,88001,1,201102,46,7.25,23,0,68,2,2828.1901,1
071124120994593,87001,1,201102,46,-0.01,23,0,44,2,2983.9492,1
240209931408090,87001,2,201102,46,-0.01,23,0,59,1,2904.0542,1
195926606048389,88001,3,201102,46,-0.01,58,12060,30,1,3196.7665,1
