HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
943329420546110,87002,2,201101,46,-0.01,58,0,22,2,3538.6679,1
080511430012601,88001,1,201101,46,-0.01,58,12060,62,1,2986.0995,2
403900101692813,88001,1,201101,46,-0.01,58,12060,61,1,3565.9030,1
610309991775877,88001,1,201101,46,-0.01,58,12060,30,1,3176.9425,1
610309991775877,88001,5,201101,46,-0.01,58,12060,31,1,2899.5763,2
410140325700013,87001,2,201101,46,-0.01,22,12100,42,2,2183.3922,1
070647097536549,88001,2,201101,46,-0.01,22,35620,54,1,3347.4538,1
479760882610953,88001,1,201101,46,-0.01,22,35620,29,1,3292.3373,2
079313140996197,87001,1,201101,46,-0.01,22,35620,57,1,3132.2042,1
076253440989991,88001,2,201101,46,-0.01,22,35620,41,1,3129.3403,1
894919740269305,88001,1,201101,46,-0.01,22,35620,26,1,2511.9007,1
894919740269305,88001,3,201101,46,-0.01,22,35620,25,1,2511.9007,1
649460455040913,87001,5,201101,46,-0.01,21,35620,21,1,4315.9889,1
391901604094686,87001,1,201101,46,-0.01,21,35620,39,1,4789.2517,1
391901604094686,87001,2,201101,46,-0.01,21,35620,39,1,4789.2517,1
679610904480953,88001,1,201101,46,-0.01,21,35620,52,2,2975.6959,1
466229170729307,86001,4,201101,46,-0.01,21,35620,32,-1,4121.5478,3
730609913127564,86001,1,201101,46,9.50,21,35620,25,1,4682.0002,1
330609945863037,88001,3,201101,46,9.00,21,35620,23,1,3584.1663,1
392943708031658,88001,3,201101,46,11.50,21,35620,48,1,4648.1946,1
450269098035059,88001,4,201101,46,-0.01,21,35620,31,1,4233.7733,1
746779650729306,88001,1,201101,46,-0.01,21,35620,23,2,4605.5696,1
663259071906598,87001,3,201101,46,-0.01,21,40380,23,2,3918.1207,1
012313360979894,88001,3,201101,46,5.00,21,40380,26,2,3888.1675,1
840062095738349,86001,1,201101,46,-0.01,21,35620,33,1,3542.1268,1
830609994650275,86002,2,201101,46,-0.01,21,35620,27,1,3830.5683,1
689840978280963,88001,5,201101,46,-0.01,21,45060,16,2,3156.6535,1
079413360997994,88001,1,201101,46,7.55,21,45060,19,2,3123.6516,1
639740494710923,87001,1,201101,46,-0.01,21,35620,35,1,2479.3462,1
063998067900095,86001,2,201101,46,12.75,21,35620,32,1,2292.0884,1
912006555389350,86001,2,201101,46,-0.01,21,35620,47,1,3295.5039,1
394975407030646,88001,2,201101,46,-0.01,21,35620,40,2,3315.5843,1
904076243379470,86001,3,201101,46,14.00,21,35620,46,1,2778.6379,1
016893560992597,88001,1,201101,46,-0.01,21,0,46,1,3121.7295,1
444496409200931,88001,1,201101,46,-0.01,23,38300,38,1,3097.7302,1
740209905340887,86002,1,201101,46,-0.01,23,39740,20,-1,4415.7783,3
600128001148250,86001,3,201101,46,-0.01,23,37980,16,2,3642.3222,1
980022944479510,86001,2,201101,46,-0.01,23,0,41,1,3106.6724,1
497905603076238,88001,2,201101,46,-0.01,23,10900,55,1,2963.5097,1
497905603076238,88001,3,201101,46,-0.01,23,10900,27,1,3809.8840,2
440209909947190,88001,1,201101,46,-0.01,23,0,68,2,2855.1482,1
530722098441109,87002,2,201101,46,-0.01,23,38300,41,2,2703.5980,1
530722098441109,87002,3,201101,46,-0.01,23,38300,16,2,2696.3603,1
530722098441109,87002,5,201101,46,-0.01,23,38300,64,2,2668.3628,1
973052977439500,88001,2,201101,46,7.95,23,38300,19,2,3451.9426,1
067644520017605,88001,1,201101,46,-0.01,23,38300,40,1,3127.1237,1
310300024693612,88001,1,201101,46,-0.01,58,12060,41,1,3082.0438,1
310370505210041,88001,1,201101,46,-0.01,58,12060,18,2,2568.1138,1
974819270949309,86001,2,201101,46,19.00,22,35620,46,2,4502.0958,1
954459370339304,86001,4,201101,46,-0.01,22,35620,23,1,3059.4539,1
972026727319160,87001,1,201101,46,-0.01,21,35620,54,1,3566.8872,1
699440792870633,88001,3,201101,46,-0.01,21,0,17,-1,3764.3651,3
373390539600134,86001,2,201101,46,9.15,21,35620,45,1,3092.7226,1
373390539600134,86001,9,201101,46,-0.01,21,35620,18,-1,2444.8124,3
952619750099406,88001,1,201101,46,-0.01,23,25420,61,2,3029.1547,2
440209903699098,88001,3,201101,46,-0.01,23,21500,18,2,3631.7365,1
624259078909598,86001,1,201101,46,-0.01,23,0,56,1,2559.8176,1
624259078909598,86001,3,201101,46,-0.01,23,0,17,2,3242.6184,1
904606364999482,88001,1,201101,46,-0.01,23,0,45,1,2984.2494,2
496963507046278,88001,2,201101,46,8.25,23,38300,51,2,2752.3179,1
195926606048389,88001,3,201101,46,-0.01,58,12060,30,1,3153.7406,1
040621330975198,88001,1,201101,46,-0.01,58,12060,43,-1,3623.9517,3
195901207054325,87001,1,201101,46,-0.01,58,12060,31,1,3685.6715,1
731025021905495,87001,1,201101,46,-0.01,58,12060,31,1,3019.6225,1
938093614169160,88001,1,201101,46,-0.01,58,12060,43,2,2832.2440,1
938093614169160,88001,3,201101,46,-0.01,58,12060,21,1,3136.8099,1
369810463910961,88001,2,201101,46,-0.01,58,12060,24,1,3821.7594,1
369810463910961,88001,3,201101,46,-0.01,58,12060,22,1,3136.8099,1
100731098217049,86002,2,201101,46,-0.01,58,12060,27,2,4560.8065,1
790136004812780,87001,1,201101,46,-0.01,58,0,28,1,2602.2215,1
843969340439105,88001,1,201101,46,-0.01,58,12060,40,1,2468.3144,1
302904373991064,87001,1,201101,46,-0.01,22,35620,50,1,4874.9760,1
041163340996399,88001,1,201101,46,-0.01,22,35620,43,1,2446.4727,1
944969670159305,86001,5,201101,46,-0.01,22,35620,36,1,2383.2986,2
806905313990214,88001,1,201101,46,-0.01,22,37980,70,1,2856.7334,2
943058084011901,88001,2,201101,46,-0.01,22,35620,31,1,2940.9126,2
944139370049303,86001,3,201101,46,5.75,22,35620,21,2,2953.8598,1
978044980339860,88001,2,201101,46,7.00,22,35620,22,2,3059.4539,1
754309630159309,88001,1,201101,46,-0.01,22,35620,61,1,3521.2049,1
710946093633979,88001,1,201101,46,-0.01,22,35620,21,1,2427.1721,1
499590814790913,87001,1,201101,46,-0.01,22,10900,58,2,2915.3739,1
463147056909797,88001,2,201101,46,-0.01,21,10580,44,1,4495.6722,1
996019870769305,86001,1,201101,46,-0.01,21,10580,69,1,2868.2499,1
996019870769305,86001,2,201101,46,-0.01,21,10580,62,1,3340.9365,1
330609952098483,88001,1,201101,46,8.00,21,15380,60,2,3340.9365,1
659060951530963,88001,2,201101,46,-0.01,21,15380,31,2,3279.5791,1
863453072809192,87001,1,201101,46,-0.01,21,35620,44,1,2647.3292,1
826539160279302,88001,1,201101,46,-0.01,21,35620,54,1,4050.4965,1
