HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
943329420546100,88001,1,201012,46,8.50,58,0,23,1,3434.1782,1
245195949300979,88001,1,201012,46,-0.01,58,0,40,1,2551.8484,1
979093979139400,88001,1,201012,46,-0.01,58,42340,47,1,3263.2088,1
016691230014709,88001,1,201012,46,8.00,58,42340,23,1,3355.3858,1
310300028434816,88001,5,201012,46,-0.01,58,42340,18,2,2787.0087,1
464195049300991,86001,2,201012,46,-0.01,58,12060,31,1,3040.4241,1
531619074909099,88001,1,201012,46,-0.01,58,12060,66,1,3378.8680,2
531619074909099,88001,2,201012,46,-0.01,58,12060,61,1,2722.7299,1
214190759300552,87001,1,201012,46,-0.01,58,12060,22,1,4231.8020,1
214190759300552,87001,2,201012,46,-0.01,58,12060,27,1,3756.4518,1
214190759300552,87001,4,201012,46,-0.01,58,12060,30,1,3753.4415,1
195901207054325,87001,1,201012,46,-0.01,58,12060,30,1,3613.5507,1
401902071595253,87001,1,201012,46,-0.01,58,12060,32,1,3501.1684,1
080931093017409,86002,1,201012,46,-0.01,58,12060,36,1,3716.3849,2
670013981159210,88001,2,201012,46,-0.01,58,17980,21,1,3440.0102,2
944044613349060,88001,2,201012,46,-0.01,22,35620,35,1,2054.9792,1
690845097636069,86001,3,201012,46,-0.01,22,35620,19,2,2574.5093,1
220390329400911,88001,2,201012,46,10.00,22,35620,32,1,2781.3905,1
479760882610953,88001,1,201012,46,-0.01,22,35620,29,1,3383.7920,2
860746097835129,88001,1,201012,46,-0.01,22,35620,29,1,2991.4290,2
954609850799308,88001,3,201012,46,-0.01,22,45940,17,2,2352.5464,1
190947097131639,87001,3,201012,46,-0.01,22,35620,15,2,0.0000,1
943731084909391,88001,3,201012,46,-0.01,22,35620,36,1,2982.2131,1
943731084909391,88001,4,201012,46,-0.01,22,35620,36,1,2054.9792,1
937054967379470,86001,2,201012,46,-0.01,22,35620,23,1,2748.0942,1
499590814790913,87001,1,201012,46,-0.01,22,10900,58,2,2830.0615,1
689600616920983,86001,3,201012,46,-0.01,21,13780,20,2,4009.1954,1
390996409039689,86001,2,201012,46,11.00,21,15380,23,2,4154.4653,1
391976809013639,86001,3,201012,46,9.00,21,0,21,2,4247.8410,1
404900293496256,88001,1,201012,46,-0.01,21,35620,30,1,3153.3411,1
244392959600460,88001,1,201012,46,-0.01,21,35620,30,1,3153.3411,1
398905508029636,88001,3,201012,46,-0.01,21,40380,19,2,3299.8087,1
530609958308269,88001,2,201012,46,-0.01,21,40380,45,1,2877.1976,1
699990057570973,86002,2,201012,46,-0.01,21,15380,18,2,3228.0439,1
079413360997994,88001,1,201012,46,-0.01,21,45060,19,2,3002.1356,1
290361098334839,88001,1,201012,46,-0.01,21,35620,46,1,3040.1519,1
326889140399303,88001,1,201012,46,-0.01,21,35620,47,2,3040.1519,1
326889140399303,88001,2,201012,46,-0.01,21,35620,41,1,2868.0926,1
326889140399303,88001,3,201012,46,-0.01,21,35620,47,1,3040.1519,1
326889140399303,88001,4,201012,46,-0.01,21,35620,32,1,2943.9212,1
530609900305330,88001,2,201012,46,-0.01,21,35620,31,1,5276.6729,2
669400186890983,86001,2,201012,46,-0.01,21,35620,54,2,5418.7290,1
880163001538890,86001,3,201012,46,-0.01,21,35620,34,1,3751.3143,1
880163001538890,86001,4,201012,46,-0.01,21,35620,27,1,4005.7014,1
486390479600736,86001,1,201012,46,-0.01,21,35620,48,2,3421.0604,1
912459750749407,88001,3,201012,46,-0.01,23,0,19,2,2701.0990,1
041034320946999,88001,1,201012,46,-0.01,23,38300,22,2,4448.8905,2
497906707054259,86001,1,201012,46,8.25,23,11020,36,1,2836.0172,1
640209912190172,86001,3,201012,46,7.35,23,37980,17,2,2728.9513,1
740209941488581,86001,1,201012,46,-0.01,23,25420,68,2,2596.5623,1
340209983714081,88001,4,201012,46,-0.01,23,37980,15,2,0.0000,2
440209909947190,88001,1,201012,46,-0.01,23,0,68,2,2725.9967,1
973052977439500,88001,2,201012,46,-0.01,23,38300,18,2,3572.5099,1
492974305052249,88001,2,201012,46,-0.01,23,42540,47,1,2767.0043,1
310300024693612,88001,1,201012,46,-0.01,58,12060,41,1,3073.7633,1
103130740520105,88001,1,201012,46,-0.01,58,12060,20,2,3111.3552,1
