HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
943329420546100,88001,1,201011,46,-0.01,58,0,23,1,3283.2543,1
399240045430621,88001,2,201011,46,-0.01,58,0,29,2,3609.9410,1
131350028909891,86001,1,201011,46,-0.01,58,12060,35,2,2941.7601,1
988023689129470,88001,2,201011,46,-0.01,58,12060,45,1,3705.3058,1
399160530560971,86001,3,201011,46,-0.01,58,12260,23,1,3232.8567,2
800737096511429,88001,3,201011,46,-0.01,58,12060,36,2,3486.0134,1
399540185210951,86001,1,201011,46,10.00,58,10500,27,2,4291.5050,1
959043950139280,88001,1,201011,46,-0.01,58,17980,30,1,3394.8318,2
220390329400911,88001,2,201011,46,-0.01,22,35620,32,1,2675.1971,1
943058084011901,88001,2,201011,46,-0.01,22,35620,31,1,2946.9209,2
704339950969301,86003,2,201011,46,9.25,22,35620,37,1,3067.2065,1
479390109630953,86002,3,201011,46,7.75,22,35620,24,1,2609.3081,1
978044980339860,88001,2,201011,46,-0.01,22,35620,21,2,2869.9652,1
190843096336739,86001,4,201011,46,-0.01,22,35620,23,2,2818.1635,1
894919740269305,88001,1,201011,46,-0.01,22,35620,26,2,2487.3138,1
894919740269305,88001,3,201011,46,-0.01,22,35620,25,2,2487.3138,1
943731084909391,88001,3,201011,46,-0.01,22,35620,36,1,3103.3714,1
943731084909391,88001,4,201011,46,-0.01,22,35620,36,1,2228.1747,1
679100701300933,88001,2,201011,46,-0.01,21,35620,40,1,3608.9910,2
679100701300933,88001,3,201011,46,-0.01,21,35620,30,1,4549.5331,1
947066938379390,86001,2,201011,46,-0.01,21,35620,31,2,4549.5331,1
863282001903590,88001,1,201011,46,-0.01,21,35620,50,1,5418.9627,1
963206024904495,88001,1,201011,46,-0.01,21,35620,40,1,3245.5809,1
395942204088667,88001,3,201011,46,-0.01,21,40380,17,2,3788.2061,1
082643560994093,86001,1,201011,46,9.20,21,40380,43,1,2627.0421,1
082643560994093,86001,2,201011,46,7.25,21,40380,39,2,2862.8314,1
629940255060913,88001,1,201011,46,-0.01,21,35620,50,1,4198.1006,1
975066986359810,86001,2,201011,46,5.50,21,35620,21,1,4951.2519,1
171398709600154,86001,1,201011,46,-0.01,21,35620,51,1,4533.5469,1
171398709600154,86001,3,201011,46,-0.01,21,35620,19,2,2037.5139,1
840062095738349,86001,1,201011,46,-0.01,21,35620,33,1,3991.5506,1
965006879389870,86001,1,201011,46,-0.01,21,45060,23,1,4217.7162,1
063555023906193,88001,4,201011,46,-0.01,21,35620,20,2,3149.2430,1
326889140399303,88001,1,201011,46,-0.01,21,35620,47,2,3124.5887,1
326889140399303,88001,2,201011,46,-0.01,21,35620,41,1,2956.8646,1
326889140399303,88001,3,201011,46,-0.01,21,35620,47,1,3124.5887,1
326889140399303,88001,4,201011,46,-0.01,21,35620,31,1,2840.4891,1
686949080689301,86001,3,201011,46,-0.01,21,35620,29,1,3697.1095,1
730609933098483,86002,1,201011,46,-0.01,21,0,21,2,3651.2756,1
699140880980673,86001,2,201011,46,-0.01,21,0,20,2,3279.8878,1
402969270679409,86001,1,201011,46,-0.01,23,38300,16,2,3561.6708,1
980822095442039,88001,3,201011,46,-0.01,23,37980,18,2,3286.3990,1
980822095442039,88001,4,201011,46,-0.01,23,37980,16,2,3286.3990,1
938092931459170,86001,1,201011,46,7.25,23,0,33,2,3127.1504,1
289170258140964,86001,2,201011,46,-0.01,23,37980,18,2,3286.3990,1
299050418240974,86001,2,201011,46,-0.01,23,0,43,1,3464.4489,1
624259078909598,86001,1,201011,46,-0.01,23,0,55,1,2710.5916,1
624259078909598,86001,3,201011,46,-0.01,23,0,17,2,3390.2593,1
289720570900964,86001,2,201011,46,-0.01,23,29540,28,2,3133.4352,1
872009960729409,86001,1,201011,46,-0.01,23,42540,39,2,2488.2596,1
305909864890532,86002,1,201011,46,-0.01,23,38300,31,1,2894.1597,2
495901305077273,88001,2,201011,46,7.35,23,38300,57,2,3431.9514,1
495981304057256,88001,2,201011,46,-0.01,23,38300,30,1,2944.7691,2
299360720680914,88001,3,201011,46,7.35,23,38300,20,2,4005.3792,1
973052977439500,88001,2,201011,46,-0.01,23,38300,18,2,3561.6708,1
139190059300844,88001,1,201011,46,-0.01,58,12060,66,2,3118.6286,2
048321230012006,88001,2,201011,46,-0.01,58,12060,31,1,2355.8993,1
906603991992643,86001,1,201011,46,-0.01,58,17980,45,1,3105.3801,1
397906308016489,86001,4,201011,46,-0.01,22,35620,17,2,2852.6866,2
974819270949309,86001,2,201011,46,-0.01,22,35620,45,2,5655.5246,1
397966709050469,86001,1,201011,46,-0.01,22,35620,41,2,2670.4006,1
954459370339304,86001,4,201011,46,-0.01,22,35620,23,1,2869.9652,1
100869096132439,88001,7,201011,46,-0.01,21,35620,24,1,3404.5879,1
911036707339000,88001,1,201011,46,-0.01,21,35620,52,1,6367.4115,1
330609952098483,88001,1,201011,46,-0.01,21,15380,59,2,2987.0163,1
699150608760953,86001,2,201011,46,9.23,21,35620,50,1,5418.9627,1
763361026907898,86002,2,201011,46,-0.01,21,10580,33,1,3542.6929,1
560392729600946,86001,1,201011,46,-0.01,21,10580,44,2,3735.4638,1
629440370740973,86001,3,201011,46,-0.01,21,35620,44,1,3899.3209,1
629440370740973,86001,4,201011,46,-0.01,21,35620,20,2,4232.8410,1
494991901030268,88001,1,201011,46,16.25,23,38300,50,1,3175.6010,1
299720570900914,88001,1,201011,46,8.00,23,29540,22,1,3874.2485,1
902369130599400,88001,1,201011,46,-0.01,23,42540,36,2,3582.4743,1
902369130599400,88001,2,201011,46,-0.01,23,42540,33,2,3569.3062,1
331950023909264,88001,1,201011,46,-0.01,58,0,26,1,4037.2166,1
173490120660109,88001,2,201011,46,-0.01,58,42340,41,1,2969.4986,1
950073876149870,88001,3,201011,46,-0.01,58,12060,27,2,2962.1602,1
110300065427419,88001,2,201011,46,-0.01,58,12060,49,1,4274.3247,2
010421230980198,88001,3,201011,46,-0.01,58,12060,38,1,3065.3503,2
902909721996673,88001,4,201011,46,-0.01,58,12060,22,1,3308.0566,1
831789053908591,88001,3,201011,46,-0.01,58,12060,18,2,2951.8262,1
690932091713689,88001,1,201011,46,-0.01,58,0,26,1,3884.5535,1
630136007011330,88001,1,201011,46,-0.01,58,10500,33,1,3458.4574,1
802900371994713,88001,1,201011,46,-0.01,58,16860,33,2,2578.4888,1
075083145120050,88001,5,201011,46,-0.01,58,0,18,2,3058.7807,1
690845097636069,86001,3,201011,46,-0.01,22,35620,18,2,2455.4830,1
430409941095597,88001,1,201011,46,-0.01,22,37980,27,2,3074.0521,1
489370988430963,86001,3,201011,46,-0.01,22,37980,21,2,3550.9839,1
603900613693744,88001,1,201011,46,-0.01,22,35620,55,1,2900.5477,1
919014966339430,88001,2,201011,46,-0.01,22,35620,36,1,2777.7480,1
944969670159305,86001,5,201011,46,-0.01,22,35620,36,1,2334.4764,2
943386063908598,88001,3,201011,46,-0.01,22,35620,23,1,2875.8899,1
089783540996590,86001,2,201011,46,7.50,22,45940,29,1,3710.7581,1
993064731359900,86001,4,201011,46,-0.01,22,35620,48,1,2601.0101,1
944139370049303,86001,3,201011,46,-0.01,22,35620,21,2,2875.8899,1
564394839400976,86001,2,201011,46,-0.01,22,35620,22,1,3102.2370,2
564394839400976,86001,3,201011,46,-0.01,22,35620,25,1,3336.3092,2
