HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
095043150160330,86001,1,201010,46,-0.01,58,0,36,1,2747.4556,1
095043150160330,86001,2,201010,46,-0.01,58,0,31,2,2379.1695,1
970932063718959,87001,1,201010,46,-0.01,58,0,68,-1,3910.5126,3
410309964208293,86001,1,201010,46,-0.01,58,12060,47,1,3314.0779,2
389140358870981,87001,2,201010,46,8.00,58,12060,36,1,3061.1864,1
502906731999943,88001,2,201010,46,-0.01,58,0,56,2,4287.0935,1
397966709050469,86001,1,201010,46,-0.01,22,35620,41,1,2684.6001,1
395938105097489,87001,3,201010,46,-0.01,22,35620,21,-1,3268.5153,3
586392369600702,87001,6,201010,46,-0.01,21,40380,22,-1,3691.3045,3
186410060170305,86001,2,201010,46,-0.01,21,35620,25,1,3667.8250,1
069398759600918,86001,2,201010,46,-0.01,21,40380,37,1,3435.6718,1
726179110319304,88001,1,201010,46,-0.01,21,35620,25,2,3889.4390,1
326889140399303,86001,2,201010,46,6.00,21,35620,51,2,3482.2397,1
806439340359303,86001,6,201010,46,-0.01,21,35620,20,1,2804.1334,2
522497249200955,88001,1,201010,46,-0.01,23,0,24,1,3382.4508,1
520425096041799,88001,3,201010,46,-0.01,23,38300,17,2,3212.0375,1
494918901036249,87001,4,201010,46,7.25,23,0,16,2,3325.9733,1
324011028909092,87001,1,201010,46,-0.01,23,37980,39,2,3074.6565,1
324011028909092,87001,2,201010,46,-0.01,23,37980,40,1,2492.4544,1
824868016909669,86001,2,201010,46,-0.01,23,0,27,1,3269.1131,2
124757044909262,86001,3,201010,46,7.70,23,0,17,2,3325.9733,1
495922606048287,88001,3,201010,46,-0.01,23,10900,16,2,3457.3209,1
823494559200902,88001,1,201010,46,-0.01,23,10900,28,1,2731.4364,2
491912607055259,88001,2,201010,46,-0.01,23,0,51,2,3165.3586,1
982029750909400,86001,3,201010,46,-0.01,23,0,16,2,3123.6226,1
499902901037239,88001,3,201010,46,-0.01,23,38300,21,2,3478.1919,1
943329420546100,88001,1,201010,46,-0.01,58,0,23,1,2933.4912,1
399240045430621,88001,2,201010,46,-0.01,58,0,29,2,3223.5241,1
069198829300961,86001,4,201010,46,-0.01,58,0,17,2,2820.4405,1
903799430799109,88001,3,201010,46,-0.01,58,42340,19,1,2773.0021,2
602903271991533,88001,2,201010,46,-0.01,58,10500,53,1,3525.6647,1
399540185210951,86001,1,201010,46,-0.01,58,10500,27,2,4027.1301,1
010421830950198,87001,1,201010,46,-0.01,58,12060,19,-1,3421.8535,3
513089180409102,87001,2,201010,46,25.00,58,12060,35,1,3219.2097,1
710300062997510,86001,2,201010,46,-0.01,58,0,20,2,3535.7793,1
110300016451515,88001,2,201010,46,-0.01,58,12060,46,1,3946.4281,1
903889170499109,86001,1,201010,46,-0.01,58,12260,47,2,3365.9915,1
802900371994713,88001,1,201010,46,-0.01,58,16860,32,2,2360.4598,1
603900613693744,88001,1,201010,46,-0.01,22,35620,55,1,2796.3871,1
941395349400788,86001,1,201010,46,9.50,22,35620,30,1,2335.2273,1
005723140973398,88001,1,201010,46,-0.01,22,35620,28,2,2607.4044,1
993064731359900,86001,4,201010,46,-0.01,22,35620,47,1,2629.5496,1
083823840987994,87001,1,201010,46,-0.01,22,35620,29,1,3303.8760,1
083823840987994,87001,4,201010,46,-0.01,22,35620,27,1,3303.8760,1
564394839400976,86001,2,201010,46,-0.01,22,35620,22,2,3091.1830,1
564394839400976,86001,3,201010,46,-0.01,22,35620,25,2,3153.8890,1
443789013908992,88001,2,201010,46,-0.01,22,35620,23,1,2088.5082,1
964889830749300,88001,3,201010,46,-0.01,22,35620,20,2,2088.5082,1
978044980339860,88001,2,201010,46,-0.01,22,35620,21,2,2729.9735,1
443789018907992,87001,2,201010,46,9.00,22,35620,42,1,3151.9733,1
443789018907992,87001,3,201010,46,7.45,22,35620,40,1,2316.5605,1
710946093633979,88001,1,201010,46,-0.01,22,35620,21,2,2088.5082,1
921064895349790,86001,4,201010,46,9.00,22,35620,22,1,2952.7426,1
911036707339000,88001,1,201010,46,-0.01,21,35620,52,1,6006.1969,1
620661092736279,86001,3,201010,46,-0.01,21,35620,48,1,3266.6562,1
920960096331409,88001,3,201010,46,-0.01,21,39100,19,2,2911.7299,1
610000225880013,88001,2,201010,46,-0.01,21,35620,43,1,3601.9521,1
863282001903590,88001,1,201010,46,-0.01,21,35620,50,1,4628.6352,1
392943708031658,88001,3,201010,46,-0.01,21,35620,48,1,4577.7014,1
244392959600460,86001,2,201010,46,-0.01,21,35620,50,1,3776.0781,1
084683560994392,86001,2,201010,46,-0.01,21,40380,25,1,3080.6658,1
012313360979894,88001,3,201010,46,-0.01,21,40380,25,2,3769.3338,1
082643560994093,86001,1,201010,46,-0.01,21,40380,43,1,2583.3640,1
082643560994093,86001,2,201010,46,-0.01,21,40380,39,2,2748.5963,1
699470364030953,86001,1,201010,46,-0.01,21,35620,37,1,3026.2682,1
629940255060913,88001,1,201010,46,-0.01,21,35620,50,1,4360.0426,1
430609958816627,86001,1,201010,46,6.00,21,35620,51,1,3150.7002,1
063543160997296,88001,2,201010,46,-0.01,21,15380,27,1,3087.0108,1
926469230449307,88001,1,201010,46,-0.01,21,40380,27,2,3769.3338,1
734399749600141,88001,3,201010,46,-0.01,21,35620,22,2,2672.7201,1
649720854190933,88001,2,201010,46,-0.01,21,35620,21,1,3440.1913,1
649720854190933,88001,4,201010,46,-0.01,21,35620,47,1,3592.6215,1
373390539600134,86001,2,201010,46,-0.01,21,35620,45,1,2973.3902,1
928076104389030,87001,1,201010,46,-0.01,21,35620,48,1,3703.3576,1
490961404034215,88001,1,201010,46,-0.01,23,38300,36,2,2498.4831,1
490961404034215,88001,2,201010,46,-0.01,23,38300,34,1,3129.4357,1
490961404034215,88001,3,201010,46,-0.01,23,38300,44,2,2888.7347,1
494991901030268,88001,1,201010,46,-0.01,23,38300,50,2,3200.8772,1
980822095442039,88001,3,201010,46,-0.01,23,37980,18,2,3547.0209,1
980822095442039,88001,4,201010,46,-0.01,23,37980,16,2,3547.0209,1
938092931459170,86001,1,201010,46,-0.01,23,0,33,2,3043.2945,1
289170258140964,86001,2,201010,46,-0.01,23,37980,18,2,3547.0209,1
289790960510944,86001,1,201010,46,8.25,23,10900,35,2,2754.2519,1
656490379200873,86001,3,201010,46,-0.01,23,10900,20,2,3214.3807,1
048274520997994,86001,1,201010,46,-0.01,23,10900,39,1,3202.2714,1
299090140790654,86001,2,201010,46,-0.01,23,0,35,1,3267.5310,1
305909864890532,86002,1,201010,46,-0.01,23,38300,31,1,3184.8962,2
