HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
970932063718959,87001,1,201009,46,-0.01,58,0,68,2,3919.9261,2
410309964208293,86001,1,201009,46,-0.01,58,12060,47,1,3531.9165,2
689980910530983,87001,2,201009,46,-0.01,21,35620,33,1,2675.1832,1
404900293496256,86001,2,201009,46,-0.01,21,35620,48,2,3669.7463,2
392957701084695,87001,2,201009,46,15.00,21,35620,24,1,4428.4984,1
317492679200549,88001,1,201009,46,-0.01,23,37980,26,1,3697.6057,1
317492679200549,88001,2,201009,46,-0.01,23,37980,28,1,3032.1830,2
299720570900914,88001,1,201009,46,-0.01,23,29540,22,1,3628.5143,1
005614520998797,86001,2,201009,46,-0.01,23,42540,62,2,3136.6904,1
980491619200793,87001,1,201009,46,-0.01,23,37980,28,1,2871.3748,1
011291130997799,88001,1,201009,46,-0.01,58,31420,78,2,3855.1279,1
931362044909799,86001,2,201009,46,-0.01,58,12060,28,2,3334.8849,1
602903271991533,88001,2,201009,46,-0.01,58,10500,53,1,3597.4533,1
903439170089100,87001,2,201009,46,8.50,58,12060,21,1,3857.4000,1
080931093017409,87001,1,201009,46,9.50,58,12060,46,2,3564.0733,1
933529130469107,86001,2,201009,46,8.00,58,0,22,1,3428.7322,1
690845097636069,86001,3,201009,46,-0.01,22,35620,18,2,2369.9762,1
914089830959306,86001,2,201009,46,9.00,22,37980,22,2,5242.7420,1
392945502026418,86001,1,201009,46,-0.01,22,37980,80,2,3729.2309,1
083823840987994,87001,1,201009,46,-0.01,22,35620,29,1,3612.2693,1
083823840987994,87001,4,201009,46,-0.01,22,35620,27,1,3612.2693,1
397966709050469,86001,1,201009,46,-0.01,22,35620,40,2,2707.5895,1
921064895349790,86001,4,201009,46,-0.01,22,35620,22,1,3124.6881,1
620661092736279,86001,3,201009,46,-0.01,21,35620,48,1,3344.4246,1
130609906355961,88001,3,201009,46,-0.01,21,15380,31,2,3233.6512,1
679440219600933,86001,1,201009,46,-0.01,21,15380,68,1,2809.3900,2
610000225880013,88001,2,201009,46,-0.01,21,35620,43,1,3855.6421,1
926809030589302,86001,2,201009,46,15.00,21,35620,51,1,3649.8739,1
863282004907590,86001,1,201009,46,-0.01,21,35620,30,1,3510.4585,1
863282004907590,86001,2,201009,46,-0.01,21,35620,33,1,4584.4839,1
863282004907590,86001,3,201009,46,-0.01,21,35620,25,1,4893.9313,1
863282004907590,86001,4,201009,46,-0.01,21,35620,20,1,4900.4568,1
863282004907590,86001,5,201009,46,-0.01,21,35620,28,1,4893.9313,1
863282004907590,86001,8,201009,46,-0.01,21,35620,26,1,4893.9313,1
863282004907590,86001,11,201009,46,-0.01,21,35620,35,1,4466.3566,1
863282004907590,86001,12,201009,46,-0.01,21,35620,31,1,4584.4839,1
396947702067673,87002,1,201009,46,9.00,21,35620,28,1,3570.6891,1
646089980559300,87001,1,201009,46,-0.01,21,35620,45,1,3831.8091,1
082643560994093,86001,1,201009,46,-0.01,21,40380,43,1,2577.5491,1
082643560994093,86001,2,201009,46,-0.01,21,40380,39,2,2772.5334,1
699470364030953,86001,1,201009,46,-0.01,21,35620,37,1,3040.4971,1
699470364030953,86001,3,201009,46,-0.01,21,35620,19,2,2383.0017,1
826397629600712,88001,1,201009,46,-0.01,21,35620,39,1,3499.2630,1
430609958816627,86001,1,201009,46,-0.01,21,35620,51,1,3379.6304,1
186410060170305,86001,2,201009,46,-0.01,21,35620,25,1,4000.2065,1
303908293593816,86001,4,201009,46,7.25,21,35620,18,2,3416.4146,1
307908293693816,87001,1,201009,46,-0.01,21,35620,43,1,3084.8803,1
928076104389030,87001,1,201009,46,-0.01,21,35620,48,1,3922.9749,1
087813560996392,86001,3,201009,46,-0.01,21,10580,21,1,3073.3626,2
763361026907898,86002,2,201009,46,-0.01,21,10580,33,1,3165.6715,1
324891014909395,86001,1,201009,46,-0.01,23,0,61,1,3549.7049,1
494991901030268,88001,1,201009,46,-0.01,23,38300,50,2,3009.0942,1
440209994691320,86001,4,201009,46,-0.01,23,38300,17,2,3413.6506,1
027494059200983,88001,2,201009,46,-0.01,23,39740,45,1,3047.9060,1
494924104075259,86003,1,201009,46,-0.01,23,39740,25,1,2660.4668,1
524495064909196,86001,2,201009,46,-0.01,23,11020,49,1,2953.7500,1
540209922103150,86002,1,201009,46,-0.01,23,37980,23,2,3819.5659,1
404087405093271,87001,2,201009,46,-0.01,23,37980,36,1,3487.3258,1
404087405093271,87001,3,201009,46,12.00,23,37980,38,1,2785.8051,1
404087405093271,87001,5,201009,46,2.65,23,37980,19,2,2684.8301,1
938092931459170,86001,1,201009,46,-0.01,23,0,33,2,2930.6250,1
924438037908392,87001,3,201009,46,-0.01,23,37980,17,-1,3535.0639,3
902359830989402,86001,1,201009,46,2.50,23,0,19,2,3109.1070,1
048274520997994,86001,1,201009,46,-0.01,23,10900,39,2,3201.4820,1
972879050659401,86001,1,201009,46,-0.01,23,42540,27,1,2773.5055,1
299090140790654,86001,2,201009,46,-0.01,23,0,35,1,3242.1507,1
495901305077273,88001,2,201009,46,-0.01,23,38300,57,2,3234.9438,1
495981304057256,88001,2,201009,46,-0.01,23,38300,30,2,2973.8381,1
299360720680914,88001,3,201009,46,-0.01,23,38300,19,2,3042.9515,1
055774320997093,86001,3,201009,46,-0.01,23,38300,20,1,3414.7380,2
210309955560595,88001,1,201009,46,-0.01,58,46660,46,1,4155.4579,1
236103480300184,86002,1,201009,46,2.13,58,42340,32,1,3206.4476,1
236103480300184,86002,2,201009,46,-0.01,58,42340,38,1,2854.6834,1
399840978280951,86001,1,201009,46,-0.01,58,12060,33,1,3795.1201,1
399840978280951,86001,2,201009,46,-0.01,58,12060,63,1,3594.2112,1
399540185210951,86001,1,201009,46,-0.01,58,10500,27,1,3946.7010,1
263191119300995,86001,3,201009,46,-0.01,58,0,19,1,2741.1300,2
131159026909391,86001,2,201009,46,-0.01,58,0,26,1,3036.7806,1
306905111999213,86001,4,201009,46,-0.01,58,0,48,1,2547.5262,1
369340520620921,88001,1,201009,46,-0.01,58,12060,51,2,3512.6951,1
369340520620921,88001,2,201009,46,-0.01,58,12060,22,1,3634.9526,1
810309931408070,87001,1,201009,46,-0.01,58,12060,36,2,3195.2949,1
831789053908591,86001,3,201009,46,10.15,58,12060,24,2,3605.9728,1
024501330995899,86001,1,201009,46,-0.01,58,17980,47,1,2696.3864,1
110300016451515,88001,2,201009,46,-0.01,58,12060,46,1,4254.2167,1
075083145120050,88001,5,201009,46,-0.01,58,0,18,1,3080.0468,1
306051802024431,88001,1,201009,46,-0.01,22,37980,42,1,2418.6457,1
941395349400788,86001,1,201009,46,-0.01,22,35620,30,1,2437.2911,1
007901033891224,87001,1,201009,46,-0.01,22,35620,42,1,3091.6686,2
993064731359900,86001,4,201009,46,-0.01,22,35620,47,1,2390.1260,1
993064731359900,86001,6,201009,46,-0.01,22,35620,45,1,2756.1821,1
864119940239305,86001,2,201009,46,-0.01,22,35620,34,1,2607.4441,1
910843090938069,87001,1,201009,46,-0.01,22,35620,58,1,3030.6929,2
085093560943199,86002,1,201009,46,-0.01,21,35620,33,1,4250.0794,2
516469980309301,87001,2,201009,46,-0.01,21,35620,30,1,2675.1832,1
130609944785983,88001,1,201009,46,-0.01,21,15380,30,2,2889.5334,2
910056739359650,86001,1,201009,46,-0.01,21,15380,35,2,2578.9826,1
707906563692776,87001,2,201009,46,9.75,21,15380,45,1,2929.6837,1
702907423496766,88001,2,201009,46,-0.01,21,35620,45,1,2700.6531,1
702907423496766,88001,4,201009,46,-0.01,21,35620,45,1,3630.5456,1
751394829600335,86001,4,201009,46,-0.01,21,35620,20,1,2262.0158,1
084683560994392,86001,2,201009,46,-0.01,21,40380,25,1,3071.7516,1
863113046909797,86001,2,201009,46,-0.01,21,40380,23,1,5186.4991,2
230966095037269,87001,1,201009,46,4.85,21,40380,22,2,3759.9449,1
397961400034638,88001,1,201009,46,-0.01,21,35620,51,1,3259.7492,1
397961400034638,88001,3,201009,46,-0.01,21,35620,27,1,3096.1662,1
397961400034638,88001,5,201009,46,-0.01,21,35620,30,1,3517.6261,1
650390049600863,86001,4,201009,46,-0.01,21,35620,15,2,0.0000,1
268396679600992,86003,2,201009,46,-0.01,21,39100,25,2,3660.6727,1
397966206098629,86001,1,201009,46,-0.01,21,39100,26,2,4017.3300,1
397966206098629,86001,2,201009,46,-0.01,21,39100,50,2,3355.4395,1
726179110319304,88001,1,201009,46,-0.01,21,35620,25,1,3951.2617,1
330609900305380,86001,2,201009,46,8.45,21,35620,60,1,4189.1123,1
063998067900095,87001,2,201009,46,2.13,21,35620,52,1,4335.9889,1
063998067900095,87001,3,201009,46,2.13,21,35620,28,2,4199.7281,1
431391509600803,86001,4,201009,46,-0.01,21,35620,22,-1,4348.5333,3
054593460989998,86001,3,201009,46,-0.01,21,35620,18,2,2145.4861,2
230609937451291,88001,2,201009,46,-0.01,21,10580,21,1,4138.5843,2
866599160239309,86001,1,201009,46,-0.01,21,35620,48,2,3281.7663,1
708904773995866,87001,4,201009,46,-0.01,21,0,22,2,3931.5929,1
956039830629305,86002,1,201009,46,-0.01,21,35620,32,1,3742.5061,1
996022470419550,88001,2,201009,46,-0.01,23,38300,35,1,2913.4778,1
490961404034215,88001,1,201009,46,-0.01,23,38300,36,2,2440.2732,1
490961404034215,88001,2,201009,46,-0.01,23,38300,33,1,3033.7101,1
490961404034215,88001,3,201009,46,-0.01,23,38300,44,2,2911.8584,1
724551026909990,86001,1,201009,46,-0.01,23,39740,25,1,3135.1325,1
464497769200999,86001,1,201009,46,-0.01,23,27780,59,2,3049.5027,1
269320843930984,87001,2,201009,46,-0.01,23,37980,30,1,3343.9792,1
240209957658193,88001,2,201009,46,-0.01,23,0,18,2,2985.3052,1
224269088909290,87001,2,201009,46,-0.01,23,0,26,2,2750.3381,1
340209985954589,86001,2,201009,46,8.00,23,29540,35,2,3014.2296,1
982062929459760,86002,1,201009,46,-0.01,23,29540,33,1,2583.1507,1
982062929459760,86002,2,201009,46,-0.01,23,29540,26,1,3342.5477,1
998042995479550,87001,3,201009,46,14.50,23,29540,27,1,3170.4622,1
495922606048287,88001,3,201009,46,-0.01,23,10900,16,2,3426.2546,1
140209970875186,88001,1,201009,46,-0.01,23,42540,29,1,2723.1628,1
160621099944309,86001,1,201009,46,-0.01,23,37980,57,1,3531.2891,1
491912607055259,88001,2,201009,46,-0.01,23,0,51,2,3328.0576,1
249910278320914,88001,3,201009,46,-0.01,23,37980,20,1,4776.9261,1
056495579200887,86001,1,201009,46,-0.01,23,37980,49,2,3323.0476,1
342498429200948,86001,3,201009,46,-0.01,23,0,25,1,2750.3381,1
342498429200948,86001,4,201009,46,-0.01,23,0,24,2,3674.3339,1
389140358870981,87001,2,201009,46,-0.01,58,12060,35,2,2989.2261,1
391991601071428,88001,1,201009,46,-0.01,22,35620,55,1,2796.8635,1
391991601071428,88001,3,201009,46,-0.01,22,35620,27,1,2785.5947,1
501908463592816,88001,2,201009,46,-0.01,21,35620,31,1,5190.4612,1
925026918339600,86001,4,201009,46,10.00,21,35620,19,2,3352.8728,1
639393679600889,86001,3,201009,46,-0.01,21,45060,24,2,3344.6465,2
689470194970983,87001,1,201009,46,-0.01,21,45060,24,1,3810.0050,1
494918901036249,87001,4,201009,46,-0.01,23,0,16,2,3297.6552,1
492954505092299,86001,3,201009,46,-0.01,23,38300,41,1,2385.9611,1
679052970439950,86001,4,201009,46,7.25,23,0,17,2,2818.8686,1
124757044909262,86001,3,201009,46,-0.01,23,0,17,2,3297.6552,1
069198829300961,86001,4,201009,46,-0.01,58,0,17,2,3017.2160,1
190924802092369,86001,1,201009,46,-0.01,58,12060,36,1,4266.9610,1
031335054909793,86001,2,201009,46,-0.01,58,0,29,1,3406.5231,1
214190759300552,88001,1,201009,46,-0.01,58,12060,29,1,3833.2696,1
214190759300552,88001,2,201009,46,-0.01,58,12060,28,1,4165.0846,1
379810214000971,87001,1,201009,46,-0.01,58,12060,47,1,4075.2288,1
379810214000971,87001,2,201009,46,-0.01,58,12060,51,1,2988.3566,1
513089180409102,87001,2,201009,46,-0.01,58,12060,35,1,3233.2795,1
948003502189110,87001,2,201009,46,-0.01,58,12060,34,1,3387.8257,1
048321230012006,88001,2,201009,46,-0.01,58,12060,31,1,2167.5309,1
906603991992643,86001,1,201009,46,-0.01,58,17980,45,2,2653.2286,1
802900371994713,88001,1,201009,46,-0.01,58,16860,32,2,2598.3187,1
210309984348691,88001,1,201009,46,-0.01,58,12060,44,2,3012.9114,1
499540572250953,86001,3,201009,46,-0.01,22,12100,50,2,2651.3763,1
506908463992814,86001,4,201009,46,-0.01,22,37980,18,2,2769.5251,1
489370988430963,86001,3,201009,46,-0.01,22,37980,21,2,3732.0326,1
830409930184379,87001,1,201009,46,-0.01,22,37980,37,1,3624.2356,1
830409930184379,87001,2,201009,46,-0.01,22,37980,31,1,2398.2372,1
952044883349510,86001,3,201009,46,-0.01,22,35620,22,2,2950.1963,1
443789018907992,87001,2,201009,46,-0.01,22,35620,36,1,2741.3326,1
443789018907992,87001,3,201009,46,-0.01,22,35620,32,2,2437.2911,1
075883240018308,88001,2,201009,46,-0.01,22,35620,29,1,5967.4790,1
190843096336739,86001,4,201009,46,-0.01,22,35620,23,2,3251.9498,1
992034979359280,86002,2,201009,46,-0.01,22,35620,37,1,2374.3836,1
843397919400913,86001,2,201009,46,-0.01,22,35620,26,1,3612.2693,1
