HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
973759870609109,87001,2,201008,46,-0.01,58,12060,46,1,3064.1260,1
800737096511429,88001,1,201008,46,-0.01,58,12060,56,1,3528.1049,2
800737096511429,88001,3,201008,46,-0.01,58,12060,35,2,4500.7474,1
903439170089100,87001,2,201008,46,-0.01,58,12060,21,1,4605.3866,1
080931093017409,87001,1,201008,46,-0.01,58,12060,46,2,4195.2935,1
530134008916810,87001,1,201008,46,7.28,58,12060,34,2,2775.4507,1
914089830959306,86001,2,201008,46,-0.01,22,37980,21,1,6905.4104,1
005723140973398,88001,1,201008,46,-0.01,22,35620,28,2,2465.7127,1
489250315480943,86001,1,201008,46,-0.01,22,35620,57,1,2691.0849,1
305900983894524,86001,1,201008,46,-0.01,22,35620,44,2,2468.3526,1
305900983894524,86001,4,201008,46,-0.01,22,35620,16,2,2702.5231,1
206907083995264,87001,1,201008,46,-0.01,22,35620,52,1,2877.4861,1
505908463692816,86001,1,201008,46,-0.01,21,35620,28,1,5417.0541,2
130609906355961,88001,3,201008,46,-0.01,21,15380,30,2,2972.3727,1
679440219600933,86001,1,201008,46,-0.01,21,15380,68,1,2814.0839,2
563915042902892,86001,1,201008,46,17.25,21,35620,37,1,3105.1957,1
802901953295426,86001,1,201008,46,7.45,21,35620,32,2,2345.1252,1
926809030589302,86001,1,201008,46,-0.01,21,35620,23,1,5536.3587,1
926809030589302,86001,2,201008,46,-0.01,21,35620,51,1,3544.7292,1
450569098034059,86001,2,201008,46,-0.01,21,35620,20,1,3393.9805,2
699150608760953,86001,2,201008,46,-0.01,21,35620,50,1,4950.0646,1
629780990030973,87001,1,201008,46,-0.01,21,35620,32,1,3491.1003,1
629780990030973,87001,2,201008,46,-0.01,21,35620,35,2,3630.4098,1
777394269600367,87001,1,201008,46,-0.01,21,35620,30,1,3491.1003,1
430609958816627,86001,1,201008,46,-0.01,21,35620,50,1,3214.9277,1
005905363895986,86001,3,201008,46,-0.01,21,45060,20,2,3149.7023,1
005905363895986,86001,4,201008,46,-0.01,21,45060,22,2,3149.7023,1
019333460938298,86001,1,201008,46,-0.01,21,35620,28,1,3522.6869,1
019333460938298,86001,3,201008,46,-0.01,21,35620,21,1,2888.7902,1
019333460938298,86001,4,201008,46,-0.01,21,35620,30,1,3062.6226,1
306439360359303,87001,2,201008,46,-0.01,21,35620,31,1,3139.8523,1
963283087906391,87001,2,201008,46,-0.01,21,35620,37,1,3630.4098,1
320398279600936,86001,1,201008,46,-0.01,21,10580,51,1,3115.7146,2
