HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
116198899300886,86001,1,201007,46,23.00,58,12060,46,1,3743.6232,1
399870422190911,86001,1,201007,46,10.00,58,12060,28,1,4982.5889,1
731025021905495,86001,1,201007,46,20.14,58,12060,51,1,3312.5630,1
379810214000971,87001,1,201007,46,-0.01,58,12060,47,1,4735.5416,1
379810214000971,87001,2,201007,46,-0.01,58,12060,50,1,3233.4293,1
903439170089100,87001,2,201007,46,-0.01,58,12060,21,1,4692.4177,1
933529130469107,86001,2,201007,46,-0.01,58,0,22,1,3624.6790,1
980933096211439,86001,1,201007,46,-0.01,58,0,21,1,2854.2029,1
840932099013559,86001,2,201007,46,-0.01,58,17980,25,1,3145.8539,1
840932099013559,86001,3,201007,46,-0.01,58,17980,25,1,3145.8539,1
983209130939105,86001,4,201007,46,-0.01,58,12260,21,1,4447.8432,1
930744092035529,87001,1,201007,46,13.25,22,35620,77,2,2461.7637,1
814299260769303,87001,2,201007,46,-0.01,22,35620,22,1,2771.5244,1
602904113993944,86002,3,201007,46,-0.01,22,37980,42,1,3057.2435,1
533309820400140,86001,1,201007,46,-0.01,22,35620,28,1,3316.5539,1
397966709050469,87001,3,201007,46,-0.01,22,35620,24,2,3286.4412,2
395938105097489,87001,3,201007,46,-0.01,22,35620,21,2,2969.4396,1
206907083995264,87001,1,201007,46,-0.01,22,35620,52,1,2850.1695,1
100869096132439,86001,3,201007,46,-0.01,21,35620,16,2,3387.8386,1
100869096132439,86001,4,201007,46,-0.01,21,35620,22,2,4043.0186,1
596849080999303,87001,2,201007,46,-0.01,21,15380,26,1,3895.9565,1
563915042902892,86001,1,201007,46,-0.01,21,35620,37,1,2732.0250,1
802901953295426,86001,1,201007,46,-0.01,21,35620,32,2,2509.4191,1
907006339329890,86001,2,201007,46,-0.01,21,35620,21,1,3467.5211,1
863282004907590,86001,1,201007,46,-0.01,21,35620,29,1,3222.7694,1
863282004907590,86001,2,201007,46,-0.01,21,35620,33,1,3735.7007,1
863282004907590,86001,3,201007,46,-0.01,21,35620,25,1,3711.1964,1
863282004907590,86001,4,201007,46,-0.01,21,35620,20,1,3927.2417,1
863282004907590,86001,5,201007,46,-0.01,21,35620,27,1,3711.1964,1
863282004907590,86001,8,201007,46,-0.01,21,35620,26,1,3711.1964,1
863282004907590,86001,11,201007,46,-0.01,21,35620,35,1,3711.9810,1
746779650729306,87001,1,201007,46,-0.01,21,35620,41,1,3322.1104,1
974086813329710,86001,3,201007,46,-0.01,21,40380,16,2,3517.0308,1
699060574780973,87001,1,201007,46,-0.01,21,35620,72,2,2657.4093,1
402901503999446,86001,1,201007,46,-0.01,21,45060,65,1,2589.7852,1
880964090331489,86001,2,201007,46,-0.01,21,45060,38,1,3888.3662,1
079413360997994,86001,2,201007,46,-0.01,21,45060,42,1,2676.7732,1
699610468590973,87001,1,201007,46,-0.01,21,45060,45,1,2769.6552,1
689470194970983,87001,1,201007,46,-0.01,21,45060,24,1,4068.3839,1
326889140399303,86001,2,201007,46,-0.01,21,35620,51,1,3474.4040,1
963283087906391,87001,2,201007,46,-0.01,21,35620,37,1,3821.7780,1
307908293693816,87001,1,201007,46,-0.01,21,35620,43,1,3272.9325,1
196980560540309,87001,3,201007,46,-0.01,21,35620,20,1,3322.1099,1
320398279600936,86001,1,201007,46,-0.01,21,10580,51,1,3181.1007,2
708904773995866,87001,4,201007,46,-0.01,21,0,22,2,4049.9296,1
230609957252895,86001,1,201007,46,-0.01,21,35620,54,1,2640.7756,2
078614320998093,86001,3,201007,46,-0.01,23,38300,24,1,3164.8672,1
404087405093271,87001,2,201007,46,-0.01,23,37980,36,1,3513.7323,1
404087405093271,87001,3,201007,46,-0.01,23,37980,38,1,2806.3529,1
404087405093271,87001,5,201007,46,-0.01,23,37980,19,2,2601.7511,1
079064520996591,87001,2,201007,46,-0.01,23,25420,21,1,3566.9127,2
340209933125282,86001,2,201007,46,-0.01,23,25420,23,1,3886.1759,1
332492539200821,86002,2,201007,46,-0.01,23,25420,23,1,3654.9436,1
369496329200936,87001,2,201007,46,-0.01,23,25420,27,2,2987.1529,1
324663036909992,87001,2,201007,46,-0.01,23,25420,28,1,3449.1796,1
324663036909992,87001,3,201007,46,-0.01,23,25420,37,2,2855.2365,1
299180165020954,87001,1,201007,46,10.00,23,37980,50,1,3069.7671,1
075644120971892,86001,2,201007,46,-0.01,23,37980,48,1,3218.5841,1
320490819200904,86001,1,201007,46,-0.01,23,0,38,2,2929.4049,1
342498429200948,86001,3,201007,46,-0.01,23,0,24,1,2811.9436,1
342498429200948,86001,4,201007,46,-0.01,23,0,24,2,3576.9220,1
289360720680964,87001,3,201007,46,-0.01,23,38300,23,2,3130.3961,1
260826093746809,87001,2,201007,46,-0.01,23,38300,20,2,3130.3961,1
210937098411929,86001,1,201007,46,12.50,58,12060,47,1,3128.9396,1
973759870609109,87001,2,201007,46,-0.01,58,12060,46,1,3269.7327,1
973759870609109,87001,3,201007,46,-0.01,58,12060,21,2,3818.5769,1
004741530996792,87001,3,201007,46,-0.01,58,12060,18,-1,4353.4157,3
074773760974195,87001,3,201007,46,-0.01,21,10580,17,2,3282.5021,2
706901683993736,87001,2,201007,46,-0.01,21,39100,49,2,2781.1462,1
130609963300688,86001,4,201007,46,7.50,21,45060,22,2,4429.6336,1
639393679600889,86001,3,201007,46,-0.01,21,45060,24,2,3246.0299,2
699230195530953,87001,3,201007,46,-0.01,21,39100,17,-1,3689.4917,3
130600065990810,86002,5,201007,46,7.15,21,35620,22,1,5500.6936,1
130600065990810,86002,6,201007,46,7.15,21,35620,19,2,1999.5452,1
063998066902095,87001,2,201007,46,-0.01,21,35620,34,1,3722.2337,1
982076961359830,87001,3,201007,46,-0.01,21,10580,16,2,4096.4658,2
699770986790973,87001,3,201007,46,-0.01,21,0,24,2,3505.4740,1
980828095142659,86001,3,201007,46,-0.01,23,38300,35,1,2711.0328,1
924438037908392,87001,3,201007,46,-0.01,23,37980,17,2,3330.6637,1
340209985954589,86001,2,201007,46,-0.01,23,29540,34,2,3269.5860,1
993849010999103,86001,2,201007,46,7.25,58,42340,18,2,3438.1685,1
110309966723485,86001,1,201007,46,2.13,58,12060,30,2,3575.4671,1
190924802092369,86001,1,201007,46,-0.01,58,12060,36,1,4937.8154,1
965003679149870,86001,1,201007,46,-0.01,58,12060,39,1,3236.6590,2
547193039300953,86002,1,201007,46,-0.01,58,0,22,1,3435.7663,2
831789053908591,86001,3,201007,46,-0.01,58,12060,24,2,3818.5769,1
410309964208293,86001,1,201007,46,-0.01,58,12060,47,1,3714.5162,2
389140358870981,87001,2,201007,46,-0.01,58,12060,35,1,3443.8948,1
195988806092359,87001,3,201007,46,-0.01,58,46660,23,2,3376.8540,1
974559450229305,87001,2,201007,46,45.00,22,12100,37,1,3494.1820,1
499600616920953,87001,1,201007,46,-0.01,22,37980,49,2,4266.8766,2
220390329400911,86001,1,201007,46,-0.01,22,35620,46,1,3181.8709,2
054533440988192,86001,2,201007,46,-0.01,22,35620,40,1,2566.7333,1
489250315480943,86001,1,201007,46,-0.01,22,35620,57,1,3070.2792,1
994529650409301,87001,3,201007,46,8.50,22,35620,22,2,4153.6366,1
864119940239305,86001,2,201007,46,-0.01,22,35620,34,1,2602.8418,1
943941058909897,87001,3,201007,46,-0.01,22,35620,23,1,3016.1820,2
130409983592083,86001,3,201007,46,-0.01,22,35620,22,-1,3918.9988,3
525396959400937,86001,4,201007,46,-0.01,22,35620,22,2,3332.3535,2
396951802024638,86001,7,201007,46,-0.01,21,35620,24,1,3726.0513,2
184392739600451,87001,2,201007,46,-0.01,21,35620,57,1,3237.6528,1
669440983570923,86001,2,201007,46,-0.01,21,15380,23,1,3958.4212,1
679440219600933,86001,1,201007,46,-0.01,21,15380,68,1,2702.9172,2
707906563692776,87001,2,201007,46,-0.01,21,15380,45,2,2937.1590,1
963206024904495,86001,3,201007,46,-0.01,21,35620,41,1,3842.4032,1
404900293496256,86001,2,201007,46,-0.01,21,35620,48,1,3939.8594,1
244392959600460,86001,2,201007,46,-0.01,21,35620,49,1,2791.6531,1
450569098034059,86001,2,201007,46,-0.01,21,35620,20,1,3747.5138,2
254392959600160,87001,2,201007,46,10.70,21,35620,22,1,3893.5013,1
005900903591916,87001,1,201007,46,-0.01,21,35620,54,1,2864.8400,1
430609958816627,86001,1,201007,46,-0.01,21,35620,50,2,3244.3951,1
391988600022649,87001,1,201007,46,-0.01,21,46540,22,2,4314.4325,1
205005933109286,87001,2,201007,46,-0.01,21,39100,45,1,3073.9499,1
806902663999276,87001,1,201007,46,-0.01,21,39100,37,2,2760.2516,1
912006855329350,86001,2,201007,46,-0.01,21,35620,30,1,3102.6636,1
330609900305380,86001,2,201007,46,-0.01,21,35620,60,1,4673.2492,1
392954701084692,86001,1,201007,46,-0.01,21,35620,36,1,2880.6224,2
853392919600038,87001,1,201007,46,8.00,21,35620,46,1,3506.0546,1
530609923550511,87002,6,201007,46,-0.01,21,35620,37,1,3272.7107,1
392957701084695,87001,2,201007,46,-0.01,21,35620,24,1,4596.3263,1
689650890090983,87001,1,201007,46,-0.01,21,35620,55,1,3909.7009,1
029983260988290,86001,1,201007,46,-0.01,21,0,49,1,2706.4160,2
918006671369270,87001,2,201007,46,-0.01,21,35620,46,2,3277.1875,1
974052905459190,87001,2,201007,46,-0.01,23,38300,49,1,2806.3259,2
624294018909598,87001,1,201007,46,-0.01,23,39740,29,1,3535.1125,1
494918901036249,87001,4,201007,46,-0.01,23,0,16,2,3209.9277,1
851406470200127,87001,2,201007,46,8.00,23,37980,38,2,4195.7891,1
324011028909092,87001,1,201007,46,-0.01,23,37980,39,2,3420.2466,1
324011028909092,87001,2,201007,46,-0.01,23,37980,40,1,2646.3602,1
108902014996102,87001,2,201007,46,-0.01,23,38300,24,1,2928.5439,1
289060951530944,86001,3,201007,46,-0.01,23,37980,24,1,3972.7093,1
497952508013269,86001,1,201007,46,-0.01,23,0,23,2,2991.9575,1
902359830989402,86001,1,201007,46,-0.01,23,0,19,1,2998.8411,1
299650429740974,87001,2,201007,46,-0.01,23,10900,34,1,3470.2023,1
980491619200793,87001,1,201007,46,-0.01,23,37980,28,1,3243.1436,1
820827093346609,87001,3,201007,46,-0.01,23,10900,22,2,3065.2757,1
850520097944859,86001,4,201007,46,-0.01,23,37980,20,1,4063.7046,1
508904704993532,87001,2,201007,46,-0.01,23,38300,22,1,2928.5439,1
440209932475592,86001,3,201007,46,-0.01,23,42540,20,1,3647.7481,1
862739540929408,86001,4,201007,46,-0.01,23,49620,18,1,2827.7046,1
034101330997198,86001,2,201007,46,-0.01,58,12060,55,1,3543.8176,1
021271330995794,86001,3,201007,46,-0.01,58,12060,18,2,3594.6312,1
021271330995794,86001,4,201007,46,-0.01,58,12060,15,2,0.0000,1
195903100049348,86001,2,201007,46,-0.01,58,12060,44,1,3390.9018,1
131431096909198,87001,1,201007,46,-0.01,58,12060,24,2,3117.7385,1
074773240014105,86001,3,201007,46,-0.01,22,12100,18,2,2558.1681,1
954989010409302,86001,1,201007,46,-0.01,22,35620,71,1,2752.5034,2
649460455040913,86001,2,201007,46,-0.01,21,35620,58,-1,3397.3826,3
307005707054651,87001,1,201007,46,20.13,21,0,43,1,3488.9324,1
679410183290933,86001,3,201007,46,-0.01,21,40380,25,1,3318.7916,1
906159630229308,86002,4,201007,46,-0.01,21,35620,21,2,3267.6873,1
912459750749407,87001,3,201007,46,8.50,23,0,15,2,0.0000,1
260825090346339,87001,3,201007,46,-0.01,23,39740,21,1,3101.4036,2
820921094141939,86001,4,201007,46,8.50,23,0,20,2,3372.5053,1
224971016907396,87001,3,201007,46,-0.01,23,37980,21,1,3350.2988,1
943329420546100,86002,1,201007,46,-0.01,58,0,37,1,2986.7873,2
164984707082309,86001,1,201007,46,-0.01,58,0,22,1,3435.7663,2
927073908179480,87001,3,201007,46,-0.01,58,0,18,1,3123.0381,2
103910250220104,87001,1,201007,46,7.25,58,42340,25,2,3727.5478,1
810309905849099,87001,2,201007,46,-0.01,58,42340,31,2,3335.7803,1
102083105016371,86001,2,201007,46,-0.01,58,12060,49,1,3592.6778,2
931362044909799,86001,2,201007,46,-0.01,58,12060,28,2,3683.0277,1
956033974159620,87001,1,201007,46,6.50,58,12060,32,1,4521.5331,1
631398067908997,87001,1,201007,46,-0.01,58,12060,44,1,3390.9018,1
662023959119770,86003,1,201007,46,7.25,58,0,30,1,3745.2931,1
231877005908892,87001,1,201007,46,-0.01,58,12060,31,2,3935.2537,1
103180560600108,87001,1,201007,46,-0.01,58,0,38,1,2911.5091,1
810309931408070,87001,1,201007,46,-0.01,58,12060,36,2,3157.1104,1
802900371994713,86001,2,201007,46,-0.01,58,16860,36,1,2641.3666,2
399040544750911,86001,2,201007,46,11.12,58,0,23,2,2828.3730,1
230409961804994,86001,4,201007,46,-0.01,22,37980,36,1,3043.1150,1
230409961804994,86001,5,201007,46,-0.01,22,37980,23,1,3410.5803,1
290740091931509,86002,1,201007,46,-0.01,22,35620,23,1,4015.0467,1
290740091931509,86002,2,201007,46,-0.01,22,35620,30,1,4509.5456,1
935084704319290,86252,4,201007,46,10.00,22,35620,19,1,3079.3431,1
977064862349750,86001,1,201007,46,-0.01,22,35620,62,1,2987.8332,2
263532086907496,87001,1,201007,46,-0.01,21,35620,47,1,3895.3602,2
941076815369320,87002,2,201007,46,-0.01,21,35620,34,1,3722.2337,1
689980910530983,87001,2,201007,46,-0.01,21,35620,33,1,3418.3355,1
010962092531969,86001,1,201007,46,-0.01,21,13780,33,1,4024.8960,1
916269030699306,86001,1,201007,46,-0.01,21,13780,60,1,2975.6628,1
011395569600693,86001,4,201007,46,9.25,21,15380,21,1,4622.2150,1
920066626369300,87001,3,201007,46,-0.01,21,15380,24,1,3575.4438,1
469399909600938,87001,1,201007,46,-0.01,21,15380,62,1,3244.5069,1
963983046909990,87001,1,201007,46,-0.01,21,15380,27,1,3536.7465,2
917086053329240,86001,2,201007,46,-0.01,21,35620,20,2,3038.7742,1
108904873995106,87001,1,201007,46,-0.01,21,35620,30,1,3292.8264,1
936939530249309,86001,2,201007,46,-0.01,21,46540,29,1,2975.6786,1
906769710789300,86001,3,201007,46,8.75,21,35620,20,2,3829.1607,1
050363093336439,87001,1,201007,46,-0.01,21,35620,51,1,3955.3783,1
830609900305370,87001,1,201007,46,-0.01,21,35620,25,1,3389.0545,2
035395519600898,86001,2,201007,46,-0.01,21,10580,43,1,2044.8677,1
035395519600898,86001,4,201007,46,-0.01,21,10580,22,1,3246.0299,2
431391509600803,86001,4,201007,46,-0.01,21,35620,22,1,4596.3263,1
649250717140953,87001,1,201007,46,-0.01,21,35620,49,1,3073.9499,1
699840446560973,87001,2,201007,46,-0.01,21,0,17,2,2933.8369,1
007914220985592,86001,2,201007,46,-0.01,23,39740,38,1,2734.6627,1
492954505092299,86001,3,201007,46,-0.01,23,38300,41,1,2481.5142,1
802608354998872,86001,1,201007,46,-0.01,23,0,43,1,2617.7366,1
600128001148250,87001,2,201007,46,-0.01,23,37980,47,1,3929.6006,1
224491829200927,86001,3,201007,46,-0.01,23,21500,21,2,3065.2757,1
224491829200927,86001,4,201007,46,-0.01,23,21500,19,2,2756.2501,1
124757044909262,86001,3,201007,46,-0.01,23,0,17,2,3209.9277,1
625082954459230,87001,1,201007,46,-0.01,23,0,42,1,2642.4231,2
