HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
170732090911379,86001,2,201006,46,-0.01,58,12060,41,2,4107.9347,1
210937098411929,86001,1,201006,46,-0.01,58,12060,47,1,3563.4751,1
006904891997563,87001,1,201006,46,-0.01,58,47580,43,1,3920.1614,1
410540572250083,85001,4,201006,46,7.50,22,12100,20,2,3431.9618,1
243114038909891,85001,2,201006,46,-0.01,22,35620,41,1,2838.8048,1
706901683993736,87001,2,201006,46,-0.01,21,39100,49,1,2879.4154,1
706369410009306,86001,1,201006,46,-0.01,21,35620,47,1,3018.2660,2
130600065990810,86002,5,201006,46,-0.01,21,35620,22,1,5120.6291,1
130600065990810,86002,6,201006,46,-0.01,21,35620,18,2,1793.3816,1
903056851389950,85001,3,201006,46,2.15,21,10580,29,2,3272.7821,1
706900964995182,87001,3,201006,46,-0.01,23,0,16,2,2922.3719,1
980828095142659,86001,3,201006,46,-0.01,23,38300,35,1,2959.2047,1
810920096441899,86001,1,201006,46,-0.01,23,0,29,1,3172.8296,1
440209937926497,87001,3,201006,46,8.90,23,37980,26,1,3575.8079,1
299630608030614,86001,4,201006,46,-0.01,23,0,31,2,2817.2492,1
872079260099405,87001,1,201006,46,-0.01,23,29540,20,1,3231.3543,1
557400030200134,87001,2,201006,46,-0.01,23,0,27,2,3172.8296,1
290829099742649,86002,1,201006,46,-0.01,23,38300,31,2,3171.2712,1
093621330996697,86001,1,201006,46,-0.01,58,0,23,2,3654.2592,1
399870422190911,86001,1,201006,46,-0.01,58,12060,28,1,4928.2196,1
110309966723485,86001,1,201006,46,-0.01,58,12060,29,2,3736.2234,1
390839099918199,85001,2,201006,46,-0.01,58,12060,24,1,4088.4003,1
903439170089100,87001,2,201006,46,-0.01,58,12060,21,1,4814.2082,1
980933096211439,86001,1,201006,46,-0.01,58,0,21,1,2949.7326,1
814299260769303,87001,2,201006,46,-0.01,22,35620,22,1,3007.0850,1
944969670159305,87001,1,201006,46,-0.01,22,35620,26,1,3985.3994,2
390954505022419,87001,3,201006,46,-0.01,22,37980,38,1,2559.0080,2
560949096237269,87001,3,201006,46,-0.01,22,37980,19,2,2986.6919,1
560949096237269,87001,6,201006,46,-0.01,22,37980,16,2,2986.6919,1
007901033891224,87001,1,201006,46,-0.01,22,35620,42,1,3315.5050,2
952044883349510,87001,2,201006,46,11.50,22,35620,30,1,2934.6670,1
206907083995264,87001,1,201006,46,-0.01,22,35620,52,1,2913.4481,1
548026932319650,86002,1,201006,46,-0.01,21,35620,35,2,2788.3633,1
100869096132439,86001,4,201006,46,-0.01,21,35620,22,2,3679.2337,1
563915042902892,86001,1,201006,46,-0.01,21,35620,37,1,2904.9562,1
062763360927497,86001,1,201006,46,-0.01,21,35620,34,1,3062.0102,2
963206024904495,87001,1,201006,46,11.00,21,35620,29,1,3005.9065,1
746779650729306,87001,1,201006,46,-0.01,21,35620,41,1,3004.2612,1
