HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
993849010999103,86001,2,201005,46,-0.01,58,42340,18,2,3374.2785,1
110309966723485,86001,1,201005,46,-0.01,58,12060,29,2,3397.9926,1
989063932179130,85001,2,201005,46,-0.01,58,12060,23,1,3968.0246,2
536197089300897,87001,2,201005,46,14.00,58,12060,41,2,2817.2783,1
399580976070971,85001,3,201005,46,5.50,58,12060,25,1,3273.1710,1
390839099918199,85001,2,201005,46,-0.01,58,12060,24,1,4498.0297,1
948003502189110,85001,2,201005,46,-0.01,58,12060,20,2,5386.2307,2
980933096211439,86001,1,201005,46,-0.01,58,0,21,1,2905.3946,1
831958094909392,87001,1,201005,46,-0.01,58,17980,35,1,3009.6006,1
831958094909392,87001,2,201005,46,-0.01,58,17980,32,1,3182.5706,1
330409930184389,87001,6,201005,46,-0.01,22,37980,26,1,2760.1562,2
814299260769303,87001,2,201005,46,-0.01,22,35620,22,2,3249.4554,1
390954505022419,87001,3,201005,46,-0.01,22,37980,38,1,2655.6412,2
499680635980973,85001,2,201005,46,-0.01,22,35620,63,2,2799.9526,1
499680635980973,85001,3,201005,46,-0.01,22,35620,39,2,2729.7577,1
489940851380983,85001,1,201005,46,-0.01,22,35620,50,1,2571.3050,1
935084704319290,86252,4,201005,46,-0.01,22,35620,18,2,3408.5919,1
143471048909291,85001,5,201005,46,-0.01,22,35620,29,1,2888.6329,1
100869096132439,86001,2,201005,46,-0.01,21,35620,24,2,3870.5946,1
100869096132439,86001,4,201005,46,-0.01,21,35620,21,2,3870.5946,1
706901683993736,87001,2,201005,46,-0.01,21,39100,49,2,3046.7558,1
397952706027667,86001,1,201005,46,-0.01,21,15380,31,1,3374.9354,1
935086604349290,87001,2,201005,46,-0.01,21,15380,51,2,2898.9698,1
244392959600460,87001,1,201005,46,-0.01,21,35620,31,1,3012.0285,1
746779650729306,87001,1,201005,46,-0.01,21,35620,41,1,3010.4233,1
398996700090634,87001,1,201005,46,-0.01,21,35620,58,1,3678.3336,2
630465094037879,85001,1,201005,46,-0.01,21,35620,53,1,4352.2131,1
063939078809098,85001,1,201005,46,-0.01,21,35620,24,1,3639.5124,1
420166097638779,85001,2,201005,46,-0.01,21,35620,44,1,4298.0474,1
063115036909195,87001,3,201005,46,-0.01,21,45060,21,1,3831.5210,1
547391689600268,87001,1,201005,46,-0.01,21,35620,44,1,3718.8333,1
505906503392946,87001,3,201005,46,-0.01,21,35620,49,1,2613.9514,2
386419060179305,87001,1,201005,46,-0.01,21,35620,20,1,3484.6831,1
730609917896708,85001,1,201005,46,10.50,21,35620,37,2,2855.9920,1
806902663999276,87001,1,201005,46,-0.01,21,39100,37,1,2890.5913,1
050363093336439,87001,1,201005,46,-0.01,21,35620,50,1,4290.7932,1
306439360359303,87001,2,201005,46,-0.01,21,35620,30,1,3550.7642,1
029983260988290,86001,1,201005,46,-0.01,21,0,49,1,2959.8143,2
041034320946999,87001,1,201005,46,8.00,23,38300,21,2,3368.4419,1
