HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
099991330991399,87001,1,201004,46,-0.01,58,12060,44,1,3095.0124,2
981073944139570,87001,2,201004,46,-0.01,58,10500,20,1,3369.9406,2
194958002089379,85001,1,201004,46,-0.01,58,0,63,2,2539.4540,1
910054739339650,87001,3,201004,46,-0.01,22,35620,18,2,3049.7469,1
408908773795066,85001,1,201004,46,-0.01,21,35620,30,2,2763.3515,1
360967096837999,85001,1,201004,46,-0.01,21,45060,50,1,2936.9024,1
230609981829373,87001,1,201004,46,8.50,21,35620,51,2,2758.2551,1
230609981829373,87001,2,201004,46,-0.01,21,35620,21,-1,2921.4406,3
207901313693096,85001,5,201004,46,-0.01,21,35620,31,2,2860.4580,2
362490679200942,85001,1,201004,46,7.25,23,10900,29,2,2991.9419,1
640206915835997,85001,4,201004,46,-0.01,23,0,18,-1,2885.7560,3
440209937926497,87001,3,201004,46,-0.01,23,37980,26,1,3247.1031,1
852419760819402,85001,3,201004,46,9.15,23,37980,17,2,2938.7875,1
524570096909799,85001,3,201004,46,7.15,23,0,17,2,2791.8779,1
822699920499407,87001,4,201004,46,7.25,23,38300,18,2,3826.7634,1
399240045430951,87001,3,201004,46,-0.01,58,0,47,1,2801.3895,2
196906708000329,85001,3,201004,46,7.50,58,31420,19,2,2941.2282,1
190938404076359,85001,2,201004,46,-0.01,58,42340,52,1,3181.8682,2
536197089300897,87001,2,201004,46,-0.01,58,12060,41,1,2859.6915,1
197937606089398,85001,1,201004,46,-0.01,58,12060,30,1,2668.2271,1
948003502189110,85001,2,201004,46,-0.01,58,12060,20,2,5538.1507,2
100630091718919,85001,1,201004,46,-0.01,58,12060,44,1,4133.5095,1
806909491994993,85001,1,201004,46,7.25,58,0,29,1,2616.4254,1
962194959300939,85001,2,201004,46,10.00,58,10500,27,1,2997.3000,1
162912702097359,87001,1,201004,46,10.00,58,12060,33,2,2977.9159,1
162912702097359,87001,2,201004,46,7.75,58,12060,38,2,2825.2747,1
231246076909092,85001,2,201004,46,9.00,58,0,51,1,3226.3005,1
964149070449303,85001,3,201004,46,-0.01,22,35620,47,1,2934.0653,1
469650059270983,85002,1,201004,46,-0.01,22,35620,35,1,2592.4612,1
310944099633619,87001,1,201004,46,-0.01,22,35620,42,1,2821.9260,2
704129230039301,87001,1,201004,46,-0.01,22,35620,47,1,2553.9573,1
499680635980973,85001,2,201004,46,-0.01,22,35620,63,2,2822.9684,1
499680635980973,85001,3,201004,46,-0.01,22,35620,39,2,2238.8810,1
952044883349510,87001,2,201004,46,-0.01,22,35620,30,1,2761.9082,1
407900123897274,85001,2,201004,46,-0.01,22,35620,51,2,2804.2464,1
935084704319290,86252,4,201004,46,-0.01,22,35620,18,1,3687.2205,1
973014996339670,87001,2,201004,46,-0.01,22,35620,42,1,2466.3491,1
548026932319650,86002,1,201004,46,-0.01,21,35620,35,1,2815.9224,1
100869096132439,87001,3,201004,46,10.00,21,35620,52,1,3598.3647,1
100869096132439,87001,4,201004,46,7.50,21,35620,22,1,3521.1026,1
689130524710963,85001,1,201004,46,-0.01,21,35620,50,2,3598.3647,1
080093860903997,85001,2,201004,46,-0.01,21,35620,41,1,3555.8577,2
118309670600178,86001,2,201004,46,-0.01,21,35620,38,1,3750.8042,2
960167091732889,87001,1,201004,46,-0.01,21,35620,29,1,2987.8498,2
505906503392946,87001,3,201004,46,-0.01,21,35620,49,1,2985.6270,2
048893560997890,87001,3,201004,46,-0.01,21,45060,27,1,3379.9301,1
231395039600655,87001,3,201004,46,-0.01,21,35620,19,2,3238.5642,1
404909513298726,87001,2,201004,46,-0.01,21,35620,39,1,3304.4921,1
104905503495236,87001,2,201004,46,-0.01,21,35620,21,1,3648.1979,2
619000300530963,85001,2,201004,46,16.00,21,35620,34,1,4438.5135,1
021483860939597,85001,1,201004,46,-0.01,21,35620,46,1,3074.8991,1
392984206027647,87001,2,201004,46,-0.01,21,35620,53,1,3379.4469,1
029983260988290,87001,4,201004,46,8.00,21,0,19,2,3470.0883,1
029983260988290,87001,5,201004,46,8.00,21,0,19,2,3470.0883,1
963792083908393,87001,4,201004,46,-0.01,21,35620,19,2,2935.3077,1
699920743610913,86001,1,201004,46,-0.01,21,0,25,1,3159.2287,2
822309560369403,85002,2,201004,46,13.00,23,39740,25,1,2998.7387,1
289050321270984,85001,3,201004,46,-0.01,23,37980,52,2,2890.3374,2
240209908659897,87001,2,201004,46,11.30,23,27780,54,1,2869.7368,1
624024036909297,85001,1,201004,46,8.00,23,10900,37,2,2758.7449,1
492942309083239,87001,1,201004,46,-0.01,23,37980,59,1,3122.9642,1
299800161200954,87001,1,201004,46,-0.01,23,0,27,1,2704.1533,1
063134720695990,85001,1,201004,46,-0.01,23,0,43,1,3179.4005,1
063134720695990,85001,2,201004,46,-0.01,23,0,42,2,3134.9670,1
075644120971892,86001,2,201004,46,-0.01,23,37980,48,1,3006.6133,1
289910278320944,87001,1,201004,46,-0.01,23,37980,39,1,3354.6379,1
056495579200887,87001,1,201004,46,-0.01,23,37980,23,1,3675.5048,2
056495579200887,87001,2,201004,46,-0.01,23,37980,24,2,3810.2870,1
740209970885985,85001,1,201004,46,-0.01,23,37980,45,1,2958.3137,1
310300094631611,87001,6,201004,46,-0.01,58,12060,21,1,2947.6073,1
170732090911379,86001,2,201004,46,-0.01,58,12060,41,2,3874.7157,1
210937098411929,86001,1,201004,46,-0.01,58,12060,47,1,3680.6148,1
410309953330597,87001,1,201004,46,-0.01,58,0,45,1,4104.5256,1
263191119300995,85001,1,201004,46,7.35,58,0,33,2,2700.4234,1
031800023905997,87001,1,201004,46,-0.01,58,12060,27,2,3286.7435,1
883029760909100,85001,1,201004,46,2.13,58,12060,27,2,3283.1318,1
310840951380061,85002,1,201004,46,7.25,58,12060,21,2,3482.1860,1
607002221103123,85001,2,201004,46,-0.01,58,12060,47,1,3153.3672,1
310310080360081,85002,1,201004,46,-0.01,58,47580,24,2,2876.7798,1
310310080360081,85002,2,201004,46,-0.01,58,47580,32,1,3776.7802,2
973489150169101,87001,1,201004,46,-0.01,58,17980,27,2,2918.3430,1
983209130939105,87001,1,201004,46,-0.01,58,12260,51,2,2964.4036,1
399040544750911,86001,1,201004,46,-0.01,58,0,22,1,2740.6068,1
399040544750911,86001,2,201004,46,-0.01,58,0,22,1,2740.6068,1
902907523990654,87001,3,201004,46,10.00,22,35620,21,2,3500.6816,1
062423340993598,87001,3,201004,46,-0.01,22,37980,19,2,3049.7469,1
343011027908092,85001,1,201004,46,-0.01,22,35620,28,1,3251.0146,1
343011027908092,85001,2,201004,46,-0.01,22,35620,30,1,3165.9017,1
302093508043401,87001,1,201004,46,-0.01,22,35620,31,1,2533.5446,1
031693340990990,87001,2,201004,46,-0.01,22,35620,50,1,2665.9342,1
031693340990990,87001,4,201004,46,-0.01,22,35620,19,2,2639.7431,1
391946206064499,85001,1,201004,46,8.90,22,35620,69,2,2771.1189,1
938054789379540,85001,4,201004,46,-0.01,22,35620,20,2,4878.1463,1
307005707054651,87001,1,201004,46,-0.01,21,0,43,1,3637.7799,1
935086604349290,87001,2,201004,46,-0.01,21,15380,51,2,3081.2054,1
926809030589302,87001,1,201004,46,-0.01,21,35620,45,1,3387.1221,1
926809030589302,87001,3,201004,46,-0.01,21,35620,38,1,3882.5802,1
963206024904495,87001,1,201004,46,-0.01,21,35620,29,1,3189.4265,1
244392959600460,87001,1,201004,46,-0.01,21,35620,31,1,2745.6363,1
630465094037879,85001,1,201004,46,-0.01,21,35620,53,1,4032.0114,1
420166097638779,85001,2,201004,46,-0.01,21,35620,44,1,4171.6342,1
363680048902795,85001,4,201004,46,-0.01,21,35620,18,1,3183.5740,1
699250848460913,86001,2,201004,46,-0.01,21,40380,22,1,4550.1799,1
706369410009306,86001,1,201004,46,-0.01,21,35620,46,1,3257.5865,2
663155083905193,87001,3,201004,46,-0.01,21,35620,42,1,3210.4029,1
010013460980999,87001,1,201004,46,-0.01,21,35620,65,2,3143.8465,1
547391689600268,87001,1,201004,46,-0.01,21,35620,44,1,3387.2981,1
156699460509302,85001,4,201004,46,-0.01,21,35620,20,1,3521.1026,1
156699460509302,85001,5,201004,46,11.00,21,35620,25,1,3886.2530,1
156699460509302,85001,9,201004,46,10.05,21,35620,28,1,3690.7894,1
730609917896708,85001,1,201004,46,-0.01,21,35620,37,2,2700.7189,1
208905713997426,85001,5,201004,46,-0.01,21,15380,20,2,3733.7224,1
932006836369580,85002,1,201004,46,16.30,21,46540,52,1,2716.5482,1
830609965427499,85001,7,201004,46,-0.01,21,0,18,1,3226.8444,2
130600065990810,86002,5,201004,46,-0.01,21,35620,22,1,5720.9942,1
130600065990810,86002,6,201004,46,-0.01,21,35620,18,2,2060.8862,1
035333660934093,85002,2,201004,46,8.00,21,35620,19,2,2349.3931,1
035333660934093,85002,3,201004,46,-0.01,21,35620,50,1,2758.2551,1
063998067900095,85001,2,201004,46,-0.01,21,35620,47,1,3387.1221,1
063998067900095,85001,3,201004,46,-0.01,21,35620,18,2,2901.8605,1
619800432701983,85011,2,201004,46,-0.01,21,35620,45,1,3074.8991,1
896989540549309,87001,3,201004,46,-0.01,21,35620,19,2,3183.5740,1
699400011530973,85001,2,201004,46,-0.01,21,35620,20,2,3379.1900,1
163856002904097,87001,2,201004,46,-0.01,21,35620,31,2,3634.7943,1
545499889200416,87001,3,201004,46,-0.01,23,38300,25,1,3223.7775,1
249960521980954,87001,2,201004,46,-0.01,23,38300,42,2,2607.2757,1
724032077908797,85001,2,201004,46,-0.01,23,37980,55,1,2990.3849,1
724032077908797,85001,3,201004,46,-0.01,23,37980,85,1,2627.3443,1
724032077908797,85001,4,201004,46,-0.01,23,37980,22,2,4027.5245,1
210400399980084,85001,2,201004,46,-0.01,23,37980,49,1,2664.5757,1
210400399980084,85001,3,201004,46,-0.01,23,37980,48,1,2466.7050,1
240209983592093,87001,1,201004,46,7.75,23,0,20,1,2912.3477,1
079064520996591,87001,2,201004,46,-0.01,23,25420,21,1,3607.9327,1
210200989550064,85001,3,201004,46,-0.01,23,21500,19,-1,3690.8824,3
820921094141939,86001,4,201004,46,-0.01,23,0,20,2,3541.7482,1
498928706095259,85001,2,201004,46,-0.01,23,0,68,2,2920.0966,1
360928069545509,87001,1,201004,46,-0.01,23,0,26,1,2704.1533,1
495923607049248,87001,3,201004,46,-0.01,23,10900,30,1,3025.2709,1
656490379200873,87001,3,201004,46,-0.01,23,10900,21,2,3663.0713,1
902369130599400,87001,1,201004,46,-0.01,23,42540,50,1,2937.8921,1
902369130599400,87001,2,201004,46,-0.01,23,42540,45,2,2539.9605,1
018022101480060,85001,4,201004,46,-0.01,23,0,16,2,3511.3920,1
240209927856449,87001,1,201004,46,12.00,23,37980,21,1,3126.0632,1
957052589449080,87001,1,201004,46,-0.01,23,37980,48,1,3189.2996,1
493998308043204,85002,1,201004,46,-0.01,23,37980,26,1,3451.2087,1
299830854570954,87001,1,201004,46,-0.01,23,49620,61,1,3205.8362,2
367195089300999,85002,1,201004,46,9.50,58,12060,55,1,2916.5727,1
210309980062171,87001,1,201004,46,4.50,58,12060,19,2,3257.0404,1
210309980062171,87001,4,201004,46,7.25,58,12060,18,2,3257.0404,1
210309971034090,87001,1,201004,46,9.00,58,0,42,1,3178.5345,1
730609941982183,85001,1,201004,46,-0.01,21,40380,41,1,3099.9660,2
097063360999097,87001,2,201004,46,-0.01,21,35620,40,1,3505.7240,1
536089060279304,85001,1,201004,46,-0.01,21,35620,53,1,2758.2551,1
122570860560409,85001,1,201004,46,10.30,23,0,46,2,2897.5287,1
262499389200995,85001,1,201004,46,27.50,23,29540,58,1,2868.9412,1
262499389200995,85001,3,201004,46,12.00,23,29540,19,2,3244.2446,1
262499389200995,85001,4,201004,46,7.55,23,29540,17,2,3244.2446,1
941002984439630,87001,4,201004,46,-0.01,23,0,32,2,3266.0232,1
993849010999103,86001,2,201004,46,-0.01,58,42340,18,2,3623.0653,1
236103480300184,87001,2,201004,46,-0.01,58,42340,44,1,2661.0483,1
035511430984497,87001,1,201004,46,-0.01,58,12060,38,1,3895.1171,1
035511430984497,87001,2,201004,46,-0.01,58,12060,39,1,3895.1171,1
989063932179130,85001,2,201004,46,-0.01,58,12060,22,1,3934.6660,2
931614083001301,87001,1,201004,46,-0.01,58,12060,33,1,3656.4440,1
585197819300798,85001,1,201004,46,-0.01,58,12060,32,1,3695.2282,1
198976505032359,85001,1,201004,46,10.30,58,12060,33,1,3212.7908,1
832102320300175,87001,1,201004,46,-0.01,58,12020,35,1,2861.4446,1
601000601104723,86001,6,201004,46,-0.01,58,0,55,2,2758.2254,1
081221330994990,87001,1,201004,46,-0.01,58,0,42,1,2913.0994,1
390954505022419,87001,3,201004,46,-0.01,22,37980,38,1,2910.6472,2
906908493990054,85001,2,201004,46,8.00,22,35620,20,2,3118.3041,1
643562078909797,85002,1,201004,46,-0.01,22,35620,46,1,2861.5335,1
971066905379890,85001,1,201004,46,-0.01,21,10580,58,1,3264.7204,1
971066905379890,85001,2,201004,46,-0.01,21,10580,58,1,3903.1599,1
140391289600904,87001,3,201004,46,-0.01,21,13780,20,2,3733.7224,1
398914102000649,87001,1,201004,46,-0.01,21,13780,17,2,3430.7418,1
973016996359670,87001,2,201004,46,-0.01,21,0,47,1,3197.9174,1
398932501077684,87001,1,201004,46,-0.01,21,35620,45,2,3001.1135,1
398932501077684,87001,2,201004,46,-0.01,21,35620,47,1,2839.0111,1
398932501077684,87001,3,201004,46,7.00,21,35620,19,2,3666.3487,1
009006101360190,85002,2,201004,46,7.25,21,35620,16,2,2390.8836,1
663155087906193,85001,3,201004,46,-0.01,21,35620,24,2,3650.4433,1
270068090136269,85001,2,201004,46,4.00,21,35620,38,1,3935.7139,1
729393209600946,87001,2,201004,46,-0.01,21,46540,20,1,4327.9321,2
208904803992616,85001,2,201004,46,-0.01,21,46540,42,1,3254.1494,2
163111066909997,85001,1,201004,46,-0.01,21,45060,35,1,3852.6702,1
163111066909997,85001,4,201004,46,7.25,21,45060,35,2,3843.9181,1
205005933109286,87001,2,201004,46,-0.01,21,39100,45,1,3090.4998,1
083463860987790,85001,1,201004,46,-0.01,21,39100,53,1,2986.5566,2
812393709600640,86001,1,201004,46,-0.01,21,35620,26,1,3374.2028,2
912006855329350,87001,1,201004,46,10.00,21,35620,30,1,3939.3957,1
530609923550511,87001,1,201004,46,-0.01,21,35620,38,1,3097.7819,1
