HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
989063932179130,85001,2,201003,46,-0.01,58,12060,22,1,3663.9100,2
902909361998673,87001,2,201003,46,-0.01,58,12060,21,2,3365.1962,1
099991330991399,87001,1,201003,46,-0.01,58,12060,44,1,3101.9924,2
948003502189110,85001,2,201003,46,-0.01,58,12060,20,2,5091.2563,2
704129230039301,87001,1,201003,46,-0.01,22,35620,47,1,2426.5128,1
499680635980973,85001,2,201003,46,-0.01,22,35620,63,2,2726.6305,1
499680635980973,85001,3,201003,46,-0.01,22,35620,39,2,2246.2939,1
243114038909891,85001,2,201003,46,-0.01,22,35620,41,1,2706.8760,1
430409991771992,87001,3,201003,46,-0.01,22,45940,23,2,3345.9817,1
079313140996197,87001,1,201003,46,-0.01,22,35620,56,2,3075.4293,1
397912202074409,87001,2,201003,46,-0.01,22,35620,63,1,3857.9887,2
302093508043401,87001,1,201003,46,-0.01,22,35620,31,1,2681.6794,1
499590814790913,87001,1,201003,46,-0.01,22,10900,57,1,3286.0146,1
398914102000649,87001,1,201003,46,-0.01,21,13780,17,2,3488.3469,1
230609942195528,87001,2,201003,46,-0.01,21,35620,28,1,5355.2300,1
230609942195528,87001,7,201003,46,-0.01,21,35620,27,1,3383.7350,1
244392959600460,87001,1,201003,46,-0.01,21,35620,31,1,2682.4768,1
063939078809098,85001,1,201003,46,-0.01,21,35620,24,1,3535.4140,1
420166097638779,85001,2,201003,46,-0.01,21,35620,44,1,4090.0914,1
398921706095656,87001,1,201003,46,7.80,21,40380,21,2,3812.8734,1
398921706095656,87001,2,201003,46,7.50,21,40380,22,2,3891.8488,1
663259071906598,87001,3,201003,46,8.00,21,40380,22,2,3812.8734,1
398932501077684,87001,1,201003,46,-0.01,21,35620,45,2,3124.6981,1
398932501077684,87001,2,201003,46,-0.01,21,35620,47,1,2953.0403,1
398932501077684,87001,3,201003,46,-0.01,21,35620,19,2,3534.2925,1
408908773795066,85001,1,201003,46,-0.01,21,35620,30,2,2743.4367,1
619170798680923,87001,3,201003,46,-0.01,21,35620,32,1,4514.3976,1
730609917896708,85001,1,201003,46,-0.01,21,35620,36,2,2639.6505,1
163111066909997,85001,1,201003,46,-0.01,21,45060,35,1,3853.0163,1
163111066909997,85001,4,201003,46,-0.01,21,45060,35,2,3534.0835,1
035333660934093,85002,3,201003,46,-0.01,21,35620,50,1,2697.9364,1
392984206027647,87001,2,201003,46,-0.01,21,35620,53,1,3894.6801,1
699270459680953,85002,1,201003,46,7.75,21,0,40,1,3066.5050,1
307900983894336,85002,2,201003,46,-0.01,21,0,24,1,3855.5529,2
416429550719307,85001,2,201003,46,11.25,21,35620,30,1,3536.3402,1
163856002904097,87001,2,201003,46,-0.01,21,35620,31,2,3431.9642,1
140209994691380,87001,1,201003,46,-0.01,23,38300,34,2,3398.6119,1
289050323630964,85002,2,201003,46,-0.01,23,39740,31,2,2850.1106,2
922869510869404,87001,1,201003,46,10.00,23,10900,39,1,3425.0067,1
922869510869404,87001,3,201003,46,11.00,23,10900,25,1,3175.4137,1
324037065908697,85001,2,201003,46,3.40,23,10900,71,2,2613.3973,1
