HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
367195089300999,85002,1,201002,46,-0.01,58,12060,55,1,3131.6131,1
057003178180840,86001,2,201002,46,-0.01,58,0,31,1,2460.5571,1
210309980062171,87001,1,201002,46,-0.01,58,12060,19,2,2970.9222,1
210309980062171,87001,2,201002,46,-0.01,58,12060,21,1,3161.3354,2
046051230962293,87001,2,201002,46,-0.01,58,12060,20,2,2745.1785,2
020837093516159,85001,3,201002,46,-0.01,58,12060,22,2,2785.5090,1
410140325700013,87001,2,201002,46,-0.01,22,12100,41,2,2609.0789,1
810861095438479,86001,3,201002,46,-0.01,21,0,18,2,4010.6577,2
810861095438479,86001,4,201002,46,8.00,21,0,17,2,3771.8536,1
699770257660913,87001,2,201002,46,-0.01,21,15380,21,2,3220.9435,2
536089060279304,85001,1,201002,46,-0.01,21,35620,53,1,2737.0880,1
340395599600715,85001,2,201002,46,-0.01,21,10580,43,1,3266.6758,2
669470306460943,85001,1,201002,46,-0.01,21,35620,71,1,3164.1708,1
669470306460943,85001,2,201002,46,-0.01,21,35620,43,1,3376.1885,1
240209908659897,87001,2,201002,46,-0.01,23,27780,54,1,2817.9338,1
624259078909598,86001,1,201002,46,8.10,23,0,55,1,2573.8492,1
952043930159440,85001,1,201002,46,-0.01,58,0,23,2,3469.9416,1
952043930159440,85001,2,201002,46,-0.01,58,0,21,2,3811.6732,1
032501530696199,85001,1,201002,46,-0.01,58,0,33,2,2531.7403,1
981073944139570,87001,4,201002,46,-0.01,58,10500,21,1,2969.2394,2
042511530991895,85001,3,201002,46,-0.01,58,10500,31,1,3666.2871,1
630136007011330,87001,4,201002,46,-0.01,58,10500,17,2,4082.1361,1
962194959300939,85001,2,201002,46,-0.01,58,10500,27,1,3168.9152,1
943199829300985,85001,1,201002,46,-0.01,58,17980,47,-1,3023.6911,3
479060133740933,87001,4,201002,46,-0.01,22,35620,18,2,2612.8068,1
947074655369700,85001,4,201002,46,-0.01,22,35620,21,2,5088.7223,1
966064922379950,85001,4,201002,46,-0.01,22,37980,19,2,3610.3685,1
076243140972093,87001,1,201002,46,-0.01,22,35620,80,2,2753.4212,1
076243140972093,87001,2,201002,46,-0.01,22,35620,76,1,2936.2466,1
910054739339650,87001,3,201002,46,-0.01,22,35620,18,2,3610.3685,1
543388084909897,85001,2,201002,46,7.25,22,35620,38,2,2221.1707,1
973014996339670,87001,2,201002,46,-0.01,22,35620,41,1,2488.4411,1
894919740269305,85001,1,201002,46,15.35,22,35620,38,1,3481.5244,1
499590814790913,87001,1,201002,46,-0.01,22,10900,57,1,3012.0060,1
530609946450455,85002,1,201002,46,-0.01,21,35620,31,1,4787.6910,1
689130524710963,85001,1,201002,46,-0.01,21,35620,50,2,3754.5958,1
049394959600908,85002,2,201002,46,3.80,21,15380,26,1,3699.3877,1
663259071906598,87001,3,201002,46,-0.01,21,40380,22,2,3777.6552,1
663155083905193,87001,3,201002,46,-0.01,21,35620,42,1,3232.0782,1
270068090136269,85001,2,201002,46,-0.01,21,35620,38,1,3999.6181,1
163111066909997,85001,1,201002,46,-0.01,21,45060,35,1,3717.3782,1
360967096837999,85001,1,201002,46,-0.01,21,45060,50,1,2999.1038,1
097063360999097,87001,2,201002,46,-0.01,21,35620,40,1,4039.6652,1
390976705016689,85001,2,201002,46,-0.01,21,35620,35,1,3699.3166,1
689330303540943,85002,2,201002,46,-0.01,21,35620,57,1,2851.9309,1
689850995490943,85001,1,201002,46,-0.01,21,35620,34,2,2526.8944,1
699270459680953,85002,1,201002,46,-0.01,21,0,40,1,3283.2693,1
963792083908393,87001,4,201002,46,-0.01,21,35620,19,2,3107.4562,1
163856002904097,87001,2,201002,46,-0.01,21,35620,31,2,3517.2595,1
140209994691380,87001,1,201002,46,-0.01,23,38300,34,2,3138.7878,1
490965404034216,85001,1,201002,46,-0.01,23,38300,27,1,3201.5745,1
490965404034216,85001,2,201002,46,-0.01,23,38300,24,1,3401.8466,1
153490069200810,85001,2,201002,46,-0.01,23,39740,52,1,3019.8105,1
822309560369403,85001,4,201002,46,-0.01,23,39740,25,1,2861.4294,1
927012818449410,85001,3,201002,46,7.25,23,29540,16,2,3090.1930,1
324959026909298,85001,4,201002,46,-0.01,23,29540,18,2,2873.8429,1
922869510869404,87001,1,201002,46,-0.01,23,10900,39,1,3711.8538,1
922869510869404,87001,3,201002,46,-0.01,23,10900,25,1,3434.8909,1
495942805003229,87001,1,201002,46,-0.01,23,10900,36,2,2923.0526,1
063134720695990,85001,1,201002,46,-0.01,23,0,43,1,3315.0505,1
063134720695990,85001,2,201002,46,-0.01,23,0,41,2,3324.9013,1
499926504039242,85001,2,201002,46,-0.01,23,37980,46,1,2969.6904,1
240209931408090,87001,2,201002,46,-0.01,23,0,57,1,2925.0745,1
822699920499407,87001,4,201002,46,-0.01,23,38300,18,2,3731.5837,1
973042755459580,85001,3,201002,46,-0.01,23,38300,27,1,3201.5745,1
196906708000329,85001,3,201002,46,-0.01,58,31420,19,2,2963.0644,1
989063932179130,85001,2,201002,46,-0.01,58,12060,22,1,3530.2955,2
810309973445195,86001,1,201002,46,10.27,58,12060,26,1,3022.8504,1
810309973445195,86001,2,201002,46,8.75,58,12060,23,2,3097.3835,1
810309973445195,86001,3,201002,46,9.05,58,12060,22,1,3097.3835,1
933619670059105,85001,3,201002,46,-0.01,58,12260,20,2,3865.9397,1
731685058909494,86001,2,201002,46,10.50,58,47580,23,2,2950.3939,1
531640058909391,86001,2,201002,46,-0.01,58,17980,27,1,2468.0440,2
190968409080329,86001,1,201002,46,2.13,58,12260,25,2,2736.2323,1
964149070449303,85001,3,201002,46,-0.01,22,35620,47,1,3025.3837,1
830409940164374,86001,2,201002,46,-0.01,22,35620,21,1,2609.5101,2
919014866389430,86001,4,201002,46,-0.01,22,35620,20,1,2738.4821,2
060749093135399,85002,2,201002,46,-0.01,22,35620,32,1,3409.6889,1
060749093135399,85002,4,201002,46,-0.01,22,35620,35,1,2908.9199,1
