HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
943329420546110,87001,1,201001,46,-0.01,58,0,26,1,3408.2043,1
952043930159440,85001,1,201001,46,-0.01,58,0,23,2,3630.4883,1
952043930159440,85001,2,201001,46,-0.01,58,0,21,2,3633.6391,1
131350028909891,86001,1,201001,46,-0.01,58,12060,34,2,2736.9926,1
049791330997099,85001,2,201001,46,2.50,58,42340,24,2,5742.4677,1
189190059300744,86001,2,201001,46,-0.01,58,12060,37,2,3192.7623,1
962194959300939,85001,2,201001,46,-0.01,58,10500,27,1,3438.8854,1
010051130999297,87001,3,201001,46,-0.01,58,12060,21,2,3625.4347,2
450946096537919,86001,1,201001,46,-0.01,22,35620,36,-1,2516.9432,3
023013340971092,85001,2,201001,46,14.00,22,35620,33,1,2053.8209,1
076243140972093,87001,1,201001,46,-0.01,22,35620,80,2,2817.6296,1
076243140972093,87001,2,201001,46,-0.01,22,35620,76,1,2960.3350,1
941014947339820,85001,1,201001,46,2.13,22,35620,48,2,2499.3556,1
747396839400931,85001,1,201001,46,-0.01,22,35620,48,1,2497.6223,1
489880067480983,86001,5,201001,46,-0.01,22,35620,64,2,2568.5789,1
984549130449305,85001,3,201001,46,-0.01,22,35620,22,2,3059.5719,1
937054967379470,86001,2,201001,46,2.65,22,35620,22,2,3059.5719,1
499590814790913,87001,1,201001,46,-0.01,22,10900,57,1,3091.7160,1
501908463592816,87001,2,201001,46,-0.01,21,35620,21,1,3739.1815,2
100869096132439,87001,3,201001,46,-0.01,21,35620,52,1,3730.9570,1
085093360993199,85001,3,201001,46,7.25,21,35620,19,2,3120.1655,1
062423860013508,86001,1,201001,46,-0.01,21,35620,20,2,3658.2070,1
049394959600908,85002,2,201001,46,-0.01,21,15380,26,1,3901.9152,1
230609942195528,87001,2,201001,46,-0.01,21,35620,28,1,4323.4291,2
230609942195528,87001,7,201001,46,-0.01,21,35620,24,1,3094.8752,1
977026176389640,86001,2,201001,46,-0.01,21,35620,21,2,3803.5578,1
230609983516571,87001,5,201001,46,-0.01,21,35620,48,1,3060.2947,1
230609983516571,87001,7,201001,46,-0.01,21,35620,17,2,3282.8404,1
171398709600154,86001,1,201001,46,-0.01,21,35620,50,1,4416.8988,1
876397629600612,86001,2,201001,46,10.00,21,35620,26,1,3060.4021,1
390932702049669,87001,2,201001,46,-0.01,21,46540,51,1,2766.0359,1
912006855329350,87001,1,201001,46,-0.01,21,35620,30,1,4163.7579,1
609800432700943,85002,3,201001,46,-0.01,21,35620,25,1,4073.0937,1
830609981829343,86001,4,201001,46,-0.01,21,35620,22,1,3658.2070,1
689850995490943,85001,1,201001,46,-0.01,21,35620,34,1,2802.3613,1
340395599600715,85001,2,201001,46,-0.01,21,10580,43,1,3200.5491,2
394976607059629,85001,2,201001,46,-0.01,21,28740,29,2,3639.3634,1
135363309600952,85001,2,201001,46,-0.01,21,0,58,2,3065.2133,1
450964099033329,85001,3,201001,46,8.25,21,0,16,2,2754.6712,1
004906914293942,85001,1,201001,46,-0.01,23,38300,37,1,3211.0885,1
494994901030262,85001,2,201001,46,-0.01,23,38300,34,1,3252.3936,1
494998203002254,86001,1,201001,46,-0.01,23,38300,40,2,2803.0141,1
305901454898432,85001,1,201001,46,-0.01,23,37980,63,1,3828.0214,1
305901454898432,85001,2,201001,46,-0.01,23,37980,40,1,2991.2205,1
932739150559404,85001,2,201001,46,-0.01,23,10900,25,2,3018.3232,1
079064520996591,85001,3,201001,46,-0.01,23,25420,18,2,3085.1986,1
740209941488581,86001,1,201001,46,10.00,23,25420,67,2,2670.1618,1
951002921459860,85001,1,201001,46,-0.01,23,37980,41,1,3123.2798,2
299050418240974,86001,2,201001,46,-0.01,23,0,42,1,3579.7827,1
299050418240974,86001,3,201001,46,7.25,23,0,18,1,3371.2943,1
189460059200944,86001,3,201001,46,-0.01,23,0,22,2,3873.2233,1
340209923251056,85001,4,201001,46,7.25,23,37980,24,1,4771.9325,1
411499519200584,87001,5,201001,46,-0.01,23,38300,21,2,3330.1807,1
973042755459580,85001,3,201001,46,-0.01,23,38300,27,1,3177.9289,1
149195059300959,85001,3,201001,46,-0.01,58,12260,20,1,3323.7303,1
110309984872988,87001,1,201001,46,-0.01,58,12060,30,1,3222.0062,1
057003178180840,86001,2,201001,46,-0.01,58,0,31,1,2740.4711,1
214190759300552,87001,1,201001,46,-0.01,58,12060,21,1,3319.8479,1
214190759300552,87001,2,201001,46,-0.01,58,12060,26,1,3456.6633,1
331257083001202,85001,1,201001,46,-0.01,58,12020,48,1,3122.3820,1
095573140999397,87001,1,201001,46,-0.01,22,12100,41,1,2653.9752,1
399968103052419,86001,1,201001,46,-0.01,22,35620,29,2,2379.4330,1
028343140970995,87001,2,201001,46,-0.01,22,35620,21,2,3016.5819,1
407901273695136,86001,1,201001,46,9.50,21,35620,35,2,2692.6148,1
