HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
952043930159440,85001,1,200912,46,-0.01,58,0,23,2,3862.9488,1
131350028909891,86001,1,200912,46,-0.01,58,12060,34,1,2802.1095,1
049791330997099,85001,2,200912,46,-0.01,58,42340,24,2,5393.7380,1
010194799300619,87001,1,200912,46,-0.01,58,12060,23,1,4006.2003,2
010194799300619,87001,2,200912,46,-0.01,58,12060,26,1,3879.4247,1
231877005908892,85001,1,200912,46,-0.01,58,12060,49,1,3498.1980,1
214190759300552,87001,1,200912,46,-0.01,58,12060,21,1,3314.0063,1
214190759300552,87001,2,200912,46,-0.01,58,12060,26,1,3703.4803,1
410140325700013,87001,2,200912,46,-0.01,22,12100,41,2,2818.9191,1
430409957414797,85001,2,200912,46,-0.01,22,12100,21,2,3363.4008,1
520545096034799,85001,1,200912,46,-0.01,22,35620,18,2,1704.3957,1
690845097636069,86001,4,200912,46,8.00,22,35620,21,2,2999.8118,1
394966701036409,86001,1,200912,46,-0.01,22,35620,30,1,3148.0299,1
394966701036409,86001,2,200912,46,7.25,22,35620,23,1,3494.0446,1
602907623997954,85001,1,200912,46,-0.01,22,45940,78,2,2905.7814,1
974819270949309,86001,2,200912,46,-0.01,22,35620,44,1,4136.0667,1
305900983894524,85001,6,200912,46,-0.01,22,35620,29,1,3004.1532,2
393953503043448,85001,4,200912,46,-0.01,22,35620,17,2,2623.0391,1
190843096336739,86001,4,200912,46,3.26,22,35620,22,2,2556.9020,1
955006955379560,86001,3,200912,46,-0.01,21,39100,20,2,4091.9855,1
955006955379560,86001,5,200912,46,-0.01,21,39100,17,2,3387.6466,1
049394959600908,85002,2,200912,46,-0.01,21,15380,26,1,3585.4955,1
923076852369120,86001,4,200912,46,8.50,21,35620,56,1,5542.9553,1
830619972548371,86011,1,200912,46,-0.01,21,35620,31,2,3818.6310,1
467391879600931,86001,4,200912,46,7.00,21,40380,15,2,0.0000,1
586392369600702,86001,2,200912,46,-0.01,21,40380,21,2,4113.9574,1
959398569600155,85001,5,200912,46,-0.01,21,35620,19,2,4571.0372,2
876397629600612,86001,2,200912,46,-0.01,21,35620,26,2,2667.8948,1
930086915379920,86001,3,200912,46,-0.01,21,0,20,2,3932.1150,1
563043032902393,85001,1,200912,46,8.50,21,35620,50,1,2879.3514,1
563043032902393,85001,2,200912,46,-0.01,21,35620,28,1,3252.9830,2
019333460938298,85001,1,200912,46,-0.01,21,35620,49,2,2737.3792,1
373390539600134,86001,2,200912,46,-0.01,21,35620,44,1,2754.0676,1
669400186890983,86001,2,200912,46,-0.01,21,35620,53,2,3954.9420,1
689850995490943,85001,1,200912,46,-0.01,21,35620,34,1,2409.1314,1
866599160239309,86001,1,200912,46,7.25,21,35620,47,1,3125.5930,1
629440370740973,86001,2,200912,46,-0.01,21,35620,44,1,3289.5675,1
629440370740973,86001,3,200912,46,-0.01,21,35620,43,1,3289.5675,1
399916806050679,86001,2,200912,46,-0.01,21,0,42,1,3312.5593,1
910424099343609,85001,4,200912,46,-0.01,23,38300,19,2,3682.9411,1
910424099343609,85001,6,200912,46,-0.01,23,38300,19,2,3682.9411,1
041034320946999,85001,1,200912,46,-0.01,23,38300,21,1,4448.6758,1
041034320946999,85001,2,200912,46,-0.01,23,38300,20,2,4448.6758,1
548496239200993,85001,3,200912,46,-0.01,23,10900,21,2,3723.7249,1
548496239200993,85001,4,200912,46,-0.01,23,10900,17,2,3133.8213,1
548496239200993,85001,5,200912,46,-0.01,23,10900,17,2,3133.8213,1
782749450359409,85001,2,200912,46,-0.01,23,37980,54,1,3362.9764,2
740209941488581,86001,1,200912,46,-0.01,23,25420,67,1,2600.7170,1
124542013905897,85002,1,200912,46,-0.01,23,37980,43,1,2830.0760,2
995082932439800,85001,2,200912,46,-0.01,23,0,23,2,4304.0051,1
927012818449410,85001,3,200912,46,-0.01,23,29540,16,2,3140.9405,1
019504320993096,85002,1,200912,46,-0.01,23,42540,31,2,3814.2167,1
040929091943379,85001,1,200912,46,-0.01,23,37980,29,1,4166.0711,1
962012820469350,86001,1,200912,46,-0.01,23,37980,32,2,2645.4778,1
550527090842769,85001,1,200912,46,15.00,23,37980,52,1,2340.8300,1
973052877489500,86001,1,200912,46,-0.01,23,38300,48,2,2768.9216,1
095043150160330,86001,1,200912,46,-0.01,58,0,35,1,3314.3610,1
095043150160330,86001,2,200912,46,9.00,58,0,30,1,2912.4925,1
057003178180840,86001,2,200912,46,-0.01,58,0,31,1,2734.0663,1
397966709050469,86001,1,200912,46,2.45,22,35620,40,1,2987.9435,1
810861095438479,86001,3,200912,46,-0.01,21,0,18,1,3501.7567,1
810861095438479,86001,4,200912,46,-0.01,21,0,16,2,3501.7567,1
395916300051619,86001,3,200912,46,7.50,21,45060,17,2,3515.8858,1
963283082907391,85001,2,200912,46,-0.01,21,35620,43,1,3205.0755,1
802902573994366,85001,3,200912,46,-0.01,21,0,16,2,3558.6659,2
932979970559407,86001,5,200912,46,-0.01,23,0,21,2,4304.0051,1
982109270986406,86001,6,200912,46,-0.01,23,0,20,2,3969.9383,2
624259078909598,86001,1,200912,46,-0.01,23,0,54,1,2787.7334,1
506909014994152,86001,1,200912,46,-0.01,23,49620,63,-1,2931.0246,3
093621330996697,85001,1,200912,46,-0.01,58,0,68,1,3006.5856,2
069198829300961,86001,4,200912,46,-0.01,58,0,16,-1,3501.7033,3
502905601995553,85002,4,200912,46,-0.01,58,46660,55,1,2671.4448,2
110309984872988,87001,1,200912,46,-0.01,58,12060,30,1,3629.7297,1
770935091413489,85001,2,200912,46,-0.01,58,10500,22,2,4028.1521,1
195901207054325,87001,1,200912,46,-0.01,58,12060,29,1,3530.4696,1
195901207054325,87001,2,200912,46,-0.01,58,12060,48,1,3075.6735,1
833106910300141,85001,2,200912,46,-0.01,58,12060,44,1,3041.6157,1
833819640409104,85001,1,200912,46,-0.01,58,12060,22,2,3571.7715,1
046033195160340,86001,2,200912,46,-0.01,58,12060,29,1,2310.0160,1
049651330999694,85001,2,200912,46,-0.01,58,12020,44,1,4259.3202,1
913449850729101,85001,2,200912,46,-0.01,58,12020,40,1,3117.1558,1
906603991992643,86001,1,200912,46,7.25,58,17980,44,2,2556.3003,1
013951330992890,85001,2,200912,46,-0.01,58,12260,29,1,4997.8357,1
330409915983183,85001,3,200912,46,-0.01,22,12100,22,2,3040.1975,1
395958007074449,86001,2,200912,46,-0.01,22,12100,18,2,2952.3637,1
243627023908791,85001,4,200912,46,-0.01,22,37980,17,2,2627.7287,1
399914600013449,85001,3,200912,46,-0.01,22,37980,18,2,2315.9223,1
023013340971092,85001,2,200912,46,-0.01,22,35620,33,1,2175.7970,1
008901443793334,86001,1,200912,46,-0.01,22,35620,32,1,2183.4245,1
210948091733449,85001,1,200912,46,-0.01,22,35620,27,1,2845.8923,1
489880067480983,86001,5,200912,46,-0.01,22,35620,64,2,2584.1982,1
060943090637229,86001,4,200912,46,-0.01,22,35620,24,1,3040.1975,1
000423140999598,87001,2,200912,46,-0.01,22,35620,66,2,2839.4498,2
353398439400859,85001,3,200912,46,-0.01,22,35620,59,1,3954.2580,1
937054967379470,86001,2,200912,46,-0.01,22,35620,22,2,3040.1975,1
904019570569306,86001,5,200912,46,-0.01,22,10900,19,2,2627.7287,1
407901273695136,86001,1,200912,46,-0.01,21,35620,35,2,2884.7824,1
966096826389010,86001,3,200912,46,-0.01,21,13780,20,2,3891.0450,1
301907853899446,87001,5,200912,46,-0.01,21,15380,28,2,3202.5600,1
896849020999303,85001,1,200912,46,4.60,21,15380,24,2,3400.6367,1
896849020999303,85001,2,200912,46,4.60,21,15380,22,2,3747.6715,1
391976809013639,86001,3,200912,46,-0.01,21,0,20,-1,3494.4331,3
078673560994898,85001,3,200912,46,-0.01,21,46540,57,2,3220.3357,1
730399089600193,85001,1,200912,46,-0.01,21,35620,23,2,3309.1883,2
689310222750963,86001,2,200912,46,-0.01,21,35620,39,1,3712.4286,1
977026176389640,86001,1,200912,46,-0.01,21,35620,20,1,4635.8046,1
977026176389640,86001,2,200912,46,-0.01,21,35620,21,2,3738.8386,1
663259071906598,87001,3,200912,46,-0.01,21,40380,22,2,3422.6947,1
220766099331209,87001,3,200912,46,-0.01,21,40380,18,2,3070.9253,1
786949130329301,85001,3,200912,46,-0.01,21,40380,19,2,3175.1316,1
940076985379670,86001,1,200912,46,-0.01,21,35620,21,2,3161.6246,1
486419010179305,87001,1,200912,46,-0.01,21,35620,26,1,3424.8112,1
663721083905692,85001,1,200912,46,-0.01,21,35620,34,1,4249.9234,1
007153660934891,86001,2,200912,46,2.20,21,35620,23,2,4251.4869,1
