HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
164984707082309,86001,1,200910,46,-0.01,58,0,21,1,3495.6811,2
702904211997583,85001,3,200910,46,-0.01,58,12060,47,1,4734.8728,1
931362044909799,86001,2,200910,46,2.13,58,12060,27,1,2877.1509,1
399540185210951,86001,1,200910,46,-0.01,58,10500,26,2,5359.8622,1
810309931408070,84001,1,200910,46,7.25,58,12060,40,1,3900.0478,1
380190819300704,84001,1,200910,46,9.25,58,12060,24,2,3977.0478,1
395958007074449,84001,1,200910,46,5.00,22,12100,23,1,2959.1842,1
499750157720953,86001,1,200910,46,-0.01,22,35620,41,1,3043.3841,1
499750157720953,86001,6,200910,46,-0.01,22,35620,49,1,2551.2861,1
690845097636069,86001,3,200910,46,-0.01,22,35620,20,2,3109.6318,1
830409913127594,84001,3,200910,46,7.25,22,37980,22,2,2959.1842,1
930074741339630,85001,7,200910,46,-0.01,22,35620,19,2,3328.6366,1
479760882610953,86001,3,200910,46,-0.01,22,35620,53,2,2368.7312,1
993064731359900,86001,4,200910,46,-0.01,22,35620,46,1,2655.7939,1
390935805027438,86001,3,200910,46,-0.01,22,35620,26,2,3114.5541,1
210948091733449,85001,1,200910,46,-0.01,22,35620,27,1,2797.4014,1
305900983894524,86001,1,200910,46,-0.01,22,35620,43,2,2813.7475,1
834819540759309,86001,1,200910,46,-0.01,22,35620,47,2,2680.1421,1
190843096336739,86001,4,200910,46,-0.01,22,35620,22,1,2726.5424,1
992034979359280,86001,2,200910,46,-0.01,22,35620,45,1,2551.2861,1
097483140999195,85001,1,200910,46,-0.01,22,10900,56,1,2495.3680,2
904019570569306,86001,5,200910,46,-0.01,22,10900,19,2,2578.9534,1
830409952580997,84001,1,200910,46,5.35,22,10900,39,1,2546.4564,1
062423860013508,84002,1,200910,46,8.00,21,35620,39,1,3081.1024,1
699880619500953,86001,1,200910,46,-0.01,21,13780,55,2,3035.8492,1
730399089600193,85001,1,200910,46,-0.01,21,35620,23,2,2961.9621,1
977026176389640,84001,1,200910,46,7.50,21,35620,33,1,2654.9636,1
395918002048649,84001,2,200910,46,-0.01,21,40380,29,1,3639.7112,1
130609908227116,85001,3,200910,46,-0.01,21,35620,37,1,2943.7751,2
130609908227116,85001,4,200910,46,-0.01,21,35620,36,2,3759.7839,1
016392789600112,85001,2,200910,46,-0.01,21,35620,50,1,4044.8510,1
016392789600112,85001,3,200910,46,-0.01,21,35620,41,1,2902.4642,1
619960396980983,84001,3,200910,46,-0.01,21,35620,28,1,3007.6486,1
005905363895986,86001,3,200910,46,-0.01,21,45060,19,2,3216.2649,1
005905363895986,86001,4,200910,46,-0.01,21,45060,21,1,3501.9174,1
699670839690973,86001,1,200910,46,-0.01,21,45060,57,1,3083.9799,1
682066929339760,85003,2,200910,46,-0.01,21,39100,21,2,4283.3742,2
392956701084697,86001,1,200910,46,-0.01,21,35620,50,1,2798.9145,1
730609940988186,86001,2,200910,46,-0.01,21,35620,39,1,2531.6143,1
866599160239309,86001,1,200910,46,-0.01,21,35620,47,1,3180.1324,1
629440370740973,86001,2,200910,46,-0.01,21,35620,44,1,3348.4010,1
629440370740973,86001,3,200910,46,-0.01,21,35620,43,1,3348.4010,1
699710958620953,86001,1,200910,46,-0.01,21,0,45,1,3242.4588,1
699710958620953,86001,4,200910,46,-0.01,21,0,23,1,3888.2685,1
417396839600858,85002,6,200910,46,-0.01,21,40380,20,1,3365.4846,2
135363309600952,85001,2,200910,46,-0.01,21,0,58,2,2973.3142,1
059072176440610,86001,1,200910,46,-0.01,23,38300,52,1,3159.4235,1
464497769200999,86001,1,200910,46,-0.01,23,27780,58,2,2658.9565,1
324615015908299,86001,6,200910,46,-0.01,23,10900,17,2,2318.9292,1
740209941488581,86001,1,200910,46,-0.01,23,25420,67,2,2679.1101,1
140200035649015,85001,1,200910,46,-0.01,23,0,23,2,3215.4409,1
440209932884492,86001,1,200910,46,-0.01,23,0,26,-1,3217.7590,3
424855031906795,85001,3,200910,46,-0.01,23,38300,18,2,3183.2757,1
949092867429920,85001,3,200910,46,-0.01,23,38300,18,2,2671.1774,1
810309963211995,84001,2,200910,46,7.00,58,12020,23,2,2707.1113,1
544195359300972,86001,2,200910,46,-0.01,58,12260,19,-1,3891.8755,3
018044172340760,86001,1,200910,46,-0.01,22,35620,58,1,2444.2983,1
395916300051619,86001,3,200910,46,-0.01,21,45060,17,2,3258.9753,1
501902113599636,85001,2,200910,46,-0.01,21,35620,35,1,4123.3634,1
812393709600640,85001,3,200910,46,-0.01,21,35620,21,1,4289.0145,2
563943094909899,86001,2,200910,46,-0.01,21,10580,51,-1,3257.2040,3
492954505092299,86001,3,200910,46,13.00,23,38300,40,1,2776.9237,1
492966303039269,86001,1,200910,46,-0.01,23,25420,53,1,3233.1187,2
492966303039269,86001,3,200910,46,-0.01,23,25420,52,1,2862.3534,2
498972003064279,85001,1,200910,46,-0.01,23,29540,26,1,2836.3025,2
392719680329401,84001,1,200910,46,-0.01,23,37980,32,1,3109.3133,2
095043150160330,86001,1,200910,46,-0.01,58,0,35,1,3531.4254,1
095043150160330,86001,2,200910,46,-0.01,58,0,30,1,3052.1758,1
399700164840951,86001,4,200910,46,-0.01,58,12060,18,2,4207.0797,1
190924802092369,86001,1,200910,46,22.00,58,12060,35,1,3342.7255,1
731491001906099,85001,1,200910,46,-0.01,58,12060,30,1,3982.2670,1
902904931998123,85001,2,200910,46,-0.01,58,46660,55,2,2373.3831,1
902904931998123,85001,3,200910,46,-0.01,58,46660,24,2,3140.8292,1
863194959300982,86001,1,200910,46,-0.01,58,46660,38,1,3255.6387,1
049651330999694,85001,2,200910,46,-0.01,58,12020,43,1,4110.8797,1
500946094431459,85001,2,200910,46,-0.01,22,37980,17,2,3065.7220,1
043141064909399,86001,1,200910,46,-0.01,22,37980,54,1,2919.9856,1
043141064909399,86001,2,200910,46,-0.01,22,37980,50,1,2827.4981,1
394957209075498,86001,1,200910,46,-0.01,22,36140,69,2,2477.3430,1
489170686860963,86001,5,200910,46,-0.01,22,35620,50,1,2854.7043,2
399968103052419,84001,1,200910,46,3.50,22,35620,29,2,3014.8821,1
974819270949309,86001,2,200910,46,-0.01,22,35620,44,1,3719.2220,1
390998602030449,84001,5,200910,46,18.50,22,35620,49,1,3316.3016,1
085093360993199,85001,4,200910,46,-0.01,21,35620,18,2,3049.8509,1
669100701300983,84001,2,200910,46,-0.01,21,35620,26,1,2705.1878,2
