HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
810309963211995,84001,2,200909,46,-0.01,58,12020,23,2,2829.8662,1
941093911179590,84001,4,200909,46,10.00,58,12060,18,2,3569.1819,1
399710520090911,85002,1,200909,46,-0.01,58,12060,41,2,3886.8176,1
018044172340760,86001,1,200909,46,-0.01,22,35620,58,1,2228.3518,1
397934805088489,86001,1,200909,46,-0.01,22,35620,49,2,2727.0038,1
140925097843119,86001,3,200909,46,-0.01,23,27780,19,-1,3307.6130,3
679052970439950,86001,3,200909,46,-0.01,23,0,18,-1,2344.2807,3
862739540929408,86001,2,200909,46,-0.01,23,49620,49,1,2782.9391,1
862739540929408,86001,4,200909,46,-0.01,23,49620,17,2,2996.9692,1
967033962139960,86001,1,200909,46,4.22,58,0,21,2,5315.0913,1
399700164840951,86001,4,200909,46,-0.01,58,12060,18,2,4631.2268,1
965003679149870,86001,1,200909,46,-0.01,58,12060,38,1,3328.7098,2
306905111999213,86001,4,200909,46,-0.01,58,0,47,1,2825.6651,1
810309931408070,84001,1,200909,46,-0.01,58,12060,40,1,3797.1445,1
196974409088379,86001,1,200909,46,-0.01,58,0,22,2,2764.9183,1
102027102036321,84001,3,200909,46,7.25,58,12060,24,2,4164.5268,1
544195359300972,86001,2,200909,46,-0.01,58,12260,19,2,3901.2083,2
547391479400974,86001,2,200909,46,-0.01,22,12100,49,1,2727.0038,1
643154087001406,84001,1,200909,46,2.12,22,37980,39,1,2706.3670,1
392945502026418,86001,1,200909,46,-0.01,22,37980,80,2,2939.9378,1
834819540759309,86001,1,200909,46,-0.01,22,35620,47,2,2727.0038,1
499590814790913,85001,3,200909,46,-0.01,22,10900,19,2,2868.5937,1
830409952580997,84001,1,200909,46,-0.01,22,10900,39,1,2551.8678,1
699150608760953,86001,2,200909,46,-0.01,21,35620,50,1,4142.4802,1
082643560994093,86001,1,200909,46,-0.01,21,40380,42,1,3054.6586,1
082643560994093,86001,2,200909,46,-0.01,21,40380,38,2,3231.7670,1
699470364030953,86001,1,200909,46,-0.01,21,35620,36,1,3450.1324,1
699470364030953,86001,3,200909,46,-0.01,21,35620,18,2,2691.3237,1
130609908227116,85001,3,200909,46,-0.01,21,35620,37,1,3138.2649,2
130609908227116,85001,4,200909,46,-0.01,21,35620,36,2,4143.1939,1
016392789600112,85001,2,200909,46,-0.01,21,35620,50,1,4142.4802,1
016392789600112,85001,3,200909,46,-0.01,21,35620,40,1,3114.0484,1
393944705015649,86001,1,200909,46,-0.01,21,15380,22,1,4736.7089,1
268396679600992,86001,2,200909,46,-0.01,21,39100,25,2,3319.6270,1
930086915379920,84001,4,200909,46,10.00,21,0,36,2,3399.2499,1
963072812489540,84001,3,200909,46,-0.01,23,39740,17,2,2991.4924,1
510927091241489,85001,1,200909,46,-0.01,23,37980,61,1,2989.2108,1
929062939479200,84002,1,200909,46,14.65,23,21500,30,2,2814.0251,1
992039310389404,85001,2,200909,46,-0.01,23,37980,39,2,4858.7193,1
340209907755836,86001,3,200909,46,10.00,23,37980,25,1,4648.5542,1
492984304042289,86001,3,200909,46,-0.01,23,0,19,1,2850.4663,2
918052434419060,85001,2,200909,46,-0.01,23,38300,51,1,2982.9439,1
424855031906795,85001,3,200909,46,-0.01,23,38300,18,2,3259.3899,1
670926095447769,84001,4,200909,46,-0.01,23,38300,22,-1,3118.9169,3
973052877489500,84001,4,200909,46,-0.01,23,38300,16,2,3446.6713,1
093621330996697,86001,1,200909,46,7.80,58,0,22,2,5315.0913,1
502905601995553,85002,2,200909,46,-0.01,58,46660,27,1,4626.8541,2
502905601995553,85002,4,200909,46,-0.01,58,46660,55,1,2788.8946,1
340133005016590,86001,1,200909,46,-0.01,58,0,18,2,3018.7913,1
190924802092369,86001,1,200909,46,-0.01,58,12060,35,1,3665.3648,1
813169760919101,86001,1,200909,46,-0.01,58,12060,47,1,3646.3995,1
992003800169780,86001,1,200909,46,-0.01,58,12060,31,1,4134.1694,2
931847056909096,86001,3,200909,46,-0.01,58,47580,16,2,3089.7026,1
906603991992643,86001,1,200909,46,-0.01,58,17980,44,2,2745.9619,1
399880839040971,84001,1,200909,46,-0.01,58,16860,39,1,3863.7585,1
743547008909495,84001,2,200909,46,-0.01,22,12100,24,2,2769.4999,1
664149040449303,86001,1,200909,46,-0.01,22,35620,50,1,2884.1576,1
500946094431459,85001,2,200909,46,-0.01,22,37980,17,2,2990.2442,1
243639058907893,84002,2,200909,46,-0.01,22,35620,23,1,2986.0466,2
399968103052419,84001,1,200909,46,-0.01,22,35620,29,1,2891.2527,1
305900983894524,86001,1,200909,46,-0.01,22,35620,43,2,2809.0868,1
972026727319160,85001,1,200909,46,-0.01,21,35620,34,1,2607.4418,1
060563090632229,85001,1,200909,46,-0.01,21,15380,39,1,2863.0416,1
963206024904495,86001,6,200909,46,-0.01,21,35620,35,1,2696.5057,1
404900293496256,86001,2,200909,46,-0.01,21,35620,47,1,3134.3545,2
466849570739300,84001,2,200909,46,-0.01,21,35620,27,1,4826.6767,1
977026176389640,84001,1,200909,46,-0.01,21,35620,32,1,2973.8567,1
870460091531419,85002,1,200909,46,-0.01,21,35620,31,1,4082.3177,1
430609958816627,86001,1,200909,46,-0.01,21,35620,50,2,3444.1370,1
619960396980983,84001,3,200909,46,-0.01,21,35620,28,1,3286.5224,1
019333460938298,86001,1,200909,46,-0.01,21,35620,27,1,3286.5224,1
019333460938298,86001,3,200909,46,-0.01,21,35620,20,1,2860.3109,1
019333460938298,86001,4,200909,46,-0.01,21,35620,29,1,3286.5224,1
326889140399303,86001,2,200909,46,-0.01,21,35620,50,1,3558.8826,1
806439340359303,86001,6,200909,46,-0.01,21,35620,18,1,2309.1558,2
370560098436029,86001,1,200909,46,-0.01,21,35620,33,1,3927.6289,1
