HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
310180165020041,86001,2,200908,46,-0.01,58,12060,25,1,2826.4826,1
965003679149870,86001,1,200908,46,-0.01,58,12060,38,2,2978.6504,1
210309937102575,86001,2,200908,46,-0.01,58,12060,23,1,3654.4024,1
931493096909295,84001,2,200908,46,7.65,58,10500,18,1,2791.9862,1
206909491993953,84003,1,200908,46,-0.01,58,10500,19,1,3196.2731,2
210309908628295,86001,1,200908,46,-0.01,58,12260,40,1,2609.3011,2
230409979935775,86001,3,200908,46,-0.01,22,12100,36,1,2441.2330,2
850745099931669,85001,1,200908,46,-0.01,22,37980,54,1,2704.7989,1
850745099931669,85001,3,200908,46,-0.01,22,37980,47,1,2631.6622,1
339398409400831,86001,2,200908,46,-0.01,22,37980,21,1,4672.3435,1
397905707054458,86001,1,200908,46,-0.01,22,35620,29,1,3129.4954,2
806905313990214,84001,2,200908,46,2.13,22,37980,19,2,3131.9335,1
392902203010419,86001,2,200908,46,8.50,22,35620,35,2,2812.9775,1
392902203010419,86001,3,200908,46,10.00,22,35620,30,1,3483.2549,1
925054999379250,84001,2,200908,46,-0.01,22,35620,16,2,3045.8466,1
704339950969301,86001,2,200908,46,-0.01,22,35620,29,1,2321.8614,2
704339950969301,86001,8,200908,46,-0.01,22,35620,20,1,2724.1735,1
993064731359900,86001,4,200908,46,-0.01,22,35620,47,1,2846.9940,1
643024035908297,86001,1,200908,46,-0.01,22,35620,70,1,2445.3509,1
305900983894524,86001,1,200908,46,-0.01,22,35620,43,2,2725.3837,1
124392739600751,86001,2,200908,46,-0.01,21,35620,21,1,3207.4093,2
986399740746304,86001,3,200908,46,-0.01,21,0,18,2,3420.0371,1
302909823991416,86001,2,200908,46,8.20,21,40380,53,2,4321.5881,1
395918002048649,84001,2,200908,46,-0.01,21,40380,29,1,3762.0972,1
130609908227116,85001,3,200908,46,-0.01,21,35620,37,1,4008.6510,2
130609908227116,85001,4,200908,46,-0.01,21,35620,36,2,4802.6466,1
016392789600112,85001,2,200908,46,-0.01,21,35620,50,1,4320.1631,1
016392789600112,85001,3,200908,46,-0.01,21,35620,40,1,3867.8557,1
870460091531419,85002,1,200908,46,-0.01,21,35620,31,1,4597.7997,1
840362095732349,86001,2,200908,46,-0.01,21,35620,38,1,3354.6334,2
079413360997994,86001,2,200908,46,-0.01,21,45060,41,1,3135.3097,1
699670007870913,85001,3,200908,46,-0.01,21,35620,21,1,3808.3268,1
395996600080692,84001,1,200908,46,15.00,21,35620,48,2,3996.0361,1
536089060279304,84002,3,200908,46,14.00,21,35620,35,1,3325.5095,1
371160098438029,84011,1,200908,46,-0.01,21,35620,38,1,2582.7163,1
866599160239309,84001,4,200908,46,-0.01,21,35620,52,1,2459.6699,1
699710958620953,86001,1,200908,46,-0.01,21,0,45,1,3315.9266,1
440209940164394,86001,3,200908,46,-0.01,23,38300,17,1,3101.0604,2
963072812489540,84001,3,200908,46,-0.01,23,39740,17,2,2935.7192,1
340209933125282,86001,2,200908,46,-0.01,23,25420,22,2,5014.5522,1
624492429200974,86001,3,200908,46,8.50,23,42540,23,2,3758.4425,1
973052877489500,84001,4,200908,46,-0.01,23,38300,16,1,3124.3491,1
440209932475592,86001,3,200908,46,-0.01,23,42540,19,2,3178.3324,1
044501231693492,86001,2,200908,46,-0.01,58,0,22,-1,3023.4709,3
031102083906491,86001,1,200908,46,-0.01,58,12060,24,1,5267.0327,1
479810245680973,84001,3,200908,46,-0.01,22,37980,21,2,3419.1260,1
479810245680973,84001,4,200908,46,-0.01,22,37980,19,2,3045.8466,1
196170420470304,86001,3,200908,46,-0.01,21,35620,19,-1,3384.0194,3
039933760971992,84001,3,200908,46,-0.01,21,35620,21,1,3485.3201,1
977072721439550,86001,2,200908,46,-0.01,23,38300,20,2,3490.8675,1
524495064909196,86001,2,200908,46,-0.01,23,11020,48,2,2658.1269,1
492954505092299,86001,3,200908,46,-0.01,23,38300,40,1,2686.5494,1
102902914997612,86001,1,200908,46,10.00,23,10900,61,1,3015.0326,1
679052970439950,86001,3,200908,46,-0.01,23,0,18,2,2520.8916,1
340209985954589,86001,2,200908,46,-0.01,23,29540,34,2,3254.6912,1
649491779200952,86001,2,200908,46,-0.01,23,29540,20,2,3316.5346,1
399100998080971,84001,2,200908,46,-0.01,58,12060,54,1,3271.6455,1
399870422190911,85001,1,200908,46,-0.01,58,12060,27,1,4770.1133,1
399870422190911,85001,4,200908,46,-0.01,58,12060,47,1,3644.8670,1
040491230981594,86001,1,200908,46,-0.01,58,12060,44,1,3188.0780,1
940238003417450,84002,5,200908,46,-0.01,58,12060,50,1,4228.7982,1
399740827690971,84002,3,200908,46,-0.01,58,46660,22,2,5326.3682,1
802900371994713,86001,2,200908,46,-0.01,58,16860,35,1,2573.2156,2
399880839040971,84001,1,200908,46,-0.01,58,16860,39,1,3868.8447,1
470934090511549,85001,1,200908,46,-0.01,58,0,24,2,4026.2613,1
960053997159300,86001,2,200908,46,-0.01,58,0,18,2,3014.0695,1
908900571990013,84001,1,200908,46,-0.01,58,0,46,1,3132.8698,1
547391479400974,86001,2,200908,46,-0.01,22,12100,49,1,2709.1690,1
499750157720953,86001,1,200908,46,-0.01,22,35620,40,1,3085.4106,1
499750157720953,86001,6,200908,46,-0.01,22,35620,49,1,2718.7141,1
601902193896604,85001,3,200908,46,-0.01,22,37980,16,2,2994.3449,1
390916609066427,84001,3,200908,46,7.05,22,37980,20,2,3476.6466,1
734409630379301,86001,1,200908,46,-0.01,22,35620,44,1,2940.7878,1
