HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
831789053908591,86001,3,200907,46,-0.01,58,12060,23,2,5275.8970,1
521161599300908,86001,1,200907,46,-0.01,58,0,39,1,2844.1832,1
521161599300908,86001,4,200907,46,-0.01,58,0,19,2,2683.5776,1
261192849300946,84001,4,200907,46,-0.01,58,0,33,2,3468.4491,1
057713240962597,86001,1,200907,46,-0.01,22,35620,47,1,3361.5303,1
479810245680973,84001,3,200907,46,-0.01,22,37980,21,2,3082.2742,1
479810245680973,84001,4,200907,46,-0.01,22,37980,19,2,2878.6122,1
880947091631669,86001,2,200907,46,25.00,22,35620,45,1,2656.2525,1
254392959600160,84001,1,200907,46,-0.01,21,35620,31,2,3666.8645,1
699250848460913,86001,2,200907,46,6.55,21,40380,22,2,3354.8661,1
000764096631309,86001,2,200907,46,4.65,21,35620,60,2,3339.8835,1
463837051905492,86001,1,200907,46,-0.01,21,35620,29,2,3235.1000,1
876889460829309,84001,2,200907,46,-0.01,21,45060,34,1,3585.8753,1
323390539600234,86001,1,200907,46,-0.01,21,35620,35,1,5175.7529,1
323390539600234,86001,2,200907,46,-0.01,21,35620,40,1,5489.2619,1
977072721439550,86001,2,200907,46,-0.01,23,38300,20,2,3346.4290,1
140925097843119,86001,3,200907,46,-0.01,23,27780,19,2,2140.0763,1
102902914997612,86001,1,200907,46,-0.01,23,10900,60,1,2804.6246,1
075884520998398,84001,3,200907,46,7.25,23,0,18,2,2978.8592,1
299810173930954,84001,2,200907,46,-0.01,23,0,38,1,2829.0833,2
962219850509401,84001,1,200907,46,9.75,23,37980,47,1,2780.9535,1
524578005908697,84001,1,200907,46,9.50,23,37980,48,1,3013.1548,1
496996102013277,84001,3,200907,46,-0.01,23,37980,18,2,3313.6153,1
967033962139960,86001,1,200907,46,-0.01,58,0,21,2,5218.7858,1
080931093017409,84001,2,200907,46,-0.01,58,12060,27,1,5668.2806,1
198914005039379,86001,5,200907,46,-0.01,58,0,29,1,2751.6997,1
053023115140700,86001,2,200907,46,-0.01,58,12060,47,2,3691.5608,1
399510902730971,84001,1,200907,46,-0.01,58,47580,48,2,4041.9205,1
070931095917329,84001,2,200907,46,-0.01,58,47580,35,2,3532.4381,1
399740827690971,84002,3,200907,46,-0.01,58,46660,22,1,5332.5514,1
664149040449303,86001,1,200907,46,-0.01,22,35620,50,1,2981.1572,1
520645096038799,84001,1,200907,46,-0.01,22,35620,27,2,2772.9386,1
520645096038799,84001,2,200907,46,-0.01,22,35620,33,1,3451.0934,1
005723140973398,86001,1,200907,46,8.00,22,35620,34,1,2528.1442,1
489250315480943,86001,1,200907,46,-0.01,22,35620,56,1,3085.2625,1
392984206019449,86001,1,200907,46,-0.01,22,35620,62,1,3113.4967,1
008523360998290,86001,1,200907,46,-0.01,21,35620,49,1,4877.4671,1
008523360998290,86001,2,200907,46,-0.01,21,35620,49,1,4297.0130,1
863282006902590,84001,3,200907,46,-0.01,21,35620,25,1,3776.3402,1
679410183290933,86001,3,200907,46,-0.01,21,40380,24,1,3949.9623,1
530609963211965,84001,3,200907,46,7.25,21,35620,25,2,3885.5920,1
005903003896646,84001,2,200907,46,-0.01,21,35620,35,1,4340.2378,1
507900633893256,84001,4,200907,46,-0.01,21,35620,39,1,3235.9715,1
881391639600455,84001,1,200907,46,-0.01,21,35620,58,1,3037.3621,1
016392789600112,86001,2,200907,46,-0.01,21,35620,66,1,3611.9465,1
430609958816627,86001,1,200907,46,-0.01,21,35620,49,2,2983.8285,1
912006855329350,86001,2,200907,46,-0.01,21,35620,29,1,3228.6081,1
392954701084692,86001,1,200907,46,-0.01,21,35620,35,1,2992.4933,1
