HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
967033962139960,86001,1,200906,46,-0.01,58,0,21,1,5152.4365,1
970073739119210,86001,2,200906,46,-0.01,58,12060,25,1,4086.4957,1
399670706330951,84001,2,200906,46,-0.01,58,12060,23,2,3922.1988,1
100630091718919,85001,1,200906,46,-0.01,58,12060,43,1,3936.8596,1
191932707048309,86001,4,200906,46,-0.01,58,16860,17,1,2290.9308,2
057713240962597,86001,1,200906,46,-0.01,22,35620,47,2,3539.8613,1
640948098033879,86001,3,200906,46,-0.01,22,35620,19,1,2940.0693,2
391941806025685,86001,1,200906,46,-0.01,21,35620,53,1,4066.9948,1
391941806025685,86001,3,200906,46,-0.01,21,35620,40,1,2945.3407,1
100869096132439,86001,2,200906,46,-0.01,21,35620,23,2,3091.3776,1
100869096132439,86001,4,200906,46,-0.01,21,35620,21,2,3091.3776,1
917086053329240,86001,2,200906,46,-0.01,21,35620,19,2,3326.3545,1
530609963211965,84001,3,200906,46,-0.01,21,35620,25,1,3730.4941,1
364954900025669,84001,1,200906,46,-0.01,21,35620,46,2,3673.4219,1
663987017900897,84001,1,200906,46,-0.01,21,35620,30,1,3573.5609,1
807908963097176,84001,2,200906,46,-0.01,21,35620,20,2,4654.4531,1
639393679600889,86001,3,200906,46,-0.01,21,45060,23,2,3787.4873,1
079413360997994,86001,2,200906,46,-0.01,21,45060,41,1,3216.3171,1
390932807042604,86001,2,200906,46,-0.01,21,35620,42,1,3666.3639,1
912006855329350,86001,2,200906,46,-0.01,21,35620,29,1,3248.5066,1
395997600080690,84001,1,200906,46,-0.01,21,35620,38,1,4471.8498,1
395997600080690,84001,2,200906,46,-0.01,21,35620,36,1,3893.3506,1
102904513992376,86001,3,200906,46,-0.01,21,10580,21,1,3056.3081,2
394975407030646,84001,1,200906,46,-0.01,21,35620,48,1,3791.6477,1
977072521449550,84001,3,200906,46,5.75,23,38300,19,2,1505.9170,1
560727097241679,86001,3,200906,46,-0.01,23,37980,35,1,2579.1053,1
491987408051248,84001,3,200906,46,-0.01,23,25420,18,1,2755.0731,1
250923093247129,84001,1,200906,46,-0.01,23,25420,27,1,3520.7103,1
495996606000259,84001,1,200906,46,-0.01,23,42540,31,1,3480.2477,1
075644120971892,86001,1,200906,46,-0.01,23,37980,50,1,3143.0467,2
075644120971892,86001,2,200906,46,-0.01,23,37980,47,1,3231.8759,1
075644120971892,86001,3,200906,46,-0.01,23,37980,17,2,2526.9681,2
340209907755836,86001,3,200906,46,-0.01,23,37980,25,1,5206.0396,1
440209969612999,84002,1,200906,46,2.83,23,49620,19,1,2961.0529,1
440209969612999,84002,2,200906,46,10.00,23,49620,24,1,3145.5093,1
289100015650964,84001,4,200906,46,-0.01,23,49620,17,2,2626.7554,1
261192849300946,84001,4,200906,46,-0.01,58,0,33,2,3507.0985,1
102903481996843,86001,3,200906,46,-0.01,58,12060,58,1,3954.8324,1
821194849300963,86001,1,200906,46,-0.01,58,12060,41,2,2787.1825,1
804969240679309,84001,2,200906,46,2.15,22,35620,27,1,2820.8904,1
399946903062444,84001,1,200906,46,-0.01,22,35620,46,1,3105.5426,2
880947091631669,86001,2,200906,46,-0.01,22,35620,45,2,2780.7525,1
659030602620923,86001,1,200906,46,-0.01,21,15380,26,2,3333.0243,1
065193660953590,84002,1,200906,46,-0.01,21,15380,18,1,3502.7861,2
063939078809098,85001,1,200906,46,10.00,21,35620,23,1,2917.7002,1
639150608760983,85001,2,200906,46,-0.01,21,35620,49,1,2610.6145,1
463837051905492,86001,1,200906,46,-0.01,21,35620,29,2,3175.3348,1
876889460829309,84001,2,200906,46,-0.01,21,45060,34,1,3663.5235,1
056303660958094,84001,3,200906,46,-0.01,21,35620,25,1,3503.3313,1
102902914997612,86001,1,200906,46,-0.01,23,10900,60,1,2813.7169,1
075884520998398,84001,3,200906,46,-0.01,23,0,18,2,2984.2793,1
299810173930954,84001,2,200906,46,-0.01,23,0,38,1,2656.7376,2
962219850509401,84001,1,200906,46,-0.01,23,37980,47,1,2876.3917,1
493994009008269,84001,1,200906,46,9.50,23,21500,37,1,2948.2456,1
497911408037218,86001,4,200906,46,-0.01,23,0,22,1,3002.1725,1
497911408037218,86001,7,200906,46,-0.01,23,0,16,2,2648.1432,1
524578005908697,84001,1,200906,46,-0.01,23,37980,48,2,3046.6020,1
499914602099269,84001,1,200906,46,9.65,23,49620,49,1,3243.3981,1
502603441990243,86001,1,200906,46,-0.01,58,0,19,2,2926.5218,1
502603441990243,86001,2,200906,46,-0.01,58,0,19,2,2926.5218,1
399100998080971,84001,2,200906,46,-0.01,58,12060,53,1,3427.7701,1
190938404076359,85001,1,200906,46,-0.01,58,42340,48,1,3089.9630,2
190938404076359,85001,2,200906,46,-0.01,58,42340,52,1,3425.4028,2
110309966723485,86001,1,200906,46,-0.01,58,12060,28,2,4072.8289,1
843479340559101,84001,1,200906,46,-0.01,58,12060,49,1,2743.0875,1
710309967936889,84001,1,200906,46,-0.01,58,12060,36,2,3677.2206,1
350936091517609,84001,5,200906,46,-0.01,58,12260,16,2,3553.5471,1
831789053908591,86001,3,200906,46,-0.01,58,12060,23,2,5202.1060,1
399510902730971,84001,1,200906,46,-0.01,58,47580,48,2,3922.5393,1
070931095917329,84001,2,200906,46,-0.01,58,47580,34,2,3625.4908,1
310310080360081,85002,1,200906,46,2.02,58,47580,23,1,2581.2106,1
195954503074329,84001,1,200906,46,-0.01,58,12260,38,1,3375.7128,1
165944102048379,84001,1,200906,46,15.00,58,0,35,1,2935.5955,1
230409979935775,86001,3,200906,46,-0.01,22,12100,36,2,1996.4695,1
339398409400831,86001,2,200906,46,-0.01,22,37980,20,1,6296.2255,1
734409630379301,86001,1,200906,46,-0.01,22,35620,44,1,3086.9302,1
806905313990214,84001,2,200906,46,-0.01,22,37980,19,2,3083.8088,1
142399029400911,84001,1,200906,46,23.00,22,35620,29,1,6148.2457,1
740942091937899,84001,2,200906,46,-0.01,22,35620,48,2,3295.8428,1
004903153799986,84001,1,200906,46,10.00,21,35620,23,1,3547.8057,1
004903153799986,84001,2,200906,46,14.50,21,35620,47,1,3825.7754,1
396912806044659,86001,2,200906,46,-0.01,21,13780,85,2,2627.7632,1
142390229600749,84001,1,200906,46,6.00,21,15380,65,2,2438.1030,1
707906563692776,84001,2,200906,46,-0.01,21,15380,18,1,3319.6553,2
990560094338899,85001,2,200906,46,-0.01,21,15380,50,1,2741.1099,1
990560094338899,85001,3,200906,46,-0.01,21,15380,19,1,3192.6417,2
391976809013639,84001,2,200906,46,-0.01,21,0,60,2,2370.8055,1
080093860903997,85001,5,200906,46,-0.01,21,35620,18,1,2346.1088,2
302909823991416,86001,2,200906,46,-0.01,21,40380,53,2,3388.0576,1
706369410009306,86001,1,200906,46,-0.01,21,35620,46,2,3250.9523,1
005903003896646,84001,2,200906,46,-0.01,21,35620,35,1,4646.3007,1
507900633893256,84001,4,200906,46,-0.01,21,35620,39,1,3179.4992,1
016392789600112,86001,2,200906,46,-0.01,21,35620,66,1,4014.4725,1
840362095732349,86001,2,200906,46,-0.01,21,35620,38,1,3630.4229,2
689170798680983,85001,1,200906,46,-0.01,21,35620,73,-1,3605.9453,3
240968096437799,84001,5,200906,46,-0.01,21,46540,21,2,3891.6383,1
806902663999276,84001,3,200906,46,-0.01,21,39100,16,2,3525.3053,1
563043033900393,86001,2,200906,46,-0.01,21,35620,52,1,3351.6818,1
900056633349000,84001,4,200906,46,-0.01,21,35620,20,-1,3294.3960,3
563043038909393,85001,1,200906,46,-0.01,21,35620,45,1,3825.7754,1
956709710659308,86001,2,200906,46,-0.01,21,0,33,2,2768.6273,1
469964703026269,84001,2,200906,46,10.60,23,0,39,2,2506.2290,1
497986904047239,84001,1,200906,46,-0.01,23,0,31,1,2991.5244,1
063062105480390,85001,1,200906,46,-0.01,23,39740,66,1,2408.3318,1
289050321270984,85001,2,200906,46,6.00,23,37980,54,2,2618.2733,1
