HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
502603441990243,86001,2,200905,46,-0.01,58,0,19,2,2997.9312,1
001451130997591,86001,2,200905,46,-0.01,58,42340,21,2,4048.8555,1
399090951220971,85001,1,200905,46,8.00,58,42340,28,1,3185.3386,1
399090951220971,85001,2,200905,46,8.00,58,42340,26,1,3185.3386,1
399090951220971,85001,3,200905,46,6.00,58,42340,23,2,2852.4898,1
399090951220971,85001,4,200905,46,8.00,58,42340,18,1,2938.4605,1
399090951220971,85001,5,200905,46,8.00,58,42340,16,1,2938.4605,1
399090951220971,85001,6,200905,46,8.00,58,42340,25,1,3185.3386,1
843479340559101,84001,1,200905,46,-0.01,58,12060,49,1,2857.5851,1
399670706330951,84001,2,200905,46,-0.01,58,12060,23,2,4332.1956,1
806905313990214,84001,2,200905,46,-0.01,22,37980,19,2,3080.6629,1
489940851380983,85001,1,200905,46,-0.01,22,35620,49,1,3130.6714,1
804014503105894,84001,3,200905,46,-0.01,22,35620,20,1,2643.0723,2
100869096132439,86001,2,200905,46,-0.01,21,35620,23,2,3230.0566,1
100869096132439,86001,4,200905,46,-0.01,21,35620,20,2,3230.0566,1
150868099938309,85001,2,200905,46,-0.01,21,35620,18,2,3179.5919,1
130609988015689,86001,2,200905,46,-0.01,21,13780,51,2,3198.8719,1
963480001905995,86001,3,200905,46,-0.01,21,15380,62,1,2791.7779,1
142390229600749,84001,1,200905,46,-0.01,21,15380,65,2,2391.7420,1
990560094338899,85001,2,200905,46,-0.01,21,15380,50,1,2692.6330,1
990560094338899,85001,3,200905,46,-0.01,21,15380,19,2,3243.1124,1
530609963211965,84001,3,200905,46,-0.01,21,35620,25,2,3887.4059,1
547391689600268,84001,1,200905,46,-0.01,21,35620,52,1,4146.3835,1
230609944150994,86001,1,200905,46,-0.01,21,45060,35,1,3031.8644,1
424395049600991,86001,2,200905,46,-0.01,21,45060,30,2,3572.2257,1
956709710659308,86001,2,200905,46,-0.01,21,0,33,2,2843.6518,1
394975407030646,84001,1,200905,46,-0.01,21,35620,48,1,3799.4842,1
163856002904097,86001,2,200905,46,-0.01,21,35620,44,2,3583.7899,1
977072521449550,84001,3,200905,46,-0.01,23,38300,19,2,1680.4093,1
914022733459500,84001,2,200905,46,-0.01,23,38300,34,1,2561.0386,1
908907524990652,85001,1,200905,46,-0.01,23,38300,65,2,2712.8065,1
724032077908797,85001,2,200905,46,-0.01,23,37980,54,1,2920.9546,1
724032077908797,85001,3,200905,46,-0.01,23,37980,85,1,2970.4693,1
724032077908797,85001,4,200905,46,7.00,23,37980,21,1,3321.6515,1
560727097241679,86001,3,200905,46,-0.01,23,37980,35,1,2742.9743,1
942889530359409,84001,1,200905,46,7.45,23,0,29,2,3142.7985,1
494974705073269,84001,2,200905,46,-0.01,23,0,78,2,2624.7566,1
975012847429820,86001,2,200905,46,-0.01,23,37980,21,2,3340.1193,1
657498979200891,84001,4,200905,46,-0.01,23,21500,20,2,3051.0670,1
095094420981697,84001,2,200905,46,-0.01,23,10900,17,2,2835.2058,1
289540492380944,84001,2,200905,46,-0.01,23,42540,48,1,2785.1168,1
299840216050634,84002,1,200905,46,-0.01,23,0,34,1,2808.2957,1
724491004909099,84001,3,200905,46,-0.01,23,0,20,1,3334.3535,1
724491004909099,84001,4,200905,46,-0.01,23,0,17,2,2744.5069,1
585197819300798,85001,1,200905,46,-0.01,58,12060,31,1,3486.3505,1
585197819300798,85001,2,200905,46,-0.01,58,12060,32,1,3486.3505,1
231223017001602,85001,1,200905,46,7.45,58,12060,35,2,3424.8330,1
310990688120081,85001,1,200905,46,-0.01,58,12060,28,1,3642.1831,1
194958002089379,85001,1,200905,46,-0.01,58,0,62,1,2322.2712,1
410540572250083,85001,4,200905,46,-0.01,22,12100,19,2,2834.7258,1
804969240679309,84001,2,200905,46,-0.01,22,35620,27,1,2913.1428,1
081473340994291,84002,9,200905,46,14.00,22,35620,22,1,3515.0523,1
974939630719306,84001,3,200905,46,9.00,22,35620,23,1,2877.6595,1
530609994709957,84002,1,200905,46,-0.01,21,15380,42,1,2759.2815,1
639150608760983,85001,2,200905,46,-0.01,21,35620,49,1,2722.6499,1
699250848460913,86001,2,200905,46,-0.01,21,40380,22,2,3426.6975,1
208905713997426,85001,5,200905,46,-0.01,21,15380,19,2,3525.5978,1
926769870949304,85001,1,200905,46,7.15,21,46540,62,2,2689.8045,1
926769870949304,85001,2,200905,46,7.15,21,46540,56,2,2966.9270,1
005903053393006,84002,6,200905,46,-0.01,21,35620,42,1,3671.1613,1
394917506049658,85001,3,200905,46,7.25,21,35620,17,2,2792.5532,1
394917506049658,85001,4,200905,46,7.25,21,35620,17,2,2792.5532,1
394917506049658,85001,5,200905,46,7.25,21,35620,17,2,2792.5532,1
394917506049658,85001,6,200905,46,3.25,21,35620,18,2,2792.5532,1
962029070639400,85001,1,200905,46,14.85,23,38300,61,1,2759.7128,1
299810173930954,84001,2,200905,46,-0.01,23,0,38,1,2487.1510,1
452496029200849,84001,3,200905,46,-0.01,23,25420,19,2,2755.5125,1
452496029200849,84001,5,200905,46,-0.01,23,25420,17,2,1907.7807,1
452496029200849,84001,8,200905,46,-0.01,23,25420,49,1,2769.4912,1
962219850509401,84001,1,200905,46,-0.01,23,37980,47,1,2829.9094,1
492947309083238,85001,1,200905,46,2.85,23,37980,66,2,2909.2120,1
493994009008269,84001,1,200905,46,-0.01,23,21500,37,1,3104.1197,1
972079210099405,86001,4,200905,46,-0.01,23,29540,17,2,2638.4178,1
839495459200859,84001,2,200905,46,2.65,23,29540,37,2,3110.6312,1
524578005908697,84001,1,200905,46,-0.01,23,37980,48,1,3015.0618,1
499914602099269,84001,1,200905,46,-0.01,23,49620,49,1,3394.8689,1
840209935762899,85001,4,200905,46,-0.01,23,49620,17,2,2747.1802,1
044501231693492,86001,1,200905,46,-0.01,58,0,21,2,3965.7289,1
044501231693492,86001,2,200905,46,-0.01,58,0,22,2,3251.9719,1
970073739119210,86001,2,200905,46,-0.01,58,12060,25,1,4430.5719,1
989063932179130,85001,2,200905,46,-0.01,58,12060,22,1,4473.9615,2
040491230981594,86001,1,200905,46,-0.01,58,12060,44,1,3542.2943,1
943369950329102,84001,2,200905,46,-0.01,58,12060,29,2,4077.4716,1
195901207054325,86001,1,200905,46,-0.01,58,12060,23,1,4253.5810,1
195901207054325,86001,2,200905,46,-0.01,58,12060,23,1,4253.5810,1
100630091718919,85001,1,200905,46,-0.01,58,12060,43,1,4006.2942,1
610306953924299,84001,3,200905,46,-0.01,58,0,17,2,2900.2460,1
569162439300929,84001,2,200905,46,-0.01,58,0,29,1,3002.6370,1
020837093516159,84001,3,200905,46,-0.01,58,12060,20,1,3864.3434,2
980933096211439,86001,1,200905,46,-0.01,58,0,20,1,3553.3037,1
923979470769108,85001,1,200905,46,-0.01,58,46660,40,1,3003.8976,1
977063998179420,85001,1,200905,46,-0.01,58,46660,19,-1,3072.0129,3
210309908628295,86001,1,200905,46,-0.01,58,12260,39,1,2633.5408,1
310300082523712,84001,4,200905,46,6.00,58,12020,19,2,2805.6495,1
163830240210105,84002,3,200905,46,-0.01,58,12060,33,2,2816.8775,1
470934090511549,86001,2,200905,46,-0.01,58,0,37,1,3745.7116,1
057713240962597,86001,1,200905,46,-0.01,22,35620,47,2,3981.2122,1
302907053994324,86001,2,200905,46,-0.01,22,37980,68,1,3105.9223,1
993054715359140,84001,2,200905,46,-0.01,22,35620,48,2,2792.6629,1
993054715359140,84001,3,200905,46,-0.01,22,35620,27,1,3275.9153,2
392902203010419,86001,2,200905,46,-0.01,22,35620,35,1,2786.8245,1
392902203010419,86001,3,200905,46,-0.01,22,35620,30,1,3399.0511,1
499680635980973,85001,2,200905,46,75.00,22,35620,62,2,2812.6786,1
499680635980973,85001,3,200905,46,6.50,22,35620,38,2,2586.6556,1
830409919163592,85001,5,200905,46,-0.01,22,35620,19,1,2604.2640,1
407900123897274,85001,2,200905,46,8.00,22,35620,50,1,2964.7187,1
075883240018308,86001,1,200905,46,-0.01,22,35620,23,2,3341.7141,1
834819540759309,84001,1,200905,46,-0.01,22,35620,30,1,2605.4481,1
813399239400805,86001,1,200905,46,-0.01,22,35620,46,1,2792.6629,1
813399239400805,86001,2,200905,46,-0.01,22,35620,54,1,2840.7211,1
004903153799986,84001,1,200905,46,-0.01,21,35620,23,1,3590.9533,1
004903153799986,84001,2,200905,46,-0.01,21,35620,47,1,3566.7574,1
396912806044659,86001,2,200905,46,-0.01,21,13780,85,2,2671.2285,1
659030602620923,86001,1,200905,46,-0.01,21,15380,26,2,3482.9700,1
402605843995416,86001,3,200905,46,-0.01,21,0,17,2,2811.4225,1
402605843995416,86001,4,200905,46,-0.01,21,0,17,2,2811.4225,1
746089930559300,84001,2,200905,46,7.00,21,35620,58,2,4000.7214,1
942096706379520,85001,2,200905,46,-0.01,21,35620,58,1,3573.1507,1
000764096631309,86001,2,200905,46,-0.01,21,35620,59,1,3744.6697,1
920399019600210,86001,3,200905,46,-0.01,21,35620,39,1,4360.6166,1
