HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
001451130997591,86001,2,200904,46,-0.01,58,42340,21,1,3882.5890,1
399090951220971,85001,1,200904,46,-0.01,58,42340,28,1,3018.1014,1
399090951220971,85001,2,200904,46,-0.01,58,42340,26,1,3018.1014,1
399090951220971,85001,3,200904,46,-0.01,58,42340,23,1,2805.1736,1
399090951220971,85001,4,200904,46,-0.01,58,42340,18,1,2741.3371,1
399090951220971,85001,5,200904,46,-0.01,58,42340,16,1,2741.3371,1
399090951220971,85001,6,200904,46,-0.01,58,42340,25,1,3018.1014,1
190938404076359,85001,1,200904,46,-0.01,58,42340,48,1,3785.9450,1
369340520620921,84001,1,200904,46,10.00,58,12060,33,1,3614.2659,1
710300032884412,85001,4,200904,46,-0.01,58,12060,19,1,3815.7423,1
018033189160450,85001,1,200904,46,35.00,58,12060,33,1,2427.5433,1
531536006909192,85001,3,200904,46,7.00,58,12060,19,2,2977.1285,1
964149070449303,85001,2,200904,46,-0.01,22,35620,48,1,2801.2809,1
964149070449303,85001,3,200904,46,-0.01,22,35620,46,2,3055.6189,1
038473240986495,84001,1,200904,46,6.00,22,35620,40,2,2942.1688,1
904799410799309,86001,3,200904,46,-0.01,22,35620,22,2,3040.2350,1
393991802003458,86001,4,200904,46,-0.01,22,35620,18,2,2606.0012,1
730409955769385,85001,2,200904,46,-0.01,22,35620,47,1,2801.2809,1
391941806025685,86001,1,200904,46,-0.01,21,35620,53,1,3976.9855,1
142390229600749,84001,1,200904,46,-0.01,21,15380,65,2,2476.1046,1
746089930559300,84001,2,200904,46,-0.01,21,35620,57,1,4107.1258,1
896149240859305,84001,1,200904,46,-0.01,21,35620,42,1,2872.0760,1
639150608760983,85001,2,200904,46,-0.01,21,35620,49,1,2659.5931,1
663155087906193,85001,3,200904,46,-0.01,21,35620,23,2,4222.5014,1
