HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
164984707082309,84001,3,200903,46,-0.01,58,0,18,2,3041.1625,1
042511530991895,85001,3,200903,46,8.00,58,10500,30,1,3868.0798,1
018033189160450,85001,1,200903,46,-0.01,58,12060,33,1,2588.6845,1
165944102048379,84001,1,200903,46,-0.01,58,0,35,1,2688.1867,1
948024932339650,84001,1,200903,46,-0.01,22,37980,45,1,2963.3790,1
914299210769303,84001,1,200903,46,8.40,22,35620,60,1,2818.7649,1
966064922379950,85001,4,200903,46,-0.01,22,37980,18,2,2630.6131,1
243114038909891,85001,2,200903,46,-0.01,22,35620,40,1,2929.4053,1
994529650409301,85001,3,200903,46,8.00,22,35620,22,2,2766.0317,1
783397549400776,85001,3,200903,46,-0.01,22,35620,63,1,3453.9388,1
663938078907493,85001,1,200903,46,-0.01,21,35620,48,1,4091.8482,1
659060951530963,85001,3,200903,46,-0.01,21,15380,31,1,3486.9071,1
063939078809098,85001,1,200903,46,-0.01,21,35620,23,1,3126.1585,1
398904508029639,84001,2,200903,46,-0.01,21,40380,23,1,4487.7368,2
663155082907193,84001,2,200903,46,-0.01,21,35620,37,1,3535.3189,1
663155082907193,84001,5,200903,46,-0.01,21,35620,18,2,3953.4382,1
763221001901698,84001,1,200903,46,-0.01,21,35620,37,1,4918.8056,1
763221001901698,84001,2,200903,46,-0.01,21,35620,42,1,3774.8305,1
016392789600112,84001,2,200903,46,7.07,21,35620,29,1,3237.7006,1
040523160926599,84001,5,200903,46,7.15,21,35620,26,2,3237.7006,1
390976705016689,85001,2,200903,46,-0.01,21,35620,34,1,4292.5688,1
251395039600155,85001,3,200903,46,-0.01,21,35620,21,1,4318.9955,2
391928701043612,85001,3,200903,46,-0.01,21,35620,30,1,2925.5725,1
563043038909393,85001,1,200903,46,-0.01,21,35620,45,1,4037.5702,1
940165008936950,85001,1,200903,46,-0.01,21,35620,29,1,4376.5347,1
394917506049658,85001,3,200903,46,-0.01,21,35620,16,2,2966.3532,1
394917506049658,85001,4,200903,46,-0.01,21,35620,16,2,2966.3532,1
394917506049658,85001,5,200903,46,-0.01,21,35620,16,2,2966.3532,1
394917506049658,85001,6,200903,46,-0.01,21,35620,18,2,2966.3532,1
936086943379070,85001,2,200903,46,-0.01,21,28740,51,1,3088.8213,1
936086943379070,85001,4,200903,46,-0.01,21,28740,17,2,2977.4410,1
070622096946969,85001,2,200903,46,-0.01,23,38300,21,1,2856.6756,1
041034820016909,85001,3,200903,46,-0.01,23,38300,18,2,3099.2493,1
289050321270984,85001,1,200903,46,-0.01,23,37980,48,2,3133.8124,1
289050321270984,85001,2,200903,46,-0.01,23,37980,53,2,2733.0245,1
240209983592093,84001,1,200903,46,-0.01,23,0,80,2,2864.4063,1
942889530359409,84001,1,200903,46,-0.01,23,0,29,2,3112.7037,1
904601394999992,84001,2,200903,46,-0.01,23,0,17,2,3030.1966,1
724491004909099,84001,3,200903,46,-0.01,23,0,20,2,3707.2302,1
724491004909099,84001,4,200903,46,-0.01,23,0,17,2,3030.1966,1
269910910630944,84001,3,200903,46,-0.01,23,37980,20,1,4121.9527,1
973042755459580,85001,3,200903,46,10.75,23,38300,26,1,2679.9100,1
160920091041559,84001,5,200903,46,3.50,23,49620,20,2,3485.0547,1
662192339300962,85001,3,200903,46,-0.01,58,12060,23,2,3221.4198,1
536089060279304,85001,1,200903,46,-0.01,21,35620,52,1,3284.4564,1
299790266360974,85001,2,200903,46,-0.01,23,0,48,2,2764.4584,1
962029070639400,85001,1,200903,46,-0.01,23,38300,61,1,2707.4777,1
431680086909768,85001,2,200903,46,-0.01,58,46660,20,1,3018.4696,2
902909361998673,84001,3,200903,46,-0.01,58,12060,17,2,2726.0048,1
306905111999213,85001,1,200903,46,-0.01,58,0,18,2,2273.4586,1
410309946779898,84001,2,200903,46,-0.01,58,0,52,1,2650.7081,1
410309946779898,84001,3,200903,46,-0.01,58,0,19,1,3220.5471,2
793439810549104,84002,2,200903,46,7.50,58,12060,33,1,3809.0649,1
923979470769108,85001,1,200903,46,-0.01,58,46660,40,1,2685.3529,1
194958002089379,85001,1,200903,46,-0.01,58,0,61,1,2602.4736,1
