HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
196921603045378,84001,1,200902,46,-0.01,58,12060,28,2,3643.5095,1
810309925250391,83001,2,200902,46,-0.01,58,12060,28,-1,3206.4535,3
810309954867594,83002,1,200902,46,10.00,58,47580,22,2,3108.8493,1
231246076909092,85001,2,200902,46,-0.01,58,0,50,1,3362.5414,1
040891530996597,85001,3,200902,46,-0.01,58,0,35,2,4375.5861,1
993064731359900,85001,3,200902,46,-0.01,22,35620,50,1,3736.6237,1
499830280540953,85001,2,200902,46,-0.01,22,35620,20,2,2794.6671,1
906908493990054,85001,2,200902,46,-0.01,22,35620,18,2,2811.1365,1
046089960559300,85001,1,200902,46,-0.01,21,35620,27,1,4998.7141,2
000764096631309,84002,2,200902,46,-0.01,21,35620,38,1,3602.5560,1
946589750969305,85001,4,200902,46,-0.01,21,10580,19,2,3374.8923,1
652279580779401,83001,3,200902,46,9.00,23,38300,18,2,3104.8211,1
724055076909497,85001,4,200902,46,-0.01,23,11020,21,2,2789.1730,1
424895036909393,85001,4,200902,46,-0.01,23,0,19,2,2659.1187,1
102904884995412,84001,5,200902,46,-0.01,23,25420,19,2,2709.5788,1
662219820509401,84001,2,200902,46,-0.01,23,37980,20,1,3660.7240,2
523495879200916,84002,1,200902,46,-0.01,23,0,19,2,2659.1187,1
269530444450944,85001,2,200902,46,-0.01,23,37980,23,-1,4393.5158,3
840209935762899,83001,4,200902,46,7.00,23,49620,17,2,3073.8013,1
306905111999213,85001,1,200902,46,-0.01,58,0,18,2,2198.8288,1
025111430013307,85001,3,200902,46,-0.01,58,12060,25,1,3209.2439,1
018033189160450,85001,1,200902,46,-0.01,58,12060,32,1,2607.8565,1
810139009618280,83001,2,200902,46,-0.01,58,12060,33,1,2799.2270,1
810309966795797,83001,3,200902,46,-0.01,58,10500,18,2,2855.2581,2
974023941159810,85001,1,200902,46,-0.01,58,12020,53,1,3327.0819,1
499680635980973,85001,2,200902,46,-0.01,22,35620,62,2,3278.7453,1
499680635980973,85001,3,200902,46,-0.01,22,35620,38,2,2393.5038,1
443413038907093,83001,2,200902,46,8.50,22,35620,23,1,7623.7732,1
908908743799124,83262,3,200902,46,12.00,22,35620,28,1,2020.6147,1
908908743799124,83262,4,200902,46,12.00,22,35620,28,1,2020.6147,1
908908743799124,83262,5,200902,46,12.00,22,35620,22,1,2624.0420,1
908908743799124,83262,6,200902,46,12.00,22,35620,25,1,2020.6147,1
243943068909090,83001,2,200902,46,-0.01,22,35620,25,1,2817.3793,1
061763340999793,84002,1,200902,46,-0.01,22,35620,48,2,2673.0131,1
933044795319380,84001,3,200902,46,-0.01,22,35620,22,2,2794.6671,1
933044795319380,84001,4,200902,46,-0.01,22,35620,19,2,2597.6529,1
430409981379193,85001,2,200902,46,20.00,22,35620,46,1,4013.2910,1
430409981379193,85001,3,200902,46,8.50,22,35620,49,2,2545.4052,1
659060951530963,85001,3,200902,46,-0.01,21,15380,31,2,3494.0309,1
306907853799446,85001,1,200902,46,-0.01,21,15380,31,1,2977.3098,1
059463160990282,84001,4,200902,46,-0.01,21,35620,20,2,4620.3926,2
016392789600112,84001,2,200902,46,-0.01,21,35620,29,1,3440.0698,1
270068090136269,85001,1,200902,46,-0.01,21,35620,27,1,3390.1228,2
156699460509302,85001,2,200902,46,-0.01,21,35620,17,2,3134.8696,1
070969097633909,84001,2,200902,46,-0.01,21,35620,15,2,0.0000,2
394991707044615,84002,1,200902,46,-0.01,21,35620,33,1,3675.8246,1
659800432700963,85001,2,200902,46,-0.01,21,35620,48,1,3782.2812,1
087813560996392,85001,1,200902,46,-0.01,21,10580,28,1,3644.4265,2
119398839600858,84001,3,200902,46,-0.01,21,35620,24,2,3194.7118,1
070622096946969,85001,2,200902,46,-0.01,23,38300,20,1,2795.5092,1
052134820987290,83001,1,200902,46,8.50,23,37980,46,1,3051.0533,1
052134820987290,83001,2,200902,46,8.50,23,37980,33,1,3205.5351,1
962029070639400,85001,1,200902,46,-0.01,23,38300,61,1,2818.9970,1
705905804899522,85001,1,200902,46,-0.01,23,25420,57,1,3072.1097,2
079064520996591,85001,3,200902,46,-0.01,23,25420,18,2,3070.2857,1
624294034909797,85001,1,200902,46,32.40,23,37980,67,1,3049.5927,1
916092855489680,83001,3,200902,46,9.79,23,37980,25,2,3275.0341,1
063134720695990,85001,2,200902,46,-0.01,23,0,40,2,3000.3055,1
