HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
164942204005339,84002,1,200901,46,-0.01,58,0,29,1,2940.6590,1
531441078909593,83001,1,200901,46,-0.01,58,12060,29,1,2684.8063,1
369580976070941,85001,3,200901,46,-0.01,58,12060,18,2,2965.0231,1
399530229490661,85001,4,200901,46,-0.01,58,0,20,2,3376.9783,1
399530229490661,85001,5,200901,46,-0.01,58,0,19,2,2062.3919,1
231015032907597,84001,1,200901,46,-0.01,58,12060,27,2,3366.7414,1
980933096211439,84002,1,200901,46,-0.01,58,0,20,2,3579.3848,1
980933096211439,84002,2,200901,46,-0.01,58,0,22,1,5360.7866,1
974023941159810,85001,1,200901,46,-0.01,58,12020,53,1,3115.9372,1
024501330995899,85001,2,200901,46,13.48,58,17980,36,1,3863.3383,1
024501330995899,85001,5,200901,46,13.00,58,17980,23,1,3265.3770,1
914299210769303,84001,1,200901,46,-0.01,22,35620,60,2,2886.7495,1
993064731359900,85001,3,200901,46,-0.01,22,35620,50,1,3603.7744,1
993064731359900,85001,4,200901,46,-0.01,22,35620,35,1,2639.0974,1
499830280540953,85001,2,200901,46,-0.01,22,35620,19,2,2566.7044,1
908908743799124,83262,3,200901,46,-0.01,22,35620,28,1,2022.6932,1
908908743799124,83262,4,200901,46,-0.01,22,35620,28,1,2022.6932,1
908908743799124,83262,5,200901,46,-0.01,22,35620,22,1,2494.1620,1
908908743799124,83262,6,200901,46,-0.01,22,35620,25,1,2022.6932,1
243943068909090,83001,2,200901,46,-0.01,22,35620,25,1,2756.9336,1
353398439400859,85001,3,200901,46,-0.01,22,35620,59,1,3484.2493,1
902904663994104,84001,2,200901,46,-0.01,22,10900,37,2,3348.6401,1
802907133992656,84001,1,200901,46,-0.01,21,39100,43,2,3158.7838,1
393928305022619,83001,3,200901,46,-0.01,21,46540,19,2,3392.8101,1
008523360998290,85001,2,200901,46,25.85,21,35620,54,1,4625.8904,1
046089960559300,85001,1,200901,46,-0.01,21,35620,26,2,5374.1516,1
398996700090634,85001,1,200901,46,-0.01,21,35620,22,1,4603.7953,1
398901302046648,84001,1,200901,46,-0.01,21,40380,31,2,3211.3389,1
679780925650953,85001,2,200901,46,-0.01,21,40380,53,1,3141.3847,1
763221001901698,84001,1,200901,46,-0.01,21,35620,37,1,4228.9837,1
763221001901698,84001,2,200901,46,-0.01,21,35620,42,1,3693.5369,1
016392789600112,84001,2,200901,46,-0.01,21,35620,29,1,2851.9668,1
076873260918991,84001,1,200901,46,-0.01,21,35620,23,1,4603.7953,1
076873260918991,84001,2,200901,46,-0.01,21,35620,23,1,3779.5015,1
210161097434139,85001,1,200901,46,-0.01,21,35620,37,1,2797.4508,1
639810323980943,85001,1,200901,46,-0.01,21,35620,37,1,4051.8719,1
956709710659308,84001,1,200901,46,-0.01,21,0,19,1,3283.0044,2
830609953544494,83001,4,200901,46,-0.01,21,0,18,2,3233.6723,2
393973809023698,85001,2,200901,46,4.00,21,35620,55,1,3060.2071,1
393973809023698,85001,4,200901,46,4.60,21,35620,22,2,4712.6881,1
676989340399302,85001,2,200901,46,-0.01,21,35620,40,2,3125.5607,1
052134820987290,83001,1,200901,46,-0.01,23,37980,46,1,3120.7607,1
052134820987290,83001,2,200901,46,-0.01,23,37980,33,1,3236.5429,1
042490639200962,85001,2,200901,46,-0.01,23,37980,30,1,3011.5307,1
079064520996591,85001,3,200901,46,-0.01,23,25420,17,2,3553.8993,1
912959970479408,83001,3,200901,46,8.00,23,25420,19,2,3817.4670,1
852419760819402,85001,3,200901,46,-0.01,23,37980,16,2,2895.8439,1
801902664899272,84001,1,200901,46,-0.01,23,29540,75,2,2568.8112,1
029054120990797,84001,4,200901,46,-0.01,23,29540,20,2,3651.8103,1
324037065908697,85001,1,200901,46,-0.01,23,10900,72,2,3090.4696,1
324037065908697,85001,2,200901,46,-0.01,23,10900,69,2,2364.8126,1
973042755459580,85001,3,200901,46,-0.01,23,38300,26,1,2896.3207,1
