HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
902904931998123,85001,2,200812,46,7.00,58,46660,53,2,2954.0365,1
902904931998123,85001,3,200812,46,6.55,58,46660,24,2,2748.0942,1
162912702097359,85001,2,200812,46,11.00,58,12060,19,2,3515.6526,1
824899840559307,85001,1,200812,46,-0.01,22,37980,20,2,2099.4498,1
954269970669302,83001,3,200812,46,-0.01,22,37980,22,2,3103.7687,1
543682066909890,83001,4,200812,46,10.00,22,35620,19,2,2852.2105,1
393963502098438,85001,4,200812,46,-0.01,22,35620,25,1,2784.4205,1
941014947339820,85001,1,200812,46,-0.01,22,35620,46,2,3136.5957,1
343555087908294,83001,3,200812,46,-0.01,22,35620,21,2,3103.7687,1
396912806044659,85001,1,200812,46,4.00,21,13780,26,1,3446.4212,1
906159630229308,85001,5,200812,46,-0.01,21,35620,16,2,3743.5771,1
767393449600960,83001,2,200812,46,14.00,21,35620,56,2,2735.4681,1
906908873991056,83001,4,200812,46,7.15,21,40380,20,2,4017.5990,1
522497249200955,85001,3,200812,46,6.00,23,0,16,2,3231.3213,1
840209924593042,83002,2,200812,46,-0.01,23,38300,37,1,2600.7285,1
652279580779401,83001,3,200812,46,-0.01,23,38300,18,2,2949.9447,1
707903404898052,83001,2,200812,46,-0.01,23,39740,30,2,3664.5248,1
440209974675793,85001,4,200812,46,-0.01,23,0,21,2,3323.5306,1
495953804059298,85001,1,200812,46,-0.01,23,29540,43,2,3443.7672,1
840209935762899,83001,4,200812,46,-0.01,23,49620,17,2,2999.2822,1
369580976070941,85001,3,200812,46,-0.01,58,12060,18,2,3703.0047,1
042511530991895,85001,3,200812,46,-0.01,58,10500,30,2,5408.0841,1
049191589300937,85001,2,200812,46,-0.01,58,0,19,2,3050.1423,1
951074803389420,83002,2,200812,46,-0.01,22,12100,18,1,1979.6855,2
747396839400931,85001,1,200812,46,-0.01,22,35620,47,1,2543.1467,1
499830280540953,85001,2,200812,46,-0.01,22,35620,19,1,2441.1663,1
397966709050469,83001,2,200812,46,-0.01,22,35620,41,1,2736.1102,1
430409981379193,85001,2,200812,46,-0.01,22,35620,45,1,4383.7476,1
430409981379193,85001,3,200812,46,-0.01,22,35620,48,1,2637.3386,1
863394559400998,83001,2,200812,46,-0.01,22,35620,48,1,3719.8737,1
003173360970091,85001,1,200812,46,-0.01,21,35620,25,1,4516.6619,1
003173360970091,85001,2,200812,46,-0.01,21,35620,46,1,4084.2342,1
663391099600914,83001,5,200812,46,8.00,21,35620,17,2,2946.5948,1
396963004044648,85001,1,200812,46,-0.01,21,40380,54,1,3581.5084,1
396963004044648,85001,2,200812,46,-0.01,21,40380,50,1,3001.2495,1
966409670449304,83001,1,200812,46,-0.01,21,40380,36,1,3189.7093,1
423398219600919,85001,2,200812,46,7.50,21,40380,17,2,3518.2726,1
704908163296586,85001,2,200812,46,-0.01,21,35620,23,1,3709.8156,1
026209860679301,83001,1,200812,46,8.50,21,35620,61,1,4094.0495,1
026209860679301,83001,2,200812,46,8.00,21,35620,52,1,4004.9324,1
026209860679301,83001,3,200812,46,10.00,21,35620,48,1,3949.8663,1
840062095738349,83001,1,200812,46,-0.01,21,35620,35,1,4420.6759,2
952056931359390,85001,1,200812,46,-0.01,21,39100,39,2,3085.3439,1
995066754339410,85001,2,200812,46,-0.01,21,35620,55,1,3054.3488,1
669470306460943,85001,1,200812,46,-0.01,21,35620,70,1,3326.3156,1
669470306460943,85001,2,200812,46,-0.01,21,35620,42,1,3262.8948,1
052134820987290,83001,1,200812,46,-0.01,23,37980,46,1,3147.6214,1
052134820987290,83001,2,200812,46,-0.01,23,37980,33,1,3409.8473,1
042490639200962,85001,2,200812,46,-0.01,23,37980,30,1,3054.7658,1
124471046909261,83001,1,200812,46,9.79,23,0,65,2,2773.2749,1
024859055908792,85001,4,200812,46,-0.01,23,25420,15,2,0.0000,1
705905804899522,85001,1,200812,46,-0.01,23,25420,56,1,3099.4182,2
912959970479408,83001,3,200812,46,-0.01,23,25420,19,1,3843.3546,1
803904514592172,85001,4,200812,46,-0.01,23,37980,18,1,2246.3048,1
492947309083238,83001,1,200812,46,-0.01,23,37980,69,2,2597.7769,1
708903304995532,83001,1,200812,46,-0.01,23,42540,42,1,2732.2180,1
029054120990797,84001,4,200812,46,-0.01,23,29540,20,1,3929.7905,1
790822097546009,83001,1,200812,46,10.00,23,29540,46,2,2993.5394,1
098354220981290,85001,1,200812,46,-0.01,23,10900,49,1,3116.3702,1
098354220981290,85001,2,200812,46,-0.01,23,10900,63,1,2931.9367,1
098354220981290,85001,3,200812,46,-0.01,23,10900,26,1,2916.2687,1
949092867429920,85001,3,200812,46,7.25,23,38300,17,2,2639.1515,1
523199829300940,85001,3,200812,46,6.50,58,42340,18,2,3299.6794,1
210309958421797,85001,4,200812,46,6.55,58,12060,19,2,3819.6447,1
082371530993697,85001,1,200812,46,-0.01,58,42340,32,1,5165.2810,2
933079410749106,84001,1,200812,46,-0.01,58,12020,31,1,5165.2810,2
123680020220109,85001,1,200812,46,-0.01,58,12060,37,1,4682.7417,1
531441078909593,83001,1,200812,46,-0.01,58,12060,29,1,2646.2857,1
629193679300989,85001,2,200812,46,10.10,58,12060,38,1,2888.3613,1
629193679300989,85001,3,200812,46,7.25,58,12060,17,2,3653.8539,1
410309949225894,85001,2,200812,46,-0.01,58,12060,20,2,4981.9033,1
010194799300619,84001,1,200812,46,-0.01,58,12060,33,2,5954.8207,1
399540185210951,85001,1,200812,46,-0.01,58,10500,21,1,4081.2174,2
206902091996473,83001,4,200812,46,-0.01,58,12060,43,1,5762.5486,1
956053955139410,85001,3,200812,46,-0.01,58,46660,25,1,4457.1923,1
260934097817979,83003,1,200812,46,-0.01,58,46660,20,2,4956.9088,1
049651330999694,85001,2,200812,46,-0.01,58,12020,43,1,3778.6372,1
943509410479105,84001,1,200812,46,-0.01,58,0,25,2,3003.3300,1
469750157720923,85001,1,200812,46,-0.01,22,35620,47,1,3179.5635,1
630409960219676,83001,1,200812,46,-0.01,22,37980,49,1,3830.1385,1
630409960219676,83001,2,200812,46,-0.01,22,37980,37,2,3903.3602,1
389398409400731,83002,1,200812,46,-0.01,22,37980,26,2,2437.5327,1
005723140973398,84002,2,200812,46,-0.01,22,35620,23,1,7333.1824,2
407906283891024,83001,1,200812,46,-0.01,22,35620,36,1,3228.8914,1
205902063894374,85001,3,200812,46,-0.01,22,35620,20,2,3236.9680,1
843467056909493,83001,3,200812,46,2.15,22,35620,20,2,3456.1502,1
045393340997894,85001,2,200812,46,-0.01,22,35620,35,2,2469.6462,1
007803540992198,85001,2,200812,46,-0.01,22,35620,59,1,2872.9239,1
007803540992198,85001,3,200812,46,-0.01,22,35620,28,1,2707.3975,1
933044795319380,84001,3,200812,46,-0.01,22,35620,22,2,2746.1939,1
933044795319380,84001,4,200812,46,-0.01,22,35620,19,2,2441.1663,1
353398439400859,85001,3,200812,46,-0.01,22,35620,58,1,3788.6132,1
416399850059309,85001,2,200812,46,-0.01,21,35620,22,1,3316.3811,1
416399850059309,85001,3,200812,46,-0.01,21,35620,18,1,3238.7229,1
130609906355961,84001,2,200812,46,-0.01,21,15380,33,2,3284.3636,1
059463160990282,84001,4,200812,46,-0.01,21,35620,19,2,4047.7545,2
977026776359640,85001,3,200812,46,-0.01,21,35620,28,1,3374.4787,1
563864074909698,85001,1,200812,46,-0.01,21,45060,25,2,3927.7454,1
062033160972299,84001,3,200812,46,-0.01,21,40380,27,1,3567.3577,1
398901302046648,84001,1,200812,46,-0.01,21,40380,31,2,3284.3636,1
440865092836689,83001,3,200812,46,10.00,21,40380,23,1,4017.5990,1
360967096837999,83003,3,200812,46,-0.01,21,45060,42,1,3318.3073,1
210161097434139,85001,1,200812,46,-0.01,21,35620,37,1,3073.9737,1
005903053393006,85001,1,200812,46,-0.01,21,35620,30,2,4243.1105,1
005903053393006,85001,3,200812,46,-0.01,21,35620,31,2,4243.1105,1
699280138760953,85001,3,200812,46,-0.01,21,10580,16,2,3433.9650,1
602902513990236,85001,3,200812,46,8.00,21,10580,17,2,3420.0045,1
119398839600858,84001,3,200812,46,-0.01,21,35620,24,2,3411.0078,1
393973809023698,85001,2,200812,46,-0.01,21,35620,55,2,3003.7540,1
393973809023698,85001,4,200812,46,-0.01,21,35620,22,2,4871.4526,1
490964404034219,85001,1,200812,46,-0.01,23,38300,25,2,3394.6761,1
967012803489460,83001,3,200812,46,-0.01,23,11020,19,2,2943.2585,1
524879047001304,83001,3,200812,46,-0.01,23,37980,15,2,0.0000,1
108903554999062,83001,2,200812,46,-0.01,23,37980,35,2,3101.6409,1
262499389200995,83001,2,200812,46,7.00,23,29540,55,1,2830.1551,1
823494559200902,85001,7,200812,46,-0.01,23,10900,26,1,2960.2402,2
324037065908697,85001,1,200812,46,-0.01,23,10900,72,1,3253.5617,1
324037065908697,85001,2,200812,46,-0.01,23,10900,69,2,2453.3636,1
668002952439410,85001,2,200812,46,-0.01,23,0,25,1,3550.4359,1
424625057908691,83001,5,200812,46,-0.01,23,10900,19,1,3290.0951,1
424625057908691,83001,6,200812,46,-0.01,23,10900,16,2,3843.3546,1
491912607055259,85001,1,200812,46,-0.01,23,0,41,1,2538.0823,1
490982705095289,85001,1,200812,46,18.00,23,37980,32,1,3402.6579,1
490982705095289,85001,2,200812,46,15.00,23,37980,32,2,2765.0686,1
507908854899702,83001,3,200812,46,-0.01,23,37980,22,2,4049.3019,1
967033962139960,85001,1,200812,46,-0.01,58,0,21,2,3694.5372,1
031779053908698,85001,2,200812,46,-0.01,58,12060,62,2,3470.6761,1
740196599300991,85001,3,200812,46,-0.01,58,12060,33,2,2713.4004,1
204600871995653,85001,3,200812,46,-0.01,58,16860,20,2,2847.0933,1
602905101992843,85001,1,200812,46,-0.01,58,12060,39,1,3578.0959,1
631705056909398,83001,4,200812,46,-0.01,58,12060,21,-1,3463.1372,3
931026046909297,83001,2,200812,46,-0.01,58,12060,46,1,3561.0900,2
810139009618280,83001,2,200812,46,-0.01,58,12060,33,1,3210.3480,1
006904891997563,83001,1,200812,46,-0.01,58,47580,44,-1,2985.5176,3
903359170279109,83001,1,200812,46,-0.01,58,47580,21,2,4752.7405,1
810309954867594,83002,1,200812,46,-0.01,58,47580,22,2,3197.6892,1
489130524710943,85001,1,200812,46,-0.01,22,37980,47,2,2431.2554,1
930074741339630,85001,5,200812,46,-0.01,22,35620,18,1,4777.3840,2
690847097532609,85001,2,200812,46,10.00,22,35620,30,1,3909.7211,1
422391679600957,85001,3,200812,46,-0.01,21,40380,17,-1,3579.8915,3
689620724440983,83001,3,200812,46,-0.01,21,40380,18,2,3542.0145,1
963283082907391,85001,2,200812,46,-0.01,21,35620,42,1,2825.1379,2
399924504039649,85001,2,200812,46,-0.01,21,0,52,1,3209.9731,1
264398649600998,83001,4,200812,46,-0.01,21,40380,16,-1,3335.1336,3
552829760969404,83003,1,200812,46,7.50,23,37980,21,2,3552.5841,1
702903014993992,85001,2,200812,46,-0.01,23,38300,51,1,2971.6485,1
193922507016339,85001,5,200812,46,6.90,58,10500,19,2,3111.8309,1
302015981108923,85001,2,200812,46,1.87,58,17980,24,2,7515.9218,1
230409932705493,85001,1,200812,46,-0.01,22,37980,30,2,3089.2964,1
