HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
967033962139960,85001,2,200811,46,-0.01,58,0,22,2,3375.6410,1
605904341898283,83002,1,200811,46,-0.01,58,42340,53,1,4155.6905,2
531441078909593,83001,1,200811,46,-0.01,58,12060,29,1,3132.7134,1
192985002078378,83001,1,200811,46,8.00,58,12060,32,2,3313.6886,1
231877005908892,83001,1,200811,46,7.00,58,12060,29,1,2919.6943,1
970094968359850,83001,2,200811,46,-0.01,22,45940,74,-1,2254.8921,3
060749093135399,83001,2,200811,46,10.50,22,35620,32,1,3352.8955,1
973076929359540,83001,3,200811,46,9.00,21,0,25,1,2941.5104,1
996469010029303,85001,1,200811,46,4.60,21,39100,33,1,3609.7436,1
996469010029303,85001,2,200811,46,7.35,21,39100,16,2,2883.9198,1
730399089600193,85001,1,200811,46,-0.01,21,35620,22,1,3736.0256,1
646089980559300,83001,4,200811,46,-0.01,21,35620,17,2,3151.8429,1
423398219600919,85001,2,200811,46,-0.01,21,40380,17,2,3542.4261,1
663721085900692,83001,1,200811,46,6.00,21,35620,26,1,3604.1836,1
026209860679301,83001,1,200811,46,-0.01,21,35620,61,1,4215.1677,1
026209860679301,83001,2,200811,46,-0.01,21,35620,52,1,3902.8422,1
026209860679301,83001,3,200811,46,-0.01,21,35620,48,1,3687.7552,1
840062095738349,83001,1,200811,46,-0.01,21,35620,34,1,4460.0114,2
682066929339760,85002,2,200811,46,-0.01,21,39100,19,1,3646.4229,2
050463093331439,85001,2,200811,46,12.00,21,35620,36,1,2562.0944,1
050463093331439,85001,3,200811,46,12.00,21,35620,36,1,2562.0944,1
050463093331439,85001,4,200811,46,14.00,21,35620,34,1,3183.3930,1
639810323980943,85001,2,200811,46,-0.01,21,35620,25,2,4001.7626,1
530609923550511,83001,1,200811,46,7.25,21,35620,34,1,3392.3235,1
399924504039649,85001,2,200811,46,-0.01,21,0,51,2,3287.3997,1
393973809023698,85001,2,200811,46,-0.01,21,35620,55,2,2839.2435,1
393973809023698,85001,4,200811,46,-0.01,21,35620,22,2,4359.9033,1
