HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
106065909062341,83001,3,200809,46,-0.01,58,12060,18,2,3286.5481,1
931026046909297,83001,2,200809,46,-0.01,58,12060,46,1,3787.6522,2
206902091996473,83001,4,200809,46,-0.01,58,12060,42,1,7235.8660,1
399210271050951,83001,6,200809,46,-0.01,58,12260,30,2,5292.7426,1
090931098917849,84001,2,200809,46,-0.01,58,12260,59,-1,4160.0529,3
850745099931669,85001,1,200809,46,-0.01,22,37980,53,1,2652.4927,1
850745099931669,85001,3,200809,46,-0.01,22,37980,46,1,2373.3092,1
643154087001406,84001,1,200809,46,2.12,22,37980,38,1,2678.5235,1
668396509400928,83001,1,200809,46,-0.01,22,35620,38,1,3941.4219,1
081473340994291,83001,1,200809,46,-0.01,22,35620,39,1,3227.5418,1
081473340994291,83001,2,200809,46,-0.01,22,35620,40,1,3252.6309,1
904209370269306,84001,3,200809,46,7.00,22,35620,16,2,3040.9507,1
543388084909897,83001,3,200809,46,-0.01,22,35620,19,2,2722.7556,1
405908453896384,83001,1,200809,46,-0.01,22,35620,50,1,2470.1037,1
399975505099498,83001,1,200809,46,-0.01,22,35620,31,1,3074.5418,1
830409952580997,84001,1,200809,46,-0.01,22,10900,38,1,2794.1947,1
830609942195598,84001,2,200809,46,-0.01,21,35620,54,2,3000.7158,1
423398219600919,85001,2,200809,46,-0.01,21,40380,17,2,3526.3381,1
963026944359800,83001,1,200809,46,-0.01,21,40380,25,2,2948.0848,1
180767094337179,84001,3,200809,46,9.56,21,40380,21,1,4208.9134,1
395918002048649,84001,2,200809,46,-0.01,21,40380,28,2,3753.4456,1
000764096631309,85001,1,200809,46,-0.01,21,35620,37,1,2839.8570,1
906159630229308,83001,1,200809,46,-0.01,21,35620,50,1,2747.5103,1
767393449600960,83001,2,200809,46,-0.01,21,35620,56,2,2762.6369,1
016392789600112,85001,2,200809,46,-0.01,21,35620,49,1,6338.7334,1
016392789600112,85001,3,200809,46,-0.01,21,35620,39,1,3709.0719,1
392984504074639,83001,2,200809,46,-0.01,21,35620,33,1,3495.1271,2
911076345369080,83001,1,200809,46,-0.01,21,35620,18,1,3348.4268,1
619960396980983,84001,3,200809,46,-0.01,21,35620,27,1,3138.4773,1
619960396980983,84001,4,200809,46,-0.01,21,35620,27,1,3138.4773,1
422391679600957,85001,3,200809,46,-0.01,21,40380,17,2,3112.7492,1
669000300530943,83001,1,200809,46,-0.01,21,35620,41,1,2746.2617,1
530609923550511,83001,1,200809,46,-0.01,21,35620,34,1,3165.4809,1
730609965990800,84001,3,200809,46,8.00,21,35620,34,2,3680.1646,1
500563092538519,84001,1,200809,46,-0.01,21,35620,44,1,3356.6791,1
505908394696682,83001,1,200809,46,-0.01,23,37980,71,2,2478.9614,1
080927093143869,83001,1,200809,46,11.15,23,38300,61,2,2977.3047,1
024859053001702,83001,4,200809,46,10.41,23,25420,23,2,3186.2690,1
024859053001702,83001,5,200809,46,-0.01,23,25420,21,-1,3215.2889,3
090924320999794,83001,3,200809,46,2.60,23,25420,18,2,3516.8948,1
440209915006695,83001,3,200809,46,-0.01,23,25420,18,1,3107.9357,2
495904106065209,83001,2,200809,46,-0.01,23,25420,26,1,3042.7613,1
584491799200789,84001,2,200809,46,-0.01,23,25420,17,2,3137.1312,1
421498819200954,85001,3,200809,46,-0.01,23,25420,16,2,2884.5137,1
807904514692172,84001,1,200809,46,-0.01,23,37980,70,2,2730.9963,1
807904514692172,84001,2,200809,46,-0.01,23,37980,76,2,2813.2145,1
040494799200919,83001,1,200809,46,-0.01,23,0,60,1,3027.4400,1
040494799200919,83001,2,200809,46,-0.01,23,0,60,1,2714.1590,1
160921099947309,84001,1,200809,46,-0.01,23,37980,33,-1,3577.8242,3
462389010159404,85001,3,200809,46,-0.01,23,38300,20,2,3482.1843,1
731776008909598,84001,3,200809,46,-0.01,58,12060,20,2,3492.6780,2
940074847349550,83001,1,200809,46,-0.01,22,12100,47,1,2765.1180,1
740942091937899,84001,2,200809,46,15.00,22,35620,47,2,2926.2624,1
935086961339750,83001,2,200809,46,9.00,21,40380,24,1,3628.1340,1
935086961339750,83001,3,200809,46,9.00,21,40380,19,2,3874.4094,1
679580737180953,83001,1,200809,46,-0.01,21,35620,41,2,2830.1413,1
208900363997586,84001,3,200809,46,-0.01,21,35620,20,1,3960.1044,1
662079540699406,83001,2,200809,46,-0.01,23,38300,48,1,2992.0743,1
662079540699406,83001,3,200809,46,-0.01,23,38300,21,1,3310.0135,1
641494569200959,83001,3,200809,46,-0.01,23,11020,18,1,3052.1609,1
492908203010219,84001,3,200809,46,-0.01,23,37980,27,1,3328.9037,1
299910972170954,83001,3,200809,46,-0.01,23,27780,17,2,2819.2533,1
496924902030229,83001,2,200809,46,-0.01,23,0,20,2,3521.2896,2
092314120692292,85001,3,200809,46,-0.01,23,0,16,2,2876.1715,1
399100998080971,84001,2,200809,46,-0.01,58,12060,53,1,4310.3665,1
605904341898283,83002,1,200809,46,-0.01,58,42340,53,1,4039.2875,2
042891230968798,85001,1,200809,46,-0.01,58,12060,41,1,2736.5060,2
631369044907998,83001,2,200809,46,-0.01,58,12060,37,1,3431.0169,1
535197819300898,83001,5,200809,46,-0.01,58,12060,20,2,4781.0167,1
810139009618280,84001,1,200809,46,-0.01,58,12060,29,1,6117.0309,1
399040544750911,85001,2,200809,46,-0.01,58,0,53,1,3053.2932,1
953599070089106,84001,1,200809,46,6.75,58,0,24,2,3791.1851,1
804607421994153,83001,3,200809,46,-0.01,58,0,21,1,2897.6955,2
520645096038799,84001,1,200809,46,-0.01,22,35620,26,1,2808.5657,1
520645096038799,84001,2,200809,46,-0.01,22,35620,33,1,2845.9303,1
941074815349320,83001,4,200809,46,-0.01,22,37980,23,1,3114.7503,1
479810245680973,84001,3,200809,46,-0.01,22,37980,20,2,2921.5995,1
