HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
057841330994791,83001,2,200808,46,-0.01,58,10500,32,2,2815.2552,1
057841330994791,83001,3,200808,46,-0.01,58,10500,17,2,2956.8637,1
863194959300982,84001,1,200808,46,-0.01,58,46660,44,1,2888.0506,1
863194959300982,84001,3,200808,46,-0.01,58,46660,52,1,4114.4057,1
399210271050951,83001,6,200808,46,-0.01,58,12260,30,1,4237.2460,1
830409913127594,84001,3,200808,46,-0.01,22,37980,21,2,3272.9489,1
499300389410973,84001,2,200808,46,-0.01,22,37980,22,2,4022.7145,1
902034711339200,83001,3,200808,46,-0.01,22,35620,32,1,4086.6971,1
140845097832119,83001,4,200808,46,13.00,22,45940,52,1,3364.7870,1
650840096232889,83001,2,200808,46,-0.01,22,35620,35,1,2925.1316,1
081473340994291,83001,1,200808,46,-0.01,22,35620,39,1,3038.1453,1
081473340994291,83001,2,200808,46,-0.01,22,35620,40,1,3501.3688,1
081473340994291,83001,3,200808,46,-0.01,22,35620,18,2,3450.7823,1
499590814790913,85001,3,200808,46,-0.01,22,10900,18,1,3316.6925,1
170949095831949,85001,3,200808,46,-0.01,22,10900,19,1,3261.3269,2
170949095831949,85001,5,200808,46,-0.01,22,10900,17,2,3316.6925,1
430609983123395,83001,2,200808,46,-0.01,21,0,18,2,3748.5131,1
390921008025683,85001,2,200808,46,-0.01,21,35620,68,1,4322.2893,1
263476071906796,85001,3,200808,46,-0.01,21,35620,23,1,3799.1603,1
466849570739300,84001,2,200808,46,-0.01,21,35620,26,1,4494.8930,1
646089980559300,84001,2,200808,46,-0.01,21,35620,24,1,4101.3744,2
398901302046648,85001,2,200808,46,-0.01,21,40380,23,1,3454.3714,1
005902223893966,83002,2,200808,46,-0.01,21,40380,20,2,3757.2297,1
974086713379710,84001,3,200808,46,-0.01,21,40380,16,2,2867.7854,2
395918002048649,84001,2,200808,46,-0.01,21,40380,28,1,3898.9015,1
615391139600592,85001,3,200808,46,-0.01,21,35620,19,2,3272.6998,1
906159630229308,83001,1,200808,46,-0.01,21,35620,50,1,2905.0657,1
130609908227116,85001,4,200808,46,-0.01,21,35620,35,1,4459.2444,2
