HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
906903301999073,84001,2,200807,46,-0.01,58,42340,22,2,3117.9179,1
906903301999073,84001,3,200807,46,-0.01,58,42340,22,2,4004.4998,1
831167084909765,83001,1,200807,46,-0.01,58,0,44,1,2535.4652,1
953043744119890,83001,1,200807,46,7.50,58,12060,18,2,3041.2236,1
931493096909295,84001,2,200807,46,-0.01,58,10500,20,2,4287.0291,1
923979110009105,83001,2,200807,46,2.25,58,12060,21,1,3775.1839,1
953599070089106,84001,1,200807,46,-0.01,58,0,23,2,3701.1530,1
499300389410973,84001,2,200807,46,-0.01,22,37980,22,2,4071.4118,1
701904813894514,83001,1,200807,46,26.00,22,35620,32,1,3714.0590,1
230409994411396,83001,2,200807,46,-0.01,22,37980,33,1,2958.6198,1
977074932359700,84001,1,200807,46,-0.01,22,35620,56,-1,3203.9787,3
843081036909697,84001,6,200807,46,-0.01,22,35620,17,2,3144.7917,1
081473340994291,83001,1,200807,46,-0.01,22,35620,39,1,3084.9579,1
081473340994291,83001,2,200807,46,-0.01,22,35620,39,1,4027.1400,1
081473340994291,83001,3,200807,46,-0.01,22,35620,18,2,3495.0940,1
208907413991414,84001,1,200807,46,-0.01,22,35620,78,2,3354.8563,1
996469010029303,83001,2,200807,46,10.00,21,39100,19,2,3168.1075,1
996469010029303,83001,3,200807,46,8.00,21,39100,18,2,3168.1075,1
163566004909098,83001,3,200807,46,-0.01,21,39100,23,1,3544.1380,1
397918709013669,84001,1,200807,46,-0.01,21,39100,48,2,2847.6301,1
397918709013669,84001,3,200807,46,-0.01,21,39100,19,2,3819.7907,1
630609915607678,84001,2,200807,46,-0.01,21,35620,27,1,4580.5622,1
646089980559300,84001,2,200807,46,-0.01,21,35620,24,2,4225.7204,1
163129061905593,83001,6,200807,46,-0.01,21,35620,26,1,3889.0701,1
163129061905593,83001,8,200807,46,-0.01,21,35620,27,1,3889.0701,1
016392789600112,83001,1,200807,46,-0.01,21,35620,39,1,4748.8511,1
130609917896738,83001,1,200807,46,-0.01,21,35620,25,1,3979.1924,1
663987017900897,84001,1,200807,46,-0.01,21,35620,29,1,3392.2623,1
807908963097176,84001,2,200807,46,-0.01,21,35620,19,2,4770.0335,1
876889460829309,84001,2,200807,46,-0.01,21,45060,33,2,3435.5475,1
080693860987795,84001,1,200807,46,-0.01,21,45060,21,2,3834.9289,1
106309060059303,84001,3,200807,46,-0.01,21,35620,51,1,4760.9822,1
500563092538519,84001,1,200807,46,-0.01,21,35620,44,1,4180.9311,1
060165009732980,83001,2,200807,46,-0.01,21,28740,33,2,2975.4231,1
305900004891162,84001,3,200807,46,8.25,23,39740,54,2,2692.9288,1
279940851380954,84001,4,200807,46,6.00,23,37980,21,2,3400.1069,1
492908203010219,84001,3,200807,46,-0.01,23,37980,27,1,3245.3166,1
008901034991222,84001,3,200807,46,-0.01,23,37980,23,1,3498.1277,1
450925098943839,83001,1,200807,46,-0.01,23,0,47,1,3110.9425,1
299810173930954,84001,2,200807,46,7.15,23,0,37,1,2615.0675,1
024859053001702,83001,4,200807,46,-0.01,23,25420,23,2,2881.4954,1
024859053001702,83001,5,200807,46,-0.01,23,25420,21,2,2881.4954,1
090924320999794,83001,3,200807,46,-0.01,23,25420,18,2,3409.1692,1
279320843930934,83001,2,200807,46,-0.01,23,37980,17,2,4048.7379,1
657498979200891,84001,4,200807,46,7.25,23,21500,19,2,2562.8900,1
822109920389405,83001,2,200807,46,-0.01,23,10900,35,1,2633.1035,1
620930098111019,83001,2,200807,46,-0.01,58,12060,18,1,3109.7152,2
106905931993063,84001,2,200807,46,-0.01,58,12060,48,1,4484.6418,1
004741530996792,84001,2,200807,46,-0.01,58,12060,30,-1,3310.0762,3
964359370829309,84001,5,200807,46,-0.01,22,35620,17,2,3089.2663,1
905903083692586,84001,3,200807,46,8.00,21,40380,20,1,3755.4876,1
639520784430923,83001,1,200807,46,-0.01,21,35620,25,2,4621.9575,1
639520784430923,83001,2,200807,46,-0.01,21,35620,27,2,4750.6404,1
610309050600189,83001,3,200807,46,-0.01,21,35620,21,1,2339.1143,2
390913405001638,83001,2,200807,46,-0.01,21,35620,53,1,4445.4938,1
524578005908697,84001,1,200807,46,8.75,23,37980,47,1,3207.8959,1
225164449300903,83001,1,200807,46,-0.01,58,0,24,1,3973.4487,1
093621330996697,83002,1,200807,46,-0.01,58,0,21,2,4379.4384,1
164984707082309,83001,1,200807,46,-0.01,58,0,34,1,2894.1856,1
399100998080971,84001,2,200807,46,-0.01,58,12060,53,1,4257.0217,1
547193039300953,83002,2,200807,46,-0.01,58,0,22,1,3056.4381,1
601907621890003,83002,2,200807,46,-0.01,58,12060,22,1,3036.6296,1
399800161200911,83001,1,200807,46,9.75,58,12060,27,1,3922.7813,1
963089010129101,83001,3,200807,46,9.35,58,12060,22,1,5412.7254,1
943369950329102,84001,2,200807,46,2.13,58,12060,28,1,3488.9072,1
107909101897103,84001,1,200807,46,-0.01,58,12060,25,1,3913.5902,1
810309931408070,84001,1,200807,46,-0.01,58,12060,39,1,3233.8106,1
448197969300987,83001,2,200807,46,-0.01,58,0,24,2,2987.9950,1
448197969300987,83001,3,200807,46,-0.01,58,0,26,1,3599.9824,1
810139009618280,84001,1,200807,46,-0.01,58,12060,28,1,5993.7808,1
399880839040971,84001,1,200807,46,-0.01,58,16860,38,1,3657.2045,1
580930099617509,84001,1,200807,46,-0.01,58,0,25,1,3775.3427,1
908900571990013,84001,1,200807,46,-0.01,58,0,45,1,2813.7810,1
290846099532819,83001,1,200807,46,-0.01,22,35620,36,1,2863.1831,1
824899620199305,83001,2,200807,46,-0.01,22,35620,50,1,3424.0851,1
520645096038799,84001,1,200807,46,-0.01,22,35620,26,1,3107.9803,1
520645096038799,84001,2,200807,46,-0.01,22,35620,32,1,3102.0711,1
941074815349320,83001,4,200807,46,-0.01,22,37980,22,1,3058.0260,1
390916609066427,84001,3,200807,46,-0.01,22,37980,19,2,3144.7917,1
643154087001406,84001,1,200807,46,-0.01,22,37980,38,1,2794.6778,1
394963701036406,83002,3,200807,46,-0.01,22,35620,17,2,3089.2663,1
844729240589303,83001,2,200807,46,-0.01,22,35620,17,1,4186.8178,1
993054715359140,84001,2,200807,46,14.05,22,35620,47,2,2668.9593,1
993054715359140,84001,5,200807,46,10.00,22,35620,20,2,3344.1321,1
140845097832119,83001,4,200807,46,-0.01,22,45940,52,1,3428.9141,1
930848094238789,84001,3,200807,46,-0.01,22,35620,17,2,4102.1278,1
394952803052459,83001,1,200807,46,-0.01,22,35620,24,1,3456.2336,1
914679710399301,83001,1,200807,46,-0.01,22,35620,30,1,3297.7457,1
143566004904098,83001,1,200807,46,-0.01,22,35620,38,1,2882.2437,1
390998602030449,84001,5,200807,46,-0.01,22,35620,48,1,3258.4363,1
907094865329760,83001,3,200807,46,-0.01,22,35620,19,2,2937.7772,1
784939310349305,83001,3,200807,46,3.75,22,35620,19,2,2847.8743,1
938054889329540,83001,2,200807,46,-0.01,22,35620,33,1,3425.6931,1
430409981379193,83001,2,200807,46,-0.01,22,35620,26,1,2619.6828,1
663391099600914,84001,3,200807,46,-0.01,21,35620,36,1,4336.8151,1
699220506190913,83001,3,200807,46,-0.01,21,13780,18,-1,2858.0244,3
845392339600931,83251,3,200807,46,-0.01,21,0,22,2,3792.5620,1
906919230229304,83001,1,200807,46,-0.01,21,15380,29,1,3704.5228,1
361982404054659,83001,1,200807,46,-0.01,21,0,46,1,2903.6661,1
923076852369120,84001,2,200807,46,-0.01,21,35620,58,1,3513.0732,1
830609942195598,84001,2,200807,46,-0.01,21,35620,54,1,3261.4046,1
935086961339750,83001,2,200807,46,-0.01,21,40380,24,1,3420.4947,1
935086961339750,83001,3,200807,46,-0.01,21,40380,19,2,2705.5246,1
974086713379710,84001,3,200807,46,-0.01,21,40380,16,2,3284.2072,2
012313860969894,84001,1,200807,46,-0.01,21,40380,28,1,3718.5282,1
