HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
873709840579106,84001,3,200806,46,7.00,58,12060,21,2,3263.5679,1
620930098111019,83001,2,200806,46,-0.01,58,12060,18,1,3026.7611,2
106905931993063,84001,2,200806,46,-0.01,58,12060,48,2,4338.4938,1
031800022907997,83001,3,200806,46,-0.01,58,12060,28,1,2865.4154,1
072551430011003,84001,1,200806,46,-0.01,58,12060,64,1,3176.1627,1
402906283991024,83001,2,200806,46,-0.01,22,35620,17,2,3069.7221,1
230409994709977,83001,2,200806,46,-0.01,22,35620,49,1,3294.3645,1
390924008025687,84001,1,200806,46,-0.01,21,35620,62,2,3407.4314,1
390924008025687,84001,2,200806,46,-0.01,21,35620,66,-1,4002.6510,3
905903083692586,84001,3,200806,46,-0.01,21,40380,20,1,3637.0001,1
663987011903897,83001,1,200806,46,-0.01,21,35620,38,1,3635.7534,2
663987011903897,83001,2,200806,46,-0.01,21,35620,32,2,2833.9855,1
663987011903897,83001,6,200806,46,-0.01,21,35620,47,1,3206.1885,1
048833160994890,83002,1,200806,46,-0.01,21,45060,33,2,3317.9697,2
610309050600189,83001,3,200806,46,-0.01,21,35620,21,1,2596.7824,2
019333460938298,84001,2,200806,46,17.50,21,35620,30,1,3227.3635,1
326889140399303,84001,1,200806,46,-0.01,21,35620,42,1,3482.8179,1
095013860985593,82001,4,200806,46,7.60,21,10580,19,2,3596.6270,1
057714420952597,84001,3,200806,46,7.50,23,38300,16,2,3059.9277,1
468918905090239,82001,3,200806,46,-0.01,23,38300,17,2,3059.9277,1
497906707054259,84001,2,200806,46,-0.01,23,11020,56,2,2983.4857,1
882529040959409,84001,3,200806,46,-0.01,23,21500,29,1,3276.0057,2
493994009008269,84001,1,200806,46,7.35,23,21500,36,1,3090.8078,1
931597024909594,84001,2,200806,46,6.00,58,0,22,1,3163.0115,1
931597024909594,84001,5,200806,46,6.00,58,0,20,1,3163.0115,1
194954108038377,84001,1,200806,46,15.00,58,12060,62,1,3647.9501,1
923979110009105,83001,2,200806,46,-0.01,58,12060,21,1,3669.9617,1
806905313990214,84001,2,200806,46,-0.01,22,37980,18,2,3069.7221,1
142399029400911,84001,1,200806,46,15.75,22,35620,28,1,6247.2862,1
142399029400911,84001,2,200806,46,10.78,22,35620,33,1,3756.0830,1
140845097832119,83001,4,200806,46,-0.01,22,45940,51,1,3200.7780,1
430409981379193,84001,1,200806,46,8.00,22,35620,31,1,3180.1006,1
430409981379193,84001,2,200806,46,7.50,22,35620,37,1,2132.6629,1
142390229600749,84001,1,200806,46,6.00,21,15380,64,2,2482.2691,1
977026176389640,82001,1,200806,46,-0.01,21,35620,33,1,3227.3635,1
876889460829309,84001,2,200806,46,-0.01,21,45060,33,2,3543.6606,1
230609981829373,83002,1,200806,46,-0.01,21,35620,25,1,4360.9156,1
609800432700943,84001,1,200806,46,-0.01,21,35620,40,1,2595.8596,1
609800432700943,84001,3,200806,46,-0.01,21,35620,39,1,2837.6834,1
106309060059303,84001,3,200806,46,-0.01,21,35620,50,1,4341.9986,1
395997600080690,84001,1,200806,46,-0.01,21,35620,37,1,3751.7787,1
730609965990800,84001,3,200806,46,-0.01,21,35620,35,2,3751.7787,1
399924504039649,84001,2,200806,46,4.65,21,0,57,2,2836.5062,1
060165009732980,83001,2,200806,46,-0.01,21,28740,33,2,3035.1481,1
305900004891162,84001,3,200806,46,-0.01,23,39740,54,2,2621.0786,1
977062762419750,83001,1,200806,46,-0.01,23,37980,29,1,3183.2644,1
977062762419750,83001,2,200806,46,-0.01,23,37980,34,2,2515.8116,1
299810173930954,84001,2,200806,46,-0.01,23,0,37,1,2626.9626,2
299810173930954,84001,5,200806,46,-0.01,23,0,18,1,2571.5776,2
090924320999794,83001,3,200806,46,-0.01,23,25420,18,2,3306.4036,1
317498459200655,83001,3,200806,46,-0.01,23,38300,26,1,2332.6158,1
907902394892742,84001,3,200806,46,-0.01,23,49620,17,2,2284.6161,1
907902394892742,84001,4,200806,46,-0.01,23,49620,16,2,2284.6161,1
399100998080971,84001,2,200806,46,-0.01,58,12060,52,1,4362.2180,1
963379850329107,84001,2,200806,46,-0.01,58,42340,42,2,2607.0732,1
906903301999073,84001,2,200806,46,-0.01,58,42340,22,2,3197.2255,1
906903301999073,84001,3,200806,46,-0.01,58,42340,22,2,4094.7046,1
923989710219104,83001,1,200806,46,-0.01,58,12060,37,2,2719.0958,1
031633046909467,84001,1,200806,46,-0.01,58,12020,29,1,3155.6096,2
843479340559101,84001,1,200806,46,-0.01,58,12060,48,1,4071.8286,1
531228044909499,84001,5,200806,46,6.00,58,12060,18,2,3680.4299,1
110300065427419,83001,5,200806,46,-0.01,58,12060,19,1,2582.8407,1
399670706330951,84001,2,200806,46,-0.01,58,12060,22,2,3732.3942,1
917073971179370,84001,3,200806,46,-0.01,58,0,20,1,4553.0172,1
