HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
873709840579106,84001,3,200805,46,-0.01,58,12060,20,1,3249.3373,1
020845094338319,82001,3,200805,46,-0.01,22,35620,19,2,2815.9507,1
663562073905797,84001,1,200805,46,3.85,21,15380,42,2,3546.3143,1
830609933125292,82001,2,200805,46,-0.01,21,46540,34,2,3301.6301,1
663987011903897,83001,2,200805,46,-0.01,21,35620,32,2,2775.9567,1
663987011903897,83001,6,200805,46,-0.01,21,35620,47,1,3521.0888,1
048833160994890,83002,1,200805,46,-0.01,21,45060,33,2,3043.6287,2
610309050600189,83001,3,200805,46,-0.01,21,35620,21,1,3074.6669,2
095013860985593,82001,4,200805,46,-0.01,21,10580,19,2,3813.2251,1
340209975069686,84001,1,200805,46,8.00,23,38300,21,1,3393.3942,1
468918905090239,82001,3,200805,46,-0.01,23,38300,17,1,3213.2676,1
496938007013249,82001,2,200805,46,-0.01,23,11020,20,1,3721.3315,2
490968106049249,82001,1,200805,46,-0.01,23,25420,27,2,3376.7423,1
962219850509401,84001,1,200805,46,-0.01,23,37980,46,1,3188.6586,1
289660581950984,82001,2,200805,46,-0.01,23,37980,58,2,2928.8912,1
493994009008269,84001,1,200805,46,-0.01,23,21500,36,1,3254.5347,1
224223094909096,84001,3,200805,46,-0.01,23,0,16,2,3173.6282,1
225164449300903,83001,1,200805,46,-0.01,58,0,24,1,3712.5102,1
708603841994973,82001,2,200805,46,-0.01,58,0,46,2,3023.9096,1
198935204086348,84001,1,200805,46,-0.01,58,42340,26,1,3326.4143,1
419103680300196,83002,2,200805,46,-0.01,58,12060,31,1,3414.8239,1
984139070949303,82001,2,200805,46,7.00,22,37980,37,2,2349.2062,1
843081036909697,84001,6,200805,46,-0.01,22,35620,17,2,3040.4355,1
914679710399301,83001,1,200805,46,-0.01,22,35620,29,1,3265.9313,1
710946093633979,84001,1,200805,46,12.00,22,35620,47,1,3529.7966,1
843075026909296,84001,4,200805,46,-0.01,22,35620,17,2,2538.7239,2
984549130449305,84001,3,200805,46,11.00,22,35620,41,1,3113.0909,1
984549130449305,84001,6,200805,46,12.40,22,35620,20,1,3652.9710,1
430409981379193,84001,1,200805,46,-0.01,22,35620,31,1,2930.2926,1
430409981379193,84001,2,200805,46,-0.01,22,35620,37,1,2217.9482,1
142390229600749,84001,1,200805,46,-0.01,21,15380,64,2,2562.9819,1
563879046907394,84001,1,200805,46,-0.01,21,15380,52,1,2910.5104,1
563879046907394,84001,4,200805,46,-0.01,21,15380,19,1,3129.5090,1
679250624900973,82001,1,200805,46,-0.01,21,35620,56,1,3983.6316,1
230609941982193,83002,2,200805,46,-0.01,21,40380,28,1,2971.2018,2
905903083692586,84001,3,200805,46,-0.01,21,40380,20,2,3364.5206,1
547391689600268,84001,1,200805,46,-0.01,21,35620,51,1,3867.0244,1
947016498339250,84001,2,200805,46,-0.01,21,35620,36,1,3798.5929,1
609800432700943,84001,1,200805,46,-0.01,21,35620,40,1,2910.8527,1
609800432700943,84001,3,200805,46,-0.01,21,35620,39,1,3037.6323,1
399924504039649,84001,2,200805,46,-0.01,21,0,56,2,2998.7984,1
912799610579406,83001,3,200805,46,-0.01,23,38300,19,2,2525.0312,1
494974705073269,84001,2,200805,46,-0.01,23,0,76,2,2672.8233,1
299810173930954,84001,2,200805,46,-0.01,23,0,37,1,2777.9233,2
299810173930954,84001,5,200805,46,-0.01,23,0,18,1,2672.3414,2
299330222510974,82001,2,200805,46,10.50,23,25420,23,2,4862.6619,1
941002842489290,82001,1,200805,46,-0.01,23,29540,39,1,2995.6513,1
973062951459100,84001,1,200805,46,-0.01,23,10900,32,1,2879.9541,1
317498459200655,83001,3,200805,46,-0.01,23,38300,25,1,2390.8929,1
531228044909499,84001,4,200805,46,-0.01,58,12060,19,2,3235.2619,1
907909361898673,82001,3,200805,46,-0.01,58,12060,25,1,3204.2056,1
106905931993063,84001,2,200805,46,-0.01,58,12060,48,1,3902.9998,1
943369950329102,84001,2,200805,46,-0.01,58,12060,28,1,3434.8739,1
210309927080079,83002,3,200805,46,-0.01,58,12060,17,2,2993.0859,1
031800022907997,83001,3,200805,46,-0.01,58,12060,28,1,2893.5794,1
379670679290931,84001,1,200805,46,-0.01,58,12060,23,-1,3450.7006,3
963619230899107,84001,2,200805,46,6.75,58,0,35,2,3071.7530,1
045551330995196,84001,1,200805,46,-0.01,58,46660,34,1,3205.8740,1
410309936011095,84001,1,200805,46,-0.01,58,46660,50,1,3387.8937,1
443147054909797,84001,2,200805,46,-0.01,22,12100,31,1,2461.1649,1
059663140990697,83001,2,200805,46,-0.01,22,35620,33,1,3202.5534,1
850745099931669,83001,1,200805,46,-0.01,22,37980,31,1,3468.1166,1
430409941095597,84001,2,200805,46,-0.01,22,37980,17,1,2307.9098,1
430409941095597,84001,3,200805,46,-0.01,22,37980,17,1,2307.9098,1
230409906437193,83001,1,200805,46,-0.01,22,35620,58,1,3640.6313,1
392945502026418,84001,1,200805,46,-0.01,22,37980,42,2,2869.2665,1
902034711339200,84001,1,200805,46,-0.01,22,35620,24,2,2775.3794,1
394952803052459,83001,1,200805,46,-0.01,22,35620,24,1,3368.9853,1
081473340994291,84001,2,200805,46,9.00,22,35620,23,1,2568.4175,1
399931302013488,83001,1,200805,46,-0.01,22,35620,38,1,4201.8013,2
250946097437329,82001,2,200805,46,-0.01,22,35620,65,2,2826.4192,1
784939310349305,83001,3,200805,46,-0.01,22,35620,18,2,2698.5114,1
391948401012479,82001,3,200805,46,-0.01,22,35620,32,1,2822.0288,1
699220506190913,83001,3,200805,46,-0.01,21,13780,18,2,2429.7742,1
730609941982183,82001,1,200805,46,11.00,21,40380,48,2,2740.0113,1
005903003896646,84001,2,200805,46,-0.01,21,35620,34,1,3475.9886,1
639520784430923,83001,1,200805,46,-0.01,21,35620,25,1,4956.8082,1
639520784430923,83001,2,200805,46,-0.01,21,35620,27,1,4531.5998,1
876889460829309,84001,2,200805,46,-0.01,21,45060,33,2,3463.0307,1
986056994379160,82001,1,200805,46,14.00,21,45060,38,1,3754.4944,1
270862095432609,83001,4,200805,46,-0.01,21,10580,15,2,0.0000,1
270862095432609,83001,5,200805,46,-0.01,21,10580,20,1,4044.4802,1
803902633699936,84001,2,200805,46,15.00,21,35620,22,1,4659.2316,1
399961502028645,83001,2,200805,46,-0.01,21,35620,25,2,3201.9686,1
830562091732889,83001,1,200805,46,-0.01,21,35620,30,1,3324.2826,1
786509750019306,84001,2,200805,46,-0.01,21,35620,22,1,4673.9854,2
495907402031233,82001,2,200805,46,-0.01,23,38300,26,1,2917.5872,1
240209960219696,83001,2,200805,46,-0.01,23,38300,46,1,3058.0549,1
289050323630964,84001,1,200805,46,-0.01,23,39740,20,2,3171.8331,2
