HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
952094977379350,82003,2,200804,46,-0.01,22,45940,25,1,2844.6579,1
952094977379350,82003,3,200804,46,-0.01,22,45940,27,1,2380.8922,1
843613074909793,84001,5,200804,46,-0.01,22,35620,32,1,3526.8810,1
398982406070409,84001,2,200804,46,-0.01,22,35620,19,-1,3279.8584,3
533399829600840,84001,2,200804,46,-0.01,21,15380,23,2,3694.9192,2
863282006902590,82002,4,200804,46,-0.01,21,35620,21,-1,3844.0007,3
934026791339180,84001,3,200804,46,-0.01,21,40380,16,2,3722.5826,1
394936704067609,82001,4,200804,46,3.00,21,35620,20,2,3771.3465,1
704904113797256,84001,1,200804,46,-0.01,21,35620,65,1,3004.9549,1
712902574991752,84011,1,200804,46,3.23,23,38300,32,1,2359.1546,1
340209975069686,84001,1,200804,46,-0.01,23,38300,21,2,3059.9104,1
490966404034214,82001,3,200804,46,7.25,23,38300,16,2,2598.4876,1
289660581950984,82001,2,200804,46,-0.01,23,37980,58,1,2881.4264,1
493994009008269,84001,1,200804,46,-0.01,23,21500,36,1,3227.6345,1
224223094909096,84001,3,200804,46,-0.01,23,0,16,2,3127.0493,1
839495459200859,84001,2,200804,46,-0.01,23,29540,36,2,2691.4227,1
299280758500974,82001,3,200804,46,-0.01,23,0,16,2,2470.4484,1
601907621890003,83002,2,200804,46,-0.01,58,12060,22,1,3097.2666,1
195901207054325,83002,1,200804,46,-0.01,58,12060,24,1,3152.0296,1
917073971179370,82001,3,200804,46,-0.01,58,0,49,1,3007.6643,2
328398479400793,84001,4,200804,46,-0.01,22,37980,16,-1,3836.7171,3
984139070949303,82001,2,200804,46,-0.01,22,37980,37,1,2361.8880,1
489920317620963,82001,2,200804,46,-0.01,22,35620,50,1,3081.3652,1
917044818329510,84001,1,200804,46,-0.01,22,45940,22,-1,3624.4006,3
917044818329510,84001,2,200804,46,8.50,22,45940,22,2,3755.5840,1
917044818329510,84001,3,200804,46,8.25,22,45940,22,2,3422.4524,1
081473340994291,84001,2,200804,46,-0.01,22,35620,23,1,2646.0371,1
443641013908398,84001,2,200804,46,-0.01,22,35620,52,1,3295.4280,1
450745098937839,82002,1,200804,46,-0.01,22,35620,19,1,2407.6972,1
996469010029303,83001,2,200804,46,-0.01,21,39100,19,2,3285.6970,1
996469010029303,83001,3,200804,46,-0.01,21,39100,18,2,3285.6970,1
802907133992656,84001,1,200804,46,9.15,21,39100,42,2,3240.4258,1
628391359600927,84001,3,200804,46,-0.01,21,39100,19,-1,2655.3665,3
142390229600749,84001,1,200804,46,-0.01,21,15380,64,2,2672.0956,1
204909023794126,84001,3,200804,46,-0.01,21,15380,24,2,4322.1241,1
204909023794126,84001,4,200804,46,-0.01,21,15380,15,2,0.0000,1
679250624900973,82001,1,200804,46,-0.01,21,35620,55,1,4263.8748,1
547391689600268,84001,1,200804,46,-0.01,21,35620,51,1,4082.7382,1
547391689600268,84001,4,200804,46,-0.01,21,35620,48,1,3699.4856,1
386419060179305,82001,2,200804,46,-0.01,21,35620,46,1,4762.6638,1
006309020059303,84001,1,200804,46,-0.01,21,35620,62,1,3408.9377,1
391922809033687,84001,1,200804,46,10.00,21,35620,54,1,3935.9959,1
106905503995236,82001,3,200804,46,11.35,21,35620,47,1,4281.0804,1
930062833469520,82001,3,200804,46,-0.01,23,39740,25,1,2952.8280,1
930062833469520,82001,4,200804,46,-0.01,23,39740,23,1,3134.3149,1
700829094248999,82001,3,200804,46,-0.01,23,25420,23,1,3732.2866,1
022804120993299,83001,1,200804,46,-0.01,23,25420,24,1,3526.7291,1
452496029200849,84001,4,200804,46,-0.01,23,25420,17,1,3579.1080,2
567492189200974,82001,4,200804,46,5.15,23,37980,16,1,2687.8220,1
492926800054289,82001,1,200804,46,10.82,23,21500,49,1,2969.0802,1
930469459200943,84001,1,200804,46,-0.01,23,0,24,1,3131.3212,1
941002842489290,82001,1,200804,46,-0.01,23,29540,39,1,3189.7464,1
823494559200902,84001,2,200804,46,7.00,23,10900,25,2,2529.0468,1
903052751439950,84001,4,200804,46,-0.01,23,37980,23,2,2893.7168,1
306907304793432,82001,4,200804,46,7.15,23,38300,16,2,2598.4876,1
499914602099269,84001,1,200804,46,-0.01,23,49620,48,1,3173.4368,1
931597024909594,84001,2,200804,46,-0.01,58,0,22,2,2890.3444,1
931597024909594,84001,5,200804,46,-0.01,58,0,20,2,2890.3444,1
708603841994973,82001,2,200804,46,-0.01,58,0,46,2,2974.9192,1
009931130998994,83001,2,200804,46,-0.01,58,42340,53,1,3240.5807,1
399410581840971,82001,1,200804,46,-0.01,58,0,59,1,2477.3756,1
610935096213569,84001,1,200804,46,-0.01,58,0,36,1,3475.2983,1
513089180409102,82002,1,200804,46,-0.01,58,12060,40,1,2373.1476,1
963619230899107,84001,2,200804,46,-0.01,58,0,35,1,3080.3822,1
045551330995196,84001,1,200804,46,-0.01,58,46660,34,1,3219.7483,1
998003948179830,82002,1,200804,46,-0.01,58,16860,50,1,3036.1712,1
399030706590951,84001,1,200804,46,-0.01,58,0,62,1,3008.1316,1
640933094917429,82002,1,200804,46,-0.01,58,0,50,2,3389.5120,2
391946806025489,82001,2,200804,46,8.00,22,37980,23,1,2751.7500,1
391946806025489,82001,3,200804,46,8.00,22,37980,21,1,2751.7500,1
391946806025489,82001,5,200804,46,10.00,22,37980,22,1,2751.7500,1
993054715359140,84001,2,200804,46,-0.01,22,35620,47,1,3108.3873,1
993054715359140,84001,3,200804,46,-0.01,22,35620,26,2,4147.0808,1
993054715359140,84001,5,200804,46,-0.01,22,35620,20,1,3537.0903,2
602904113993944,84001,3,200804,46,10.00,22,37980,21,1,3679.1292,1
650840096232889,84001,3,200804,46,7.00,22,35620,17,2,2558.4831,1
984549130449305,84001,3,200804,46,-0.01,22,35620,41,1,3204.4060,1
