HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
046051530992293,82001,1,200802,46,-0.01,58,12060,29,1,4494.1199,1
107909101897103,82001,1,200802,46,-0.01,58,12060,28,2,3424.2048,1
613919080109107,83001,2,200802,46,7.50,58,12060,39,2,3586.0075,1
392908607096499,83001,1,200802,46,-0.01,22,35620,47,1,2498.6346,1
941074815349320,82001,1,200802,46,-0.01,22,37980,33,1,2707.3680,1
106902913797614,82001,1,200802,46,-0.01,22,35620,27,1,3377.4770,1
553399829400840,82001,2,200802,46,-0.01,22,35620,20,2,2854.1361,1
134880720850308,84001,2,200802,46,-0.01,22,35620,37,1,2808.7604,1
304906583791576,82001,1,200802,46,-0.01,21,40380,17,-1,3251.5431,3
304906583791576,82001,2,200802,46,7.50,21,40380,50,2,3176.5045,1
730609941982183,82001,1,200802,46,-0.01,21,40380,47,1,2625.6349,1
386419060179305,82001,2,200802,46,-0.01,21,35620,46,1,4614.1117,1
963283085900391,82001,1,200802,46,-0.01,21,35620,35,1,3138.0988,1
963283085900391,82001,2,200802,46,-0.01,21,35620,32,2,4078.3544,1
938096883369120,82001,1,200802,46,-0.01,21,35620,42,1,5085.6418,1
230609937682390,84001,1,200802,46,-0.01,21,10580,49,1,2740.6639,1
033893260982699,84001,2,200802,46,-0.01,21,35620,56,1,2816.7510,1
497963804021278,84001,5,200802,46,-0.01,23,37980,17,2,2689.2517,1
052134820987290,83001,1,200802,46,14.00,23,37980,45,1,2714.6664,1
052134820987290,83001,2,200802,46,2.00,23,37980,32,1,3665.1644,1
052134820987290,83001,4,200802,46,12.00,23,37980,27,1,2934.7463,1
067564420017109,82001,1,200802,46,-0.01,23,38300,34,1,2870.0133,1
961052771459280,82001,4,200802,46,-0.01,23,37980,18,1,3513.7741,1
490988205099259,83001,1,200802,46,8.50,23,21500,28,2,3455.8457,1
001904794892822,84001,1,200802,46,-0.01,23,42540,47,1,2574.4324,1
924705072907092,84001,3,200802,46,-0.01,23,29540,20,2,3206.9054,1
782159410529401,84001,1,200802,46,-0.01,23,10900,39,2,2940.6029,1
995042943439920,84001,1,200802,46,-0.01,23,37980,39,2,2865.5945,1
306907304793432,82001,4,200802,46,-0.01,23,38300,16,2,2682.3038,1
531441078909593,83001,1,200802,46,-0.01,58,12060,28,-1,3473.5872,3
810309925250391,83001,2,200802,46,-0.01,58,12060,27,-1,3845.1127,3
717395759400812,84001,2,200802,46,-0.01,22,35620,25,2,2636.1779,1
794529450239300,82001,1,200802,46,-0.01,22,35620,56,1,3551.9044,1
794529450239300,82001,2,200802,46,-0.01,22,35620,52,1,3112.5423,1
689620724440983,83001,3,200802,46,5.25,21,40380,17,2,3079.4137,1
689610199140943,82001,4,200802,46,7.25,21,40380,17,2,3411.2681,1
662079540699406,82001,4,200802,46,-0.01,23,38300,17,2,3111.9096,2
240209983592093,84001,1,200802,46,-0.01,23,0,80,2,3111.6586,1
020244120979694,84001,4,200802,46,-0.01,23,25420,22,1,3573.2782,1
031036065908893,82001,1,200802,46,-0.01,58,12060,28,2,4806.5172,1
610935096213569,84001,1,200802,46,-0.01,58,0,36,1,3556.3134,1
933619670059105,82001,1,200802,46,-0.01,58,12260,34,1,2823.3922,1
002601530997690,82001,3,200802,46,-0.01,58,12060,46,1,3129.7454,1
331953006909196,82001,1,200802,46,-0.01,58,12060,24,1,3154.6446,1
060441430988391,82001,2,200802,46,2.50,58,12060,36,2,3669.3221,1
917073971179370,82001,3,200802,46,-0.01,58,0,48,1,3331.5156,2
191973508095388,84001,5,200802,46,-0.01,58,12060,22,2,3316.3131,1
148195849300737,82001,1,200802,46,6.00,58,12060,33,2,2440.5375,1
907073989139190,84001,3,200802,46,-0.01,58,31420,19,1,3055.2361,1
407004461104673,82001,1,200802,46,-0.01,58,12060,36,1,3160.3628,1
399880839040971,82001,2,200802,46,-0.01,58,16860,18,1,2925.6335,2
943509410479105,84001,1,200802,46,-0.01,58,0,24,2,3245.9022,1
824119340479305,82001,2,200802,46,11.00,22,37980,64,2,2492.6780,1
143095028909692,83001,3,200802,46,9.50,22,37980,23,2,3146.9680,1
602904113993944,84001,3,200802,46,-0.01,22,37980,21,1,3598.7832,1
952094977379350,82003,2,200802,46,-0.01,22,45940,32,1,2665.3970,1
469120979480943,82001,2,200802,46,22.00,22,35620,33,1,2707.3680,1
730409927012784,82001,2,200802,46,-0.01,22,35620,36,1,2528.9359,1
489940907970963,82001,3,200802,46,-0.01,22,35620,23,2,3364.1910,1
399931302013488,84001,4,200802,46,-0.01,22,35620,32,1,2989.9947,1
848393579400988,82002,2,200802,46,2.10,22,35620,22,1,3146.9680,1
443641013908398,84001,2,200802,46,-0.01,22,35620,52,1,3367.2605,1
710946093633979,84001,1,200802,46,-0.01,22,35620,47,1,3982.5457,1
933044795319380,84001,3,200802,46,-0.01,22,35620,21,2,2854.1361,1
984549130449305,84001,3,200802,46,-0.01,22,35620,41,1,3136.8491,1
984549130449305,84001,6,200802,46,-0.01,22,35620,20,1,3267.0432,1
130609986352284,84001,2,200802,46,-0.01,21,35620,39,1,3440.8358,1
911393149600866,84001,4,200802,46,-0.01,21,0,18,2,3733.6159,1
028533160997492,84001,3,200802,46,-0.01,21,0,22,1,3690.9439,1
802907133992656,84001,1,200802,46,-0.01,21,39100,42,1,3119.0053,1
663562077906797,82001,3,200802,46,-0.01,21,15380,18,2,3681.7569,1
663562077906797,82001,4,200802,46,-0.01,21,15380,27,1,4065.0901,1
976389130396301,84001,2,200802,46,-0.01,21,0,24,1,4405.6698,2
863453072809192,84001,2,200802,46,-0.01,21,35620,21,1,4420.1001,1
480062097332519,84001,3,200802,46,-0.01,21,35620,21,1,3326.9359,2
126809020589302,84001,1,200802,46,-0.01,21,35620,44,2,4102.8184,1
703908633390456,84001,4,200802,46,-0.01,21,35620,15,2,0.0000,1
404900293496256,82002,2,200802,46,-0.01,21,35620,25,1,3292.8922,1
420766097635779,82001,1,200802,46,-0.01,21,35620,60,1,4672.6943,1
440965092831689,84001,2,200802,46,-0.01,21,40380,27,1,3752.3015,1
440965092831689,84001,3,200802,46,-0.01,21,40380,24,1,4148.3142,1
106350820980302,84001,1,200802,46,-0.01,21,40380,47,2,2740.6639,1
106350820980302,84001,2,200802,46,-0.01,21,40380,57,1,2903.9811,1
398906302046647,82001,4,200802,46,-0.01,21,40380,21,2,3071.3182,1
078733760971194,82001,1,200802,46,-0.01,21,40380,32,1,3572.8535,1
770266090531849,84001,3,200802,46,-0.01,21,35620,16,1,3935.3490,1
530609963211965,82001,4,200802,46,-0.01,21,35620,28,1,3329.8885,1
763221001901698,84001,1,200802,46,-0.01,21,35620,36,1,3138.0988,1
763221001901698,84001,2,200802,46,-0.01,21,35620,41,1,4312.2572,1
704908163296586,82001,2,200802,46,-0.01,21,35620,29,1,4331.9613,1
086763560998195,82001,1,200802,46,-0.01,21,35620,37,1,3381.2070,1
960076021369820,82001,4,200802,46,-0.01,21,35620,24,1,3090.6428,1
699660425370913,84001,2,200802,46,-0.01,21,15380,50,1,3035.1331,2
016823360993399,84001,2,200802,46,-0.01,21,15380,24,2,3838.6872,1
745394539600914,82002,1,200802,46,-0.01,21,15380,22,2,2656.2275,2
876489220099302,84001,5,200802,46,-0.01,21,40380,18,2,3297.2063,1
240962096733449,84001,3,200802,46,-0.01,21,40380,17,2,3543.6972,1
699040988870953,82001,2,200802,46,-0.01,21,45060,47,2,3182.1933,1
391922809033687,84001,1,200802,46,-0.01,21,35620,54,1,3523.6310,1
947016498339250,84001,2,200802,46,-0.01,21,35620,36,1,2839.2929,1
609800432700943,82002,1,200802,46,-0.01,21,35620,26,1,3626.0365,1
609800432700943,82002,2,200802,46,-0.01,21,35620,28,1,3292.8922,1
106905503995236,82001,3,200802,46,-0.01,21,35620,47,1,4558.9555,1
796089830479302,84001,4,200802,46,-0.01,21,10580,21,1,3495.7267,1
730609983842784,82001,2,200802,46,-0.01,21,35620,41,1,3471.8328,1
550969093133509,84001,2,200802,46,-0.01,21,10580,48,1,2527.1780,1
080623560991299,82001,2,200802,46,-0.01,21,10580,24,1,4133.0926,1
790663098234939,82001,2,200802,46,-0.01,21,35620,37,1,3072.8916,1
020113760947798,82001,3,200802,46,-0.01,21,35620,17,2,3618.0155,1
495902402031234,84001,3,200802,46,-0.01,23,38300,21,2,3161.1539,1
503906984691582,84001,4,200802,46,-0.01,23,38300,16,2,2629.1682,1
967092906479560,82001,2,200802,46,-0.01,23,38300,50,1,2827.6076,1
240209960219696,84001,5,200802,46,-0.01,23,38300,18,1,2706.9955,2
130922064645659,82001,2,200802,46,-0.01,23,0,59,1,2575.5236,1
023564520696194,82001,2,200802,46,-0.01,23,0,29,1,3110.7198,2
641494569200959,82001,2,200802,46,-0.01,23,11020,46,1,3028.5738,1
