HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
963679930639102,82002,3,200801,46,-0.01,58,0,22,-1,2674.6440,3
963679930639102,82002,4,200801,46,-0.01,58,0,23,1,2651.7510,2
963679930639102,82002,6,200801,46,8.50,58,0,23,2,2729.7480,1
731808074909264,82002,1,200801,46,-0.01,58,0,44,1,2303.8128,1
196974409088379,82001,3,200801,46,-0.01,58,0,25,2,3020.2261,1
038321130994996,84001,1,200801,46,-0.01,58,0,34,1,5012.1724,1
717395759400812,84001,2,200801,46,-0.01,22,35620,25,1,2800.1378,1
392908607096499,83001,1,200801,46,-0.01,22,35620,47,1,2509.7509,1
941074815349320,82001,1,200801,46,-0.01,22,37980,33,1,2533.0898,1
391946806025489,82001,2,200801,46,-0.01,22,37980,23,1,3048.6912,1
391946806025489,82001,3,200801,46,-0.01,22,37980,20,1,3048.6912,1
391946806025489,82001,5,200801,46,-0.01,22,37980,21,1,3048.6912,1
979064823369210,82001,1,200801,46,-0.01,22,35620,41,1,3554.8960,2
407906283891024,83001,1,200801,46,-0.01,22,35620,35,1,3150.8808,1
038473240986495,84001,1,200801,46,-0.01,22,35620,39,2,3025.2436,1
038473240986495,84001,3,200801,46,-0.01,22,35620,17,2,3185.3889,1
553399829400840,82001,2,200801,46,-0.01,22,35620,20,2,2954.9196,1
489940907970963,82001,3,200801,46,-0.01,22,35620,22,2,3676.4515,1
640948091137439,83001,3,200801,46,-0.01,22,35620,25,-1,3186.7881,3
933044795319380,84001,3,200801,46,-0.01,22,35620,21,2,2954.9196,1
130609986352284,84001,2,200801,46,-0.01,21,35620,39,1,3480.6523,1
121390309600970,84001,3,200801,46,-0.01,21,35620,19,2,4343.6991,1
802907133992656,84001,1,200801,46,-0.01,21,39100,42,2,3261.0276,1
480062097332519,84001,3,200801,46,-0.01,21,35620,21,1,3176.3269,2
392943708031658,82001,1,200801,46,-0.01,21,35620,58,1,4245.8695,1
440965092831689,84001,2,200801,46,-0.01,21,40380,27,1,3811.0902,1
440965092831689,84001,3,200801,46,-0.01,21,40380,24,1,4139.2742,1
863032054909998,82002,3,200801,46,-0.01,21,40380,18,1,2971.0742,2
763221001901698,84001,1,200801,46,-0.01,21,35620,36,1,3602.2868,1
763221001901698,84001,2,200801,46,-0.01,21,35620,41,1,4600.4426,1
763221001901698,84001,3,200801,46,-0.01,21,35620,16,2,3410.3965,1
796899650699303,82001,1,200801,46,-0.01,21,35620,37,1,3569.4654,1
944096971339790,82001,2,200801,46,7.25,21,45060,20,2,4289.3320,1
986709450889309,82001,5,200801,46,-0.01,21,45060,28,1,3408.0409,1
006309020059303,84001,1,200801,46,-0.01,21,35620,62,1,3253.3651,1
006309020059303,84001,3,200801,46,-0.01,21,35620,24,1,4002.0475,2
261395039600955,82001,1,200801,46,-0.01,21,35620,60,1,3831.9225,1
261395039600955,82001,3,200801,46,-0.01,21,35620,29,1,3661.3690,1
926076905339580,82002,2,200801,46,7.50,21,10580,17,2,3496.2724,1
080623560991299,82001,2,200801,46,-0.01,21,10580,23,1,4079.9716,1
230609937682390,84001,1,200801,46,-0.01,21,10580,49,1,2657.6076,2
119398839600858,84001,3,200801,46,-0.01,21,35620,23,2,3643.9470,1
689610199140943,82001,4,200801,46,-0.01,21,40380,17,2,3288.0203,1
269620906790964,82001,3,200801,46,-0.01,23,38300,25,1,2947.7188,1
392699480019403,83001,1,200801,46,-0.01,23,38300,37,1,2747.6330,1
052134820987290,83001,1,200801,46,-0.01,23,37980,45,1,2852.6760,1
052134820987290,83001,2,200801,46,-0.01,23,37980,32,1,3382.5250,1
067564420017109,82001,1,200801,46,-0.01,23,38300,34,1,2916.9309,1
240209983592093,84001,1,200801,46,-0.01,23,0,80,2,3259.7486,1
924683097908099,83001,3,200801,46,-0.01,23,25420,18,-1,3297.8009,3
912959970479408,83001,3,200801,46,8.50,23,25420,18,2,3335.1710,1
993032863429260,84001,1,200801,46,-0.01,23,25420,19,2,2926.2938,1
993032863429260,84001,2,200801,46,-0.01,23,25420,19,1,2926.2938,1
708903304995532,83001,1,200801,46,-0.01,23,42540,41,1,2546.6292,1
249160193270934,82001,1,200801,46,8.00,23,37980,22,1,2831.2178,1
300926091443849,82001,2,200801,46,7.25,23,0,35,1,3165.3808,1
196921603045378,84001,1,200801,46,-0.01,58,12060,26,1,3852.8720,2
