HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
106065909062341,83001,3,200711,46,-0.01,58,12060,17,-1,2990.3668,3
310860523650061,83001,1,200711,46,-0.01,58,12060,57,1,3774.4189,1
818197249300898,82001,3,200711,46,7.03,58,12060,52,2,2998.3452,1
973759870609109,83001,3,200711,46,-0.01,58,12060,19,2,2703.2736,1
973759870609109,83001,5,200711,46,-0.01,58,12060,19,2,2703.2736,1
903419570909104,83001,3,200711,46,-0.01,58,12060,23,2,2777.7821,1
903359170279109,83001,5,200711,46,-0.01,58,47580,20,1,2497.0457,2
013951330992890,82001,3,200711,46,-0.01,58,12260,17,2,3015.4334,1
005905293899104,83001,1,200711,46,-0.01,22,35620,34,1,3501.4144,1
954729370599307,83001,1,200711,46,-0.01,22,45940,45,1,3747.6076,1
954729370599307,83001,2,200711,46,-0.01,22,45940,49,1,3747.6076,1
343555087908294,83001,3,200711,46,-0.01,22,35620,20,2,3644.6711,2
343555087908294,83001,4,200711,46,-0.01,22,35620,17,2,3284.9812,1
506908463492816,83001,1,200711,46,-0.01,21,35620,50,1,4071.1323,2
996046974379820,83001,3,200711,46,-0.01,21,46540,22,2,4526.3171,1
976759830609309,82001,1,200711,46,-0.01,21,45060,47,1,2956.0382,1
029023260984798,82001,4,200711,46,-0.01,21,40380,16,2,2731.1271,2
063998066902095,83001,2,200711,46,-0.01,21,35620,55,1,5183.6376,1
946589750969305,83001,3,200711,46,6.00,21,10580,18,2,3127.5765,1
290862090832899,82001,4,200711,46,-0.01,21,0,17,2,2997.3001,1
699600373840973,83001,3,200711,46,-0.01,21,28740,22,2,4270.3117,1
981036787319280,82001,3,200711,46,7.15,21,35620,19,2,3081.1830,1
706900964995182,83001,3,200711,46,-0.01,23,0,18,1,2949.3018,1
299910972170954,83001,3,200711,46,7.00,23,27780,16,2,2759.5490,1
424855047001401,83001,1,200711,46,-0.01,23,0,57,1,3114.0968,1
424855047001401,83001,2,200711,46,-0.01,23,0,46,1,2888.4565,1
975012847429820,82001,3,200711,46,-0.01,23,37980,18,2,2813.5297,1
307903494898322,83001,4,200711,46,-0.01,23,37980,16,2,3131.8500,1
240209962424794,82001,2,200711,46,-0.01,23,42540,55,2,3059.1056,1
790922097541009,82001,3,200711,46,-0.01,23,29540,24,1,2997.7551,2
982062929459760,83001,2,200711,46,-0.01,23,29540,35,1,2885.2813,2
424625057908691,83001,4,200711,46,-0.01,23,10900,20,2,3546.9291,1
424625057908691,83001,5,200711,46,-0.01,23,10900,18,2,3153.0314,1
300926091443849,82001,2,200711,46,-0.01,23,0,35,1,3105.2275,1
279198079300600,83001,2,200711,46,-0.01,58,12060,40,1,1997.1970,1
613919080109107,83001,2,200711,46,-0.01,58,12060,39,2,3660.4427,1
153880460130109,83001,1,200711,46,-0.01,58,12060,19,1,2783.7878,1
399630293840911,82001,1,200711,46,7.00,58,0,26,2,3572.7529,1
040791130996695,82001,1,200711,46,7.07,58,0,19,2,3171.0183,1
399210271050951,83001,6,200711,46,6.00,58,12260,29,2,4229.9309,1
392908607096499,83001,1,200711,46,-0.01,22,35620,47,1,2668.2808,1
824119340479305,82001,2,200711,46,-0.01,22,37980,64,2,2657.2419,1
941074815349320,82001,1,200711,46,-0.01,22,37980,33,1,2921.2711,1
956398559400896,83001,4,200711,46,8.50,22,37980,22,2,3661.8663,1
630409960219676,83001,1,200711,46,-0.01,22,37980,48,1,3025.1120,1
630409960219676,83001,2,200711,46,-0.01,22,37980,36,1,2851.8569,1
407906283891024,83001,1,200711,46,-0.01,22,35620,35,2,3110.5454,1
723391979400716,82002,2,200711,46,-0.01,22,35620,50,1,3521.2046,2
904799410799309,82001,1,200711,46,-0.01,22,35620,43,1,3216.3022,1
134880720850308,82002,4,200711,46,-0.01,22,35620,19,1,3165.3866,1
043792046909999,83001,1,200711,46,-0.01,22,10900,26,1,2312.8180,1
767393449600960,83001,2,200711,46,-0.01,21,35620,55,2,3092.1029,1
053913560994696,83001,3,200711,46,-0.01,21,15380,16,2,2216.1343,2
926076905339580,82002,2,200711,46,-0.01,21,10580,16,2,3800.5053,1
301025102098641,83001,3,200711,46,-0.01,21,10580,21,-1,3634.9344,3
391963903092655,82002,1,200711,46,-0.01,21,35620,32,1,3556.0854,1
987066929359150,83001,3,200711,46,-0.01,21,0,19,-1,3322.1818,3
689610199140943,82001,4,200711,46,-0.01,21,40380,17,2,3138.0920,1
264398649600998,83001,3,200711,46,-0.01,21,40380,17,2,2913.8856,1
393948205008639,83001,1,200711,46,-0.01,21,35620,43,1,2985.2441,1
851406470200127,83001,3,200711,46,-0.01,23,37980,18,2,2594.0226,2
015544520997393,83001,1,200711,46,8.50,23,10900,36,1,2356.7672,1
560727097241679,82001,1,200711,46,6.50,23,37980,42,1,2791.6363,1
124471046909261,83001,1,200711,46,-0.01,23,0,64,2,2820.2756,1
703904214697582,82001,2,200711,46,-0.01,23,37980,48,1,3034.6657,2
080514520992691,83001,3,200711,46,3.00,23,37980,22,1,2964.7351,1
497955005086278,83001,2,200711,46,-0.01,23,37980,47,1,2811.4580,1
945042954479340,83001,1,200711,46,-0.01,23,37980,45,1,3131.5098,1
317498459200655,82002,2,200711,46,10.00,23,38300,28,1,2629.3092,1
424855031906795,82001,1,200711,46,9.00,23,38300,34,1,2448.5107,1
424855031906795,82001,5,200711,46,3.63,23,38300,32,2,2667.0169,1
963679930639102,82002,3,200711,46,-0.01,58,0,22,2,2632.7113,1
963679930639102,82002,4,200711,46,-0.01,58,0,23,2,2632.7113,1
963679930639102,82002,6,200711,46,-0.01,58,0,22,2,2632.7113,1
970073739119210,82001,2,200711,46,-0.01,58,12060,39,-1,2949.0961,3
399580976070971,83001,1,200711,46,-0.01,58,12060,54,1,3863.5135,1
810309925250391,83001,2,200711,46,-0.01,58,12060,27,1,3919.4963,1
231601082907190,82001,2,200711,46,-0.01,58,12060,17,1,2582.4350,1
953093860149540,82001,1,200711,46,-0.01,58,12060,29,2,3151.2055,1
310309927080059,82001,1,200711,46,-0.01,58,12060,39,2,2908.1502,1
196974409088379,82001,3,200711,46,-0.01,58,0,25,2,3029.4788,1
231015032907597,82001,2,200711,46,-0.01,58,12060,19,2,2618.4142,1
208908381994213,83001,1,200711,46,-0.01,58,12060,22,1,3205.9634,2
330400058698115,82001,2,200711,46,-0.01,22,35620,49,1,2558.1149,1
535309880400116,82001,3,200711,46,-0.01,22,35620,46,2,2558.1149,1
954279550779301,83001,4,200711,46,-0.01,22,35620,16,2,3417.4795,1
391902604094489,82001,2,200711,46,-0.01,22,37980,29,2,3358.8052,2
391963202077428,82001,2,200711,46,-0.01,22,37980,48,1,2558.1149,1
643391099400914,82001,3,200711,46,-0.01,22,37980,27,2,2527.5376,1
499600616920953,83001,1,200711,46,2.03,22,37980,32,1,3309.9465,1
330409933144380,82001,4,200711,46,-0.01,22,35620,31,1,3206.2857,1
396996200014457,83001,3,200711,46,-0.01,22,35620,23,1,3672.9468,1
396996200014457,83001,4,200711,46,-0.01,22,35620,28,1,3224.1485,1
934054979339480,82001,3,200711,46,-0.01,22,35620,24,2,3695.3631,1
397966709050469,83001,2,200711,46,-0.01,22,35620,40,1,2641.9367,1
006906693995774,83001,4,200711,46,-0.01,22,35620,20,1,3672.9468,1
500949098531489,82001,3,200711,46,-0.01,22,35620,18,2,3552.2115,2
395967509035478,83001,2,200711,46,-0.01,22,35620,25,1,3373.3522,1
395967509035478,83001,3,200711,46,-0.01,22,35620,22,1,3195.6675,1
679100701300933,82001,1,200711,46,-0.01,21,35620,35,1,2933.3394,1
830609977619193,83001,2,200711,46,-0.01,21,39100,53,1,3245.8505,1
396951005091636,82001,1,200711,46,-0.01,21,15380,48,1,3544.2759,1
088923260013005,82001,3,200711,46,-0.01,21,40380,17,2,2728.8773,1
963026944359800,83001,1,200711,46,7.15,21,40380,25,2,3765.1768,1
820661094138939,83001,4,200711,46,-0.01,21,40380,18,2,3059.6969,1
397991106078683,82001,4,200711,46,15.00,21,35620,25,1,3487.4913,1
397991106078683,82001,6,200711,46,-0.01,21,35620,24,2,3792.1412,1
960167091732889,82001,1,200711,46,-0.01,21,35620,27,1,2907.6111,1
960167091732889,82001,3,200711,46,-0.01,21,35620,28,1,2907.6111,1
530609994650235,83001,1,200711,46,-0.01,21,35620,61,1,4329.6262,1
392978401072659,83001,1,200711,46,-0.01,21,15380,30,1,3446.3999,2
392978401072659,83001,2,200711,46,-0.01,21,15380,24,1,3205.0546,1
944096971339790,82001,2,200711,46,-0.01,21,45060,20,2,4100.3666,1
863891041901690,82001,3,200711,46,7.15,21,35620,32,2,4054.8202,1
302904053293336,82001,2,200711,46,-0.01,21,35620,52,1,3290.6248,1
639740494710923,82002,1,200711,46,-0.01,21,35620,55,1,3082.6204,1
373390539600134,83001,1,200711,46,-0.01,21,35620,40,1,3802.6117,1
373390539600134,83001,2,200711,46,-0.01,21,35620,50,1,6147.5975,1
373390539600134,83001,3,200711,46,-0.01,21,35620,25,1,3971.1039,1
774395129600589,83001,4,200711,46,-0.01,21,35620,16,1,2534.3508,1
774395129600589,83001,5,200711,46,-0.01,21,35620,16,1,2534.3508,1
774395129600589,83001,6,200711,46,-0.01,21,35620,16,1,2534.3508,1
398992807024609,82001,1,200711,46,-0.01,21,10580,32,1,2593.5613,2
624394879600907,82001,3,200711,46,-0.01,21,35620,67,2,3662.4023,1
