HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
290846099532819,83001,2,200708,46,-0.01,22,35620,34,1,3693.2509,1
279750157720934,83001,2,200708,46,-0.01,23,38300,21,2,3368.5826,1
240209961291791,83001,3,200708,46,7.00,23,10900,19,2,2696.0341,1
098354220981290,83001,1,200708,46,7.00,23,10900,52,2,2954.0044,1
163440440820106,83001,3,200708,46,-0.01,58,0,20,1,3540.0245,1
010421830950198,81001,2,200708,46,-0.01,58,12060,48,2,3433.1763,1
010421830950198,81001,4,200708,46,-0.01,58,12060,24,2,4662.0153,1
010421830950198,81001,5,200708,46,-0.01,58,12060,21,2,3235.9939,1
630136007011330,82001,2,200708,46,-0.01,58,10500,46,1,3526.7587,1
399630293840911,82001,1,200708,46,-0.01,58,0,26,2,3484.8964,1
803389120869102,83001,3,200708,46,7.80,58,0,20,2,3797.5856,1
964229170729307,81001,2,200708,46,-0.01,22,37980,63,1,2666.9746,1
140845097832119,83001,3,200708,46,2.00,22,45940,20,2,3256.4557,1
140845097832119,83001,4,200708,46,-0.01,22,45940,51,1,3205.7453,1
650840096232889,83001,2,200708,46,-0.01,22,35620,34,1,3693.2509,1
392984206019449,83001,1,200708,46,-0.01,22,35620,33,1,2496.8433,1
392984206019449,83001,2,200708,46,-0.01,22,35620,33,2,2705.8663,1
643841024909992,83001,3,200708,46,-0.01,22,35620,19,2,2811.3820,1
630409961291771,81001,1,200708,46,7.00,22,35620,21,2,4401.5147,1
630409961291771,81001,2,200708,46,-0.01,22,35620,44,1,3926.5010,1
630409961291771,81001,3,200708,46,-0.01,22,35620,39,-1,3084.4015,3
630409961291771,81001,4,200708,46,-0.01,22,35620,19,2,3443.7228,1
864679720099305,83001,1,200708,46,9.00,22,35620,42,1,2997.4899,1
864679720099305,83001,2,200708,46,10.00,22,35620,44,1,3313.0444,1
330409974675783,83001,2,200708,46,-0.01,22,35620,23,1,4201.9224,1
543767078907394,81001,3,200708,46,-0.01,22,35620,27,1,3181.2251,1
606019080139307,81001,1,200708,46,-0.01,21,35620,41,1,3272.8087,1
947076955379700,81001,1,200708,46,-0.01,21,0,27,1,2831.2112,1
396951005091636,82001,1,200708,46,-0.01,21,15380,48,1,3508.4656,1
699440983570953,83001,2,200708,46,-0.01,21,15380,18,2,3184.0004,1
556309660159309,81001,1,200708,46,10.00,21,15380,63,2,2653.6111,1
006903903499786,81001,3,200708,46,-0.01,21,35620,36,1,4078.4350,2
306047702067671,81001,4,200708,46,-0.01,21,35620,19,1,3113.1652,1
935086961339750,83001,2,200708,46,-0.01,21,40380,23,1,3922.1301,1
463468027906895,81001,2,200708,46,-0.01,21,40380,60,1,2920.5339,1
686949180329301,81001,4,200708,46,-0.01,21,40380,24,1,3214.2195,1
106905503995236,81001,3,200708,46,-0.01,21,35620,47,1,5811.4592,1
012399009600848,82001,4,200708,46,-0.01,21,35620,17,2,3199.6426,1
471490259200333,81001,1,200708,46,-0.01,23,38300,42,2,2807.3853,1
209400364410984,81001,1,200708,46,-0.01,23,38300,43,1,2777.6485,1
041034820936999,81001,1,200708,46,-0.01,23,38300,38,1,2870.6347,1
902839730689401,83001,2,200708,46,-0.01,23,38300,49,2,2840.3402,1
206902064994372,81001,1,200708,46,-0.01,23,10900,31,2,2444.2500,2
024859053001702,83001,4,200708,46,-0.01,23,25420,22,2,3170.2216,2
952619750099406,83001,2,200708,46,-0.01,23,25420,42,1,2689.2334,1
340209979805283,83001,1,200708,46,-0.01,23,42540,66,1,2847.2568,1
340209979805283,83001,2,200708,46,-0.01,23,42540,48,1,2742.5840,1
640209970875176,81001,1,200708,46,10.00,23,42540,24,1,3054.2413,1
820827093346609,81001,2,200708,46,-0.01,23,10900,51,1,2954.0044,1
820827093346609,81001,4,200708,46,7.15,23,10900,16,2,2552.0293,1
981072944479570,81002,2,200708,46,-0.01,23,10900,48,1,2975.5362,1
340209953544484,83001,2,200708,46,-0.01,23,37980,33,2,3135.4543,1
506908813997426,81001,1,200708,46,-0.01,21,15380,28,1,3233.2293,2
730609965990800,81001,1,200708,46,-0.01,21,35620,46,1,4730.6713,1
649130589880933,83001,3,200708,46,-0.01,21,35620,29,2,2904.0024,1
663154057908994,81001,2,200708,46,-0.01,21,35620,63,2,2970.8192,1
962679970639402,81001,3,200708,46,-0.01,23,0,27,1,3080.5650,1
461924306041289,83001,3,200708,46,-0.01,23,0,18,2,2921.0168,1
450925098943839,83001,1,200708,46,-0.01,23,0,46,2,2964.8456,1
938052989439540,83001,2,200708,46,-0.01,23,0,17,2,2999.5226,1
498923501077246,83001,3,200708,46,-0.01,23,37980,22,2,3383.6918,1
493938500057239,81001,1,200708,46,-0.01,23,42540,26,1,2857.5464,1
493938500057239,81001,2,200708,46,-0.01,23,42540,27,1,3263.1462,1
493938500057239,81001,3,200708,46,-0.01,23,42540,24,1,3513.7131,1
724244063908995,83001,4,200708,46,-0.01,23,10900,17,2,3010.3383,1
752539930059401,83001,3,200708,46,-0.01,23,37980,24,1,3297.9466,2
882639760029403,81001,3,200708,46,6.00,23,10900,16,2,2552.0293,1
495906101045299,81001,1,200708,46,8.20,23,49620,33,1,2522.3152,1
196906708000329,81001,1,200708,46,15.00,58,31420,77,1,2690.0291,1
970073739119210,82001,2,200708,46,-0.01,58,12060,39,1,3106.4186,1
106065909062341,83001,3,200708,46,-0.01,58,12060,17,2,2918.8188,1
810932094711859,82001,1,200708,46,-0.01,58,12060,47,1,3274.4904,1
198956300097399,81001,3,200708,46,5.85,58,12060,63,1,3025.4294,1
101075508095381,83001,5,200708,46,-0.01,58,12060,19,1,3968.4209,2
091861830012809,81001,1,200708,46,-0.01,58,12060,47,1,3229.2386,1
961194189300913,81002,1,200708,46,-0.01,58,12060,25,1,3560.5438,1
300938098817499,81001,1,200708,46,-0.01,58,16860,31,1,1998.6645,1
908907521998043,81001,4,200708,46,-0.01,58,0,40,2,2537.9446,1
243570067908995,81001,2,200708,46,-0.01,22,35620,17,2,3177.1349,1
460741098237859,81003,3,200708,46,-0.01,22,37980,20,2,3432.8684,1
408901273995134,81001,3,200708,46,-0.01,22,37980,18,1,2811.3820,1
499370988430913,82001,1,200708,46,-0.01,22,37980,32,2,3258.9858,1
830409930184379,81001,2,200708,46,-0.01,22,37980,20,1,4077.5609,1
830409930184379,81001,5,200708,46,-0.01,22,37980,42,1,5949.5135,1
230409906437193,83001,1,200708,46,13.50,22,35620,58,1,3238.4196,1
399944903062449,83001,2,200708,46,-0.01,22,35620,17,1,2825.5914,1
230409994411396,83001,2,200708,46,6.75,22,37980,32,1,3693.2509,1
970094968359850,83001,2,200708,46,-0.01,22,45940,73,1,2515.6905,1
904799410799309,82001,1,200708,46,-0.01,22,35620,43,1,3634.4837,1
489030996100983,81001,1,200708,46,-0.01,22,35620,52,1,3345.8695,1
430409981379193,83001,1,200708,46,-0.01,22,35620,21,1,2389.8234,1
430409981379193,83001,4,200708,46,-0.01,22,35620,25,1,3181.2251,1
401903523892866,82002,1,200708,46,-0.01,21,35620,38,1,3813.5823,1
009663360992196,83001,2,200708,46,-0.01,21,13780,44,2,2634.3973,1
699770504750973,81001,3,200708,46,-0.01,21,0,16,2,2756.7287,1
906919230229304,83001,1,200708,46,-0.01,21,15380,28,1,3263.8621,1
905908493690056,83001,2,200708,46,-0.01,21,15380,17,2,2142.3627,1
420166097638779,81001,1,200708,46,-0.01,21,35620,43,1,4461.4298,1
391928307022654,81001,1,200708,46,-0.01,21,35620,32,1,4936.6526,1
034396469600844,83001,4,200708,46,-0.01,21,40380,21,2,2932.2206,1
430609940534796,83001,7,200708,46,-0.01,21,40380,18,2,3301.9965,1
689250848460963,81001,1,200708,46,11.00,21,40380,43,1,3021.9199,1
063901092902091,83001,2,200708,46,-0.01,21,35620,35,1,3610.2322,1
763221007908698,81001,2,200708,46,-0.01,21,35620,51,1,3740.7367,1
980086979359480,83001,3,200708,46,-0.01,21,45060,19,2,3070.8449,1
231395039600655,83001,2,200708,46,-0.01,21,35620,35,1,3126.8227,1
008613560929894,83001,2,200708,46,-0.01,21,35620,46,1,4743.5955,1
050083560949996,83001,2,200708,46,-0.01,21,35620,31,1,3450.6050,1
063998067900095,81001,1,200708,46,-0.01,21,35620,60,2,4862.8229,1
063998067900095,81001,3,200708,46,-0.01,21,35620,29,2,3199.1510,1
774395129600589,81001,2,200708,46,-0.01,21,35620,30,1,3405.7662,1
301025102098641,83001,3,200708,46,-0.01,21,10580,21,1,3579.7207,1
015733160998595,82001,2,200708,46,-0.01,21,10580,25,2,3431.6883,1
012933460983695,83001,3,200708,46,-0.01,21,10580,21,2,3689.8673,1
630563099938289,81001,1,200708,46,-0.01,21,35620,49,1,2447.1354,1
566299380839309,81001,5,200708,46,-0.01,21,35620,16,1,4480.5795,2
300960099333799,83001,5,200708,46,-0.01,21,28740,16,1,2861.3215,2
956389050759306,83001,2,200708,46,-0.01,21,28740,17,1,2777.2139,1
745398879600958,83001,1,200708,46,-0.01,21,0,45,1,3603.5469,1
745398879600958,83001,2,200708,46,-0.01,21,0,42,1,3068.7758,1
745398879600958,83001,3,200708,46,-0.01,21,0,45,1,2810.5068,1
070622096946969,81001,2,200708,46,8.00,23,38300,21,2,3163.1061,1
602902194996602,83001,3,200708,46,8.60,23,38300,75,2,3128.2480,1
494958209075299,81001,1,200708,46,-0.01,23,0,28,1,3031.3663,1
027494059200983,83001,3,200708,46,7.03,23,39740,19,2,2552.0293,1
906905574991202,81001,1,200708,46,-0.01,23,39740,49,1,3056.1499,2
015954120991493,82001,2,200708,46,-0.01,23,11020,40,1,2395.3026,2
496938007013249,81001,1,200708,46,-0.01,23,11020,18,1,2732.9039,2
424672085001107,83001,2,200708,46,-0.01,23,37980,45,1,2948.4892,1
269430843510964,81001,3,200708,46,7.00,23,37980,17,2,2833.9985,1
052134820987290,81001,1,200708,46,-0.01,23,37980,29,1,2921.0484,1
052134820987290,81001,2,200708,46,-0.01,23,37980,30,1,2939.2940,1
279520493800974,81001,3,200708,46,-0.01,23,37980,24,2,3269.9822,1
490825090048899,81001,3,200708,46,-0.01,23,37980,18,2,2688.1008,1
490825090048899,81001,4,200708,46,-0.01,23,37980,17,2,3049.6585,1
090924320999794,83001,3,200708,46,-0.01,23,25420,17,2,3010.3383,1
500123001142420,83001,1,200708,46,-0.01,23,25420,52,1,2954.0044,1
912789370149400,81001,4,200708,46,-0.01,23,37980,19,2,3064.8418,2
012314120999894,82001,1,200708,46,-0.01,23,0,37,2,2693.5321,1
012314120999894,82001,2,200708,46,-0.01,23,0,17,1,2385.0602,2
982949110329401,82001,2,200708,46,-0.01,23,0,38,1,2693.5321,1
982949110329401,82001,3,200708,46,-0.01,23,0,18,2,2385.0602,2
076894520992692,83001,3,200708,46,-0.01,23,29540,18,2,2838.7279,1
289120294040984,81001,1,200708,46,-0.01,23,29540,80,2,2782.6654,1
289120294040984,81001,2,200708,46,-0.01,23,29540,78,2,3485.9723,1
905004274104652,83001,4,200708,46,-0.01,23,10900,16,1,2838.7279,1
908072807449320,83001,3,200708,46,-0.01,23,37980,37,1,2726.4047,1
424625057908691,81001,2,200708,46,-0.01,23,10900,44,1,2922.2774,1
497986505071299,81001,1,200708,46,10.60,23,0,45,1,2923.2534,1
631705056909398,81001,2,200708,46,-0.01,58,12060,38,2,2219.8700,1
610309934226570,81001,3,200708,46,-0.01,58,12060,20,-1,2980.5719,3
411300020886614,83001,1,200708,46,-0.01,58,12060,65,1,2961.5202,1
810309901057099,81001,3,200708,46,-0.01,58,0,20,1,2435.7613,2
075044147320710,83001,2,200708,46,16.50,22,12100,34,1,2857.6349,1
542395509400921,83001,1,200708,46,-0.01,22,37980,56,1,3000.3396,1
366390879400918,81001,1,200708,46,-0.01,22,35620,47,2,3390.1974,1
366390879400918,81001,2,200708,46,-0.01,22,35620,48,1,3386.0121,1
081473340994291,83001,1,200708,46,-0.01,22,35620,38,1,4151.7059,1
081473340994291,83001,2,200708,46,-0.01,22,35620,39,1,3213.2872,1
081473340994291,83001,3,200708,46,-0.01,22,35620,17,2,2627.9403,1
230409994709977,83001,2,200708,46,-0.01,22,35620,48,1,3386.0121,1
060943090637229,81001,1,200708,46,-0.01,22,35620,48,1,2844.5594,1
362392718600725,81001,1,200708,46,82.42,21,35620,39,1,4284.7830,1
362392718600725,81001,4,200708,46,7.15,21,35620,18,1,3477.6111,1
945046037389280,81001,1,200708,46,-0.01,21,35620,28,1,3693.5483,1
023873660968891,81001,1,200708,46,-0.01,21,35620,29,1,3978.2920,1
206905934999282,81001,2,200708,46,-0.01,23,29540,52,1,2841.6149,1
206905934999282,81001,3,200708,46,-0.01,23,29540,29,1,2945.0298,1
524558068909499,81001,1,200708,46,-0.01,23,25420,50,1,3279.1858,1
077694220989897,83001,1,200708,46,-0.01,23,37980,63,1,2826.5092,1
031339006909997,81001,3,200708,46,7.55,58,42340,20,2,2941.4123,1
501907231894663,82002,1,200708,46,-0.01,58,12060,20,1,3792.2862,1
399420785180911,82001,3,200708,46,-0.01,58,12060,18,2,3630.8333,1
818197249300898,82001,3,200708,46,-0.01,58,12060,52,2,3176.4486,1
965003679149870,83001,2,200708,46,-0.01,58,12060,39,1,3380.3758,2
893509620139103,83001,1,200708,46,5.15,58,12060,17,2,2195.2852,1
893509620139103,83001,3,200708,46,5.25,58,12060,17,1,2195.2852,1
410309925207594,83001,1,200708,46,-0.01,58,12060,41,1,2625.2453,1
448197969300987,83001,2,200708,46,-0.01,58,0,23,1,3156.7108,1
196974409088379,83001,1,200708,46,-0.01,58,0,58,1,3001.7887,1
072551130991093,82001,3,200708,46,-0.01,58,12060,25,1,3068.0280,1
310309951878985,83001,3,200708,46,-0.01,58,12060,24,2,3472.7118,1
320140358870051,83001,1,200708,46,-0.01,58,12060,38,1,3053.1024,1
133370240150101,83001,2,200708,46,-0.01,58,12060,21,2,3676.5794,1
804607421994153,83001,2,200708,46,-0.01,58,0,24,1,3851.4625,2
394963701036406,83001,2,200708,46,-0.01,22,35620,36,1,3793.0600,1
093253440981691,83001,4,200708,46,-0.01,22,35620,39,2,2345.2226,1
808903623799534,81001,1,200708,46,-0.01,22,35620,24,2,2486.3822,1
830409953362978,81001,3,200708,46,-0.01,22,35620,23,1,2389.8234,1
143566004904098,83001,1,200708,46,-0.01,22,35620,37,1,2345.2226,1
395946805093489,81001,2,200708,46,-0.01,22,35620,39,1,3028.7720,1
045393260967894,83001,2,200708,46,-0.01,21,15380,27,2,3837.7054,2
963983043906990,83001,3,200708,46,-0.01,21,15380,20,1,3382.5824,1
679400399980973,81001,4,200708,46,-0.01,21,15380,19,2,2932.0660,1
933046995379380,81001,1,200708,46,-0.01,21,0,69,1,2826.4084,1
933046995379380,81001,2,200708,46,-0.01,21,0,65,1,3093.5406,1
629760647270933,83001,2,200708,46,-0.01,21,35620,21,1,4058.3729,1
028133660915497,81001,2,200708,46,-0.01,21,35620,44,1,4195.5878,1
053703760948694,81001,1,200708,46,-0.01,21,35620,56,1,3981.9683,1
780399088600993,81001,1,200708,46,-0.01,21,35620,35,1,4766.3288,1
780399088600993,81001,2,200708,46,-0.01,21,35620,35,1,4766.3288,1
780399088600993,81001,3,200708,46,-0.01,21,35620,62,1,3248.1867,1
601904023894386,82001,2,200708,46,-0.01,21,40380,24,2,3579.7207,1
944006433339760,83001,1,200708,46,-0.01,21,35620,42,2,2744.8895,1
911076845349080,83001,1,200708,46,-0.01,21,35620,64,1,3560.7534,1
530609994650235,83001,1,200708,46,-0.01,21,35620,61,1,3886.5101,1
609080126720963,81001,1,200708,46,15.00,21,35620,20,1,4858.7522,1
430609973445195,83001,1,200708,46,-0.01,21,15380,74,1,2417.8228,1
053913560994696,83001,3,200708,46,-0.01,21,15380,15,2,0.0000,1
996036941359560,83001,2,200708,46,-0.01,21,15380,34,1,3415.2456,1
029023260984798,83001,1,200708,46,-0.01,21,40380,60,1,2402.1598,2
397912406052679,83001,4,200708,46,7.15,21,40380,18,2,2931.0994,1
426398809600919,83001,3,200708,46,-0.01,21,35620,25,1,4737.8069,1
270862095432609,83001,5,200708,46,2.00,21,10580,19,1,3448.5930,1
032006171340240,83001,2,200708,46,-0.01,21,10580,51,1,2615.3502,1
032006171340240,83001,4,200708,46,-0.01,21,10580,19,1,3301.9965,1
396952307048629,83001,1,200708,46,-0.01,21,0,41,2,3069.7417,1
396952307048629,83001,2,200708,46,17.00,21,0,50,1,2405.5699,1
938096692349370,83001,1,200708,46,-0.01,21,35620,38,1,3253.0482,1
907908883595136,81001,5,200708,46,-0.01,21,35620,34,1,2886.8014,1
883397939600729,81001,6,200708,46,-0.01,21,35620,41,1,3147.6749,1
830562091732889,83001,1,200708,46,-0.01,21,35620,29,1,2946.0262,1
520968093533069,83001,1,200708,46,-0.01,21,35620,39,1,2575.7641,1
053314220019801,83001,1,200708,46,-0.01,23,0,31,1,2929.4751,1
104908294795962,83001,2,200708,46,-0.01,23,38300,23,1,3392.6711,1
052904420987596,83001,1,200708,46,-0.01,23,38300,58,1,3196.4678,1
659495259200507,83001,1,200708,46,-0.01,23,38300,58,1,2580.5599,1
592659880589401,81001,2,200708,46,-0.01,23,38300,47,1,3993.4075,1
349498409200931,83001,1,200708,46,-0.01,23,38300,36,2,2870.6347,1
349498409200931,83001,2,200708,46,-0.01,23,38300,33,2,2150.2670,1
982109270986406,81001,1,200708,46,-0.01,23,0,68,2,2860.2526,1
495942000087239,83002,2,200708,46,2.00,23,39740,19,1,2702.1587,1
505908394696682,83001,1,200708,46,-0.01,23,37980,70,2,2928.1799,1
417491879200831,82001,2,200708,46,-0.01,23,0,45,1,2824.1150,1
524570096909799,81001,3,200708,46,7.25,23,0,17,1,2542.8603,1
822109920389405,83001,2,200708,46,-0.01,23,10900,35,1,2714.9413,1
907052819449960,83001,4,200708,46,-0.01,23,10900,23,1,2880.5852,1
408047400058251,81001,2,200708,46,-0.01,23,10900,59,1,2717.1127,1
022874120697890,82001,2,200708,46,-0.01,23,0,53,1,2801.0354,1
305909864890532,83001,1,200708,46,-0.01,23,38300,37,1,2799.5984,1
305909864890532,83001,5,200708,46,-0.01,23,38300,19,1,2478.9794,2
317498459200655,82002,2,200708,46,-0.01,23,38300,28,1,2656.4448,1
424855031906795,82001,1,200708,46,-0.01,23,38300,34,1,2643.7167,1
424855031906795,82001,5,200708,46,-0.01,23,38300,32,2,2772.0972,1
499926909074269,81001,2,200708,46,-0.01,23,38300,19,1,2918.3901,2
195954100059399,83001,3,200708,46,-0.01,58,12260,17,2,3175.0634,1
810309963943594,81001,6,200708,46,-0.01,58,12060,21,1,3235.9939,1
639520784430923,83001,1,200708,46,4.50,21,35620,24,1,4123.9248,1
639520784430923,83001,2,200708,46,-0.01,21,35620,26,1,4737.8069,1
976469070389303,81001,1,200708,46,-0.01,21,28740,63,1,2838.6204,1
160922099347279,81001,2,200708,46,-0.01,23,11020,55,2,2807.5829,1
852419760819402,81001,3,200708,46,6.35,23,37980,16,2,2654.8480,1
210780925650064,81001,3,200708,46,-0.01,23,0,19,1,2584.0711,2
195948009009389,81001,6,200708,46,-0.01,58,42340,15,2,0.0000,1
913789330149100,83001,1,200708,46,-0.01,58,12060,22,2,3428.0082,1
913789330149100,83001,2,200708,46,-0.01,58,12060,21,2,3630.2835,1
389510174820941,83001,2,200708,46,-0.01,58,12060,30,1,2799.7770,1
903439170089100,81002,1,200708,46,-0.01,58,12060,27,1,3675.1533,1
048831830987591,81001,3,200708,46,-0.01,58,12060,16,2,2759.5646,1
993879130079109,83001,3,200708,46,-0.01,58,31420,19,2,2609.7183,1
410309992598893,83001,1,200708,46,-0.01,58,17980,45,2,2979.3322,1
310300082523712,83001,3,200708,46,-0.01,58,12020,16,2,2609.7183,1
106903411991983,81001,1,200708,46,6.00,58,12060,29,2,3560.5438,1
489460455040963,81001,5,200708,46,8.00,22,37980,21,2,3836.7119,1
956398559400896,83001,4,200708,46,-0.01,22,37980,22,1,3609.9650,1
009093140975291,82001,3,200708,46,-0.01,22,35620,17,2,2841.3534,1
919034888389450,81001,3,200708,46,-0.01,22,35620,31,2,2222.5390,1
880947091631669,82001,1,200708,46,-0.01,22,35620,62,1,2432.4391,1
880947091631669,82001,2,200708,46,-0.01,22,35620,31,1,4071.1950,1
994009330619309,83001,2,200708,46,-0.01,22,35620,29,1,4546.6639,1
430409987835898,83001,2,200708,46,-0.01,22,35620,21,2,2389.8234,1
543489086909395,81001,4,200708,46,-0.01,22,35620,54,1,3564.4213,1
430609983123395,83001,2,200708,46,-0.01,21,0,17,2,3354.2505,1
506209320269306,83001,4,200708,46,8.00,21,15380,19,2,2931.0994,1
990760094337899,81001,5,200708,46,-0.01,21,15380,22,1,3262.3695,1
410961064137729,81001,2,200708,46,-0.01,21,0,52,2,3044.6069,1
610410584450083,81001,3,200708,46,-0.01,21,0,18,2,2928.9048,1
802901953295426,83001,6,200708,46,-0.01,21,35620,29,1,4311.5922,1
760399089600493,81001,1,200708,46,-0.01,21,35620,51,1,3763.5721,1
950086982378020,81002,2,200708,46,-0.01,21,35620,28,1,3342.4607,1
730609915607658,81001,4,200708,46,-0.01,21,35620,19,2,2871.5218,1
963026944359800,83001,1,200708,46,-0.01,21,40380,24,2,3737.6487,1
770266090531849,82001,2,200708,46,-0.01,21,35620,42,1,4056.7044,1
263269087001200,81001,2,200708,46,-0.01,21,15380,41,1,2634.3973,1
763244068909995,81001,2,200708,46,-0.01,21,0,16,2,2928.9048,1
763244068909995,81001,3,200708,46,-0.01,21,0,15,2,0.0000,1
863891041901690,82001,3,200708,46,-0.01,21,35620,31,2,3450.6050,1
906006998339590,83001,3,200708,46,-0.01,21,35620,22,1,2821.4789,2
639810323980943,83001,1,200708,46,-0.01,21,35620,35,1,3181.8413,1
730609981829363,81001,1,200708,46,-0.01,21,35620,56,1,3927.5275,1
746309010649306,82001,1,200708,46,-0.01,21,35620,40,1,3537.0511,1
958046899349590,83001,1,200708,46,-0.01,21,35620,47,1,3658.0865,1
963266064909895,83001,3,200708,46,-0.01,21,35620,22,1,5032.9690,1
860391699600957,81001,1,200708,46,6.00,21,0,44,1,3069.7417,1
525395279600982,83001,4,200708,46,-0.01,21,35620,48,1,2536.0831,1
656259780529308,81001,4,200708,46,-0.01,21,35620,19,1,3440.4892,1
467912504077249,83001,3,200708,46,5.85,23,0,17,2,2542.8603,1
240209960219696,83001,2,200708,46,-0.01,23,38300,45,1,3038.3656,1
008901034991222,81001,4,200708,46,-0.01,23,37980,29,1,2771.4838,1
962029070639400,81001,2,200708,46,-0.01,23,38300,29,2,3201.8719,1
630920092047069,81001,1,200708,46,-0.01,23,38300,56,1,2813.9609,1
630920092047069,81001,2,200708,46,-0.01,23,38300,26,1,3141.1250,1
499965103052218,83001,4,200708,46,-0.01,23,10900,17,1,2832.2938,1
560727097241679,82001,1,200708,46,-0.01,23,37980,42,1,3027.3758,1
495904106065209,83001,2,200708,46,-0.01,23,25420,25,1,3013.1947,1
493911807074228,82001,3,200708,46,-0.01,23,25420,34,1,2552.7277,1
