HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
936023932159940,81001,4,200707,46,6.50,58,12060,17,2,2841.9416,1
506908813997426,81001,1,200707,46,-0.01,21,15380,28,1,3162.0789,2
240209961291791,83001,3,200707,46,-0.01,23,10900,19,2,2938.1259,1
317498459200655,83001,3,200707,46,-0.01,23,38300,25,1,3074.0574,1
431348023001608,83001,1,200707,46,-0.01,58,42340,37,1,3087.1432,1
389160434080941,83001,3,200707,46,-0.01,58,12060,23,2,3798.9834,2
110300008491212,83001,1,200707,46,7.35,58,0,33,2,3545.5900,1
520545096034799,83001,1,200707,46,-0.01,22,35620,27,1,2758.9531,1
964229170729307,81001,2,200707,46,-0.01,22,37980,63,1,2794.7431,1
542395509400921,83001,1,200707,46,-0.01,22,37980,56,1,3139.0108,1
843081036909697,81002,3,200707,46,-0.01,22,35620,15,2,0.0000,1
301908323891394,83001,1,200707,46,8.00,22,35620,44,1,3343.0604,1
864679720099305,83001,1,200707,46,-0.01,22,35620,43,1,2836.1823,1
864679720099305,83001,2,200707,46,-0.01,22,35620,44,1,3412.5556,1
663482081905591,83001,1,200707,46,9.00,21,35620,58,1,3667.2031,1
699220506190913,83001,3,200707,46,7.15,21,13780,17,2,3296.5918,1
009663360992196,83001,2,200707,46,-0.01,21,13780,44,2,2591.5240,1
163566004909098,83001,3,200707,46,-0.01,21,39100,45,1,3154.7896,1
980962095437039,81001,1,200707,46,-0.01,21,15380,37,1,2782.5439,1
365941805093688,83001,1,200707,46,12.00,21,0,21,1,4009.4459,1
966759510596303,83001,1,200707,46,8.00,21,0,33,1,2835.9322,1
420766097635779,81001,1,200707,46,-0.01,21,35620,52,1,3805.8886,1
420766097635779,81001,2,200707,46,22.00,21,35620,25,1,4462.3914,1
006903903499786,81001,3,200707,46,-0.01,21,35620,36,1,3998.0122,2
306047702067671,81001,4,200707,46,-0.01,21,35620,18,2,3347.2939,1
306047702067671,81001,5,200707,46,-0.01,21,35620,16,2,3477.8754,1
034396469600844,83001,4,200707,46,-0.01,21,40380,21,2,2846.7143,1
816409540829304,83001,2,200707,46,-0.01,21,40380,19,2,2928.5940,1
816409540829304,83001,3,200707,46,-0.01,21,40380,17,1,3309.6505,2
689250848460963,81001,1,200707,46,-0.01,21,40380,43,1,2952.4596,1
016392789600112,83001,3,200707,46,-0.01,21,35620,56,1,4201.1002,1
629940255060913,83001,1,200707,46,-0.01,21,35620,49,1,3555.7111,1
130609917896738,83001,1,200707,46,-0.01,21,35620,24,1,4740.2811,1
699250683030913,83001,2,200707,46,10.00,21,46540,23,1,5172.6312,1
699250683030913,83001,3,200707,46,26.00,21,46540,20,2,5172.6312,1
029023260984798,83001,1,200707,46,-0.01,21,40380,60,1,2559.9938,2
880964090331489,83001,1,200707,46,12.00,21,45060,32,1,2789.5520,1
986409410889303,83001,1,200707,46,9.00,21,45060,38,1,2847.4623,1
774395129600589,81001,2,200707,46,-0.01,21,35620,30,1,3569.3551,1
630563099938289,81001,1,200707,46,-0.01,21,35620,49,1,2266.3366,1
860391699600957,81001,1,200707,46,-0.01,21,0,44,1,3001.5484,1
948390659600979,83001,1,200707,46,-0.01,21,28740,64,2,2718.5166,1
962679970639402,81001,3,200707,46,-0.01,23,0,27,2,3228.1514,1
024859053001702,83001,4,200707,46,-0.01,23,25420,22,1,3458.3589,1
907092805469270,81001,1,200707,46,-0.01,23,29540,55,1,3029.2739,1
098354220981290,83001,1,200707,46,-0.01,23,10900,51,2,2943.5337,1
962052714419780,83001,1,200707,46,-0.01,23,37980,45,1,2997.1773,1
962052714419780,83001,3,200707,46,-0.01,23,37980,80,1,3029.5196,1
502908854999702,83001,1,200707,46,-0.01,23,37980,21,1,2940.0839,1
631705056909398,81001,2,200707,46,-0.01,58,12060,38,2,2186.1170,1
703906563592776,83001,2,200707,46,-0.01,21,15380,61,1,2959.3605,1
