HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
000423440019508,81001,4,200706,46,9.00,22,35620,19,2,2556.7277,1
240209961291791,83001,3,200706,46,-0.01,23,10900,19,2,2828.2650,1
496924902030229,81001,2,200706,46,11.94,23,0,61,1,2912.3439,1
189190059300744,82001,1,200706,46,-0.01,58,12060,39,1,3696.2243,2
963759410409103,83001,1,200706,46,-0.01,58,46660,20,1,3075.9484,1
963759410409103,83001,2,200706,46,-0.01,58,46660,18,2,3336.6787,1
365941805093688,83001,1,200706,46,-0.01,21,0,21,1,3877.8518,1
966759510596303,83001,1,200706,46,-0.01,21,0,33,1,2901.8546,1
404900293496256,81001,2,200706,46,-0.01,21,35620,54,1,3764.7942,1
430609925029644,81002,7,200706,46,-0.01,21,35620,54,1,3764.7942,1
420766097635779,81001,1,200706,46,-0.01,21,35620,52,1,3747.7496,1
420766097635779,81001,2,200706,46,-0.01,21,35620,25,1,4673.4005,1
760399089600493,81001,1,200706,46,-0.01,21,35620,50,1,4172.1218,1
467391879600931,81001,1,200706,46,-0.01,21,40380,50,1,2820.6638,2
395958804059699,82001,4,200706,46,-0.01,21,39100,17,-1,4155.2670,3
880964090331489,83001,1,200706,46,-0.01,21,45060,32,1,2791.9060,1
986409410889303,83001,1,200706,46,-0.01,21,45060,38,1,2878.2489,1
289220100310944,81001,1,200706,46,2.89,23,37980,35,2,3191.8512,1
500123001142420,83001,1,200706,46,-0.01,23,25420,52,1,2927.4045,1
701909264594372,83001,3,200706,46,-0.01,23,37980,19,2,3162.4096,1
981072944479570,81001,1,200706,46,-0.01,23,10900,47,1,2938.1002,2
491991405081245,83001,1,200706,46,-0.01,23,38300,43,1,2792.0932,1
491991405081245,83001,2,200706,46,-0.01,23,38300,43,1,2915.7648,1
289800461530944,81001,2,200706,46,6.75,23,38300,19,2,3444.5248,1
289350707570984,82001,1,200706,46,6.25,23,38300,24,2,3909.6507,1
431834084907694,81001,3,200706,46,6.50,58,12060,20,2,3937.1531,1
191971905087378,83001,4,200706,46,-0.01,58,12060,26,1,3375.7587,1
020845094338319,82001,3,200706,46,10.00,22,35620,18,2,2971.1706,1
366390879400918,81001,1,200706,46,-0.01,22,35620,47,2,3222.3215,1
366390879400918,81001,2,200706,46,-0.01,22,35620,48,1,3284.2917,1
696059240389304,81001,1,200706,46,-0.01,21,15380,25,1,3928.7983,1
754496809200814,81001,1,200706,46,-0.01,23,37980,43,1,3058.1222,1
852419760819402,81001,3,200706,46,-0.01,23,37980,16,2,2722.5048,1
289660581950984,82001,2,200706,46,16.00,23,37980,57,1,3157.1436,1
206905934999282,81001,2,200706,46,-0.01,23,29540,52,1,2868.6958,1
206905934999282,81001,3,200706,46,-0.01,23,29540,29,1,3245.9395,1
317498459200655,83001,3,200706,46,-0.01,23,38300,25,1,3083.3246,1
708603841994973,82001,2,200706,46,5.50,58,0,63,1,2955.6240,1
195954100059399,81001,1,200706,46,-0.01,58,12260,38,2,2557.3492,1
963219810509101,83001,3,200706,46,-0.01,58,12060,20,2,4322.4921,1
360938094913699,83001,1,200706,46,-0.01,58,12060,29,1,4133.5768,1
360938094913699,83001,2,200706,46,-0.01,58,12060,33,1,3601.8064,1
903063625129420,83001,1,200706,46,-0.01,58,12060,24,1,4406.2571,1
903063625129420,83001,2,200706,46,-0.01,58,12060,25,1,4091.1993,1
903509330909109,83001,4,200706,46,-0.01,58,12060,17,2,2894.7821,1
163830240210105,81001,3,200706,46,6.00,58,12060,18,2,2824.7686,1
042063186140080,81001,1,200706,46,-0.01,58,12060,38,1,3425.3048,1
903909350659107,81001,1,200706,46,-0.01,58,0,25,1,3974.2278,1
903909350659107,81001,2,200706,46,-0.01,58,0,21,1,3005.9278,1
290846099532819,83001,2,200706,46,-0.01,22,35620,34,1,3630.2259,1
430409969410193,81001,2,200706,46,9.00,22,37980,19,1,2971.1706,1
964229170729307,81001,2,200706,46,-0.01,22,37980,63,1,2611.2806,1
394963701036406,83001,2,200706,46,-0.01,22,35620,36,1,3295.1079,1
343446094909299,81001,1,200706,46,7.59,22,35620,32,1,2548.2577,1
650840096232889,83001,2,200706,46,-0.01,22,35620,34,1,3630.2259,1
459270714200943,81001,2,200706,46,13.00,22,35620,49,1,2491.5183,1
090944099931779,83001,2,200706,46,-0.01,22,35620,34,1,5214.1752,1
301908323891394,83001,1,200706,46,-0.01,22,35620,44,1,3428.9803,1
041392779400962,81001,1,200706,46,-0.01,22,35620,32,2,2524.6784,1
041392779400962,81001,2,200706,46,-0.01,22,35620,31,1,3000.4851,1
994589350329300,81001,1,200706,46,-0.01,22,35620,51,1,2910.6654,1
845392339600931,81001,1,200706,46,5.00,21,0,42,2,3377.6130,1
906919230229304,83001,1,200706,46,-0.01,21,15380,27,1,3218.6614,1
556309660159309,81001,1,200706,46,-0.01,21,15380,63,1,2736.3907,1
606619520879306,83001,1,200706,46,-0.01,21,35620,33,1,4579.6183,2
923076952358120,81001,1,200706,46,-0.01,21,35620,19,2,3504.5354,1
663259071906598,83001,3,200706,46,-0.01,21,40380,17,2,2566.5651,1
689250848460963,81001,1,200706,46,-0.01,21,40380,42,1,3106.5443,1
463468027906895,81001,2,200706,46,-0.01,21,40380,60,1,2992.8482,1
063901092902091,83001,2,200706,46,-0.01,21,35620,35,1,3340.1508,1
944006433339760,83001,1,200706,46,-0.01,21,35620,42,2,2692.5320,1
010013460980999,81001,1,200706,46,13.25,21,35620,64,1,3426.3954,1
010013460980999,81001,5,200706,46,7.40,21,35620,44,1,3325.4240,1
130609917896738,83001,1,200706,46,-0.01,21,35620,24,1,4672.4843,1
563855095901996,81003,1,200706,46,-0.01,21,35620,27,1,4343.2604,1
563855095901996,81003,3,200706,46,-0.01,21,35620,26,1,4343.2604,1
392946102000699,81001,1,200706,46,-0.01,21,46540,19,2,2975.1458,1
110867096132199,83001,1,200706,46,-0.01,21,45060,60,2,2360.7097,1
048893560997890,81001,2,200706,46,-0.01,21,45060,16,2,3183.6549,1
048893560997890,81001,3,200706,46,-0.01,21,45060,16,2,3183.6549,1
390913405001638,83001,2,200706,46,-0.01,21,35620,52,1,3880.5261,1
