HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
331953003906196,81001,1,200705,46,-0.01,58,12060,47,1,3470.1324,1
031800022907997,83001,3,200705,46,-0.01,58,12060,27,1,2850.8743,1
903083940179100,82001,1,200705,46,-0.01,58,12060,38,1,3547.4964,1
195946909032399,81001,2,200705,46,-0.01,58,10500,24,2,3433.0406,1
195946909032399,81001,4,200705,46,-0.01,58,10500,24,1,3433.0406,1
443118076909195,81001,2,200705,46,-0.01,22,45940,26,2,3776.1955,1
459270714200943,81001,2,200705,46,-0.01,22,35620,49,1,2558.7227,1
301908323891394,83001,1,200705,46,-0.01,22,35620,43,2,3615.3589,1
007900863897484,82002,1,200705,46,-0.01,22,35620,33,1,5538.8901,2
966759510596303,83001,1,200705,46,-0.01,21,0,32,2,2668.6787,1
404900293496256,81001,2,200705,46,-0.01,21,35620,54,1,3629.1033,1
404900293496256,81001,4,200705,46,-0.01,21,35620,24,1,5171.7708,2
457396359600808,81001,1,200705,46,-0.01,21,35620,28,1,3411.4534,1
457396359600808,81001,4,200705,46,-0.01,21,35620,21,1,4604.6731,1
362392718600725,81001,1,200705,46,-0.01,21,35620,46,1,3768.0492,1
362392718600725,81001,4,200705,46,-0.01,21,35620,18,1,4355.9926,1
130609917896738,83001,1,200705,46,-0.01,21,35620,24,1,4544.3350,1
386419060179305,81002,2,200705,46,-0.01,21,35620,29,1,4984.0504,1
386419060179305,81002,3,200705,46,-0.01,21,35620,18,2,3321.9944,1
986409410889303,83001,1,200705,46,-0.01,21,45060,38,1,2803.0465,1
763978076909260,81001,3,200705,46,-0.01,21,10580,25,2,3178.0626,1
938052989439540,81001,2,200705,46,-0.01,23,0,20,-1,3743.9475,3
701909264594372,83001,3,200705,46,-0.01,23,37980,19,2,3184.5643,1
982569630199405,81001,1,200705,46,7.00,23,37980,27,2,3455.1724,1
918042970479310,82001,2,200705,46,-0.01,23,37980,46,-1,2839.1766,3
240209972079570,83001,3,200705,46,-0.01,23,29540,20,2,2997.9934,1
342498429200948,81002,2,200705,46,-0.01,23,0,18,1,2973.3438,2
289800461530944,81001,2,200705,46,-0.01,23,38300,19,2,3822.1304,1
904901391799993,81001,2,200705,46,-0.01,58,12060,31,1,3402.8675,2
191971905087378,83001,4,200705,46,-0.01,58,12060,26,1,3592.3842,1
969054769319580,83001,3,200705,46,-0.01,22,37980,42,2,4292.9204,1
969054769319580,83001,4,200705,46,-0.01,22,37980,21,1,5100.6632,1
650740096237889,82001,2,200705,46,-0.01,22,35620,40,-1,4136.2301,3
914679710399301,83001,1,200705,46,-0.01,22,35620,28,1,4498.7108,1
696059240389304,81001,1,200705,46,-0.01,21,15380,25,1,3610.2828,1
012399009600848,83001,1,200705,46,-0.01,21,35620,20,2,3755.8422,1
906649770649303,82001,2,200705,46,-0.01,21,35620,28,1,4028.9217,1
249960521980954,81001,3,200705,46,-0.01,23,38300,26,2,3177.5779,1
249960521980954,81001,4,200705,46,-0.01,23,38300,23,2,3337.4981,1
901022940439810,81002,1,200705,46,5.65,23,38300,31,2,3284.2440,1
452496029200849,81001,2,200705,46,-0.01,23,25420,28,1,3090.9689,1
754496809200814,81001,1,200705,46,-0.01,23,37980,43,1,3080.2690,1
496924902030229,81001,2,200705,46,-0.01,23,0,61,1,2939.4897,1
995042843489920,82001,4,200705,46,-0.01,23,37980,18,2,3285.8839,1
317498459200655,83001,3,200705,46,-0.01,23,38300,24,1,3337.4981,1
044501530993492,81001,3,200705,46,-0.01,58,0,17,2,2530.7138,2
399970487430681,82001,1,200705,46,-0.01,58,0,29,1,3103.8465,1
310300094631611,81002,1,200705,46,21.00,58,12060,30,1,3149.6974,1
192926902008339,81001,1,200705,46,-0.01,58,0,48,1,3881.0872,1
