HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
023013185140260,81001,1,200704,46,-0.01,58,12060,56,1,2837.8779,1
262499389200995,82001,1,200704,46,10.00,23,29540,59,2,3156.2036,1
031779053908698,81001,2,200704,46,-0.01,58,12060,55,1,3720.5331,1
904901391799993,81001,2,200704,46,-0.01,58,12060,30,1,3732.3873,1
903053870169520,82001,3,200704,46,2.50,58,12060,22,1,3583.1654,1
343891013908395,81001,1,200704,46,-0.01,22,12100,61,1,2903.4216,1
343891013908395,81001,2,200704,46,-0.01,22,12100,66,1,3095.3832,1
966074899349200,81001,2,200704,46,-0.01,22,35620,20,2,3146.9520,1
966074899349200,81001,3,200704,46,-0.01,22,35620,17,2,2715.4325,1
391963202077428,81001,4,200704,46,-0.01,22,37980,15,2,0.0000,1
430409969410193,81001,2,200704,46,-0.01,22,37980,18,2,3206.4385,1
969054769319580,83001,3,200704,46,-0.01,22,37980,42,2,4745.4698,1
969054769319580,83001,4,200704,46,-0.01,22,37980,21,1,5854.9071,1
590943092737759,82001,1,200704,46,-0.01,22,45940,36,1,2324.2705,1
392922008014469,81001,2,200704,46,14.25,22,35620,57,1,3144.5527,1
207905533895844,82002,1,200704,46,-0.01,22,35620,39,1,2580.4192,1
964359370829309,82001,1,200704,46,-0.01,22,35620,22,2,2940.6783,1
914679710399301,83001,1,200704,46,-0.01,22,35620,28,1,4791.4663,1
459270714200943,81001,2,200704,46,-0.01,22,35620,49,1,2425.3950,1
069394959400908,82001,3,200704,46,7.40,22,35620,21,2,3847.2882,1
041392779400962,81001,1,200704,46,-0.01,22,35620,32,2,2764.8182,1
041392779400962,81001,2,200704,46,-0.01,22,35620,31,1,3178.1397,1
391974809013439,81001,2,200704,46,-0.01,22,35620,25,1,4787.8204,1
230609989045095,81001,4,200704,46,16.87,21,35620,21,1,4085.6912,1
950086982339020,81001,6,200704,46,-0.01,21,35620,30,1,3929.5593,1
404900293496256,81001,2,200704,46,-0.01,21,35620,54,1,4036.7706,1
