HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399090951220971,80001,6,200701,46,16.00,58,42340,44,1,3243.6660,1
933079410749106,81001,1,200701,46,-0.01,58,12020,25,1,3561.6438,1
310309927080059,82001,1,200701,46,2.75,58,12060,38,1,2745.2152,1
010421830950198,80001,2,200701,46,-0.01,58,12060,30,1,3204.7713,1
620941092737279,80002,2,200701,46,11.43,22,37980,41,2,4034.3148,1
620941092737279,80002,4,200701,46,10.00,22,37980,21,1,5559.1966,1
706904813794514,82001,2,200701,46,-0.01,22,35620,44,1,3304.3483,1
844809520999300,81001,5,200701,46,-0.01,22,35620,19,2,3268.1521,1
489940907970963,82001,3,200701,46,-0.01,22,35620,21,2,3739.1419,1
730609941982183,80001,1,200701,46,-0.01,21,40380,24,1,4333.8915,2
871391639600655,80001,1,200701,46,8.00,21,35620,44,2,3147.1180,1
871391639600655,80001,2,200701,46,7.50,21,35620,21,2,3188.7954,1
986709450889309,82001,5,200701,46,-0.01,21,45060,27,1,3311.4496,1
938096883369120,82001,1,200701,46,-0.01,21,35620,41,2,3994.7991,1
938096883369120,82001,2,200701,46,-0.01,21,35620,39,1,3881.5310,1
269620906790964,82001,3,200701,46,-0.01,23,38300,24,1,2997.2352,1
057714820962597,80001,3,200701,46,-0.01,23,38300,21,2,4302.7839,1
153490069200810,82001,3,200701,46,-0.01,23,39740,38,1,2846.3003,1
007909074896792,80001,2,200701,46,8.50,23,42540,53,2,3041.7795,1
307000891105563,80001,3,200701,46,6.67,58,12060,20,2,3896.3483,1
530943095437439,80001,2,200701,46,-0.01,22,35620,49,-1,2777.6864,3
947076214379490,80001,1,200701,46,12.00,21,35620,23,1,3287.8423,1
963283087906391,80001,1,200701,46,-0.01,21,35620,65,2,3293.6414,1
922839170169404,80001,3,200701,46,5.25,23,0,17,2,3431.8973,1
300926091443849,82001,2,200701,46,3.00,23,0,34,1,3308.5858,1
606906881798193,82001,3,200701,46,-0.01,58,12060,28,2,3453.0914,1
610309919688876,82001,2,200701,46,-0.01,58,12060,56,1,3769.9653,1
073671530993096,82001,1,200701,46,-0.01,58,12060,21,1,3937.2637,1
073671530993096,82001,2,200701,46,-0.01,58,12060,22,1,3937.2637,1
981073944139570,82001,3,200701,46,-0.01,58,10500,19,-1,2942.5434,3
076821730691591,80001,1,200701,46,-0.01,58,0,46,1,2484.9144,2
220832067618409,80001,2,200701,46,-0.01,58,0,64,2,2561.1497,1
220832067618409,80001,4,200701,46,-0.01,58,0,29,1,3019.9737,1
310933090811119,81001,1,200701,46,-0.01,58,0,36,2,3197.4536,1
535309880400116,82001,3,200701,46,-0.01,22,35620,45,1,2624.8207,1
966074899349200,82001,1,200701,46,-0.01,22,35620,49,1,3111.6393,1
864079560699306,82001,1,200701,46,-0.01,22,35620,16,2,3318.6283,1
864079560699306,82001,4,200701,46,-0.01,22,35620,22,2,3739.1419,1
243627023908791,82001,2,200701,46,-0.01,22,37980,46,1,2624.8207,1
240944091737559,80001,1,200701,46,-0.01,22,47220,37,1,2754.0642,1
979064823369210,82001,1,200701,46,-0.01,22,35620,40,1,2577.3789,2
230409987764271,81001,6,200701,46,-0.01,22,35620,27,1,3203.0857,2
104908533798944,82001,2,200701,46,-0.01,22,35620,61,1,3798.1698,2
479050321270973,80002,1,200701,46,28.98,22,35620,40,1,2920.2772,1
590943092737759,80001,1,200701,46,-0.01,22,45940,50,1,2700.8348,1
430409987835898,82001,2,200701,46,-0.01,22,35620,22,1,3336.0808,2
934839950329301,82001,4,200701,46,-0.01,22,35620,18,1,3455.5970,1
399975505099498,82001,4,200701,46,-0.01,22,35620,15,2,0.0000,1
399975505099498,82001,5,200701,46,-0.01,22,35620,17,2,3365.3102,1
679100701300933,82001,1,200701,46,8.40,21,35620,35,1,2887.1957,1
689600616920983,80001,2,200701,46,-0.01,21,13780,23,2,3811.4632,1
022243360999091,82001,2,200701,46,-0.01,21,15380,27,1,3733.8011,1
160664094238099,80001,2,200701,46,-0.01,21,15380,52,1,2748.1551,1
940076285319670,81001,3,200701,46,-0.01,21,35620,16,2,3412.0995,1
956016329329310,81001,2,200701,46,-0.01,21,35620,60,1,2955.5387,1
914076199349940,82001,2,200701,46,-0.01,21,35620,53,1,3867.2258,1
663987016902897,82001,1,200701,46,-0.01,21,35620,34,1,3892.3443,1
386419060179305,82001,2,200701,46,-0.01,21,35620,45,1,3506.1298,1
730609917896708,80002,1,200701,46,9.00,21,35620,20,2,3356.1863,1
963283085900391,82001,1,200701,46,-0.01,21,35620,33,1,5401.6386,1
305908293093816,82001,2,200701,46,-0.01,21,35620,46,1,5461.8147,1
912006755379350,80001,3,200701,46,10.00,21,35620,20,2,4430.8457,1
630609928637178,82001,1,200701,46,-0.01,21,10580,20,1,3496.7250,1
397982302030669,81001,2,200701,46,-0.01,21,10580,27,2,3421.0612,1
110465092735479,82001,1,200701,46,-0.01,21,35620,35,1,3937.4266,2
084366869600993,80001,3,200701,46,-0.01,21,0,20,2,4075.6018,1
056873260019009,81001,1,200701,46,-0.01,21,28740,28,1,3464.3363,1
056873260019009,81001,2,200701,46,-0.01,21,28740,28,1,3301.0013,1
770964066533299,82001,1,200701,46,4.60,21,28740,28,2,3264.3524,1
689610199140943,82001,3,200701,46,-0.01,21,40380,21,1,4085.8604,2
722498669200781,81001,2,200701,46,-0.01,23,37980,22,1,3306.8467,1
902032811449200,82001,1,200701,46,-0.01,23,37980,23,1,3321.9035,2
823499239200905,81001,3,200701,46,-0.01,23,0,19,2,2636.9927,1
823499239200905,81001,4,200701,46,-0.01,23,0,17,2,2898.4364,1
024859053001702,82001,1,200701,46,-0.01,23,25420,27,1,4376.7717,1
467912408037219,81001,3,200701,46,-0.01,23,0,15,2,0.0000,1
892529820239409,81002,2,200701,46,-0.01,23,29540,29,1,2823.6675,1
262499389200995,82001,1,200701,46,-0.01,23,29540,59,1,3145.5884,1
516491489200802,81001,6,200701,46,-0.01,23,37980,17,2,3400.3213,1
340209923251056,82001,4,200701,46,7.50,23,37980,16,2,4164.5986,1
289830720700944,82001,2,200701,46,-0.01,23,37980,61,2,3010.1154,1
239390433590924,81001,1,200701,46,-0.01,23,37980,22,2,3079.2498,1
239390433590924,81001,2,200701,46,-0.01,23,37980,21,1,3079.2498,1
095344220939393,81002,2,200701,46,-0.01,23,37980,29,1,2909.9893,1
140391289600904,82001,5,200701,46,-0.01,21,13780,16,2,3150.0652,1
430609912490294,82001,3,200701,46,-0.01,21,39100,21,1,2779.8459,1
790663098234939,82001,2,200701,46,-0.01,21,35620,36,1,3502.6463,1
030864120693096,81001,4,200701,46,-0.01,23,0,17,2,3058.0129,1
832969780966408,80001,4,200701,46,-0.01,23,0,16,2,3491.7100,1
494918701082219,80001,3,200701,46,-0.01,23,29540,27,1,3966.3832,1
440209965564993,82001,1,200701,46,-0.01,23,0,45,1,2837.9101,1
850495329200841,82001,2,200701,46,-0.01,23,38300,37,2,2646.4079,1
431430022909564,81002,1,200701,46,-0.01,58,0,19,1,3531.6141,1
731808074909264,82001,3,200701,46,-0.01,58,0,19,2,2610.3218,1
108905891995663,80001,1,200701,46,-0.01,58,12060,51,1,2945.5060,1
108905891995663,80001,2,200701,46,-0.01,58,12060,46,1,3106.0088,1
108905891995663,80001,3,200701,46,-0.01,58,12060,17,2,2298.3936,1
399560802210971,80001,1,200701,46,3.22,58,12020,66,2,3009.9849,1
002601530997690,82001,3,200701,46,-0.01,58,12060,45,2,3329.7255,1
092321530993496,82001,1,200701,46,-0.01,58,12060,49,1,3329.7255,1
310192649300852,81001,2,200701,46,-0.01,58,12060,47,2,3327.1302,1
199946909048399,82001,4,200701,46,-0.01,58,0,22,1,3720.2554,1
953043744119890,81002,1,200701,46,-0.01,58,12060,30,1,4843.9186,1
953043744119890,81002,2,200701,46,-0.01,58,12060,20,1,4445.2303,1
260934097817979,80001,1,200701,46,-0.01,58,46660,21,-1,4004.5803,3
943649670659100,80001,1,200701,46,-0.01,58,12060,49,-1,3216.7190,3
391963202077428,82001,1,200701,46,-0.01,22,37980,41,2,2587.8100,1
391963202077428,82001,2,200701,46,-0.01,22,37980,47,1,2624.8207,1
205904433696994,82001,2,200701,46,-0.01,22,35620,22,1,3441.7002,1
942004951359690,82001,1,200701,46,-0.01,22,35620,52,1,2863.4877,1
906908493990054,82001,4,200701,46,-0.01,22,35620,19,1,3318.6283,1
450745098937839,80001,5,200701,46,-0.01,22,35620,19,1,2655.1061,1
974036480379560,80001,2,200701,46,-0.01,21,35620,42,1,3532.3739,1
392983504074631,82001,3,200701,46,-0.01,21,35620,18,-1,3239.9209,3
392978401072659,80001,2,200701,46,-0.01,21,15380,44,1,2801.4544,1
048833160994890,81001,1,200701,46,-0.01,21,45060,34,1,3436.0088,1
629800432700933,82001,2,200701,46,9.82,21,35620,48,1,4558.2311,1
021483560999597,82001,1,200701,46,-0.01,21,35620,39,1,3544.1868,1
550869093138509,80001,3,200701,46,-0.01,21,10580,45,1,3354.8461,1
679570855220933,82001,2,200701,46,-0.01,21,35620,21,1,3753.7341,1
202905724995542,81001,1,200701,46,-0.01,23,0,59,1,2755.3168,1
047144320990692,82001,1,200701,46,6.50,23,0,25,2,2547.0048,1
530524099846819,82001,1,200701,46,-0.01,23,37980,38,1,2875.6769,1
530524099846819,82001,2,200701,46,-0.01,23,37980,38,1,2769.0880,1
052134820987290,80002,1,200701,46,-0.01,23,37980,24,1,4006.1291,1
427461879200931,81002,1,200701,46,-0.01,23,0,39,1,2567.3577,1
902879970359402,80001,1,200701,46,-0.01,23,42540,38,1,4191.1161,1
493952201006227,81001,1,200701,46,-0.01,23,37980,66,1,2755.6535,1
024455047001808,80001,3,200701,46,-0.01,23,10900,23,1,4282.8666,1
055694820980890,80001,3,200701,46,-0.01,23,10900,17,2,3511.4218,1
491912607055259,81001,1,200701,46,-0.01,23,0,48,2,2849.0824,1
249160193270934,82001,1,200701,46,12.00,23,37980,21,1,3131.5144,1
524394035906399,82001,1,200701,46,-0.01,23,37980,33,1,5549.9872,1
982929530269404,82001,2,200701,46,-0.01,23,38300,17,2,3563.7827,2
493985506003298,82001,1,200701,46,-0.01,23,38300,29,2,3041.7292,1
724511046909599,82001,4,200701,46,-0.01,23,38300,19,2,2923.8989,1
724511046909599,82001,5,200701,46,-0.01,23,38300,17,1,2675.1752,2
160820091046559,82001,2,200701,46,-0.01,23,49620,17,2,2651.8793,1
703904214697582,82001,2,200701,46,-0.01,23,37980,47,1,2982.9878,2
289120294040984,80001,2,200701,46,-0.01,23,29540,62,2,2835.0295,1
225164449300903,81001,2,200701,46,-0.01,58,0,24,2,3735.7101,1
399220989370971,80002,2,200701,46,6.00,58,12060,16,2,3380.0507,1
678013962159080,82001,2,200701,46,-0.01,58,0,56,1,2895.6017,1
103260420380102,81001,3,200701,46,-0.01,58,12060,26,2,3728.5273,1
431944035908598,82001,4,200701,46,-0.01,58,12060,23,2,5264.9728,1
506906691992343,82001,3,200701,46,-0.01,58,17980,19,1,2853.7592,2
823739560059100,82001,1,200701,46,-0.01,58,12060,20,1,2904.7016,2
410300020886614,82001,2,200701,46,-0.01,58,12060,39,1,2608.1202,1
794529450239300,82001,1,200701,46,-0.01,22,35620,54,1,2863.4877,1
794529450239300,82001,2,200701,46,-0.01,22,35620,51,1,2641.4306,1
944969670159305,80001,2,200701,46,8.00,22,35620,56,1,2716.1184,1
864869020859302,81001,1,200701,46,-0.01,22,35620,51,1,2783.2693,1
469120979480943,82001,2,200701,46,-0.01,22,35620,32,1,2767.4444,1
060943090637229,80001,2,200701,46,8.75,22,35620,45,1,3738.5766,1
301908323891394,81002,2,200701,46,-0.01,22,35620,31,1,2827.7309,1
507907693893554,80003,1,200701,46,7.50,22,35620,43,2,2920.2772,1
430609983123395,82001,2,200701,46,-0.01,21,0,27,2,3768.6917,1
902901453995316,81001,4,200701,46,-0.01,21,0,18,2,3167.3044,1
396951005091636,81001,4,200701,46,-0.01,21,15380,17,2,3447.6132,1
230609989045095,81001,3,200701,46,-0.01,21,35620,22,2,4634.7329,1
230609989045095,81001,4,200701,46,-0.01,21,35620,21,2,4634.7329,1
730609900828205,80001,4,200701,46,-0.01,21,35620,36,1,3834.1826,1
304906583791576,82001,1,200701,46,-0.01,21,40380,16,2,3269.1685,1
304906583791576,82001,2,200701,46,-0.01,21,40380,49,2,2877.1198,1
918066855369310,82001,3,200701,46,-0.01,21,35620,25,1,3538.7416,1
763499043903199,82001,2,200701,46,-0.01,21,35620,44,1,3996.2128,2
699680429470973,80001,1,200701,46,-0.01,21,46540,40,1,2930.9441,1
330609933405303,82001,4,200701,46,-0.01,21,35620,18,2,3483.0174,2
873392919600638,80002,1,200701,46,9.65,21,35620,23,1,4529.4736,1
679670044870933,82001,2,200701,46,-0.01,21,35620,23,1,3594.5860,2
896989540549309,82001,2,200701,46,-0.01,21,35620,43,1,4514.4516,1
689030224710983,80001,1,200701,46,-0.01,21,35620,25,1,3626.4605,1
972016947339510,82001,3,200701,46,-0.01,21,35620,65,1,2652.0270,1
968396339600992,82001,1,200701,46,-0.01,21,35620,57,1,2936.8855,1
968396339600992,82001,2,200701,46,-0.01,21,35620,49,1,2887.7077,1
207901313693096,80001,3,200701,46,8.00,21,35620,16,2,2861.3491,1
430609977888595,82001,1,200701,46,-0.01,21,0,47,1,3423.8461,1
299300765540914,81001,2,200701,46,-0.01,23,0,27,2,2937.2365,1
740209924593062,80002,3,200701,46,7.00,23,38300,17,2,3895.1245,1
909012363489490,80001,1,200701,46,-0.01,23,38300,53,1,3374.6367,1
493991306056208,81001,3,200701,46,-0.01,23,39740,27,1,2953.8181,1
470925093243169,82001,3,200701,46,6.00,23,39740,17,2,3883.0020,1
962789770149402,80001,3,200701,46,-0.01,23,37980,19,-1,3787.7580,3
497906306042229,82001,1,200701,46,-0.01,23,10900,26,2,2916.6276,1
302908324991392,81001,1,200701,46,-0.01,23,0,54,1,2782.9208,1
740209941488581,80001,1,200701,46,-0.01,23,25420,71,-1,2472.6546,3
124247053906798,82001,1,200701,46,-0.01,23,37980,40,1,4263.2666,1
124247053906798,82001,2,200701,46,15.53,23,37980,37,1,3631.9476,1
240209922718294,81001,3,200701,46,-0.01,23,21500,47,2,2865.1664,1
624284062907895,81001,3,200701,46,-0.01,23,10900,16,2,2651.8793,1
098354220981290,81001,1,200701,46,-0.01,23,10900,29,1,2823.6675,1
098354220981290,81001,3,200701,46,-0.01,23,10900,54,2,2963.3720,1
098354220981290,81001,4,200701,46,-0.01,23,10900,26,2,2923.2533,1
882639760029403,82001,4,200701,46,-0.01,23,10900,19,2,2651.8793,1
882639760029403,82001,5,200701,46,-0.01,23,10900,19,2,2651.8793,1
882639760029403,82001,6,200701,46,-0.01,23,10900,15,2,0.0000,1
229270459680934,82001,2,200701,46,-0.01,23,37980,29,1,3824.0681,1
229270459680934,82001,3,200701,46,-0.01,23,37980,23,1,4413.7972,1
279770986790974,80001,1,200701,46,-0.01,23,37980,24,1,3131.5144,1
077694720979897,80001,1,200701,46,-0.01,23,37980,24,1,3131.5144,1
009931130998994,81001,3,200701,46,-0.01,58,42340,23,2,4445.3549,1
713309210779109,81001,3,200701,46,-0.01,58,12060,42,1,3070.3833,1
196974409088379,82001,1,200701,46,-0.01,58,0,33,2,2518.1434,1
196974409088379,82001,3,200701,46,-0.01,58,0,24,2,2739.6080,1
964053960179640,80001,1,200701,46,-0.01,58,12060,35,1,3298.2444,1
330409933144380,82001,4,200701,46,7.40,22,35620,31,1,2705.9966,1
480962097337519,80001,2,200701,46,-0.01,21,35620,51,1,3760.7861,1
629060574780913,81001,4,200701,46,-0.01,21,35620,17,2,2817.4817,1
399840978280951,82001,1,200701,46,-0.01,58,12060,25,1,3733.3502,1
399840978280951,82001,2,200701,46,-0.01,58,12060,26,1,3694.3735,1
231223017001602,80001,1,200701,46,-0.01,58,12060,53,1,3417.8743,1
731685058909494,80001,4,200701,46,-0.01,58,47580,30,1,2629.2165,1
924379670259304,80001,4,200701,46,6.06,22,35620,28,2,3017.7814,1
840743093531939,81001,3,200701,46,-0.01,22,35620,17,2,3535.7663,1
033533560691298,82001,4,200701,46,-0.01,21,0,30,2,4225.8009,1
263646046909894,82001,2,200701,46,-0.01,21,0,30,1,3314.2181,1
830609977619193,80001,3,200701,46,-0.01,21,39100,25,1,3725.5284,1
060563090632229,81001,3,200701,46,-0.01,21,15380,18,2,3103.4743,1
990860094332899,81001,1,200701,46,-0.01,21,15380,22,2,3774.0407,1
663102047908994,80001,1,200701,46,4.60,21,15380,34,1,2518.4122,1
935086904379290,80001,3,200701,46,7.00,21,15380,24,2,4040.4421,1
917086253319240,81001,2,200701,46,-0.01,21,35620,20,1,3264.0896,1
805901953595426,82001,1,200701,46,-0.01,21,35620,21,1,4798.8445,1
630465094037879,80002,2,200701,46,-0.01,21,35620,29,1,3453.1851,2
770266090531849,81001,4,200701,46,-0.01,21,35620,16,2,3412.0995,1
360961099233389,82001,1,200701,46,-0.01,21,15380,32,1,2770.6747,2
360961099233389,82001,2,200701,46,-0.01,21,15380,32,1,2353.8412,2
563043032902393,81001,2,200701,46,-0.01,21,35620,46,1,3033.5362,1
390982408016699,81001,1,200701,46,-0.01,21,35620,50,1,4537.2441,1
390982408016699,81001,2,200701,46,-0.01,21,35620,47,1,3429.8498,1
640399059600789,82001,4,200701,46,-0.01,21,35620,22,2,4650.0773,1
261395039600955,82001,1,200701,46,-0.01,21,35620,59,1,3120.1712,1
261395039600955,82001,3,200701,46,-0.01,21,35620,28,1,4054.7231,1
406900343998736,82001,1,200701,46,-0.01,21,13780,46,1,2913.0398,1
999006973339030,82001,5,200701,46,8.25,21,28740,24,1,3858.8952,1
964046963379700,80001,1,200701,46,-0.01,21,35620,38,1,3380.9088,1
727495759210912,81011,1,200701,46,-0.01,23,38300,22,1,3186.6382,1
496938007013249,80001,2,200701,46,-0.01,23,11020,48,2,3036.8523,1
240209976186872,81001,2,200701,46,-0.01,23,37980,42,1,2629.6980,1
413498549200697,81001,3,200701,46,-0.01,23,37980,26,2,3168.0300,1
497955706027268,82001,2,200701,46,-0.01,23,37980,17,2,3400.3213,1
502905174995612,81001,4,200701,46,-0.01,23,0,42,1,2438.1224,1
824904032907393,81001,1,200701,46,-0.01,23,37980,19,1,4311.7861,1
077694220989897,81001,1,200701,46,-0.01,23,37980,19,1,4311.7861,1
957052589449080,82001,1,200701,46,-0.01,23,37980,27,1,3567.1570,1
951062850469010,82001,3,200701,46,-0.01,23,49620,17,2,2740.3320,2
399770257660951,82001,3,200701,46,-0.01,58,42340,22,2,4036.9940,1
853939820709109,81003,1,200701,46,-0.01,58,12060,56,1,3304.7494,1
360838094918699,80001,4,200701,46,-0.01,58,12060,21,1,3365.9891,1
060441430988391,82001,2,200701,46,-0.01,58,12060,35,2,3514.1653,1
046051530992293,82001,1,200701,46,-0.01,58,12060,28,1,3928.3628,1
379670679290931,82001,2,200701,46,-0.01,58,12060,18,-1,3506.3708,3
607002221103123,80001,3,200701,46,-0.01,58,12060,25,1,4468.2593,2
089163869300989,80001,1,200701,46,-0.01,58,0,40,1,2274.7616,1
505908141894103,82001,2,200701,46,-0.01,58,12060,38,1,3504.3917,1
000933090913599,82001,3,200701,46,7.50,58,12060,15,2,0.0000,1
824119340479305,82001,2,200701,46,-0.01,22,37980,63,1,2790.0726,1
941074815349320,82001,1,200701,46,-0.01,22,37980,32,1,2767.4444,1
002901033991224,81001,3,200701,46,-0.01,22,35620,18,1,2577.6495,2
834819540759309,82001,2,200701,46,-0.01,22,35620,20,2,3168.3743,1
404900293496256,82001,1,200701,46,-0.01,21,35620,30,1,5103.6420,1
404900293496256,82001,2,200701,46,-0.01,21,35620,25,1,5799.4264,1
520969090933219,82001,1,200701,46,7.15,21,40380,21,1,3810.6915,1
601904023894386,81001,1,200701,46,-0.01,21,40380,28,1,3311.4496,1
601904023894386,81001,2,200701,46,-0.01,21,40380,28,1,4049.6877,1
663721085900692,82001,1,200701,46,-0.01,21,35620,37,1,4298.1781,1
796899650699303,82001,1,200701,46,-0.01,21,35620,36,1,3733.8752,1
019333460938298,82001,1,200701,46,-0.01,21,35620,30,1,4348.9980,1
019333460938298,82001,4,200701,46,-0.01,21,35620,38,1,4710.9202,1
986069530279305,82001,1,200701,46,10.00,21,10580,23,1,3945.0245,1
940076812389320,80001,1,200701,46,-0.01,21,35620,31,1,2963.4339,1
940076812389320,80001,2,200701,46,-0.01,21,35620,39,1,3673.6011,1
986979770679309,80001,1,200701,46,7.15,21,0,22,1,3889.0670,1
986979770679309,80001,2,200701,46,7.15,21,0,23,2,3797.2242,1
700462098137719,80001,1,200701,46,-0.01,21,35620,50,1,3028.1701,1
067173160997599,81001,1,200701,46,-0.01,21,28740,42,2,2992.2640,1
903901993693236,82001,1,200701,46,7.15,21,35620,23,1,3188.7954,1
502969220679409,81001,3,200701,46,-0.01,23,38300,25,1,2832.4829,1
502969220679409,81001,4,200701,46,-0.01,23,38300,24,1,2997.2352,1
494996901030267,82001,3,200701,46,-0.01,23,38300,42,1,2459.5411,1
494996901030267,82001,4,200701,46,-0.01,23,38300,38,1,2689.6037,1
494996901030267,82001,5,200701,46,-0.01,23,38300,34,1,2735.0860,1
494996901030267,82001,6,200701,46,-0.01,23,38300,41,1,2459.5411,1
494996901030267,82001,10,200701,46,-0.01,23,38300,35,1,2589.9117,1
840209965752099,80001,2,200701,46,-0.01,23,38300,23,2,3375.3975,1
630920092047069,80001,3,200701,46,7.15,23,38300,19,2,3895.1245,1
924577024909593,82001,4,200701,46,-0.01,23,27780,16,2,2623.8609,1
952619750099406,82001,3,200701,46,-0.01,23,25420,30,1,2394.3007,1
115496089200812,81001,4,200701,46,-0.01,23,37980,18,1,3408.3100,2
122570860560409,82001,4,200701,46,-0.01,23,0,16,2,2636.9927,1
005614520998797,82001,1,200701,46,-0.01,23,42540,32,1,3212.3553,1
405041309005261,81001,3,200701,46,-0.01,23,0,20,1,2977.4568,2
705904674894202,82001,1,200701,46,-0.01,23,49620,54,1,2606.9222,1
195948009009389,80001,2,200701,46,-0.01,58,42340,26,1,2823.0120,1
028023169120020,81001,3,200701,46,-0.01,58,12060,17,2,3667.5661,1
444192599300982,82001,5,200701,46,-0.01,58,12060,30,1,3204.7713,1
631154056909994,82001,3,200701,46,-0.01,58,42340,16,2,3346.9077,1
399450953190951,82001,2,200701,46,-0.01,58,0,24,1,2884.5266,1
810309985586992,80001,3,200701,46,-0.01,58,46660,26,2,3043.4941,1
960053997159300,82001,1,200701,46,-0.01,58,0,26,1,3814.7910,1
330400058698115,82001,1,200701,46,-0.01,22,35620,45,2,2783.9506,1
330400058698115,82001,2,200701,46,-0.01,22,35620,48,1,2624.8207,1
943606077906695,80001,2,200701,46,7.70,22,35620,33,2,2558.5840,1
392943708031658,82001,1,200701,46,-0.01,21,35620,57,1,3686.5561,1
020966095833129,82001,2,200701,46,-0.01,21,35620,25,1,3252.1962,1
977046706379430,80001,6,200701,46,5.50,21,35620,17,2,3382.1535,1
